EcoCyc_accession_id,EcoCyc_locus_tag,EcoCyc_rna_name,EcoCyc_rna_name_synonyms,EcoCyc_start,EcoCyc_end,EcoCyc_strand,EcoCyc_sequence,EcoCyc_accession-2
A1CF,A1CF,A1CF,A1CF,0,0,+,A1CF,A1CF
AATF,AATF,AATF,AATF,0,0,+,AATF,AATF
ABCF1,ABCF1,ABCF1,ABCF1,0,0,+,ABCF1,ABCF1
ACIN1,ACIN1,ACIN1,ACIN1,0,0,+,ACIN1,ACIN1
ADAR,ADAR,ADAR,ADAR,0,0,+,ADAR,ADAR
AIFM1,AIFM1,AIFM1,AIFM1,0,0,+,AIFM1,AIFM1
AKAP1,AKAP1,AKAP1,AKAP1,0,0,+,AKAP1,AKAP1
ALKBH1,ALKBH1,ALKBH1,ALKBH1,0,0,+,ALKBH1,ALKBH1
ALKBH3,ALKBH3,ALKBH3,ALKBH3,0,0,+,ALKBH3,ALKBH3
ALKBH5,ALKBH5,ALKBH5,ALKBH5,0,0,+,ALKBH5,ALKBH5
ALYREF,ALYREF,ALYREF,ALYREF,0,0,+,ALYREF,ALYREF
