 #please cite:
#Zhou KR, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	clipExpNum	clipIDnum	HepG2(shRNA)	K562(shRNA)	HepG2(CRIPSR)	K562(CRIPSR)	pancancerNum
ZNF800	ENSG00000001497	LAS1L	protein_coding	1	2	2	NA	NA	NA	NA	18
ZNF800	ENSG00000001630	CYP51A1	protein_coding	1	1	1	NA	NA	NA	NA	28
ZNF800	ENSG00000002834	LASP1	protein_coding	2	1	2	NA	NA	NA	NA	20
ZNF800	ENSG00000003436	TFPI	protein_coding	5	2	10	NA	NA	NA	NA	19
ZNF800	ENSG00000003989	SLC7A2	protein_coding	1	1	1	NA	NA	NA	NA	13
ZNF800	ENSG00000004487	KDM1A	protein_coding	1	1	1	NA	NA	NA	-0.137	14
ZNF800	ENSG00000004534	RBM6	protein_coding	3	1	3	NA	NA	NA	NA	19
ZNF800	ENSG00000005889	ZFX	protein_coding	1	1	1	NA	NA	NA	NA	32
ZNF800	ENSG00000006016	CRLF1	protein_coding	2	2	3	NA	NA	NA	NA	13
ZNF800	ENSG00000006459	KDM7A	protein_coding	2	1	2	NA	NA	NA	NA	31
ZNF800	ENSG00000007392	LUC7L	protein_coding	1	2	2	NA	NA	NA	NA	17
ZNF800	ENSG00000007923	DNAJC11	protein_coding	1	1	1	NA	NA	NA	-0.156	24
ZNF800	ENSG00000008988	RPS20	protein_coding	1	2	2	NA	NA	NA	-0.282	30
ZNF800	ENSG00000009307	CSDE1	protein_coding	1	1	1	NA	NA	NA	NA	26
ZNF800	ENSG00000009950	MLXIPL	protein_coding	8	2	10	NA	NA	NA	NA	17
ZNF800	ENSG00000009954	BAZ1B	protein_coding	2	3	4	NA	NA	NA	NA	31
ZNF800	ENSG00000010244	ZNF207	protein_coding	1	4	4	NA	NA	NA	NA	29
ZNF800	ENSG00000011304	PTBP1	protein_coding	2	2	3	NA	NA	NA	NA	25
ZNF800	ENSG00000012171	SEMA3B	protein_coding	2	1	2	NA	NA	NA	NA	19
ZNF800	ENSG00000012504	NR1H4	protein_coding	1	1	1	NA	NA	NA	NA	10
ZNF800	ENSG00000012660	ELOVL5	protein_coding	1	1	1	NA	NA	NA	NA	29
ZNF800	ENSG00000013306	SLC25A39	protein_coding	1	1	1	NA	NA	NA	NA	28
ZNF800	ENSG00000013441	CLK1	protein_coding	2	1	2	NA	NA	NA	-0.267	24
ZNF800	ENSG00000015479	MATR3	protein_coding	3	4	8	NA	NA	NA	NA	32
ZNF800	ENSG00000016391	CHDH	protein_coding	2	2	3	NA	NA	NA	NA	16
ZNF800	ENSG00000017797	RALBP1	protein_coding	1	1	1	NA	NA	NA	NA	28
