RBP	geneID	geneName	geneType	clusterNum	clipExpNum	clipIDnum	HepG2(shRNA)	K562(shRNA)	HepG2(CRIPSR)	K562(CRIPSR)	pancancerNum
ACIN1	ENSG00000136997	MYC	protein_coding	7	6	21	NA	NA	NA	NA	15
ALYREF	ENSG00000136997	MYC	protein_coding	5	10	35	NA	NA	NA	NA	20
AQR	ENSG00000136997	MYC	protein_coding	6	4	17	-0.432	-1.473	NA	NA	19
AUH	ENSG00000136997	MYC	protein_coding	1	1	1	-0.765	-0.225	NA	NA	13
BCLAF1	ENSG00000136997	MYC	protein_coding	3	2	4	-0.592	NA	NA	NA	17
CAPRIN1	ENSG00000136997	MYC	protein_coding	1	1	1	NA	NA	NA	NA	27
CDK11B	ENSG00000136997	MYC	protein_coding	3	2	3	NA	NA	NA	NA	17
CENPC	ENSG00000136997	MYC	protein_coding	7	2	12	NA	NA	NA	NA	17
CHTOP	ENSG00000136997	MYC	protein_coding	1	2	2	NA	NA	NA	NA	15
CNBP	ENSG00000136997	MYC	protein_coding	1	1	1	NA	NA	NA	NA	25
CPSF1	ENSG00000136997	MYC	protein_coding	3	3	5	NA	NA	NA	NA	22
CPSF6	ENSG00000136997	MYC	protein_coding	2	3	4	NA	-0.407	NA	NA	21
CPSF7	ENSG00000136997	MYC	protein_coding	2	1	5	0.345	NA	NA	NA	19
CSTF2	ENSG00000136997	MYC	protein_coding	9	4	21	NA	0.415	NA	NA	22
CSTF2T	ENSG00000136997	MYC	protein_coding	8	6	24	-0.523	NA	NA	NA	17
CTCF	ENSG00000136997	MYC	protein_coding	2	3	6	NA	NA	NA	-0.154	17
DAP3	ENSG00000136997	MYC	protein_coding	3	2	6	NA	NA	NA	NA	21
DDX21	ENSG00000136997	MYC	protein_coding	3	2	3	-1.677	NA	NA	-0.147	31
DDX3X	ENSG00000136997	MYC	protein_coding	5	11	35	-0.744	-0.390	NA	NA	22
DDX54	ENSG00000136997	MYC	protein_coding	4	4	19	NA	NA	NA	NA	27
DDX6	ENSG00000136997	MYC	protein_coding	1	1	1	0.274	NA	NA	NA	19
DGCR8	ENSG00000136997	MYC	protein_coding	4	3	4	NA	NA	NA	NA	19
DHX36	ENSG00000136997	MYC	protein_coding	2	3	5	NA	NA	NA	NA	23
EIF3A	ENSG00000136997	MYC	protein_coding	4	1	7	NA	-0.790	NA	NA	29
EIF3D	ENSG00000136997	MYC	protein_coding	2	2	2	0.383	-0.538	NA	NA	27
EIF3G	ENSG00000136997	MYC	protein_coding	1	1	1	-0.472	-0.556	NA	NA	11
EIF3H	ENSG00000136997	MYC	protein_coding	1	1	1	NA	NA	-0.289	NA	28
EIF4A3	ENSG00000136997	MYC	protein_coding	10	3	16	-0.528	-0.798	-0.678	-0.160	31
EIF4E	ENSG00000136997	MYC	protein_coding	1	2	2	NA	NA	NA	0.231	17
EIF4G2	ENSG00000136997	MYC	protein_coding	3	2	3	-0.289	-1.142	NA	NA	19
ELAVL1	ENSG00000136997	MYC	protein_coding	10	22	74	NA	NA	NA	NA	17
EWSR1	ENSG00000136997	MYC	protein_coding	9	3	20	NA	0.309	NA	NA	17
EXOSC10	ENSG00000136997	MYC	protein_coding	1	1	1	NA	NA	NA	NA	19
FAM120A	ENSG00000136997	MYC	protein_coding	4	4	13	0.221	-0.431	NA	NA	20
FIP1L1	ENSG00000136997	MYC	protein_coding	5	6	13	NA	-0.278	NA	NA	25
FKBP4	ENSG00000136997	MYC	protein_coding	1	1	1	-0.464	-0.370	NA	NA	24
FMR1	ENSG00000136997	MYC	protein_coding	6	3	9	-0.230	-0.882	NA	NA	15
FTO	ENSG00000136997	MYC	protein_coding	4	1	4	NA	-0.888	NA	NA	16
FUBP1	ENSG00000136997	MYC	protein_coding	1	1	1	NA	NA	NA	NA	23
FUBP3	ENSG00000136997	MYC	protein_coding	1	1	1	-0.356	NA	NA	NA	18
FUS	ENSG00000136997	MYC	protein_coding	1	1	1	NA	NA	NA	NA	14
FXR1	ENSG00000136997	MYC	protein_coding	4	2	5	0.274	-0.185	NA	NA	21
FXR2	ENSG00000136997	MYC	protein_coding	4	3	6	NA	NA	0.449	NA	15
G3BP1	ENSG00000136997	MYC	protein_coding	5	12	31	-0.433	0.465	NA	NA	28
G3BP2	ENSG00000136997	MYC	protein_coding	4	2	5	NA	-0.960	NA	NA	19
GRWD1	ENSG00000136997	MYC	protein_coding	3	2	6	NA	NA	NA	NA	26
GTF2F1	ENSG00000136997	MYC	protein_coding	3	4	10	NA	NA	NA	NA	13
HDLBP	ENSG00000136997	MYC	protein_coding	2	2	5	NA	NA	NA	NA	19
HLTF	ENSG00000136997	MYC	protein_coding	2	1	2	-0.591	-0.481	NA	NA	13
HNRNPA2B1	ENSG00000136997	MYC	protein_coding	8	3	12	-0.216	NA	NA	NA	19
HNRNPC	ENSG00000136997	MYC	protein_coding	6	15	44	-0.563	NA	NA	NA	25
HNRNPH1	ENSG00000136997	MYC	protein_coding	3	2	4	NA	NA	NA	NA	20
HNRNPK	ENSG00000136997	MYC	protein_coding	5	6	13	0.708	NA	NA	NA	25
HNRNPL	ENSG00000136997	MYC	protein_coding	2	4	4	0.487	NA	NA	NA	17
HNRNPU	ENSG00000136997	MYC	protein_coding	4	2	4	-0.521	NA	NA	NA	21
HNRNPUL1	ENSG00000136997	MYC	protein_coding	1	1	1	NA	NA	NA	NA	16
IGF2BP1	ENSG00000136997	MYC	protein_coding	3	6	14	NA	NA	NA	NA	13
IGF2BP2	ENSG00000136997	MYC	protein_coding	5	4	13	0.243	NA	NA	NA	17
IGF2BP3	ENSG00000136997	MYC	protein_coding	6	7	21	0.305	NA	NA	NA	17
ILF3	ENSG00000136997	MYC	protein_coding	1	2	2	-0.576	-0.746	NA	NA	24
KHDRBS1	ENSG00000136997	MYC	protein_coding	1	2	2	NA	NA	NA	NA	20
KHDRBS2	ENSG00000136997	MYC	protein_coding	1	3	3	NA	NA	NA	NA	13
KHSRP	ENSG00000136997	MYC	protein_coding	1	4	4	NA	-0.511	NA	NA	24
LIN28B	ENSG00000136997	MYC	protein_coding	5	5	11	NA	0.171	NA	NA	9
LUC7L2	ENSG00000136997	MYC	protein_coding	2	1	2	NA	NA	NA	NA	16
MARF1	ENSG00000136997	MYC	protein_coding	4	2	6	NA	NA	NA	NA	17
MBNL1	ENSG00000136997	MYC	protein_coding	1	1	1	NA	0.399	NA	NA	19
METTL1	ENSG00000136997	MYC	protein_coding	1	2	2	NA	NA	NA	NA	17
METTL14	ENSG00000136997	MYC	protein_coding	2	4	8	NA	NA	NA	NA	17
METTL3	ENSG00000136997	MYC	protein_coding	4	3	7	NA	NA	NA	NA	20
MOV10	ENSG00000136997	MYC	protein_coding	2	3	6	NA	NA	NA	NA	11
MSI2	ENSG00000136997	MYC	protein_coding	4	4	9	-1.042	-1.434	NA	NA	20
MTA1	ENSG00000136997	MYC	protein_coding	4	1	4	NA	NA	NA	NA	23
MTDH	ENSG00000136997	MYC	protein_coding	5	1	10	NA	NA	NA	NA	28
NAT10	ENSG00000136997	MYC	protein_coding	2	1	7	NA	NA	NA	NA	26
NIPBL	ENSG00000136997	MYC	protein_coding	2	1	2	NA	NA	NA	NA	12
NONO	ENSG00000136997	MYC	protein_coding	3	2	4	NA	0.234	NA	NA	21
NUDT16L1	ENSG00000136997	MYC	protein_coding	3	3	8	NA	NA	NA	NA	18
NUDT21	ENSG00000136997	MYC	protein_coding	2	2	2	NA	NA	NA	NA	20
NXF1	ENSG00000136997	MYC	protein_coding	7	5	14	NA	NA	NA	NA	20
PABPC4	ENSG00000136997	MYC	protein_coding	1	1	1	-1.152	NA	NA	NA	26
PCBP2	ENSG00000136997	MYC	protein_coding	6	4	11	-0.607	NA	NA	NA	15
POLR2A	ENSG00000136997	MYC	protein_coding	3	1	3	NA	NA	NA	-0.364	17
PRPF39	ENSG00000136997	MYC	protein_coding	1	2	2	NA	NA	NA	NA	15
PRPF4	ENSG00000136997	MYC	protein_coding	3	2	10	NA	NA	NA	NA	27
PRPF8	ENSG00000136997	MYC	protein_coding	7	4	24	-0.510	-0.596	NA	NA	19
PTBP1	ENSG00000136997	MYC	protein_coding	6	3	9	-0.598	-0.402	NA	NA	21
PUM1	ENSG00000136997	MYC	protein_coding	5	3	6	0.649	-0.451	NA	NA	12
QKI	ENSG00000136997	MYC	protein_coding	2	2	2	-0.773	-0.228	NA	NA	24
RANGAP1	ENSG00000136997	MYC	protein_coding	1	1	1	NA	NA	NA	NA	17
RBFOX1	ENSG00000136997	MYC	protein_coding	2	2	3	NA	NA	NA	NA	13
RBFOX2	ENSG00000136997	MYC	protein_coding	6	9	16	NA	NA	NA	NA	14
RBM15	ENSG00000136997	MYC	protein_coding	8	2	24	NA	0.365	NA	NA	20
RBM15B	ENSG00000136997	MYC	protein_coding	9	2	29	NA	NA	NA	NA	22
RBM20	ENSG00000136997	MYC	protein_coding	1	1	1	NA	NA	NA	NA	13
RBM22	ENSG00000136997	MYC	protein_coding	2	2	5	0.144	NA	NA	NA	17
RBM39	ENSG00000136997	MYC	protein_coding	5	2	7	NA	NA	NA	NA	17
RBM4	ENSG00000136997	MYC	protein_coding	2	6	19	NA	NA	NA	NA	18
RBM47	ENSG00000136997	MYC	protein_coding	3	2	5	NA	NA	NA	NA	13
RBM7	ENSG00000136997	MYC	protein_coding	10	4	63	NA	NA	NA	NA	22
