Fold,AUC,pAUC,PR-AUC,F1,Accuracy,TNR,FPR,TPR,thresholds
0,0.9943181818181818,0.0021155491348140497,0.9960876796814297,0.9943100995732574,0.9943181818181818,0.9957386363636364,"[0.0, 0.004261363636363636, 1.0]","[0.0, 0.9928977272727273, 1.0]","[2, 1, 0]"
1,0.9936079545454547,0.0014063307076446281,0.9960835893809339,0.9935851746258019,0.9936079545454546,0.9971590909090909,"[0.0, 0.002840909090909091, 1.0]","[0.0, 0.9900568181818182, 1.0]","[2, 1, 0]"
2,0.9971590909090907,0.000707200736053719,0.9982224083786583,0.9971550497866287,0.9971590909090909,0.9985795454545454,"[0.0, 0.0014204545454545455, 1.0]","[0.0, 0.9957386363636364, 1.0]","[2, 1, 0]"
3,0.9928977272727273,0.002109496061466942,0.9953713474025974,0.9928774928774928,0.9928977272727273,0.9957386363636364,"[0.0, 0.004261363636363636, 1.0]","[0.0, 0.9900568181818182, 1.0]","[2, 1, 0]"
4,0.9943181818181817,0.002824767561983471,0.9957386363636362,0.9943181818181818,0.9943181818181818,0.9943181818181818,"[0.0, 0.005681818181818182, 1.0]","[0.0, 0.9943181818181818, 1.0]","[2, 1, 0]"
5,0.9950284090909091,0.004255310563016528,0.9954135746570073,0.9950460014154282,0.9950284090909091,0.9914772727272727,"[0.0, 0.008522727272727272, 1.0]","[0.0, 0.9985795454545454, 1.0]","[2, 1, 0]"
6,0.9957386363636364,0.0007051830449380166,0.9975101461038962,0.9957264957264959,0.9957386363636364,0.9985795454545454,"[0.0, 0.0014204545454545455, 1.0]","[0.0, 0.9928977272727273, 1.0]","[2, 1, 0]"
7,0.9957386363636362,0.002121602208161157,0.9968039772727272,0.9957386363636364,0.9957386363636364,0.9957386363636364,"[0.0, 0.004261363636363636, 1.0]","[0.0, 0.9957386363636364, 1.0]","[2, 1, 0]"
8,0.9936079545454546,0.0028207321797520664,0.9953794816048105,0.9936034115138592,0.9936079545454546,0.9943181818181818,"[0.0, 0.005681818181818182, 1.0]","[0.0, 0.9928977272727273, 1.0]","[2, 1, 0]"
9,0.9936079545454546,0.0035309594524793385,0.9950334461637654,0.9936124911284598,0.9936079545454546,0.9928977272727273,"[0.0, 0.007102272727272727, 1.0]","[0.0, 0.9943181818181818, 1.0]","[2, 1, 0]"
