Fold,AUC,pAUC,PR-AUC,F1,Accuracy,TNR,FPR,TPR,thresholds
0,0.9998950800619835,0.036826898243801656,0.9998986779487637,0.9971509971509972,0.9971590909090909,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.036931818181818184, 0.036931818181818184, 1.0]","[0.0, 0.002840909090909091, 0.11647727272727272, 0.12215909090909091, 0.15625, 0.16193181818181818, 0.30113636363636365, 0.3068181818181818, 0.9971590909090909, 0.9971590909090909, 1.0, 1.0]","[1.9999927, 0.9999927, 0.99993765, 0.99993753, 0.99992263, 0.9999225, 0.9998048, 0.9998047, 0.41452646, 0.13149571, 0.09792042, 1.0781667e-05]"
1,0.999531895661157,0.05919098657024794,0.9995390010007472,0.9900426742532006,0.9900568181818182,0.9914772727272727,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002840909090909091, 0.002840909090909091, 0.005681818181818182, 0.005681818181818182, 0.008522727272727272, 0.008522727272727272, 0.019886363636363636, 0.019886363636363636, 0.05965909090909091, 0.05965909090909091, 1.0]","[0.0, 0.002840909090909091, 0.014204545454545454, 0.019886363636363636, 0.04261363636363636, 0.05397727272727273, 0.10227272727272728, 0.10795454545454546, 0.11931818181818182, 0.125, 0.17613636363636365, 0.18181818181818182, 0.2471590909090909, 0.2556818181818182, 0.35795454545454547, 0.36363636363636365, 0.4659090909090909, 0.4715909090909091, 0.9602272727272727, 0.9602272727272727, 0.9659090909090909, 0.9659090909090909, 0.9715909090909091, 0.9715909090909091, 0.9943181818181818, 0.9943181818181818, 0.9971590909090909, 0.9971590909090909, 1.0, 1.0]","[1.9999932, 0.9999932, 0.9999864, 0.999985, 0.9999747, 0.9999733, 0.9999542, 0.999954, 0.99994934, 0.9999466, 0.99992204, 0.9999205, 0.9998915, 0.9998858, 0.9997961, 0.9997937, 0.9996013, 0.9995977, 0.901962, 0.8839848, 0.8440704, 0.84125113, 0.78391427, 0.74964, 0.45583236, 0.17960574, 0.1586586, 0.031547654, 0.030464213, 5.7397374e-06]"
2,0.9998950800619835,0.011258716425619835,0.9998952228179651,0.9914529914529915,0.9914772727272727,0.9943181818181818,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002840909090909091, 0.002840909090909091, 0.005681818181818182, 0.005681818181818182, 0.008522727272727272, 0.008522727272727272, 0.011363636363636364, 0.011363636363636364, 1.0]","[0.0, 0.002840909090909091, 0.03125, 0.036931818181818184, 0.04261363636363636, 0.05965909090909091, 0.08806818181818182, 0.09375, 0.12215909090909091, 0.1278409090909091, 0.13352272727272727, 0.13920454545454544, 0.20738636363636365, 0.21306818181818182, 0.2215909090909091, 0.22727272727272727, 0.2471590909090909, 0.2556818181818182, 0.4914772727272727, 0.4971590909090909, 0.9602272727272727, 0.9659090909090909, 0.9829545454545454, 0.9829545454545454, 0.9886363636363636, 0.9886363636363636, 0.9943181818181818, 0.9943181818181818, 0.9971590909090909, 0.9971590909090909, 1.0, 1.0]","[1.9999965400000002, 0.99999654, 0.99999166, 0.9999913, 0.9999896, 0.9999883, 0.9999827, 0.9999826, 0.99997795, 0.9999776, 0.9999764, 0.99997616, 0.9999523, 0.9999517, 0.999948, 0.9999467, 0.9999403, 0.9999393, 0.99964726, 0.9996445, 0.7597004, 0.66886556, 0.6021943, 0.5855402, 0.54666907, 0.5377185, 0.33993635, 0.32846537, 0.31493595, 0.27753782, 0.2659575, 6.311697e-06]"
3,0.9998789385330579,0.04249257489669421,0.9998837279244855,0.9985775248933144,0.9985795454545454,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04261363636363636, 0.04261363636363636, 1.0]","[0.0, 0.002840909090909091, 0.16477272727272727, 0.17045454545454544, 0.33238636363636365, 0.3380681818181818, 0.9971590909090909, 0.9971590909090909, 1.0, 1.0]","[1.99998844, 0.99998844, 0.9998617, 0.9998604, 0.9996666, 0.9996575, 0.57473457, 0.07897873, 0.07605281, 1.5586409e-05]"
4,0.9999919062419063,0.002840909090909091,0.999991940667215,0.9985775248933144,0.9985775248933144,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002849002849002849, 0.002849002849002849, 1.0]","[0.0, 0.002840909090909091, 0.028409090909090908, 0.03409090909090909, 0.05965909090909091, 0.06534090909090909, 0.07386363636363637, 0.07954545454545454, 0.13636363636363635, 0.14204545454545456, 0.14488636363636365, 0.15056818181818182, 0.23863636363636365, 0.24431818181818182, 0.9971590909090909, 0.9971590909090909, 1.0, 1.0]","[1.9999905999999998, 0.9999906, 0.9999732, 0.99997187, 0.9999523, 0.9999522, 0.99994695, 0.99994624, 0.999907, 0.9999038, 0.9998988, 0.9998983, 0.99983835, 0.99983704, 0.5389924, 0.40158358, 0.31595847, 1.0926237e-05]"
5,0.9995386557886559,0.02802868427868428,0.9995376062271696,0.9929078014184397,0.9928876244665719,0.9914529914529915,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002849002849002849, 0.002849002849002849, 0.005698005698005698, 0.005698005698005698, 0.008547008547008548, 0.008547008547008548, 0.02849002849002849, 0.02849002849002849, 1.0]","[0.0, 0.002840909090909091, 0.02556818181818182, 0.03125, 0.05113636363636364, 0.056818181818181816, 0.06534090909090909, 0.07102272727272728, 0.08522727272727272, 0.09090909090909091, 0.13352272727272727, 0.13920454545454544, 0.14772727272727273, 0.1534090909090909, 0.1846590909090909, 0.1903409090909091, 0.23579545454545456, 0.24147727272727273, 0.3096590909090909, 0.3153409090909091, 0.32954545454545453, 0.3352272727272727, 0.36363636363636365, 0.3693181818181818, 0.42045454545454547, 0.42613636363636365, 0.4715909090909091, 0.4772727272727273, 0.9460227272727273, 0.9460227272727273, 0.9488636363636364, 0.9488636363636364, 0.9829545454545454, 0.9829545454545454, 0.9943181818181818, 0.9943181818181818, 1.0, 1.0]","[1.99999833, 0.99999833, 0.99999344, 0.9999926, 0.99998975, 0.9999894, 0.9999869, 0.99998677, 0.99998534, 0.9999845, 0.9999759, 0.9999758, 0.99997413, 0.99997306, 0.9999651, 0.9999647, 0.999951, 0.9999503, 0.9999176, 0.9999156, 0.9999033, 0.9999018, 0.99988675, 0.9998858, 0.99986136, 0.99986076, 0.999819, 0.99981827, 0.9568646, 0.95554227, 0.95544744, 0.94837666, 0.76537114, 0.74397594, 0.51293033, 0.09776382, 0.06822741, 3.1085424e-06]"
6,0.9995224682724684,0.05650252525252525,0.9995331329126841,0.9914529914529915,0.9914651493598862,0.9943019943019943,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002849002849002849, 0.002849002849002849, 0.005698005698005698, 0.005698005698005698, 0.008547008547008548, 0.008547008547008548, 0.039886039886039885, 0.039886039886039885, 0.05698005698005698, 0.05698005698005698, 1.0]","[0.0, 0.002840909090909091, 0.06534090909090909, 0.07102272727272728, 0.07670454545454546, 0.08238636363636363, 0.125, 0.13068181818181818, 0.20170454545454544, 0.20738636363636365, 0.3352272727272727, 0.3409090909090909, 0.9602272727272727, 0.9602272727272727, 0.9630681818181818, 0.9630681818181818, 0.9886363636363636, 0.9886363636363636, 0.9943181818181818, 0.9943181818181818, 0.9971590909090909, 0.9971590909090909, 1.0, 1.0]","[1.9999850000000001, 0.999985, 0.9999528, 0.9999521, 0.99995065, 0.9999485, 0.99993086, 0.9999299, 0.99988925, 0.9998845, 0.9997521, 0.9997478, 0.87875926, 0.86381185, 0.86157954, 0.85868114, 0.6307692, 0.40124485, 0.3693867, 0.11199861, 0.097748406, 0.06430402, 0.06165954, 1.4283338e-05]"
7,1.0,0.0,1.0,1.0,1.0,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.002849002849002849, 0.02564102564102564, 0.03133903133903134, 0.09116809116809117, 0.10256410256410256, 0.19658119658119658, 0.2022792022792023, 0.42165242165242167, 0.42735042735042733, 0.45584045584045585, 0.46153846153846156, 0.49572649572649574, 0.5014245014245015, 0.5754985754985755, 0.5811965811965812, 1.0, 1.0]","[1.9999898699999998, 0.99998987, 0.9999776, 0.99997747, 0.9999647, 0.9999645, 0.9999366, 0.999936, 0.9997389, 0.9997371, 0.9996711, 0.99967, 0.9995869, 0.9995815, 0.9992275, 0.9992267, 0.56313425, 1.28244665e-05]"
8,1.0,0.0,1.0,0.9985734664764622,0.9985775248933144,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.002849002849002849, 0.1225071225071225, 0.1282051282051282, 0.16524216524216523, 0.17094017094017094, 1.0, 1.0]","[1.9999951, 0.9999951, 0.99995553, 0.9999553, 0.999941, 0.99994075, 0.42996064, 6.0483762e-06]"
9,0.9999838124838124,0.005665630665630666,0.9999838354123056,0.9971428571428572,0.9971550497866287,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005681818181818182, 0.005681818181818182, 1.0]","[0.0, 0.002849002849002849, 0.05413105413105413, 0.05982905982905983, 0.09401709401709402, 0.09971509971509972, 0.9971509971509972, 0.9971509971509972, 1.0, 1.0]","[1.99998593, 0.99998593, 0.9999323, 0.9999273, 0.9998876, 0.99988306, 0.47910613, 0.27342197, 0.21921273, 3.9187715e-05]"
