#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
QKI	ENSG00000000460	C1orf112	protein_coding	1	2	2	QKI:CH607	chr1	169797915	169797927	169797915	169797927	+	2	-0.702	NA	NA	NA	27	HEK293
QKI	ENSG00000001629	ANKIB1	protein_coding	1	1	1	QKI:CH7980	chr7	92253341	92253341	92253341	92253341	+	1	0.694	NA	NA	NA	30	HEK293
QKI	ENSG00000001631	KRIT1	protein_coding	1	1	1	QKI:CH7979	chr7	92245621	92245660	92245621	92245660	-	1	0.664	NA	NA	NA	28	HME
QKI	ENSG00000002016	RAD52	protein_coding	1	1	1	QKI:CH1853	chr12	925893	925932	925893	925932	-	1	0.679	NA	NA	NA	17	HEK293
QKI	ENSG00000002587	HS3ST1	protein_coding	1	1	1	QKI:CH6366	chr4	11417090	11417090	11417090	11417090	-	1	NA	NA	NA	NA	13	HME
QKI	ENSG00000003096	KLHL13	protein_coding	1	1	1	QKI:CH9257	chrX	117989005	117989005	117989005	117989005	-	1	NA	NA	NA	NA	22	HME
QKI	ENSG00000003402	CFLAR	protein_coding	1	2	2	QKI:CH5080	chr2	201170954	201170954	201170954	201170954	+	2	NA	NA	NA	NA	27	HEK293
QKI	ENSG00000003436	TFPI	protein_coding	1	2	2	QKI:CH5027	chr2	187546843	187546843	187546843	187546843	-	2	-0.514	NA	NA	NA	26	HEK293
QKI	ENSG00000003756	RBM5	protein_coding	1	1	1	QKI:CH5889	chr3	50111282	50111282	50111282	50111282	+	1	0.524	-0.165	NA	NA	18	HME
QKI	ENSG00000004455	AK2	protein_coding	2	1	3	QKI:CH165	chr1	33010148	33010187	33010148	33010187	-	1	-0.701	-0.122	NA	NA	16	HME
QKI	ENSG00000004455	AK2	protein_coding	2	1	3	QKI:CH166	chr1	33010708	33010749	33010708	33010749	-	1	-0.701	-0.122	NA	NA	16	HME
QKI	ENSG00000004487	KDM1A	protein_coding	2	1	2	QKI:CH96	chr1	23062417	23062417	23062417	23062417	+	1	NA	NA	NA	NA	18	HME
QKI	ENSG00000004487	KDM1A	protein_coding	2	1	2	QKI:CH97	chr1	23066092	23066131	23066092	23066131	+	1	NA	NA	NA	NA	18	HME
QKI	ENSG00000004534	RBM6	protein_coding	1	2	2	QKI:CH5888	chr3	50016057	50016098	50016057	50016098	+	2	0.713	NA	NA	NA	12	HME
QKI	ENSG00000004766	VPS50	protein_coding	1	2	2	QKI:CH7994	chr7	93354031	93354031	93354031	93354031	+	2	NA	-0.333	NA	NA	26	HEK293
QKI	ENSG00000004866	ST7	protein_coding	5	2	8	QKI:CH8104	chr7	116979603	116979874	116979603	116979874	+	2	-0.321	NA	NA	NA	15	HME
QKI	ENSG00000004866	ST7	protein_coding	5	2	8	QKI:CH8105	chr7	116983327	116983411	116983327	116983411	+	1	-0.321	NA	NA	NA	15	HME
QKI	ENSG00000004866	ST7	protein_coding	5	2	8	QKI:CH8106	chr7	116995007	116995046	116995007	116995046	+	1	-0.321	NA	NA	NA	15	HME
QKI	ENSG00000004866	ST7	protein_coding	5	2	8	QKI:CH8107	chr7	117013246	117013285	117013246	117013285	+	1	-0.321	NA	NA	NA	15	HME
QKI	ENSG00000004866	ST7	protein_coding	5	2	8	QKI:CH8108	chr7	117038771	117038771	117038771	117038771	+	1	-0.321	NA	NA	NA	15	HME
QKI	ENSG00000004897	CDC27	protein_coding	2	1	2	QKI:CH3868	chr17	47176675	47176714	47176675	47176714	-	1	-0.116	NA	NA	NA	30	HME
QKI	ENSG00000004897	CDC27	protein_coding	2	1	2	QKI:CH3869	chr17	47177019	47177019	47177019	47177019	-	1	-0.116	NA	NA	NA	30	HME
QKI	ENSG00000005007	UPF1	protein_coding	1	1	1	QKI:CH4352	chr19	18838923	18838962	18838923	18838962	+	1	0.110	NA	NA	NA	21	HME
QKI	ENSG00000005020	SKAP2	protein_coding	2	1	2	QKI:CH7755	chr7	26688359	26688398	26688359	26688398	-	1	NA	NA	NA	NA	27	HME
QKI	ENSG00000005020	SKAP2	protein_coding	2	1	2	QKI:CH7756	chr7	26796804	26796843	26796804	26796843	-	1	NA	NA	NA	NA	27	HME
QKI	ENSG00000005187	ACSM3	protein_coding	1	1	1	QKI:CH3417	chr16	20784551	20784551	20784551	20784551	+	1	-0.501	NA	NA	NA	22	HME
QKI	ENSG00000005206	SPPL2B	protein_coding	2	2	3	QKI:CH4268	chr19	2335673	2335673	2335673	2335673	+	1	0.332	NA	NA	NA	27	HME
QKI	ENSG00000005206	SPPL2B	protein_coding	2	2	3	QKI:CH4269	chr19	2345423	2345465	2345423	2345465	+	2	0.332	NA	NA	NA	27	HME
QKI	ENSG00000005483	KMT2E	protein_coding	2	1	2	QKI:CH8048	chr7	105065357	105065396	105065357	105065396	+	1	0.304	0.174	NA	NA	31	HME
QKI	ENSG00000005483	KMT2E	protein_coding	2	1	2	QKI:CH8050	chr7	105112163	105112163	105112163	105112163	+	1	0.304	0.174	NA	NA	31	HME
QKI	ENSG00000005700	IBTK	protein_coding	4	3	5	QKI:CH7423	chr6	82170451	82170451	82170451	82170451	-	1	0.196	NA	NA	NA	31	HME
QKI	ENSG00000005700	IBTK	protein_coding	4	3	5	QKI:CH7424	chr6	82208249	82208333	82208249	82208333	-	1	0.196	NA	NA	NA	31	HME
QKI	ENSG00000005700	IBTK	protein_coding	4	3	5	QKI:CH7425	chr6	82209143	82209143	82209143	82209143	-	1	0.196	NA	NA	NA	31	HEK293
QKI	ENSG00000005700	IBTK	protein_coding	4	3	5	QKI:CH7426	chr6	82237623	82237662	82237623	82237662	-	1	0.196	NA	NA	NA	31	HME
QKI	ENSG00000005801	ZNF195	protein_coding	1	1	1	QKI:CH1365	chr11	3353445	3353484	3353445	3353484	-	1	0.538	NA	NA	NA	18	HME
QKI	ENSG00000005810	MYCBP2	protein_coding	3	3	5	QKI:CH2683	chr13	77103500	77103504	77103500	77103504	-	2	0.693	NA	NA	NA	31	HEK293
QKI	ENSG00000005810	MYCBP2	protein_coding	3	3	5	QKI:CH2684	chr13	77132179	77132179	77132179	77132179	-	1	0.693	NA	NA	NA	31	HEK293
QKI	ENSG00000005810	MYCBP2	protein_coding	3	3	5	QKI:CH2685	chr13	77230934	77230973	77230934	77230973	-	1	0.693	NA	NA	NA	31	HME
