#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
SLTM	ENSG00000001630	CYP51A1	protein_coding	1	1	1	SLTM:CH15827	chr7	92134273	92134312	92134273	92134312	-	1	0.464	NA	NA	NA	26	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15295	chr7	1838633	1838672	1838633	1838672	-	1	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15296	chr7	1839849	1840051	1839849	1840051	-	3	NA	NA	NA	NA	18	HepG2,K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15298	chr7	1840985	1841194	1840985	1841194	-	2	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15299	chr7	1841601	1841640	1841601	1841640	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15300	chr7	1841934	1841975	1841934	1841975	-	2	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15303	chr7	1844159	1844200	1844159	1844200	-	2	NA	NA	NA	NA	18	HepG2,K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15305	chr7	1846163	1846202	1846163	1846202	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15308	chr7	1847598	1847640	1847598	1847640	-	2	NA	NA	NA	NA	18	HepG2,K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15310	chr7	1848337	1848337	1848337	1848337	-	1	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15313	chr7	1850135	1850174	1850135	1850174	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15314	chr7	1850793	1850832	1850793	1850832	-	1	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15315	chr7	1851111	1851150	1851111	1851150	-	1	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15316	chr7	1852191	1852230	1852191	1852230	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15318	chr7	1852738	1852777	1852738	1852777	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15319	chr7	1853529	1853647	1853529	1853647	-	3	NA	NA	NA	NA	18	HepG2,K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15321	chr7	1854296	1854335	1854296	1854335	-	1	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15322	chr7	1855145	1855184	1855145	1855184	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15323	chr7	1855661	1855700	1855661	1855700	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15324	chr7	1861066	1861105	1861066	1861105	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15325	chr7	1863586	1863686	1863586	1863686	-	2	NA	NA	NA	NA	18	HepG2,K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15326	chr7	1864292	1864331	1864292	1864331	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15327	chr7	1864711	1864750	1864711	1864750	-	1	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15328	chr7	1867919	1868103	1867919	1868103	-	2	NA	NA	NA	NA	18	HepG2,K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15329	chr7	1868412	1868451	1868412	1868451	-	1	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15330	chr7	1869440	1869479	1869440	1869479	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15331	chr7	1871785	1871824	1871785	1871824	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15332	chr7	1873196	1873235	1873196	1873235	-	1	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15333	chr7	1874269	1874308	1874269	1874308	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15334	chr7	1881901	1881990	1881901	1881990	-	2	NA	NA	NA	NA	18	HepG2,K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15335	chr7	1884804	1884843	1884804	1884843	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15336	chr7	1885949	1885992	1885949	1885992	-	2	NA	NA	NA	NA	18	HepG2,K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15337	chr7	1889203	1889242	1889203	1889242	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15338	chr7	1892708	1892874	1892708	1892874	-	2	NA	NA	NA	NA	18	HepG2,K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15339	chr7	1893374	1893413	1893374	1893413	-	1	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15340	chr7	1895392	1895435	1895392	1895435	-	2	NA	NA	NA	NA	18	HepG2,K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15341	chr7	1895752	1895791	1895752	1895791	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15342	chr7	1898022	1898061	1898022	1898061	-	1	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15343	chr7	1923399	1923465	1923399	1923465	-	2	NA	NA	NA	NA	18	HepG2,K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15344	chr7	1931588	1932058	1931588	1932058	-	3	NA	NA	NA	NA	18	HepG2,K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15345	chr7	1933296	1933335	1933296	1933335	-	1	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15346	chr7	1934091	1934140	1934091	1934140	-	2	NA	NA	NA	NA	18	HepG2,K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15347	chr7	1936214	1936253	1936214	1936253	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15348	chr7	1939257	1939296	1939257	1939296	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15349	chr7	1940873	1940912	1940873	1940912	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15350	chr7	1944487	1944526	1944487	1944526	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15351	chr7	1951046	1951085	1951046	1951085	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15352	chr7	1951483	1951522	1951483	1951522	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15353	chr7	1963920	1963959	1963920	1963959	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15354	chr7	1964931	1964987	1964931	1964987	-	2	NA	NA	NA	NA	18	HepG2,K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15355	chr7	1967878	1967917	1967878	1967917	-	1	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15356	chr7	1968511	1968550	1968511	1968550	-	1	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15357	chr7	1969895	1969934	1969895	1969934	-	1	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15358	chr7	1972051	1972158	1972051	1972158	-	2	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15359	chr7	1978568	1978607	1978568	1978607	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15360	chr7	1979330	1979369	1979330	1979369	-	1	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15361	chr7	1988858	1988897	1988858	1988897	-	1	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15362	chr7	1989408	1989447	1989408	1989447	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15363	chr7	1996200	1996244	1996200	1996244	-	2	NA	NA	NA	NA	18	HepG2,K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15365	chr7	2000877	2000945	2000877	2000945	-	2	NA	NA	NA	NA	18	HepG2,K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15366	chr7	2002546	2002585	2002546	2002585	-	1	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15367	chr7	2006839	2006878	2006839	2006878	-	1	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15368	chr7	2008628	2008667	2008628	2008667	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15369	chr7	2010183	2010222	2010183	2010222	-	1	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15370	chr7	2012925	2012964	2012925	2012964	-	1	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15371	chr7	2013804	2013843	2013804	2013843	-	1	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15372	chr7	2032371	2032410	2032371	2032410	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15373	chr7	2036908	2037027	2036908	2037027	-	3	NA	NA	NA	NA	18	HepG2,K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15374	chr7	2037730	2037781	2037730	2037781	-	2	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15375	chr7	2038719	2038758	2038719	2038758	-	1	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15376	chr7	2039016	2039055	2039016	2039055	-	1	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15378	chr7	2040267	2040317	2040267	2040317	-	3	NA	NA	NA	NA	18	HepG2,K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15379	chr7	2040995	2041034	2040995	2041034	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15380	chr7	2042495	2042534	2042495	2042534	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15381	chr7	2042741	2042780	2042741	2042780	-	1	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15383	chr7	2043703	2043745	2043703	2043745	-	2	NA	NA	NA	NA	18	HepG2,K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15384	chr7	2044802	2044841	2044802	2044841	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15385	chr7	2045141	2045180	2045141	2045180	-	1	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15387	chr7	2046137	2046347	2046137	2046347	-	2	NA	NA	NA	NA	18	HepG2,K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15388	chr7	2049302	2049351	2049302	2049351	-	2	NA	NA	NA	NA	18	HepG2,K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15389	chr7	2049856	2049895	2049856	2049895	-	1	NA	NA	NA	NA	18	HepG2
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15390	chr7	2051248	2051287	2051248	2051287	-	1	NA	NA	NA	NA	18	K562
SLTM	ENSG00000002822	MAD1L1	protein_coding	138	4	194	SLTM:CH15391	chr7	2051585	2051628	2051585	2051628	-	2	NA	NA	NA	NA	18	HepG2,K562
