#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
HNRNPL	ENSG00000000419	DPM1	protein_coding	3	4	12	HNRNPL:CH24389	chr20	50940057	50940111	50940057	50940111	-	3	-0.374	-0.204	NA	NA	30	HepG2,K562
HNRNPL	ENSG00000000419	DPM1	protein_coding	3	4	12	HNRNPL:CH24390	chr20	50945251	50945341	50945251	50945341	-	4	-0.374	-0.204	NA	NA	30	HepG2,K562
HNRNPL	ENSG00000000419	DPM1	protein_coding	3	4	12	HNRNPL:CH24391	chr20	50949818	50949857	50949818	50949857	-	1	-0.374	-0.204	NA	NA	30	HepG2
HNRNPL	ENSG00000000457	SCYL3	protein_coding	1	1	1	HNRNPL:CH2480	chr1	169877165	169877165	169877165	169877165	-	1	NA	NA	NA	NA	24	JSL1
HNRNPL	ENSG00000000460	C1orf112	protein_coding	3	3	3	HNRNPL:CH2474	chr1	169818108	169818108	169818108	169818108	+	1	NA	-0.237	NA	NA	30	CD4
HNRNPL	ENSG00000000460	C1orf112	protein_coding	3	3	3	HNRNPL:CH2475	chr1	169847022	169847061	169847022	169847061	+	1	NA	-0.237	NA	NA	30	K562
HNRNPL	ENSG00000000460	C1orf112	protein_coding	3	3	3	HNRNPL:CH2476	chr1	169852968	169853007	169852968	169853007	+	1	NA	-0.237	NA	NA	30	JSL1
HNRNPL	ENSG00000000971	CFH	protein_coding	3	2	3	HNRNPL:CH2798	chr1	196674801	196674840	196674801	196674840	+	1	NA	NA	NA	NA	17	K562
HNRNPL	ENSG00000000971	CFH	protein_coding	3	2	3	HNRNPL:CH2799	chr1	196677264	196677303	196677264	196677303	+	1	NA	NA	NA	NA	17	K562
HNRNPL	ENSG00000000971	CFH	protein_coding	3	2	3	HNRNPL:CH2800	chr1	196677841	196677880	196677841	196677880	+	1	NA	NA	NA	NA	17	K562
HNRNPL	ENSG00000001036	FUCA2	protein_coding	1	1	1	HNRNPL:CH36587	chr6	143511052	143511091	143511052	143511091	-	1	NA	NA	NA	NA	18	K562
HNRNPL	ENSG00000001084	GCLC	protein_coding	1	1	1	HNRNPL:CH35302	chr6	53510042	53510081	53510042	53510081	-	1	-0.295	NA	NA	NA	20	CD4
HNRNPL	ENSG00000001461	NIPAL3	protein_coding	1	1	1	HNRNPL:CH415	chr1	24461247	24461247	24461247	24461247	+	1	NA	NA	NA	NA	15	CD4
HNRNPL	ENSG00000001497	LAS1L	protein_coding	3	7	8	HNRNPL:CH44501	chrX	65507672	65507711	65507672	65507711	-	1	NA	NA	NA	NA	27	JSL1
HNRNPL	ENSG00000001497	LAS1L	protein_coding	3	7	8	HNRNPL:CH44502	chrX	65521841	65521891	65521841	65521891	-	5	NA	NA	NA	NA	27	CD4,HepG2,JSL1,K562
HNRNPL	ENSG00000001497	LAS1L	protein_coding	3	7	8	HNRNPL:CH44503	chrX	65522772	65522841	65522772	65522841	-	2	NA	NA	NA	NA	27	HepG2,K562
HNRNPL	ENSG00000001629	ANKIB1	protein_coding	5	9	22	HNRNPL:CH38387	chr7	92251624	92251770	92251624	92251770	+	5	NA	NA	NA	NA	20	CD4,HepG2,K562
HNRNPL	ENSG00000001629	ANKIB1	protein_coding	5	9	22	HNRNPL:CH38388	chr7	92253049	92253376	92253049	92253376	+	9	NA	NA	NA	NA	20	CD4,HepG2,JSL1,K562
HNRNPL	ENSG00000001629	ANKIB1	protein_coding	5	9	22	HNRNPL:CH38389	chr7	92253610	92253755	92253610	92253755	+	2	NA	NA	NA	NA	20	HepG2,K562
HNRNPL	ENSG00000001629	ANKIB1	protein_coding	5	9	22	HNRNPL:CH38390	chr7	92280202	92280264	92280202	92280264	+	3	NA	NA	NA	NA	20	HepG2,K562
HNRNPL	ENSG00000001629	ANKIB1	protein_coding	5	9	22	HNRNPL:CH38391	chr7	92334793	92334832	92334793	92334832	+	1	NA	NA	NA	NA	20	CD4
HNRNPL	ENSG00000001630	CYP51A1	protein_coding	4	4	9	HNRNPL:CH38376	chr7	92121839	92121878	92121839	92121878	-	1	-1.192	-1.173	NA	NA	18	K562
HNRNPL	ENSG00000001630	CYP51A1	protein_coding	4	4	9	HNRNPL:CH38377	chr7	92128408	92128481	92128408	92128481	-	4	-1.192	-1.173	NA	NA	18	HepG2,K562
HNRNPL	ENSG00000001630	CYP51A1	protein_coding	4	4	9	HNRNPL:CH38378	chr7	92130546	92130585	92130546	92130585	-	1	-1.192	-1.173	NA	NA	18	K562
HNRNPL	ENSG00000001630	CYP51A1	protein_coding	4	4	9	HNRNPL:CH38379	chr7	92131343	92131386	92131343	92131386	-	2	-1.192	-1.173	NA	NA	18	K562
HNRNPL	ENSG00000001631	KRIT1	protein_coding	7	5	11	HNRNPL:CH38380	chr7	92202229	92202268	92202229	92202268	-	1	-0.423	-0.296	NA	NA	26	HeLa
HNRNPL	ENSG00000001631	KRIT1	protein_coding	7	5	11	HNRNPL:CH38381	chr7	92203227	92203266	92203227	92203266	-	1	-0.423	-0.296	NA	NA	26	HepG2
HNRNPL	ENSG00000001631	KRIT1	protein_coding	7	5	11	HNRNPL:CH38382	chr7	92212049	92212092	92212049	92212092	-	2	-0.423	-0.296	NA	NA	26	HepG2,K562
HNRNPL	ENSG00000001631	KRIT1	protein_coding	7	5	11	HNRNPL:CH38383	chr7	92212373	92212417	92212373	92212417	-	2	-0.423	-0.296	NA	NA	26	CD4,HepG2
HNRNPL	ENSG00000001631	KRIT1	protein_coding	7	5	11	HNRNPL:CH38384	chr7	92212984	92213065	92212984	92213065	-	3	-0.423	-0.296	NA	NA	26	HepG2,K562
HNRNPL	ENSG00000001631	KRIT1	protein_coding	7	5	11	HNRNPL:CH38385	chr7	92239228	92239267	92239228	92239267	-	1	-0.423	-0.296	NA	NA	26	CD4
HNRNPL	ENSG00000001631	KRIT1	protein_coding	7	5	11	HNRNPL:CH38386	chr7	92245193	92245232	92245193	92245232	-	1	-0.423	-0.296	NA	NA	26	CD4
HNRNPL	ENSG00000002016	RAD52	protein_coding	1	2	4	HNRNPL:CH7566	chr12	938909	939096	938909	939096	-	2	NA	NA	NA	NA	25	HepG2
HNRNPL	ENSG00000002549	LAP3	protein_coding	1	4	4	HNRNPL:CH29563	chr4	17605098	17605168	17605098	17605168	+	4	0.275	NA	NA	NA	17	CD4,HepG2,K562
HNRNPL	ENSG00000002586	CD99	protein_coding	14	9	38	HNRNPL:CH43924	chrX	2698115	2698154	2698115	2698154	+	1	-0.144	NA	NA	NA	15	JSL1
HNRNPL	ENSG00000002586	CD99	protein_coding	14	9	38	HNRNPL:CH43925	chrX	2701017	2701056	2701017	2701056	+	1	-0.144	NA	NA	NA	15	HepG2
HNRNPL	ENSG00000002586	CD99	protein_coding	14	9	38	HNRNPL:CH43926	chrX	2708070	2708160	2708070	2708160	+	3	-0.144	NA	NA	NA	15	HepG2,JSL1
HNRNPL	ENSG00000002586	CD99	protein_coding	14	9	38	HNRNPL:CH43927	chrX	2709183	2709222	2709183	2709222	+	1	-0.144	NA	NA	NA	15	HepG2
HNRNPL	ENSG00000002586	CD99	protein_coding	14	9	38	HNRNPL:CH43928	chrX	2709699	2709738	2709699	2709738	+	1	-0.144	NA	NA	NA	15	HepG2
HNRNPL	ENSG00000002586	CD99	protein_coding	14	9	38	HNRNPL:CH43929	chrX	2712850	2712984	2712850	2712984	+	6	-0.144	NA	NA	NA	15	HepG2,JSL1,K562
HNRNPL	ENSG00000002586	CD99	protein_coding	14	9	38	HNRNPL:CH43930	chrX	2713464	2713560	2713464	2713560	+	6	-0.144	NA	NA	NA	15	CD4,JSL1
HNRNPL	ENSG00000002586	CD99	protein_coding	14	9	38	HNRNPL:CH45693	chrY	2698115	2698154	2698115	2698154	+	1	-0.144	NA	NA	NA	15	JSL1
HNRNPL	ENSG00000002586	CD99	protein_coding	14	9	38	HNRNPL:CH45694	chrY	2701017	2701056	2701017	2701056	+	1	-0.144	NA	NA	NA	15	HepG2
HNRNPL	ENSG00000002586	CD99	protein_coding	14	9	38	HNRNPL:CH45695	chrY	2708070	2708160	2708070	2708160	+	3	-0.144	NA	NA	NA	15	HepG2,JSL1
HNRNPL	ENSG00000002586	CD99	protein_coding	14	9	38	HNRNPL:CH45696	chrY	2709183	2709222	2709183	2709222	+	1	-0.144	NA	NA	NA	15	HepG2
HNRNPL	ENSG00000002586	CD99	protein_coding	14	9	38	HNRNPL:CH45697	chrY	2709699	2709738	2709699	2709738	+	1	-0.144	NA	NA	NA	15	HepG2
HNRNPL	ENSG00000002586	CD99	protein_coding	14	9	38	HNRNPL:CH45698	chrY	2712850	2712984	2712850	2712984	+	6	-0.144	NA	NA	NA	15	HepG2,JSL1,K562
HNRNPL	ENSG00000002586	CD99	protein_coding	14	9	38	HNRNPL:CH45699	chrY	2713464	2713560	2713464	2713560	+	6	-0.144	NA	NA	NA	15	CD4,JSL1
HNRNPL	ENSG00000002822	MAD1L1	protein_coding	4	7	19	HNRNPL:CH37219	chr7	1885939	1886016	1885939	1886016	-	2	NA	NA	NA	NA	14	HepG2,K562
