#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
CNBP	ENSG00000000003	TSPAN6	protein_coding	1	1	1	CNBP:CH46539	chrX	100629173	100629212	100629173	100629212	-	1	NA	NA	NA	NA	19	HEK293
CNBP	ENSG00000000005	TNMD	protein_coding	1	1	1	CNBP:CH46538	chrX	100585686	100585725	100585686	100585725	+	1	NA	NA	NA	NA	10	HEK293
CNBP	ENSG00000000419	DPM1	protein_coding	1	1	1	CNBP:CH24570	chr20	50942060	50942099	50942060	50942099	-	1	NA	NA	NA	NA	28	HEK293
CNBP	ENSG00000000457	SCYL3	protein_coding	1	1	1	CNBP:CH2534	chr1	169885403	169885442	169885403	169885442	-	1	NA	NA	NA	NA	16	HEK293
CNBP	ENSG00000000460	C1orf112	protein_coding	1	1	1	CNBP:CH2531	chr1	169680761	169680800	169680761	169680800	+	1	NA	NA	NA	NA	25	HEK293
CNBP	ENSG00000001036	FUCA2	protein_coding	2	1	2	CNBP:CH37920	chr6	143502487	143502526	143502487	143502526	-	1	NA	NA	NA	NA	17	HEK293
CNBP	ENSG00000001036	FUCA2	protein_coding	2	1	2	CNBP:CH37921	chr6	143507354	143507393	143507354	143507393	-	1	NA	NA	NA	NA	17	HEK293
CNBP	ENSG00000001084	GCLC	protein_coding	2	1	2	CNBP:CH36386	chr6	53588833	53588872	53588833	53588872	-	1	NA	NA	NA	NA	24	HEK293
CNBP	ENSG00000001084	GCLC	protein_coding	2	1	2	CNBP:CH36387	chr6	53602349	53602388	53602349	53602388	-	1	NA	NA	NA	NA	24	HEK293
CNBP	ENSG00000001461	NIPAL3	protein_coding	1	1	1	CNBP:CH370	chr1	24471727	24471766	24471727	24471766	+	1	NA	NA	NA	NA	17	HEK293
CNBP	ENSG00000001497	LAS1L	protein_coding	2	1	2	CNBP:CH46080	chrX	65516297	65516336	65516297	65516336	-	1	NA	NA	NA	NA	15	HEK293
CNBP	ENSG00000001497	LAS1L	protein_coding	2	1	2	CNBP:CH46081	chrX	65534555	65534555	65534555	65534555	-	1	NA	NA	NA	NA	15	HEK293
CNBP	ENSG00000001561	ENPP4	protein_coding	2	1	2	CNBP:CH36252	chr6	46138847	46138886	46138847	46138886	+	1	NA	NA	NA	NA	17	HEK293
CNBP	ENSG00000001561	ENPP4	protein_coding	2	1	2	CNBP:CH36253	chr6	46144413	46144452	46144413	46144452	+	1	NA	NA	NA	NA	17	HEK293
CNBP	ENSG00000001626	CFTR	protein_coding	2	1	2	CNBP:CH40211	chr7	117414101	117414140	117414101	117414140	+	1	NA	NA	NA	NA	14	HEK293
CNBP	ENSG00000001626	CFTR	protein_coding	2	1	2	CNBP:CH40213	chr7	117486924	117486963	117486924	117486963	+	1	NA	NA	NA	NA	14	HEK293
CNBP	ENSG00000001629	ANKIB1	protein_coding	3	1	3	CNBP:CH39756	chr7	92317083	92317122	92317083	92317122	+	1	NA	NA	NA	NA	20	HEK293
CNBP	ENSG00000001629	ANKIB1	protein_coding	3	1	3	CNBP:CH39758	chr7	92371132	92371171	92371132	92371171	+	1	NA	NA	NA	NA	20	HEK293
CNBP	ENSG00000001629	ANKIB1	protein_coding	3	1	3	CNBP:CH39759	chr7	92375377	92375416	92375377	92375416	+	1	NA	NA	NA	NA	20	HEK293
CNBP	ENSG00000001630	CYP51A1	protein_coding	2	1	2	CNBP:CH39751	chr7	92113602	92113641	92113602	92113641	-	1	NA	NA	NA	NA	14	HEK293
CNBP	ENSG00000001630	CYP51A1	protein_coding	2	1	2	CNBP:CH39752	chr7	92134269	92134308	92134269	92134308	-	1	NA	NA	NA	NA	14	HEK293
CNBP	ENSG00000002016	RAD52	protein_coding	2	1	2	CNBP:CH8330	chr12	976978	977017	976978	977017	-	1	NA	NA	NA	NA	10	HEK293
CNBP	ENSG00000002016	RAD52	protein_coding	2	1	2	CNBP:CH8331	chr12	983221	983260	983221	983260	-	1	NA	NA	NA	NA	10	HEK293
CNBP	ENSG00000002746	HECW1	protein_coding	2	1	2	CNBP:CH39096	chr7	43179284	43179323	43179284	43179323	+	1	NA	NA	NA	NA	15	HEK293
CNBP	ENSG00000002746	HECW1	protein_coding	2	1	2	CNBP:CH39098	chr7	43372866	43372905	43372866	43372905	+	1	NA	NA	NA	NA	15	HEK293
CNBP	ENSG00000003056	M6PR	protein_coding	1	1	1	CNBP:CH8479	chr12	8946277	8946388	8946277	8946388	-	1	NA	NA	NA	NA	20	HEK293
CNBP	ENSG00000003096	KLHL13	protein_coding	2	1	2	CNBP:CH46824	chrX	117963321	117963360	117963321	117963360	-	1	NA	NA	NA	NA	14	HEK293
CNBP	ENSG00000003096	KLHL13	protein_coding	2	1	2	CNBP:CH46825	chrX	118054235	118054274	118054235	118054274	-	1	NA	NA	NA	NA	14	HEK293
CNBP	ENSG00000003147	ICA1	protein_coding	2	1	2	CNBP:CH38471	chr7	8137596	8137635	8137596	8137635	-	1	NA	NA	NA	NA	16	HEK293
CNBP	ENSG00000003147	ICA1	protein_coding	2	1	2	CNBP:CH38472	chr7	8162602	8162641	8162602	8162641	-	1	NA	NA	NA	NA	16	HEK293
CNBP	ENSG00000003393	ALS2	protein_coding	4	1	4	CNBP:CH23124	chr2	201719105	201719144	201719105	201719144	-	1	NA	NA	NA	NA	17	HEK293
CNBP	ENSG00000003393	ALS2	protein_coding	4	1	4	CNBP:CH23125	chr2	201743381	201743420	201743381	201743420	-	1	NA	NA	NA	NA	17	HEK293
CNBP	ENSG00000003393	ALS2	protein_coding	4	1	4	CNBP:CH23127	chr2	201757538	201757577	201757538	201757577	-	1	NA	NA	NA	NA	17	HEK293
CNBP	ENSG00000003393	ALS2	protein_coding	4	1	4	CNBP:CH23128	chr2	201777777	201777816	201777777	201777816	-	1	NA	NA	NA	NA	17	HEK293
CNBP	ENSG00000003400	CASP10	protein_coding	1	1	1	CNBP:CH23114	chr2	201204524	201204563	201204524	201204563	+	1	NA	NA	NA	NA	14	HEK293
CNBP	ENSG00000003402	CFLAR	protein_coding	1	1	1	CNBP:CH23112	chr2	201169836	201169875	201169836	201169875	+	1	NA	NA	NA	NA	19	HEK293
CNBP	ENSG00000003509	NDUFAF7	protein_coding	1	1	1	CNBP:CH20394	chr2	37231693	37231732	37231693	37231732	+	1	NA	NA	NA	NA	18	HEK293
CNBP	ENSG00000003989	SLC7A2	protein_coding	1	1	1	CNBP:CH41063	chr8	17565180	17565219	17565180	17565219	+	1	NA	NA	NA	NA	13	HEK293
CNBP	ENSG00000004142	POLDIP2	protein_coding	1	1	1	CNBP:CH16736	chr17	28350499	28350538	28350499	28350538	-	1	NA	NA	NA	NA	17	HEK293
CNBP	ENSG00000004399	PLXND1	protein_coding	1	1	1	CNBP:CH27974	chr3	129574124	129574163	129574124	129574163	-	1	NA	NA	NA	NA	15	HEK293
CNBP	ENSG00000004455	AK2	protein_coding	2	1	3	CNBP:CH501	chr1	33010357	33010396	33010357	33010396	-	1	NA	NA	NA	NA	27	HEK293
CNBP	ENSG00000004455	AK2	protein_coding	2	1	3	CNBP:CH502	chr1	33010694	33010711	33010694	33010711	-	1	NA	NA	NA	NA	27	HEK293
CNBP	ENSG00000004478	FKBP4	protein_coding	3	1	4	CNBP:CH8372	chr12	2800076	2800115	2800076	2800115	+	1	NA	NA	NA	NA	22	HEK293
CNBP	ENSG00000004478	FKBP4	protein_coding	3	1	4	CNBP:CH8373	chr12	2801278	2801323	2801278	2801323	+	1	NA	NA	NA	NA	22	HEK293
CNBP	ENSG00000004478	FKBP4	protein_coding	3	1	4	CNBP:CH8374	chr12	2803388	2803427	2803388	2803427	+	1	NA	NA	NA	NA	22	HEK293
