#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
EIF3A	ENSG00000000003	TSPAN6	protein_coding	4	1	5	EIF3A:CH61128	chrX	100629307	100629307	100629307	100629307	-	1	NA	NA	NA	NA	17	HEK293T
EIF3A	ENSG00000000003	TSPAN6	protein_coding	4	1	5	EIF3A:CH61129	chrX	100633492	100633492	100633492	100633492	-	1	NA	NA	NA	NA	17	HEK293T
EIF3A	ENSG00000000003	TSPAN6	protein_coding	4	1	5	EIF3A:CH61130	chrX	100635249	100635249	100635249	100635249	-	1	NA	NA	NA	NA	17	HEK293T
EIF3A	ENSG00000000003	TSPAN6	protein_coding	4	1	5	EIF3A:CH61131	chrX	100636706	100636735	100636706	100636735	-	1	NA	NA	NA	NA	17	HEK293T
EIF3A	ENSG00000000419	DPM1	protein_coding	2	1	4	EIF3A:CH36833	chr20	50935323	50935323	50935323	50935323	-	1	NA	NA	NA	NA	26	HEK293T
EIF3A	ENSG00000000419	DPM1	protein_coding	2	1	4	EIF3A:CH36834	chr20	50958423	50958446	50958423	50958446	-	1	NA	NA	NA	NA	26	HEK293T
EIF3A	ENSG00000000457	SCYL3	protein_coding	1	1	1	EIF3A:CH4727	chr1	169878730	169878730	169878730	169878730	-	1	NA	NA	NA	NA	30	HEK293T
EIF3A	ENSG00000000460	C1orf112	protein_coding	4	1	4	EIF3A:CH4723	chr1	169795092	169795092	169795092	169795092	+	1	NA	-0.383	NA	NA	29	HEK293T
EIF3A	ENSG00000000460	C1orf112	protein_coding	4	1	4	EIF3A:CH4724	chr1	169795855	169795855	169795855	169795855	+	1	NA	-0.383	NA	NA	29	HEK293T
EIF3A	ENSG00000000460	C1orf112	protein_coding	4	1	4	EIF3A:CH4725	chr1	169804078	169804078	169804078	169804078	+	1	NA	-0.383	NA	NA	29	HEK293T
EIF3A	ENSG00000000460	C1orf112	protein_coding	4	1	4	EIF3A:CH4726	chr1	169854023	169854023	169854023	169854023	+	1	NA	-0.383	NA	NA	29	HEK293T
EIF3A	ENSG00000001036	FUCA2	protein_coding	5	1	5	EIF3A:CH51113	chr6	143494857	143494857	143494857	143494857	-	1	NA	NA	NA	NA	15	HEK293T
EIF3A	ENSG00000001036	FUCA2	protein_coding	5	1	5	EIF3A:CH51114	chr6	143498541	143498541	143498541	143498541	-	1	NA	NA	NA	NA	15	HEK293T
EIF3A	ENSG00000001036	FUCA2	protein_coding	5	1	5	EIF3A:CH51115	chr6	143502040	143502040	143502040	143502040	-	1	NA	NA	NA	NA	15	HEK293T
EIF3A	ENSG00000001036	FUCA2	protein_coding	5	1	5	EIF3A:CH51116	chr6	143507381	143507381	143507381	143507381	-	1	NA	NA	NA	NA	15	HEK293T
EIF3A	ENSG00000001036	FUCA2	protein_coding	5	1	5	EIF3A:CH51117	chr6	143509782	143509782	143509782	143509782	-	1	NA	NA	NA	NA	15	HEK293T
EIF3A	ENSG00000001084	GCLC	protein_coding	2	2	2	EIF3A:CH49895	chr6	53530761	53530761	53530761	53530761	-	1	NA	0.450	NA	NA	29	HEK293T
EIF3A	ENSG00000001084	GCLC	protein_coding	2	2	2	EIF3A:CH49896	chr6	53544858	53544858	53544858	53544858	-	1	NA	0.450	NA	NA	29	HEK293T
EIF3A	ENSG00000001167	NFYA	protein_coding	6	1	7	EIF3A:CH49600	chr6	41072972	41072972	41072972	41072972	+	1	NA	-0.284	NA	NA	31	HEK293T
EIF3A	ENSG00000001167	NFYA	protein_coding	6	1	7	EIF3A:CH49601	chr6	41079040	41079072	41079040	41079072	+	1	NA	-0.284	NA	NA	31	HEK293T
