#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
SERBP1	ENSG00000001630	CYP51A1	protein_coding	1	1	1	SERBP1:CH2460	chr7	92134306	92134345	92134306	92134345	-	1	NA	0.496	NA	NA	23	HeLa
SERBP1	ENSG00000004799	PDK4	protein_coding	1	1	1	SERBP1:CH2463	chr7	95596275	95596314	95596275	95596314	-	1	NA	NA	NA	NA	14	HeLa
SERBP1	ENSG00000005483	KMT2E	protein_coding	1	1	1	SERBP1:CH2541	chr7	105014238	105014277	105014238	105014277	+	1	NA	NA	NA	NA	21	HeLa
SERBP1	ENSG00000005810	MYCBP2	protein_coding	1	1	1	SERBP1:CH730	chr13	77251248	77251287	77251248	77251287	-	1	NA	NA	NA	NA	26	HeLa
SERBP1	ENSG00000005884	ITGA3	protein_coding	2	1	2	SERBP1:CH1186	chr17	50056176	50056215	50056176	50056215	+	1	0.664	NA	NA	NA	18	HeLa
SERBP1	ENSG00000005884	ITGA3	protein_coding	2	1	2	SERBP1:CH1187	chr17	50068064	50068103	50068064	50068103	+	1	0.664	NA	NA	NA	18	HeLa
SERBP1	ENSG00000006327	TNFRSF12A	protein_coding	1	1	1	SERBP1:CH959	chr16	3022316	3022355	3022316	3022355	+	1	1.456	1.155	NA	NA	12	DLD1
SERBP1	ENSG00000007202	KIAA0100	protein_coding	1	1	1	SERBP1:CH1114	chr17	28634828	28634867	28634828	28634867	-	1	NA	-0.407	NA	NA	24	HeLa
SERBP1	ENSG00000008130	NADK	protein_coding	1	1	1	SERBP1:CH34	chr1	1752938	1752977	1752938	1752977	-	1	NA	-0.311	NA	NA	25	HeLa
SERBP1	ENSG00000008710	PKD1	protein_coding	5	1	5	SERBP1:CH942	chr16	2090053	2090092	2090053	2090092	-	1	NA	NA	NA	NA	15	HeLa
SERBP1	ENSG00000008710	PKD1	protein_coding	5	1	5	SERBP1:CH943	chr16	2102513	2102552	2102513	2102552	-	1	NA	NA	NA	NA	15	HeLa
SERBP1	ENSG00000008710	PKD1	protein_coding	5	1	5	SERBP1:CH944	chr16	2110462	2110501	2110462	2110501	-	1	NA	NA	NA	NA	15	HeLa
SERBP1	ENSG00000008710	PKD1	protein_coding	5	1	5	SERBP1:CH945	chr16	2112883	2112922	2112883	2112922	-	1	NA	NA	NA	NA	15	HeLa
SERBP1	ENSG00000008710	PKD1	protein_coding	5	1	5	SERBP1:CH946	chr16	2114273	2114312	2114273	2114312	-	1	NA	NA	NA	NA	15	HeLa
SERBP1	ENSG00000008952	SEC62	protein_coding	1	1	1	SERBP1:CH2016	chr3	169982824	169982863	169982824	169982863	+	1	NA	NA	NA	NA	20	DLD1
SERBP1	ENSG00000008988	RPS20	protein_coding	2	7	8	SERBP1:CH2623	chr8	56073830	56073901	56073830	56073901	-	6	-0.366	NA	NA	NA	17	DLD1
SERBP1	ENSG00000008988	RPS20	protein_coding	2	7	8	SERBP1:CH2624	chr8	56074378	56074417	56074378	56074417	-	1	-0.366	NA	NA	NA	17	HeLa
SERBP1	ENSG00000009307	CSDE1	protein_coding	2	1	2	SERBP1:CH168	chr1	114720577	114720616	114720577	114720616	-	1	NA	NA	NA	NA	32	HeLa
SERBP1	ENSG00000009307	CSDE1	protein_coding	2	1	2	SERBP1:CH169	chr1	114732679	114732718	114732679	114732718	-	1	NA	NA	NA	NA	32	HeLa
SERBP1	ENSG00000009335	UBE3C	protein_coding	2	1	2	SERBP1:CH2590	chr7	157139086	157139125	157139086	157139125	+	1	0.541	NA	NA	NA	27	HeLa
SERBP1	ENSG00000009335	UBE3C	protein_coding	2	1	2	SERBP1:CH2591	chr7	157268071	157268110	157268071	157268110	+	1	0.541	NA	NA	NA	27	HeLa
SERBP1	ENSG00000009694	TENM1	protein_coding	1	1	1	SERBP1:CH2908	chrX	124405151	124405190	124405151	124405190	-	1	NA	NA	NA	NA	11	HeLa
SERBP1	ENSG00000009954	BAZ1B	protein_coding	2	2	2	SERBP1:CH2451	chr7	73477036	73477075	73477036	73477075	-	1	NA	NA	NA	NA	29	DLD1
SERBP1	ENSG00000009954	BAZ1B	protein_coding	2	2	2	SERBP1:CH2452	chr7	73498589	73498628	73498589	73498628	-	1	NA	NA	NA	NA	29	HeLa
SERBP1	ENSG00000010244	ZNF207	protein_coding	1	1	1	SERBP1:CH1123	chr17	32369665	32369704	32369665	32369704	+	1	NA	0.242	NA	NA	27	HeLa
SERBP1	ENSG00000010292	NCAPD2	protein_coding	1	1	1	SERBP1:CH594	chr12	6510320	6510359	6510320	6510359	+	1	-0.782	0.367	NA	NA	30	DLD1
SERBP1	ENSG00000011052	NME1-NME2	protein_coding	1	1	1	SERBP1:CH1191	chr17	51166857	51166896	51166857	51166896	+	1	NA	1.665	NA	NA	20	HeLa
SERBP1	ENSG00000011243	AKAP8L	protein_coding	1	1	1	SERBP1:CH1418	chr19	15397565	15397604	15397565	15397604	-	1	-0.269	0.327	NA	NA	17	DLD1
SERBP1	ENSG00000011275	RNF216	protein_coding	1	1	1	SERBP1:CH2408	chr7	5741404	5741443	5741404	5741443	-	1	NA	NA	NA	NA	18	HeLa
SERBP1	ENSG00000011304	PTBP1	protein_coding	1	1	1	SERBP1:CH1309	chr19	806453	806492	806453	806492	+	1	-0.554	NA	NA	NA	25	HeLa
SERBP1	ENSG00000011426	ANLN	protein_coding	1	1	1	SERBP1:CH2429	chr7	36419297	36419336	36419297	36419336	+	1	-0.926	0.582	NA	NA	28	HeLa
SERBP1	ENSG00000012061	ERCC1	protein_coding	1	3	3	SERBP1:CH1466	chr19	45478687	45478687	45478687	45478687	-	3	NA	NA	NA	NA	19	DLD1
SERBP1	ENSG00000012171	SEMA3B	protein_coding	2	1	2	SERBP1:CH1983	chr3	50275360	50275399	50275360	50275399	+	1	NA	NA	NA	NA	18	HeLa
SERBP1	ENSG00000012171	SEMA3B	protein_coding	2	1	2	SERBP1:CH1984	chr3	50277012	50277051	50277012	50277051	+	1	NA	NA	NA	NA	18	HeLa
SERBP1	ENSG00000012232	EXTL3	protein_coding	1	1	1	SERBP1:CH2611	chr8	28717694	28717733	28717694	28717733	+	1	0.527	NA	NA	NA	16	HeLa
SERBP1	ENSG00000013306	SLC25A39	protein_coding	2	1	2	SERBP1:CH1154	chr17	44319988	44320027	44319988	44320027	-	1	NA	NA	NA	NA	23	HeLa
SERBP1	ENSG00000013306	SLC25A39	protein_coding	2	1	2	SERBP1:CH1155	chr17	44321089	44321128	44321089	44321128	-	1	NA	NA	NA	NA	23	HeLa
SERBP1	ENSG00000013588	GPRC5A	protein_coding	5	1	5	SERBP1:CH615	chr12	12891564	12891603	12891564	12891603	+	1	NA	NA	NA	NA	12	HeLa
SERBP1	ENSG00000013588	GPRC5A	protein_coding	5	1	5	SERBP1:CH616	chr12	12908351	12908390	12908351	12908390	+	1	NA	NA	NA	NA	12	HeLa
SERBP1	ENSG00000013588	GPRC5A	protein_coding	5	1	5	SERBP1:CH617	chr12	12912526	12912565	12912526	12912565	+	1	NA	NA	NA	NA	12	HeLa
SERBP1	ENSG00000013588	GPRC5A	protein_coding	5	1	5	SERBP1:CH618	chr12	12912914	12912953	12912914	12912953	+	1	NA	NA	NA	NA	12	HeLa
SERBP1	ENSG00000013588	GPRC5A	protein_coding	5	1	5	SERBP1:CH619	chr12	12917648	12917687	12917648	12917687	+	1	NA	NA	NA	NA	12	HeLa
