RBP,mRNA_ID_with_RBP,geneName,geneType,clusterNum,totalClipExpNum,totalClipSiteNum,clusterID,chromosome,narrowStart,narrowEnd,broadStart,broadEnd,strand,clipExpNum,HepG2(shRNA),K562(shRNA),HepG2(CRISPR),K562(CRISPR),pancancerNum,cellline/tissue
A1CF,ENSG00000072501,SMC1A,protein_coding,1,1,1,A1CF:CH100,chrX,53378679,53378718,53378679,53378718.0,-,1.0,,,,,9.0,HEK293T
A1CF,ENSG00000111605,CPSF6,protein_coding,1,2,2,A1CF:CH46,chr12,69270363,69270408,69270363,69270408.0,+,2.0,,,,,16.0,HEK293T
A1CF,ENSG00000117500,TMED5,protein_coding,1,1,1,A1CF:CH9,chr1,93153599,93153638,93153599,93153638.0,-,1.0,,,,,15.0,HEK293T
A1CF,ENSG00000130741,EIF2S3,protein_coding,2,1,2,A1CF:CH98,chrX,24073887,24073926,24073887,24073926.0,+,1.0,,,,,11.0,HEK293T
A1CF,ENSG00000130741,EIF2S3,protein_coding,2,1,2,A1CF:CH99,chrX,24075673,24075712,24075673,24075712.0,+,1.0,,,,,11.0,HEK293T
A1CF,ENSG00000131374,TBC1D5,protein_coding,1,1,1,A1CF:CH63,chr3,17402049,17402088,17402049,17402088.0,-,1.0,,,,,11.0,HEK293T
A1CF,ENSG00000135486,HNRNPA1,protein_coding,1,1,1,A1CF:CH42,chr12,54285659,54285698,54285659,54285698.0,+,1.0,,,,,13.0,HEK293T
A1CF,ENSG00000135679,MDM2,protein_coding,3,2,4,A1CF:CH43,chr12,68841704,68841743,68841704,68841743.0,+,1.0,,,,,13.0,HEK293T
A1CF,ENSG00000135679,MDM2,protein_coding,3,2,4,A1CF:CH44,chr12,68842879,68842921,68842879,68842921.0,+,2.0,,,,,13.0,HEK293T
A1CF,ENSG00000135679,MDM2,protein_coding,3,2,4,A1CF:CH45,chr12,68843439,68843478,68843439,68843478.0,+,1.0,,,,,13.0,HEK293T
A1CF,ENSG00000136450,SRSF1,protein_coding,3,2,4,A1CF:CH55,chr17,58002289,58002328,58002289,58002328.0,-,1.0,,,,,14.0,HEK293T
A1CF,ENSG00000136450,SRSF1,protein_coding,3,2,4,A1CF:CH56,chr17,58003598,58003641,58003598,58003641.0,-,2.0,,,,,14.0,HEK293T
A1CF,ENSG00000136450,SRSF1,protein_coding,3,2,4,A1CF:CH57,chr17,58004257,58004296,58004257,58004296.0,-,1.0,,,,,14.0,HEK293T
A1CF,ENSG00000138674,SEC31A,protein_coding,1,1,1,A1CF:CH65,chr4,82898161,82898200,82898161,82898200.0,-,1.0,,,,,9.0,HEK293T
A1CF,ENSG00000139746,RBM26,protein_coding,1,1,1,A1CF:CH50,chr13,79321846,79321885,79321846,79321885.0,-,1.0,,,,,22.0,HEK293T
A1CF,ENSG00000142864,SERBP1,protein_coding,3,2,4,A1CF:CH5,chr1,67409588,67409627,67409588,67409627.0,-,1.0,,,,,6.0,HEK293T
A1CF,ENSG00000142864,SERBP1,protein_coding,3,2,4,A1CF:CH6,chr1,67410760,67410799,67410760,67410799.0,-,1.0,,,,,6.0,HEK293T
A1CF,ENSG00000142864,SERBP1,protein_coding,3,2,4,A1CF:CH7,chr1,67411867,67411908,67411867,67411908.0,-,2.0,,,,,6.0,HEK293T
A1CF,ENSG00000147162,OGT,protein_coding,1,1,1,A1CF:CH101,chrX,71546155,71546194,71546155,71546194.0,+,1.0,,,,,19.0,HEK293T
A1CF,ENSG00000148584,A1CF,protein_coding,7,2,11,A1CF:CH20,chr10,50806747,50806786,50806747,50806786.0,-,1.0,,,,,32.0,HEK293T
A1CF,ENSG00000148584,A1CF,protein_coding,7,2,11,A1CF:CH21,chr10,50811067,50811106,50811067,50811106.0,-,1.0,,,,,32.0,HEK293T
A1CF,ENSG00000148584,A1CF,protein_coding,7,2,11,A1CF:CH22,chr10,50813866,50813915,50813866,50813915.0,-,2.0,,,,,32.0,HEK293T
A1CF,ENSG00000148584,A1CF,protein_coding,7,2,11,A1CF:CH23,chr10,50816106,50816154,50816106,50816154.0,-,2.0,,,,,32.0,HEK293T
A1CF,ENSG00000148584,A1CF,protein_coding,7,2,11,A1CF:CH24,chr10,50820603,50820642,50820603,50820642.0,-,1.0,,,,,32.0,HEK293T
A1CF,ENSG00000148584,A1CF,protein_coding,7,2,11,A1CF:CH25,chr10,50828141,50828183,50828141,50828183.0,-,2.0,,,,,32.0,HEK293T
A1CF,ENSG00000148584,A1CF,protein_coding,7,2,11,A1CF:CH26,chr10,50836198,50836240,50836198,50836240.0,-,2.0,,,,,32.0,HEK293T
A1CF,ENSG00000153187,HNRNPU,protein_coding,5,2,7,A1CF:CH15,chr1,244841654,244841695,244841654,244841695.0,-,2.0,,,,,8.0,HEK293T
A1CF,ENSG00000153187,HNRNPU,protein_coding,5,2,7,A1CF:CH16,chr1,244842175,244842214,244842175,244842214.0,-,1.0,,,,,8.0,HEK293T
