#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
AQR	ENSG00000000419	DPM1	protein_coding	1	1	1	AQR:CH14715	chr20	50955125	50955164	50955125	50955164	-	1	-0.256	-0.435	NA	NA	25	K562
AQR	ENSG00000000460	C1orf112	protein_coding	1	1	1	AQR:CH2250	chr1	169830748	169830748	169830748	169830748	+	1	-0.517	-0.568	NA	NA	30	K562
AQR	ENSG00000001167	NFYA	protein_coding	1	1	1	AQR:CH18962	chr6	41079165	41079165	41079165	41079165	+	1	0.512	0.104	NA	NA	29	K562
AQR	ENSG00000001461	NIPAL3	protein_coding	1	1	1	AQR:CH787	chr1	24453505	24453505	24453505	24453505	+	1	NA	-0.416	NA	NA	26	K562
AQR	ENSG00000001497	LAS1L	protein_coding	3	2	6	AQR:CH22793	chrX	65524475	65524475	65524475	65524475	-	1	NA	-0.620	NA	NA	17	K562
AQR	ENSG00000001497	LAS1L	protein_coding	3	2	6	AQR:CH22794	chrX	65524841	65524964	65524841	65524964	-	2	NA	-0.620	NA	NA	17	K562
AQR	ENSG00000001497	LAS1L	protein_coding	3	2	6	AQR:CH22795	chrX	65532560	65532560	65532560	65532560	-	1	NA	-0.620	NA	NA	17	K562
AQR	ENSG00000001617	SEMA3F	protein_coding	1	1	1	AQR:CH16707	chr3	50185708	50185708	50185708	50185708	+	1	1.172	NA	NA	NA	15	K562
AQR	ENSG00000001630	CYP51A1	protein_coding	1	1	2	AQR:CH20132	chr7	92123057	92123119	92123057	92123119	-	1	-0.369	-1.291	NA	NA	26	K562
AQR	ENSG00000002822	MAD1L1	protein_coding	5	2	15	AQR:CH19650	chr7	2216101	2216156	2216101	2216156	-	2	NA	NA	NA	NA	20	K562
AQR	ENSG00000002822	MAD1L1	protein_coding	5	2	15	AQR:CH19651	chr7	2217895	2217961	2217895	2217961	-	2	NA	NA	NA	NA	20	K562
AQR	ENSG00000002822	MAD1L1	protein_coding	5	2	15	AQR:CH19652	chr7	2219242	2219281	2219242	2219281	-	1	NA	NA	NA	NA	20	K562
AQR	ENSG00000002822	MAD1L1	protein_coding	5	2	15	AQR:CH19653	chr7	2229983	2230168	2229983	2230168	-	2	NA	NA	NA	NA	20	K562
AQR	ENSG00000002822	MAD1L1	protein_coding	5	2	15	AQR:CH19654	chr7	2230456	2230548	2230456	2230548	-	2	NA	NA	NA	NA	20	K562
AQR	ENSG00000002834	LASP1	protein_coding	3	4	8	AQR:CH9268	chr17	38870259	38870259	38870259	38870259	+	1	0.753	0.340	NA	NA	22	K562
AQR	ENSG00000002834	LASP1	protein_coding	3	4	8	AQR:CH9269	chr17	38914476	38914553	38914476	38914553	+	2	0.753	0.340	NA	NA	22	K562
AQR	ENSG00000002834	LASP1	protein_coding	3	4	8	AQR:CH9270	chr17	38915009	38915065	38915009	38915065	+	3	0.753	0.340	NA	NA	22	HepG2,K562
AQR	ENSG00000003056	M6PR	protein_coding	4	2	6	AQR:CH4961	chr12	8942342	8942381	8942342	8942381	-	1	0.690	0.358	NA	NA	32	K562
AQR	ENSG00000003056	M6PR	protein_coding	4	2	6	AQR:CH4962	chr12	8943732	8943771	8943732	8943771	-	1	0.690	0.358	NA	NA	32	K562
AQR	ENSG00000003056	M6PR	protein_coding	4	2	6	AQR:CH4963	chr12	8946407	8946455	8946407	8946455	-	1	0.690	0.358	NA	NA	32	K562
AQR	ENSG00000003056	M6PR	protein_coding	4	2	6	AQR:CH4964	chr12	8949426	8949487	8949426	8949487	-	1	0.690	0.358	NA	NA	32	K562
AQR	ENSG00000003400	CASP10	protein_coding	1	1	1	AQR:CH13756	chr2	201186125	201186164	201186125	201186164	+	1	NA	-0.311	NA	NA	20	K562
AQR	ENSG00000003402	CFLAR	protein_coding	3	4	13	AQR:CH13753	chr2	201160971	201161010	201160971	201161010	+	1	NA	-1.554	NA	NA	27	K562
AQR	ENSG00000003402	CFLAR	protein_coding	3	4	13	AQR:CH13754	chr2	201163103	201163157	201163103	201163157	+	4	NA	-1.554	NA	NA	27	HepG2,K562
AQR	ENSG00000003402	CFLAR	protein_coding	3	4	13	AQR:CH13755	chr2	201163810	201163875	201163810	201163875	+	4	NA	-1.554	NA	NA	27	HepG2,K562
AQR	ENSG00000003436	TFPI	protein_coding	3	2	6	AQR:CH13687	chr2	187484149	187484188	187484149	187484188	-	1	-0.199	NA	NA	NA	21	HepG2
AQR	ENSG00000003436	TFPI	protein_coding	3	2	6	AQR:CH13688	chr2	187488312	187488391	187488312	187488391	-	2	-0.199	NA	NA	NA	21	HepG2
AQR	ENSG00000003436	TFPI	protein_coding	3	2	6	AQR:CH13689	chr2	187496880	187496947	187496880	187496947	-	2	-0.199	NA	NA	NA	21	HepG2
AQR	ENSG00000003756	RBM5	protein_coding	13	4	24	AQR:CH16694	chr3	50089030	50089030	50089030	50089030	+	1	0.380	0.520	NA	NA	25	K562
AQR	ENSG00000003756	RBM5	protein_coding	13	4	24	AQR:CH16695	chr3	50092209	50092209	50092209	50092209	+	1	0.380	0.520	NA	NA	25	HepG2
AQR	ENSG00000003756	RBM5	protein_coding	13	4	24	AQR:CH16696	chr3	50100052	50100115	50100052	50100115	+	3	0.380	0.520	NA	NA	25	HepG2,K562
AQR	ENSG00000003756	RBM5	protein_coding	13	4	24	AQR:CH16697	chr3	50103167	50103229	50103167	50103229	+	2	0.380	0.520	NA	NA	25	K562
AQR	ENSG00000003756	RBM5	protein_coding	13	4	24	AQR:CH16698	chr3	50104309	50104309	50104309	50104309	+	1	0.380	0.520	NA	NA	25	K562
AQR	ENSG00000003756	RBM5	protein_coding	13	4	24	AQR:CH16699	chr3	50105056	50105095	50105056	50105095	+	1	0.380	0.520	NA	NA	25	K562
AQR	ENSG00000003756	RBM5	protein_coding	13	4	24	AQR:CH16700	chr3	50106877	50106916	50106877	50106916	+	1	0.380	0.520	NA	NA	25	K562
AQR	ENSG00000003756	RBM5	protein_coding	13	4	24	AQR:CH16701	chr3	50109700	50109747	50109700	50109747	+	2	0.380	0.520	NA	NA	25	K562
AQR	ENSG00000003756	RBM5	protein_coding	13	4	24	AQR:CH16702	chr3	50110760	50110818	50110760	50110818	+	3	0.380	0.520	NA	NA	25	HepG2,K562
AQR	ENSG00000003756	RBM5	protein_coding	13	4	24	AQR:CH16703	chr3	50113318	50113391	50113318	50113391	+	4	0.380	0.520	NA	NA	25	HepG2,K562
AQR	ENSG00000003756	RBM5	protein_coding	13	4	24	AQR:CH16704	chr3	50114252	50114252	50114252	50114252	+	1	0.380	0.520	NA	NA	25	HepG2
AQR	ENSG00000003756	RBM5	protein_coding	13	4	24	AQR:CH16705	chr3	50115981	50116075	50115981	50116075	+	2	0.380	0.520	NA	NA	25	K562
AQR	ENSG00000003756	RBM5	protein_coding	13	4	24	AQR:CH16706	chr3	50117380	50117380	50117380	50117380	+	1	0.380	0.520	NA	NA	25	K562
AQR	ENSG00000003989	SLC7A2	protein_coding	2	2	5	AQR:CH20909	chr8	17497238	17497289	17497238	17497289	+	2	-1.472	NA	NA	NA	17	HepG2
AQR	ENSG00000003989	SLC7A2	protein_coding	2	2	5	AQR:CH20910	chr8	17543299	17543346	17543299	17543346	+	2	-1.472	NA	NA	NA	17	HepG2
AQR	ENSG00000004059	ARF5	protein_coding	4	4	13	AQR:CH20452	chr7	127589164	127589164	127589164	127589164	+	2	NA	NA	NA	NA	29	HepG2,K562
