#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
NXF1	ENSG00000000419	DPM1	protein_coding	1	2	2	NXF1:CH28128	chr20	50953122	50953131	50953122	50953131	-	2	NA	NA	NA	NA	17	HEK293T
NXF1	ENSG00000000457	SCYL3	protein_coding	2	1	2	NXF1:CH3434	chr1	169854048	169854048	169854048	169854048	-	1	NA	NA	NA	NA	28	HEK293T
NXF1	ENSG00000000457	SCYL3	protein_coding	2	1	2	NXF1:CH3435	chr1	169854694	169854694	169854694	169854694	-	1	NA	NA	NA	NA	28	HEK293T
NXF1	ENSG00000000460	C1orf112	protein_coding	3	3	4	NXF1:CH3431	chr1	169802546	169802546	169802546	169802546	+	2	NA	NA	NA	NA	20	HEK293T
NXF1	ENSG00000000460	C1orf112	protein_coding	3	3	4	NXF1:CH3432	chr1	169827699	169827699	169827699	169827699	+	1	NA	NA	NA	NA	20	HEK293T
NXF1	ENSG00000000460	C1orf112	protein_coding	3	3	4	NXF1:CH3433	chr1	169840178	169840178	169840178	169840178	+	1	NA	NA	NA	NA	20	HEK293T
NXF1	ENSG00000001036	FUCA2	protein_coding	2	3	4	NXF1:CH39468	chr6	143504064	143504115	143504064	143504115	-	2	NA	NA	NA	NA	20	HEK293T
NXF1	ENSG00000001036	FUCA2	protein_coding	2	3	4	NXF1:CH39469	chr6	143511539	143511578	143511539	143511578	-	1	NA	NA	NA	NA	20	HeLa
NXF1	ENSG00000001084	GCLC	protein_coding	2	1	2	NXF1:CH38476	chr6	53500020	53500020	53500020	53500020	-	1	NA	NA	NA	NA	16	HEK293T
NXF1	ENSG00000001084	GCLC	protein_coding	2	1	2	NXF1:CH38477	chr6	53511683	53511683	53511683	53511683	-	1	NA	NA	NA	NA	16	HEK293T
NXF1	ENSG00000001167	NFYA	protein_coding	3	2	3	NXF1:CH38264	chr6	41086581	41086581	41086581	41086581	+	1	NA	NA	NA	NA	26	HEK293T
NXF1	ENSG00000001167	NFYA	protein_coding	3	2	3	NXF1:CH38265	chr6	41091122	41091122	41091122	41091122	+	1	NA	NA	NA	NA	26	HEK293T
NXF1	ENSG00000001167	NFYA	protein_coding	3	2	3	NXF1:CH38266	chr6	41091556	41091556	41091556	41091556	+	1	NA	NA	NA	NA	26	HEK293T
NXF1	ENSG00000001460	STPG1	protein_coding	1	1	1	NXF1:CH903	chr1	24391258	24391258	24391258	24391258	-	1	NA	NA	NA	NA	17	HEK293T
NXF1	ENSG00000001461	NIPAL3	protein_coding	4	2	4	NXF1:CH904	chr1	24424316	24424316	24424316	24424316	+	1	NA	NA	NA	NA	15	HEK293T
NXF1	ENSG00000001461	NIPAL3	protein_coding	4	2	4	NXF1:CH905	chr1	24434107	24434107	24434107	24434107	+	1	NA	NA	NA	NA	15	HEK293T
NXF1	ENSG00000001461	NIPAL3	protein_coding	4	2	4	NXF1:CH906	chr1	24471554	24471554	24471554	24471554	+	1	NA	NA	NA	NA	15	HEK293T
NXF1	ENSG00000001461	NIPAL3	protein_coding	4	2	4	NXF1:CH907	chr1	24472908	24472908	24472908	24472908	+	1	NA	NA	NA	NA	15	HEK293T
