#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
FUS	ENSG00000000003	TSPAN6	protein_coding	1	7	11	FUS:CH112674	chrX	100629019	100629965	100629019	100629965	-	7	0.292	NA	NA	NA	17	HEK293,SH-SY5Y
FUS	ENSG00000000419	DPM1	protein_coding	3	5	5	FUS:CH63454	chr20	50954599	50954658	50954599	50954658	-	2	-0.283	NA	NA	NA	23	SH-SY5Y
FUS	ENSG00000000419	DPM1	protein_coding	3	5	5	FUS:CH63455	chr20	50955342	50955381	50955342	50955381	-	2	-0.283	NA	NA	NA	23	HEK293
FUS	ENSG00000000419	DPM1	protein_coding	3	5	5	FUS:CH63456	chr20	50958480	50958519	50958480	50958519	-	1	-0.283	NA	NA	NA	23	brain
FUS	ENSG00000000457	SCYL3	protein_coding	1	1	1	FUS:CH6653	chr1	169856737	169856737	169856737	169856737	-	1	NA	NA	NA	NA	23	SH-SY5Y
FUS	ENSG00000000460	C1orf112	protein_coding	2	3	3	FUS:CH6650	chr1	169795453	169795492	169795453	169795492	+	1	NA	NA	NA	NA	29	HEK293
FUS	ENSG00000000460	C1orf112	protein_coding	2	3	3	FUS:CH6651	chr1	169836763	169836804	169836763	169836804	+	2	NA	NA	NA	NA	29	SH-SY5Y
FUS	ENSG00000001036	FUCA2	protein_coding	3	3	4	FUS:CH92846	chr6	143495624	143495663	143495624	143495663	-	1	0.414	NA	NA	NA	16	SH-SY5Y
FUS	ENSG00000001036	FUCA2	protein_coding	3	3	4	FUS:CH92847	chr6	143501984	143501984	143501984	143501984	-	1	0.414	NA	NA	NA	16	SH-SY5Y
FUS	ENSG00000001036	FUCA2	protein_coding	3	3	4	FUS:CH92848	chr6	143504134	143504180	143504134	143504180	-	2	0.414	NA	NA	NA	16	SH-SY5Y
FUS	ENSG00000001084	GCLC	protein_coding	7	6	8	FUS:CH89679	chr6	53498449	53498670	53498449	53498670	-	2	NA	NA	NA	NA	10	SH-SY5Y
FUS	ENSG00000001084	GCLC	protein_coding	7	6	8	FUS:CH89680	chr6	53516144	53516144	53516144	53516144	-	1	NA	NA	NA	NA	10	SH-SY5Y
FUS	ENSG00000001084	GCLC	protein_coding	7	6	8	FUS:CH89681	chr6	53520502	53520541	53520502	53520541	-	1	NA	NA	NA	NA	10	brain
FUS	ENSG00000001084	GCLC	protein_coding	7	6	8	FUS:CH89682	chr6	53527153	53527192	53527153	53527192	-	1	NA	NA	NA	NA	10	brain
FUS	ENSG00000001084	GCLC	protein_coding	7	6	8	FUS:CH89683	chr6	53531561	53531561	53531561	53531561	-	1	NA	NA	NA	NA	10	SH-SY5Y
FUS	ENSG00000001084	GCLC	protein_coding	7	6	8	FUS:CH89684	chr6	53536862	53536901	53536862	53536901	-	1	NA	NA	NA	NA	10	HEK293
FUS	ENSG00000001084	GCLC	protein_coding	7	6	8	FUS:CH89685	chr6	53554647	53554686	53554647	53554686	-	1	NA	NA	NA	NA	10	HEK293
FUS	ENSG00000001167	NFYA	protein_coding	4	9	16	FUS:CH89300	chr6	41097603	41097642	41097603	41097642	+	1	NA	NA	NA	NA	27	SH-SY5Y
FUS	ENSG00000001167	NFYA	protein_coding	4	9	16	FUS:CH89301	chr6	41098121	41098160	41098121	41098160	+	1	NA	NA	NA	NA	27	SH-SY5Y
FUS	ENSG00000001167	NFYA	protein_coding	4	9	16	FUS:CH89302	chr6	41098638	41098938	41098638	41098938	+	5	NA	NA	NA	NA	27	HEK293T,SH-SY5Y
FUS	ENSG00000001167	NFYA	protein_coding	4	9	16	FUS:CH89303	chr6	41099414	41099709	41099414	41099709	+	8	NA	NA	NA	NA	27	SH-SY5Y
FUS	ENSG00000001460	STPG1	protein_coding	1	1	1	FUS:CH1122	chr1	24357860	24357860	24357860	24357860	-	1	NA	NA	NA	NA	18	SH-SY5Y
FUS	ENSG00000001497	LAS1L	protein_coding	5	3	5	FUS:CH112053	chrX	65522724	65522724	65522724	65522724	-	1	NA	NA	NA	NA	25	SH-SY5Y
FUS	ENSG00000001497	LAS1L	protein_coding	5	3	5	FUS:CH112054	chrX	65523262	65523301	65523262	65523301	-	1	NA	NA	NA	NA	25	brain
FUS	ENSG00000001497	LAS1L	protein_coding	5	3	5	FUS:CH112055	chrX	65524278	65524317	65524278	65524317	-	1	NA	NA	NA	NA	25	SH-SY5Y
FUS	ENSG00000001497	LAS1L	protein_coding	5	3	5	FUS:CH112056	chrX	65529673	65529712	65529673	65529712	-	1	NA	NA	NA	NA	25	SH-SY5Y
FUS	ENSG00000001497	LAS1L	protein_coding	5	3	5	FUS:CH112057	chrX	65533620	65533659	65533620	65533659	-	1	NA	NA	NA	NA	25	SH-SY5Y
FUS	ENSG00000001561	ENPP4	protein_coding	6	3	7	FUS:CH89500	chr6	46133718	46133757	46133718	46133757	+	1	NA	NA	NA	NA	12	HEK293
