#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
EIF4E	ENSG00000001460	STPG1	protein_coding	1	1	1	EIF4E:CH324	chr1	24415267	24415306	24415267	24415306	-	1	NA	NA	NA	NA	14	HEK293T
EIF4E	ENSG00000001461	NIPAL3	protein_coding	1	1	1	EIF4E:CH325	chr1	24456328	24456328	24456328	24456328	+	1	NA	NA	NA	0.399	22	HEK293T
EIF4E	ENSG00000002330	BAD	protein_coding	1	2	2	EIF4E:CH2088	chr11	64273270	64273318	64273270	64273318	-	2	NA	NA	NA	NA	23	HEK293T
EIF4E	ENSG00000002549	LAP3	protein_coding	1	1	2	EIF4E:CH9277	chr4	17590968	17590982	17590968	17590982	+	1	NA	NA	0.254	0.437	27	HEK293T
EIF4E	ENSG00000002586	CD99	protein_coding	2	1	2	EIF4E:CH11964	chrX	2734472	2734511	2734472	2734511	+	1	NA	NA	-0.314	NA	14	HEK293T
EIF4E	ENSG00000002586	CD99	protein_coding	2	1	2	EIF4E:CH12312	chrY	2734472	2734511	2734472	2734511	+	1	NA	NA	-0.314	NA	14	HEK293T
EIF4E	ENSG00000002919	SNX11	protein_coding	1	2	3	EIF4E:CH5144	chr17	48122211	48122256	48122211	48122256	+	2	NA	NA	NA	NA	17	HEK293T
EIF4E	ENSG00000003056	M6PR	protein_coding	2	2	3	EIF4E:CH2437	chr12	8940401	8940401	8940401	8940401	-	1	NA	NA	NA	NA	27	HEK293T
EIF4E	ENSG00000003056	M6PR	protein_coding	2	2	3	EIF4E:CH2438	chr12	8949564	8949603	8949564	8949603	-	2	NA	NA	NA	NA	27	HEK293T
EIF4E	ENSG00000003402	CFLAR	protein_coding	1	1	1	EIF4E:CH7583	chr2	201167236	201167275	201167236	201167275	+	1	NA	NA	-0.217	NA	12	HEK293T
