#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
FIP1L1	ENSG00000000003	TSPAN6	protein_coding	1	1	1	FIP1L1:CH81067	chrX	100632503	100632542	100632503	100632542	-	1	NA	NA	NA	NA	17	HEK293
FIP1L1	ENSG00000000419	DPM1	protein_coding	6	3	6	FIP1L1:CH48217	chr20	50934918	50934918	50934918	50934918	-	1	-0.335	NA	NA	NA	27	HEK293
FIP1L1	ENSG00000000419	DPM1	protein_coding	6	3	6	FIP1L1:CH48218	chr20	50941074	50941113	50941074	50941113	-	1	-0.335	NA	NA	NA	27	HEK293
FIP1L1	ENSG00000000419	DPM1	protein_coding	6	3	6	FIP1L1:CH48219	chr20	50951479	50951479	50951479	50951479	-	1	-0.335	NA	NA	NA	27	HEK293
FIP1L1	ENSG00000000419	DPM1	protein_coding	6	3	6	FIP1L1:CH48220	chr20	50953789	50953789	50953789	50953789	-	1	-0.335	NA	NA	NA	27	HEK293
FIP1L1	ENSG00000000419	DPM1	protein_coding	6	3	6	FIP1L1:CH48221	chr20	50955204	50955243	50955204	50955243	-	1	-0.335	NA	NA	NA	27	HEK293
FIP1L1	ENSG00000000419	DPM1	protein_coding	6	3	6	FIP1L1:CH48222	chr20	50956452	50956452	50956452	50956452	-	1	-0.335	NA	NA	NA	27	HeLa
FIP1L1	ENSG00000000460	C1orf112	protein_coding	5	3	5	FIP1L1:CH5859	chr1	169795863	169795863	169795863	169795863	+	1	NA	NA	NA	NA	30	HEK293
FIP1L1	ENSG00000000460	C1orf112	protein_coding	5	3	5	FIP1L1:CH5860	chr1	169806025	169806064	169806025	169806064	+	1	NA	NA	NA	NA	30	HEK293
FIP1L1	ENSG00000000460	C1orf112	protein_coding	5	3	5	FIP1L1:CH5861	chr1	169842765	169842765	169842765	169842765	+	1	NA	NA	NA	NA	30	HeLa
FIP1L1	ENSG00000000460	C1orf112	protein_coding	5	3	5	FIP1L1:CH5862	chr1	169843970	169843970	169843970	169843970	+	1	NA	NA	NA	NA	30	HEK293
FIP1L1	ENSG00000000460	C1orf112	protein_coding	5	3	5	FIP1L1:CH5864	chr1	169853017	169853056	169853017	169853056	+	1	NA	NA	NA	NA	30	HEK293
FIP1L1	ENSG00000000971	CFH	protein_coding	3	1	3	FIP1L1:CH6455	chr1	196675177	196675216	196675177	196675216	+	1	NA	-0.449	NA	NA	15	HEK293
FIP1L1	ENSG00000000971	CFH	protein_coding	3	1	3	FIP1L1:CH6456	chr1	196683796	196683796	196683796	196683796	+	1	NA	-0.449	NA	NA	15	HEK293
FIP1L1	ENSG00000000971	CFH	protein_coding	3	1	3	FIP1L1:CH6457	chr1	196747350	196747350	196747350	196747350	+	1	NA	-0.449	NA	NA	15	HEK293
FIP1L1	ENSG00000001036	FUCA2	protein_coding	3	2	3	FIP1L1:CH68021	chr6	143495504	143495543	143495504	143495543	-	1	0.191	NA	NA	NA	19	HEK293
FIP1L1	ENSG00000001036	FUCA2	protein_coding	3	2	3	FIP1L1:CH68022	chr6	143497008	143497047	143497008	143497047	-	1	0.191	NA	NA	NA	19	HEK293
FIP1L1	ENSG00000001036	FUCA2	protein_coding	3	2	3	FIP1L1:CH68023	chr6	143506241	143506241	143506241	143506241	-	1	0.191	NA	NA	NA	19	HEK293
FIP1L1	ENSG00000001084	GCLC	protein_coding	3	1	3	FIP1L1:CH66045	chr6	53505075	53505114	53505075	53505114	-	1	0.206	NA	NA	NA	28	HEK293
FIP1L1	ENSG00000001084	GCLC	protein_coding	3	1	3	FIP1L1:CH66046	chr6	53527919	53527919	53527919	53527919	-	1	0.206	NA	NA	NA	28	HEK293
FIP1L1	ENSG00000001084	GCLC	protein_coding	3	1	3	FIP1L1:CH66047	chr6	53542602	53542641	53542602	53542641	-	1	0.206	NA	NA	NA	28	HEK293
FIP1L1	ENSG00000001167	NFYA	protein_coding	2	1	2	FIP1L1:CH65683	chr6	41079101	41079101	41079101	41079101	+	1	NA	-0.581	NA	NA	30	HEK293
FIP1L1	ENSG00000001167	NFYA	protein_coding	2	1	2	FIP1L1:CH65684	chr6	41091528	41091567	41091528	41091567	+	1	NA	-0.581	NA	NA	30	HEK293
FIP1L1	ENSG00000001461	NIPAL3	protein_coding	3	2	3	FIP1L1:CH1317	chr1	24431570	24431609	24431570	24431609	+	1	NA	-0.238	NA	NA	24	HEK293
FIP1L1	ENSG00000001461	NIPAL3	protein_coding	3	2	3	FIP1L1:CH1318	chr1	24456811	24456850	24456811	24456850	+	1	NA	-0.238	NA	NA	24	HEK293
FIP1L1	ENSG00000001461	NIPAL3	protein_coding	3	2	3	FIP1L1:CH1319	chr1	24469376	24469415	24469376	24469415	+	1	NA	-0.238	NA	NA	24	HEK293
FIP1L1	ENSG00000001497	LAS1L	protein_coding	9	3	14	FIP1L1:CH80495	chrX	65505345	65505384	65505345	65505384	-	1	NA	NA	NA	NA	20	HEK293
FIP1L1	ENSG00000001497	LAS1L	protein_coding	9	3	14	FIP1L1:CH80496	chrX	65512634	65512752	65512634	65512752	-	1	NA	NA	NA	NA	20	HEK293
FIP1L1	ENSG00000001497	LAS1L	protein_coding	9	3	14	FIP1L1:CH80497	chrX	65517911	65518097	65517911	65518097	-	3	NA	NA	NA	NA	20	HEK293
FIP1L1	ENSG00000001497	LAS1L	protein_coding	9	3	14	FIP1L1:CH80498	chrX	65523600	65523828	65523600	65523828	-	1	NA	NA	NA	NA	20	HEK293
FIP1L1	ENSG00000001497	LAS1L	protein_coding	9	3	14	FIP1L1:CH80499	chrX	65524210	65524249	65524210	65524249	-	1	NA	NA	NA	NA	20	HEK293
FIP1L1	ENSG00000001497	LAS1L	protein_coding	9	3	14	FIP1L1:CH80500	chrX	65529674	65529713	65529674	65529713	-	1	NA	NA	NA	NA	20	HEK293
FIP1L1	ENSG00000001497	LAS1L	protein_coding	9	3	14	FIP1L1:CH80501	chrX	65531372	65531411	65531372	65531411	-	1	NA	NA	NA	NA	20	HEK293
FIP1L1	ENSG00000001497	LAS1L	protein_coding	9	3	14	FIP1L1:CH80502	chrX	65531889	65531928	65531889	65531928	-	1	NA	NA	NA	NA	20	HEK293
FIP1L1	ENSG00000001497	LAS1L	protein_coding	9	3	14	FIP1L1:CH80503	chrX	65533475	65533475	65533475	65533475	-	1	NA	NA	NA	NA	20	HEK293
FIP1L1	ENSG00000001561	ENPP4	protein_coding	1	1	1	FIP1L1:CH65941	chr6	46143574	46143574	46143574	46143574	+	1	NA	NA	NA	NA	24	HEK293
FIP1L1	ENSG00000001617	SEMA3F	protein_coding	1	1	1	FIP1L1:CH53524	chr3	50186644	50186644	50186644	50186644	+	1	0.386	NA	NA	NA	9	HEK293
FIP1L1	ENSG00000001629	ANKIB1	protein_coding	11	3	11	FIP1L1:CH70750	chr7	92261388	92261427	92261388	92261427	+	1	0.424	NA	NA	NA	30	HEK293
FIP1L1	ENSG00000001629	ANKIB1	protein_coding	11	3	11	FIP1L1:CH70751	chr7	92295098	92295137	92295098	92295137	+	1	0.424	NA	NA	NA	30	HEK293
FIP1L1	ENSG00000001629	ANKIB1	protein_coding	11	3	11	FIP1L1:CH70752	chr7	92311314	92311314	92311314	92311314	+	1	0.424	NA	NA	NA	30	HEK293
FIP1L1	ENSG00000001629	ANKIB1	protein_coding	11	3	11	FIP1L1:CH70753	chr7	92330043	92330043	92330043	92330043	+	1	0.424	NA	NA	NA	30	HEK293
FIP1L1	ENSG00000001629	ANKIB1	protein_coding	11	3	11	FIP1L1:CH70754	chr7	92343295	92343334	92343295	92343334	+	1	0.424	NA	NA	NA	30	HEK293
FIP1L1	ENSG00000001629	ANKIB1	protein_coding	11	3	11	FIP1L1:CH70755	chr7	92346877	92346877	92346877	92346877	+	1	0.424	NA	NA	NA	30	HeLa
