#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
MTDH	ENSG00000000003	TSPAN6	protein_coding	8	2	41	MTDH:CH50160	chrX	100628996	100629925	100628996	100629925	-	1	NA	NA	NA	NA	15	HepG3
MTDH	ENSG00000000003	TSPAN6	protein_coding	8	2	41	MTDH:CH50161	chrX	100630764	100630861	100630764	100630861	-	1	NA	NA	NA	NA	15	HepG3
MTDH	ENSG00000000003	TSPAN6	protein_coding	8	2	41	MTDH:CH50162	chrX	100632518	100632528	100632518	100632528	-	1	NA	NA	NA	NA	15	HepG3
MTDH	ENSG00000000003	TSPAN6	protein_coding	8	2	41	MTDH:CH50163	chrX	100633423	100633530	100633423	100633530	-	2	NA	NA	NA	NA	15	HepG3
MTDH	ENSG00000000003	TSPAN6	protein_coding	8	2	41	MTDH:CH50164	chrX	100633934	100633934	100633934	100633934	-	1	NA	NA	NA	NA	15	HepG3
MTDH	ENSG00000000003	TSPAN6	protein_coding	8	2	41	MTDH:CH50165	chrX	100635188	100635232	100635188	100635232	-	1	NA	NA	NA	NA	15	HepG3
MTDH	ENSG00000000003	TSPAN6	protein_coding	8	2	41	MTDH:CH50166	chrX	100635567	100635715	100635567	100635715	-	1	NA	NA	NA	NA	15	HepG3
MTDH	ENSG00000000003	TSPAN6	protein_coding	8	2	41	MTDH:CH50167	chrX	100636630	100636756	100636630	100636756	-	1	NA	NA	NA	NA	15	HepG3
MTDH	ENSG00000000419	DPM1	protein_coding	5	1	7	MTDH:CH31011	chr20	50935209	50935224	50935209	50935224	-	1	NA	NA	NA	NA	27	HepG3
MTDH	ENSG00000000419	DPM1	protein_coding	5	1	7	MTDH:CH31012	chr20	50936182	50936182	50936182	50936182	-	1	NA	NA	NA	NA	27	HepG3
MTDH	ENSG00000000419	DPM1	protein_coding	5	1	7	MTDH:CH31013	chr20	50942099	50942107	50942099	50942107	-	1	NA	NA	NA	NA	27	HepG3
MTDH	ENSG00000000419	DPM1	protein_coding	5	1	7	MTDH:CH31014	chr20	50955255	50955255	50955255	50955255	-	1	NA	NA	NA	NA	27	HepG3
MTDH	ENSG00000000419	DPM1	protein_coding	5	1	7	MTDH:CH31015	chr20	50958503	50958503	50958503	50958503	-	1	NA	NA	NA	NA	27	HepG3
MTDH	ENSG00000000457	SCYL3	protein_coding	2	1	2	MTDH:CH3906	chr1	169859091	169859091	169859091	169859091	-	1	NA	NA	NA	NA	27	HepG3
MTDH	ENSG00000000457	SCYL3	protein_coding	2	1	2	MTDH:CH3907	chr1	169862686	169862686	169862686	169862686	-	1	NA	NA	NA	NA	27	HepG3
