#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
EIF3D	ENSG00000001167	NFYA	protein_coding	1	1	1	EIF3D:CH7460	chr6	41079051	41079090	41079051	41079090	+	1	0.538	0.363	NA	NA	13	HEK293T
EIF3D	ENSG00000001497	LAS1L	protein_coding	1	1	1	EIF3D:CH9097	chrX	65524749	65524788	65524749	65524788	-	1	NA	-0.571	NA	NA	27	HEK293T
EIF3D	ENSG00000002822	MAD1L1	protein_coding	4	2	4	EIF3D:CH7782	chr7	1854841	1854841	1854841	1854841	-	1	NA	NA	NA	NA	20	HepG2
EIF3D	ENSG00000002822	MAD1L1	protein_coding	4	2	4	EIF3D:CH7783	chr7	1979440	1979479	1979440	1979479	-	1	NA	NA	NA	NA	20	HEK293T
EIF3D	ENSG00000002822	MAD1L1	protein_coding	4	2	4	EIF3D:CH7786	chr7	2144680	2144680	2144680	2144680	-	1	NA	NA	NA	NA	20	HepG2
EIF3D	ENSG00000002822	MAD1L1	protein_coding	4	2	4	EIF3D:CH7788	chr7	2230645	2230645	2230645	2230645	-	1	NA	NA	NA	NA	20	HEK293T
EIF3D	ENSG00000002834	LASP1	protein_coding	2	2	2	EIF3D:CH3577	chr17	38869910	38869949	38869910	38869949	+	1	0.393	0.125	NA	NA	17	HEK293T
EIF3D	ENSG00000002834	LASP1	protein_coding	2	2	2	EIF3D:CH3578	chr17	38870170	38870170	38870170	38870170	+	1	0.393	0.125	NA	NA	17	HepG2
EIF3D	ENSG00000003056	M6PR	protein_coding	1	1	3	EIF3D:CH1840	chr12	8949519	8949598	8949519	8949598	-	1	-0.821	-1.206	NA	NA	16	HEK293T
EIF3D	ENSG00000003393	ALS2	protein_coding	1	1	1	EIF3D:CH5054	chr2	201736243	201736243	201736243	201736243	-	1	NA	NA	NA	NA	16	HEK293T
EIF3D	ENSG00000003402	CFLAR	protein_coding	1	1	1	EIF3D:CH5052	chr2	201163830	201163830	201163830	201163830	+	1	NA	-0.571	NA	NA	25	HepG2
EIF3D	ENSG00000003436	TFPI	protein_coding	2	2	2	EIF3D:CH5036	chr2	187497025	187497064	187497025	187497064	-	1	NA	NA	NA	NA	16	HepG2
EIF3D	ENSG00000003436	TFPI	protein_coding	2	2	2	EIF3D:CH5039	chr2	187554339	187554339	187554339	187554339	-	1	NA	NA	NA	NA	16	HepG2
EIF3D	ENSG00000003987	MTMR7	protein_coding	1	1	1	EIF3D:CH8241	chr8	17392237	17392276	17392237	17392276	-	1	NA	NA	NA	NA	15	HEK293T
EIF3D	ENSG00000004399	PLXND1	protein_coding	1	1	1	EIF3D:CH6281	chr3	129574760	129574799	129574760	129574799	-	1	NA	NA	NA	NA	16	HEK293T
EIF3D	ENSG00000004455	AK2	protein_coding	1	1	1	EIF3D:CH216	chr1	33036837	33036837	33036837	33036837	-	1	-0.280	-0.228	NA	NA	15	HEK293T
EIF3D	ENSG00000004478	FKBP4	protein_coding	1	1	1	EIF3D:CH1797	chr12	2795962	2795962	2795962	2795962	+	1	NA	-0.483	NA	NA	24	HEK293T
EIF3D	ENSG00000004660	CAMKK1	protein_coding	1	1	1	EIF3D:CH3401	chr17	3879815	3879854	3879815	3879854	-	1	NA	-0.452	NA	NA	13	HEK293T
EIF3D	ENSG00000004779	NDUFAB1	protein_coding	1	1	1	EIF3D:CH3060	chr16	23596127	23596166	23596127	23596166	-	1	NA	-0.269	NA	NA	20	HEK293T
EIF3D	ENSG00000004939	SLC4A1	protein_coding	1	1	1	EIF3D:CH3632	chr17	44267084	44267123	44267084	44267123	-	1	NA	NA	NA	NA	9	HEK293T
EIF3D	ENSG00000005007	UPF1	protein_coding	2	2	2	EIF3D:CH4250	chr19	18860375	18860375	18860375	18860375	+	1	-0.501	0.473	NA	NA	13	HepG2
EIF3D	ENSG00000005007	UPF1	protein_coding	2	2	2	EIF3D:CH4251	chr19	18867843	18867843	18867843	18867843	+	1	-0.501	0.473	NA	NA	13	HEK293T
EIF3D	ENSG00000005073	HOXA11	protein_coding	1	1	1	EIF3D:CH7874	chr7	27181790	27181790	27181790	27181790	-	1	1.518	NA	NA	NA	12	HEK293T
EIF3D	ENSG00000005206	SPPL2B	protein_coding	1	3	3	EIF3D:CH4095	chr19	2333309	2333349	2333309	2333349	+	3	NA	NA	NA	NA	12	HEK293T
