#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
IGF2BP3	ENSG00000000003	TSPAN6	protein_coding	3	5	10	IGF2BP3:CH251596	chrX	100629250	100629544	100629250	100629544	-	5	NA	NA	NA	NA	19	HEK293,HepG2
IGF2BP3	ENSG00000000003	TSPAN6	protein_coding	3	5	10	IGF2BP3:CH251598	chrX	100629794	100629991	100629794	100629991	-	3	NA	NA	NA	NA	19	HEK293,HepG2
IGF2BP3	ENSG00000000003	TSPAN6	protein_coding	3	5	10	IGF2BP3:CH251599	chrX	100635621	100635621	100635621	100635621	-	1	NA	NA	NA	NA	19	HEK293
IGF2BP3	ENSG00000000005	TNMD	protein_coding	1	1	1	IGF2BP3:CH251590	chrX	100591297	100591336	100591297	100591336	+	1	NA	NA	NA	NA	7	K562
IGF2BP3	ENSG00000000419	DPM1	protein_coding	2	3	3	IGF2BP3:CH136116	chr20	50935101	50935140	50935101	50935140	-	1	NA	NA	NA	NA	21	HEK293
IGF2BP3	ENSG00000000419	DPM1	protein_coding	2	3	3	IGF2BP3:CH136117	chr20	50935862	50935901	50935862	50935901	-	2	NA	NA	NA	NA	21	K562
IGF2BP3	ENSG00000000457	SCYL3	protein_coding	5	3	5	IGF2BP3:CH14371	chr1	169849788	169849788	169849788	169849788	-	1	1.369	NA	NA	NA	14	K562
IGF2BP3	ENSG00000000457	SCYL3	protein_coding	5	3	5	IGF2BP3:CH14372	chr1	169850143	169850182	169850143	169850182	-	1	1.369	NA	NA	NA	14	K562
IGF2BP3	ENSG00000000457	SCYL3	protein_coding	5	3	5	IGF2BP3:CH14373	chr1	169852637	169852637	169852637	169852637	-	1	1.369	NA	NA	NA	14	PANC-1
IGF2BP3	ENSG00000000457	SCYL3	protein_coding	5	3	5	IGF2BP3:CH14374	chr1	169853106	169853145	169853106	169853145	-	1	1.369	NA	NA	NA	14	K562
IGF2BP3	ENSG00000000457	SCYL3	protein_coding	5	3	5	IGF2BP3:CH14377	chr1	169886850	169886889	169886850	169886889	-	1	1.369	NA	NA	NA	14	K562
IGF2BP3	ENSG00000000460	C1orf112	protein_coding	10	2	12	IGF2BP3:CH14354	chr1	169685788	169685827	169685788	169685827	+	1	NA	NA	NA	NA	26	K562
IGF2BP3	ENSG00000000460	C1orf112	protein_coding	10	2	12	IGF2BP3:CH14356	chr1	169696506	169696545	169696506	169696545	+	1	NA	NA	NA	NA	26	K562
IGF2BP3	ENSG00000000460	C1orf112	protein_coding	10	2	12	IGF2BP3:CH14360	chr1	169763981	169764020	169763981	169764020	+	2	NA	NA	NA	NA	26	K562
