#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
PCBP2	ENSG00000000003	TSPAN6	protein_coding	4	6	11	PCBP2:CH65103	chrX	100629210	100629249	100629210	100629249	-	2	0.243	NA	NA	NA	19	Huh-7
PCBP2	ENSG00000000003	TSPAN6	protein_coding	4	6	11	PCBP2:CH65104	chrX	100629707	100629852	100629707	100629852	-	6	0.243	NA	NA	NA	19	HepG2,Huh-7
PCBP2	ENSG00000000003	TSPAN6	protein_coding	4	6	11	PCBP2:CH65106	chrX	100630758	100630797	100630758	100630797	-	1	0.243	NA	NA	NA	19	Huh-7
PCBP2	ENSG00000000003	TSPAN6	protein_coding	4	6	11	PCBP2:CH65107	chrX	100635843	100635882	100635843	100635882	-	1	0.243	NA	NA	NA	19	HepG2
PCBP2	ENSG00000000419	DPM1	protein_coding	3	3	5	PCBP2:CH39794	chr20	50937009	50937088	50937009	50937088	-	1	NA	-0.314	NA	NA	26	Huh-7
PCBP2	ENSG00000000419	DPM1	protein_coding	3	3	5	PCBP2:CH39795	chr20	50939379	50939379	50939379	50939379	-	1	NA	-0.314	NA	NA	26	Huh-7
PCBP2	ENSG00000000419	DPM1	protein_coding	3	3	5	PCBP2:CH39796	chr20	50944542	50944611	50944542	50944611	-	2	NA	-0.314	NA	NA	26	HepG2
PCBP2	ENSG00000000460	C1orf112	protein_coding	5	5	7	PCBP2:CH4758	chr1	169809258	169809415	169809258	169809415	+	3	-1.433	NA	NA	NA	20	HepG2,Huh-7
PCBP2	ENSG00000000460	C1orf112	protein_coding	5	5	7	PCBP2:CH4759	chr1	169821169	169821208	169821169	169821208	+	1	-1.433	NA	NA	NA	20	Huh-7
PCBP2	ENSG00000000460	C1orf112	protein_coding	5	5	7	PCBP2:CH4760	chr1	169828301	169828340	169828301	169828340	+	1	-1.433	NA	NA	NA	20	Huh-7
PCBP2	ENSG00000000460	C1orf112	protein_coding	5	5	7	PCBP2:CH4761	chr1	169836945	169836945	169836945	169836945	+	1	-1.433	NA	NA	NA	20	Huh-7
PCBP2	ENSG00000000460	C1orf112	protein_coding	5	5	7	PCBP2:CH4762	chr1	169842815	169842854	169842815	169842854	+	1	-1.433	NA	NA	NA	20	Huh-7
PCBP2	ENSG00000000971	CFH	protein_coding	3	3	5	PCBP2:CH5164	chr1	196673767	196673806	196673767	196673806	+	1	NA	-0.400	NA	NA	13	Huh-7
PCBP2	ENSG00000000971	CFH	protein_coding	3	3	5	PCBP2:CH5165	chr1	196693952	196694270	196693952	196694270	+	2	NA	-0.400	NA	NA	13	Huh-7
PCBP2	ENSG00000000971	CFH	protein_coding	3	3	5	PCBP2:CH5166	chr1	196736836	196736836	196736836	196736836	+	1	NA	-0.400	NA	NA	13	Huh-7
PCBP2	ENSG00000001036	FUCA2	protein_coding	5	6	11	PCBP2:CH55150	chr6	143495501	143495597	143495501	143495597	-	6	-0.412	-0.407	NA	NA	16	HepG2,Huh-7
PCBP2	ENSG00000001036	FUCA2	protein_coding	5	6	11	PCBP2:CH55151	chr6	143498376	143498415	143498376	143498415	-	1	-0.412	-0.407	NA	NA	16	Huh-7
PCBP2	ENSG00000001036	FUCA2	protein_coding	5	6	11	PCBP2:CH55152	chr6	143500352	143500352	143500352	143500352	-	1	-0.412	-0.407	NA	NA	16	Huh-7
PCBP2	ENSG00000001036	FUCA2	protein_coding	5	6	11	PCBP2:CH55153	chr6	143503436	143503475	143503436	143503475	-	1	-0.412	-0.407	NA	NA	16	Huh-7
PCBP2	ENSG00000001036	FUCA2	protein_coding	5	6	11	PCBP2:CH55154	chr6	143504057	143504096	143504057	143504096	-	1	-0.412	-0.407	NA	NA	16	Huh-7
PCBP2	ENSG00000001084	GCLC	protein_coding	7	4	8	PCBP2:CH53956	chr6	53498150	53498312	53498150	53498312	-	2	0.577	NA	NA	NA	14	HepG2,Huh-7
PCBP2	ENSG00000001084	GCLC	protein_coding	7	4	8	PCBP2:CH53957	chr6	53510101	53510140	53510101	53510140	-	1	0.577	NA	NA	NA	14	HepG2
