#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
ACIN1	ENSG00000000419	DPM1	protein_coding	2	1	2	ACIN1:CH10530	chr20	50945857	50945896	50945857	50945896	-	1	NA	NA	NA	NA	18	HeLa
ACIN1	ENSG00000000419	DPM1	protein_coding	2	1	2	ACIN1:CH10531	chr20	50958471	50958510	50958471	50958510	-	1	NA	NA	NA	NA	18	HeLa
ACIN1	ENSG00000001084	GCLC	protein_coding	1	1	1	ACIN1:CH14227	chr6	53544232	53544271	53544232	53544271	-	1	NA	NA	NA	NA	16	HeLa
ACIN1	ENSG00000001497	LAS1L	protein_coding	3	2	4	ACIN1:CH17409	chrX	65512588	65512627	65512588	65512627	-	1	NA	NA	NA	NA	24	HeLa
ACIN1	ENSG00000001497	LAS1L	protein_coding	3	2	4	ACIN1:CH17410	chrX	65518058	65518097	65518058	65518097	-	1	NA	NA	NA	NA	24	HeLa
ACIN1	ENSG00000001497	LAS1L	protein_coding	3	2	4	ACIN1:CH17411	chrX	65524970	65525012	65524970	65525012	-	2	NA	NA	NA	NA	24	HeLa
ACIN1	ENSG00000001629	ANKIB1	protein_coding	6	5	9	ACIN1:CH15048	chr7	92294897	92294936	92294897	92294936	+	1	NA	NA	NA	NA	24	HeLa
ACIN1	ENSG00000001629	ANKIB1	protein_coding	6	5	9	ACIN1:CH15049	chr7	92319432	92319471	92319432	92319471	+	1	NA	NA	NA	NA	24	HeLa
ACIN1	ENSG00000001629	ANKIB1	protein_coding	6	5	9	ACIN1:CH15050	chr7	92327789	92327828	92327789	92327828	+	1	NA	NA	NA	NA	24	HeLa
ACIN1	ENSG00000001629	ANKIB1	protein_coding	6	5	9	ACIN1:CH15051	chr7	92345001	92345064	92345001	92345064	+	3	NA	NA	NA	NA	24	HeLa
ACIN1	ENSG00000001629	ANKIB1	protein_coding	6	5	9	ACIN1:CH15052	chr7	92351011	92351050	92351011	92351050	+	1	NA	NA	NA	NA	24	HeLa
ACIN1	ENSG00000001629	ANKIB1	protein_coding	6	5	9	ACIN1:CH15053	chr7	92362220	92362259	92362220	92362259	+	2	NA	NA	NA	NA	24	HeLa
ACIN1	ENSG00000001630	CYP51A1	protein_coding	2	2	2	ACIN1:CH15039	chr7	92113384	92113384	92113384	92113384	-	1	NA	NA	NA	NA	9	HeLa
ACIN1	ENSG00000001630	CYP51A1	protein_coding	2	2	2	ACIN1:CH15040	chr7	92113636	92113675	92113636	92113675	-	1	NA	NA	NA	NA	9	HeLa
ACIN1	ENSG00000001631	KRIT1	protein_coding	7	4	10	ACIN1:CH15041	chr7	92202241	92202280	92202241	92202280	-	1	NA	NA	NA	NA	31	HeLa
ACIN1	ENSG00000001631	KRIT1	protein_coding	7	4	10	ACIN1:CH15042	chr7	92213259	92213298	92213259	92213298	-	1	NA	NA	NA	NA	31	HeLa
ACIN1	ENSG00000001631	KRIT1	protein_coding	7	4	10	ACIN1:CH15043	chr7	92222835	92222874	92222835	92222874	-	1	NA	NA	NA	NA	31	HeLa
ACIN1	ENSG00000001631	KRIT1	protein_coding	7	4	10	ACIN1:CH15044	chr7	92226562	92226601	92226562	92226601	-	1	NA	NA	NA	NA	31	HeLa
ACIN1	ENSG00000001631	KRIT1	protein_coding	7	4	10	ACIN1:CH15045	chr7	92236471	92236510	92236471	92236510	-	1	NA	NA	NA	NA	31	HeLa
ACIN1	ENSG00000001631	KRIT1	protein_coding	7	4	10	ACIN1:CH15046	chr7	92241050	92241138	92241050	92241138	-	4	NA	NA	NA	NA	31	HeLa
ACIN1	ENSG00000001631	KRIT1	protein_coding	7	4	10	ACIN1:CH15047	chr7	92245796	92245835	92245796	92245835	-	1	NA	NA	NA	NA	31	HeLa
ACIN1	ENSG00000002822	MAD1L1	protein_coding	1	1	1	ACIN1:CH14614	chr7	2222647	2222686	2222647	2222686	-	1	NA	NA	NA	NA	18	HeLa
ACIN1	ENSG00000002834	LASP1	protein_coding	5	1	6	ACIN1:CH7142	chr17	38878125	38878164	38878125	38878164	+	1	NA	NA	NA	NA	21	HeLa
ACIN1	ENSG00000002834	LASP1	protein_coding	5	1	6	ACIN1:CH7143	chr17	38898437	38898476	38898437	38898476	+	1	NA	NA	NA	NA	21	HeLa
ACIN1	ENSG00000002834	LASP1	protein_coding	5	1	6	ACIN1:CH7144	chr17	38914384	38914423	38914384	38914423	+	1	NA	NA	NA	NA	21	HeLa
ACIN1	ENSG00000002834	LASP1	protein_coding	5	1	6	ACIN1:CH7145	chr17	38919864	38919903	38919864	38919903	+	1	NA	NA	NA	NA	21	HeLa
ACIN1	ENSG00000002834	LASP1	protein_coding	5	1	6	ACIN1:CH7146	chr17	38921439	38921661	38921439	38921661	+	1	NA	NA	NA	NA	21	HeLa
ACIN1	ENSG00000003056	M6PR	protein_coding	3	1	3	ACIN1:CH3959	chr12	8941657	8941696	8941657	8941696	-	1	NA	NA	NA	NA	18	HeLa
ACIN1	ENSG00000003056	M6PR	protein_coding	3	1	3	ACIN1:CH3960	chr12	8943851	8943890	8943851	8943890	-	1	NA	NA	NA	NA	18	HeLa
ACIN1	ENSG00000003056	M6PR	protein_coding	3	1	3	ACIN1:CH3961	chr12	8946301	8946340	8946301	8946340	-	1	NA	NA	NA	NA	18	HeLa
ACIN1	ENSG00000003096	KLHL13	protein_coding	2	1	2	ACIN1:CH17565	chrX	118062254	118062293	118062254	118062293	-	1	NA	NA	NA	NA	15	HeLa
ACIN1	ENSG00000003096	KLHL13	protein_coding	2	1	2	ACIN1:CH17566	chrX	118076710	118076749	118076710	118076749	-	1	NA	NA	NA	NA	15	HeLa
ACIN1	ENSG00000003436	TFPI	protein_coding	2	1	2	ACIN1:CH9944	chr2	187496896	187496935	187496896	187496935	-	1	NA	NA	NA	NA	14	HeLa
ACIN1	ENSG00000003436	TFPI	protein_coding	2	1	2	ACIN1:CH9945	chr2	187554240	187554279	187554240	187554279	-	1	NA	NA	NA	NA	14	HeLa
ACIN1	ENSG00000003509	NDUFAF7	protein_coding	3	2	3	ACIN1:CH9200	chr2	37241572	37241611	37241572	37241611	+	1	NA	NA	NA	NA	23	HeLa
ACIN1	ENSG00000003509	NDUFAF7	protein_coding	3	2	3	ACIN1:CH9201	chr2	37243936	37243936	37243936	37243936	+	1	NA	NA	NA	NA	23	HeLa
ACIN1	ENSG00000003509	NDUFAF7	protein_coding	3	2	3	ACIN1:CH9202	chr2	37248377	37248416	37248377	37248416	+	1	NA	NA	NA	NA	23	HeLa
ACIN1	ENSG00000003756	RBM5	protein_coding	10	5	22	ACIN1:CH11602	chr3	50099993	50100120	50099993	50100120	+	3	NA	NA	NA	NA	32	HeLa
ACIN1	ENSG00000003756	RBM5	protein_coding	10	5	22	ACIN1:CH11603	chr3	50103078	50103117	50103078	50103117	+	2	NA	NA	NA	NA	32	HeLa
ACIN1	ENSG00000003756	RBM5	protein_coding	10	5	22	ACIN1:CH11604	chr3	50104246	50104285	50104246	50104285	+	1	NA	NA	NA	NA	32	HeLa
ACIN1	ENSG00000003756	RBM5	protein_coding	10	5	22	ACIN1:CH11605	chr3	50105086	50105129	50105086	50105129	+	3	NA	NA	NA	NA	32	HeLa
ACIN1	ENSG00000003756	RBM5	protein_coding	10	5	22	ACIN1:CH11606	chr3	50105575	50105644	50105575	50105644	+	3	NA	NA	NA	NA	32	HeLa
ACIN1	ENSG00000003756	RBM5	protein_coding	10	5	22	ACIN1:CH11607	chr3	50106790	50106845	50106790	50106845	+	2	NA	NA	NA	NA	32	HeLa
ACIN1	ENSG00000003756	RBM5	protein_coding	10	5	22	ACIN1:CH11608	chr3	50108079	50108288	50108079	50108288	+	3	NA	NA	NA	NA	32	HeLa
ACIN1	ENSG00000003756	RBM5	protein_coding	10	5	22	ACIN1:CH11609	chr3	50110691	50110746	50110691	50110746	+	3	NA	NA	NA	NA	32	HeLa
ACIN1	ENSG00000003756	RBM5	protein_coding	10	5	22	ACIN1:CH11610	chr3	50115493	50115532	50115493	50115532	+	1	NA	NA	NA	NA	32	HeLa
ACIN1	ENSG00000003756	RBM5	protein_coding	10	5	22	ACIN1:CH11611	chr3	50117127	50117166	50117127	50117166	+	1	NA	NA	NA	NA	32	HeLa
ACIN1	ENSG00000003989	SLC7A2	protein_coding	9	4	14	ACIN1:CH15876	chr8	17522178	17522217	17522178	17522217	+	1	NA	NA	NA	NA	8	HeLa
ACIN1	ENSG00000003989	SLC7A2	protein_coding	9	4	14	ACIN1:CH15877	chr8	17523132	17523171	17523132	17523171	+	1	NA	NA	NA	NA	8	HeLa
ACIN1	ENSG00000003989	SLC7A2	protein_coding	9	4	14	ACIN1:CH15878	chr8	17544516	17544555	17544516	17544555	+	1	NA	NA	NA	NA	8	HeLa
