#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
PUM1	ENSG00000000971	CFH	protein_coding	1	1	1	PUM1:CH1386	chr1	196716238	196716277	196716238	196716277	+	1	NA	NA	NA	NA	17	HCT116
PUM1	ENSG00000001084	GCLC	protein_coding	2	2	4	PUM1:CH14763	chr6	53497677	53497716	53497677	53497716	-	1	0.691	0.467	NA	NA	27	HCT116
PUM1	ENSG00000001084	GCLC	protein_coding	2	2	4	PUM1:CH14764	chr6	53498380	53498500	53498380	53498500	-	2	0.691	0.467	NA	NA	27	HCT116
PUM1	ENSG00000001561	ENPP4	protein_coding	1	1	1	PUM1:CH14727	chr6	46145972	46146011	46145972	46146011	+	1	NA	NA	NA	NA	28	HCT116
PUM1	ENSG00000002330	BAD	protein_coding	1	1	1	PUM1:CH3046	chr11	64284207	64284246	64284207	64284246	-	1	0.932	-0.415	NA	NA	29	HCT116
PUM1	ENSG00000002587	HS3ST1	protein_coding	1	1	1	PUM1:CH12497	chr4	11399018	11399057	11399018	11399057	-	1	NA	NA	NA	NA	13	HCT116
PUM1	ENSG00000002726	AOC1	protein_coding	1	1	1	PUM1:CH16289	chr7	150845703	150845742	150845703	150845742	+	1	NA	NA	NA	NA	11	HCT116
PUM1	ENSG00000002745	WNT16	protein_coding	1	1	1	PUM1:CH16101	chr7	121340667	121340706	121340667	121340706	+	1	NA	NA	NA	NA	11	HCT116
PUM1	ENSG00000002822	MAD1L1	protein_coding	2	1	2	PUM1:CH15368	chr7	2063092	2063131	2063092	2063131	-	1	NA	-0.272	NA	NA	20	HCT116
PUM1	ENSG00000002822	MAD1L1	protein_coding	2	1	2	PUM1:CH15370	chr7	2209149	2209188	2209149	2209188	-	1	NA	-0.272	NA	NA	20	HCT116
PUM1	ENSG00000002834	LASP1	protein_coding	1	1	1	PUM1:CH7038	chr17	38878101	38878140	38878101	38878140	+	1	NA	NA	NA	NA	27	HCT116
PUM1	ENSG00000003056	M6PR	protein_coding	2	2	2	PUM1:CH3673	chr12	8940365	8940404	8940365	8940404	-	1	0.211	0.254	NA	NA	29	HCT116
PUM1	ENSG00000003056	M6PR	protein_coding	2	2	2	PUM1:CH3674	chr12	8949472	8949511	8949472	8949511	-	1	0.211	0.254	NA	NA	29	HCT116
PUM1	ENSG00000003147	ICA1	protein_coding	1	1	1	PUM1:CH15451	chr7	8247828	8247867	8247828	8247867	-	1	NA	NA	NA	NA	14	HCT116
PUM1	ENSG00000003402	CFLAR	protein_coding	1	1	2	PUM1:CH9851	chr2	201170637	201170695	201170637	201170695	+	1	NA	-0.172	NA	NA	27	HCT116
PUM1	ENSG00000003756	RBM5	protein_coding	1	2	2	PUM1:CH11579	chr3	50115441	50115481	50115441	50115481	+	2	-0.244	NA	NA	NA	27	HCT116
PUM1	ENSG00000004059	ARF5	protein_coding	1	1	1	PUM1:CH16134	chr7	127589086	127589125	127589086	127589125	+	1	NA	-0.297	NA	NA	28	HCT116
PUM1	ENSG00000004142	POLDIP2	protein_coding	1	1	1	PUM1:CH6954	chr17	28351647	28351686	28351647	28351686	-	1	-0.224	NA	NA	NA	17	HCT116
PUM1	ENSG00000004399	PLXND1	protein_coding	3	2	3	PUM1:CH12031	chr3	129574760	129574799	129574760	129574799	-	1	0.828	-0.261	NA	NA	19	HCT116
PUM1	ENSG00000004399	PLXND1	protein_coding	3	2	3	PUM1:CH12032	chr3	129583590	129583629	129583590	129583629	-	1	0.828	-0.261	NA	NA	19	HCT116
PUM1	ENSG00000004399	PLXND1	protein_coding	3	2	3	PUM1:CH12034	chr3	129598748	129598787	129598748	129598787	-	1	0.828	-0.261	NA	NA	19	HCT116
PUM1	ENSG00000004468	CD38	protein_coding	1	1	1	PUM1:CH12526	chr4	15832417	15832456	15832417	15832456	+	1	NA	NA	NA	NA	13	HCT116
PUM1	ENSG00000004478	FKBP4	protein_coding	5	3	5	PUM1:CH3606	chr12	2797157	2797196	2797157	2797196	+	1	NA	-0.078	NA	NA	12	HCT116
PUM1	ENSG00000004478	FKBP4	protein_coding	5	3	5	PUM1:CH3607	chr12	2798701	2798740	2798701	2798740	+	1	NA	-0.078	NA	NA	12	HCT116
PUM1	ENSG00000004478	FKBP4	protein_coding	5	3	5	PUM1:CH3608	chr12	2799092	2799131	2799092	2799131	+	1	NA	-0.078	NA	NA	12	HCT116
PUM1	ENSG00000004478	FKBP4	protein_coding	5	3	5	PUM1:CH3609	chr12	2800068	2800107	2800068	2800107	+	1	NA	-0.078	NA	NA	12	HCT116
PUM1	ENSG00000004478	FKBP4	protein_coding	5	3	5	PUM1:CH3611	chr12	2800411	2800450	2800411	2800450	+	1	NA	-0.078	NA	NA	12	HCT116
PUM1	ENSG00000004487	KDM1A	protein_coding	1	1	1	PUM1:CH275	chr1	23082243	23082282	23082243	23082282	+	1	-0.502	NA	NA	NA	28	HCT116
PUM1	ENSG00000004534	RBM6	protein_coding	1	1	1	PUM1:CH11578	chr3	50002774	50002813	50002774	50002813	+	1	-0.602	NA	NA	NA	17	HCT116
PUM1	ENSG00000004660	CAMKK1	protein_coding	1	1	1	PUM1:CH6741	chr17	3879815	3879854	3879815	3879854	-	1	NA	NA	NA	NA	13	HCT116
