#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
PTBP1	ENSG00000000003	TSPAN6	protein_coding	4	2	5	PTBP1:CH143815	chrX	100629151	100629190	100629151	100629190	-	1	NA	NA	NA	NA	10	HeLa
PTBP1	ENSG00000000003	TSPAN6	protein_coding	4	2	5	PTBP1:CH143816	chrX	100629519	100629789	100629519	100629789	-	2	NA	NA	NA	NA	10	HeLa
PTBP1	ENSG00000000003	TSPAN6	protein_coding	4	2	5	PTBP1:CH143817	chrX	100630817	100630856	100630817	100630856	-	1	NA	NA	NA	NA	10	HeLa
PTBP1	ENSG00000000003	TSPAN6	protein_coding	4	2	5	PTBP1:CH143818	chrX	100635630	100635669	100635630	100635669	-	1	NA	NA	NA	NA	10	HeLa
PTBP1	ENSG00000000419	DPM1	protein_coding	1	2	2	PTBP1:CH80924	chr20	50944400	50944457	50944400	50944457	-	2	-0.534	NA	NA	NA	25	HEK293T
PTBP1	ENSG00000000457	SCYL3	protein_coding	1	1	1	PTBP1:CH11358	chr1	169874898	169874937	169874898	169874937	-	1	NA	NA	NA	NA	20	HEK293T
PTBP1	ENSG00000000460	C1orf112	protein_coding	17	7	39	PTBP1:CH11338	chr1	169795096	169795135	169795096	169795135	+	1	NA	NA	NA	NA	27	HeLa
PTBP1	ENSG00000000460	C1orf112	protein_coding	17	7	39	PTBP1:CH11339	chr1	169795455	169795844	169795455	169795844	+	4	NA	NA	NA	NA	27	HEK293T,HeLa
PTBP1	ENSG00000000460	C1orf112	protein_coding	17	7	39	PTBP1:CH11340	chr1	169796712	169796751	169796712	169796751	+	1	NA	NA	NA	NA	27	HEK293T
PTBP1	ENSG00000000460	C1orf112	protein_coding	17	7	39	PTBP1:CH11341	chr1	169807246	169807298	169807246	169807298	+	3	NA	NA	NA	NA	27	HEK293T
PTBP1	ENSG00000000460	C1orf112	protein_coding	17	7	39	PTBP1:CH11342	chr1	169807868	169807907	169807868	169807907	+	1	NA	NA	NA	NA	27	HeLa
PTBP1	ENSG00000000460	C1orf112	protein_coding	17	7	39	PTBP1:CH11343	chr1	169808194	169808235	169808194	169808235	+	2	NA	NA	NA	NA	27	HEK293T
