#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
AUH	ENSG00000004399	PLXND1	protein_coding	1	1	1	AUH:CH1629	chr3	129555622	129555661	129555622	129555661	-	1	0.517	0.228	NA	NA	19	HepG2
AUH	ENSG00000005187	ACSM3	protein_coding	2	2	2	AUH:CH691	chr16	20683321	20683360	20683321	20683360	+	1	-0.219	0.493	NA	NA	23	HepG2
AUH	ENSG00000005187	ACSM3	protein_coding	2	2	2	AUH:CH692	chr16	20714694	20714733	20714694	20714733	+	1	-0.219	0.493	NA	NA	23	HepG2
AUH	ENSG00000005194	CIAPIN1	protein_coding	1	1	1	AUH:CH755	chr16	57446826	57446826	57446826	57446826	-	1	NA	NA	NA	NA	18	K562
AUH	ENSG00000006704	GTF2IRD1	protein_coding	1	1	1	AUH:CH2022	chr7	74596800	74596839	74596800	74596839	+	1	NA	NA	NA	NA	13	HepG2
AUH	ENSG00000007038	PRSS21	protein_coding	1	1	1	AUH:CH684	chr16	2819195	2819234	2819195	2819234	+	1	NA	-0.199	NA	NA	12	K562
AUH	ENSG00000007944	MYLIP	protein_coding	1	2	2	AUH:CH1865	chr6	16129141	16129187	16129141	16129187	+	2	NA	NA	NA	NA	19	K562
AUH	ENSG00000008441	NFIX	protein_coding	1	1	1	AUH:CH1046	chr19	13098531	13098570	13098531	13098570	+	1	-0.625	NA	NA	NA	13	HepG2
AUH	ENSG00000009950	MLXIPL	protein_coding	6	2	6	AUH:CH2014	chr7	73602040	73602079	73602040	73602079	-	1	-0.792	NA	NA	NA	20	HepG2
AUH	ENSG00000009950	MLXIPL	protein_coding	6	2	6	AUH:CH2015	chr7	73602990	73603029	73602990	73603029	-	1	-0.792	NA	NA	NA	20	HepG2
AUH	ENSG00000009950	MLXIPL	protein_coding	6	2	6	AUH:CH2016	chr7	73604357	73604396	73604357	73604396	-	1	-0.792	NA	NA	NA	20	HepG2
AUH	ENSG00000009950	MLXIPL	protein_coding	6	2	6	AUH:CH2018	chr7	73605768	73605807	73605768	73605807	-	1	-0.792	NA	NA	NA	20	HepG2
AUH	ENSG00000009950	MLXIPL	protein_coding	6	2	6	AUH:CH2019	chr7	73608717	73608756	73608717	73608756	-	1	-0.792	NA	NA	NA	20	HepG2
AUH	ENSG00000009950	MLXIPL	protein_coding	6	2	6	AUH:CH2021	chr7	73612112	73612151	73612112	73612151	-	1	-0.792	NA	NA	NA	20	HepG2
AUH	ENSG00000010256	UQCRC1	protein_coding	1	1	1	AUH:CH1601	chr3	48609572	48609611	48609572	48609611	-	1	NA	0.112	NA	NA	18	HepG2
AUH	ENSG00000011304	PTBP1	protein_coding	1	1	1	AUH:CH989	chr19	800956	800995	800956	800995	+	1	-0.549	NA	NA	NA	16	HepG2
AUH	ENSG00000011566	MAP4K3	protein_coding	1	1	1	AUH:CH1175	chr2	39437105	39437144	39437105	39437144	-	1	0.456	NA	NA	NA	25	HepG2
AUH	ENSG00000012504	NR1H4	protein_coding	1	1	1	AUH:CH516	chr12	100560835	100560874	100560835	100560874	+	1	-0.941	NA	NA	NA	11	HepG2
AUH	ENSG00000013441	CLK1	protein_coding	1	1	1	AUH:CH1269	chr2	200855041	200855080	200855041	200855080	-	1	-0.529	NA	NA	NA	24	HepG2
AUH	ENSG00000015479	MATR3	protein_coding	1	1	1	AUH:CH1823	chr5	139294121	139294160	139294121	139294160	+	1	-0.166	NA	NA	NA	27	K562
AUH	ENSG00000016391	CHDH	protein_coding	1	2	2	AUH:CH1616	chr3	53816768	53816807	53816768	53816807	-	2	NA	NA	NA	NA	16	HepG2
AUH	ENSG00000023839	ABCC2	protein_coding	3	2	4	AUH:CH222	chr10	99795078	99795121	99795078	99795121	+	2	NA	NA	NA	NA	16	HepG2
