#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
FKBP4	ENSG00000002822	MAD1L1	protein_coding	5	2	7	FKBP4:CH2240	chr7	1853532	1853571	1853532	1853571	-	1	NA	NA	NA	NA	17	HepG2
FKBP4	ENSG00000002822	MAD1L1	protein_coding	5	2	7	FKBP4:CH2241	chr7	1895398	1895437	1895398	1895437	-	1	NA	NA	NA	NA	17	HepG2
FKBP4	ENSG00000002822	MAD1L1	protein_coding	5	2	7	FKBP4:CH2242	chr7	1996203	1996251	1996203	1996251	-	2	NA	NA	NA	NA	17	HepG2
FKBP4	ENSG00000002822	MAD1L1	protein_coding	5	2	7	FKBP4:CH2243	chr7	2124627	2124707	2124627	2124707	-	2	NA	NA	NA	NA	17	HepG2
FKBP4	ENSG00000002822	MAD1L1	protein_coding	5	2	7	FKBP4:CH2244	chr7	2201744	2201783	2201744	2201783	-	1	NA	NA	NA	NA	17	HepG2
FKBP4	ENSG00000005206	SPPL2B	protein_coding	1	1	1	FKBP4:CH1239	chr19	2337934	2337973	2337934	2337973	+	1	0.431	-0.605	NA	NA	17	HepG2
FKBP4	ENSG00000006016	CRLF1	protein_coding	3	1	3	FKBP4:CH1290	chr19	18598846	18598885	18598846	18598885	-	1	NA	NA	NA	NA	12	HepG2
FKBP4	ENSG00000006016	CRLF1	protein_coding	3	1	3	FKBP4:CH1291	chr19	18605819	18605858	18605819	18605858	-	1	NA	NA	NA	NA	12	HepG2
FKBP4	ENSG00000006016	CRLF1	protein_coding	3	1	3	FKBP4:CH1292	chr19	18606661	18606700	18606661	18606700	-	1	NA	NA	NA	NA	12	HepG2
FKBP4	ENSG00000006459	KDM7A	protein_coding	1	1	1	FKBP4:CH2317	chr7	140176117	140176156	140176117	140176156	-	1	NA	0.725	NA	NA	14	HepG2
FKBP4	ENSG00000007392	LUC7L	protein_coding	1	1	1	FKBP4:CH580	chr16	229192	229231	229192	229231	-	1	NA	NA	NA	NA	17	HepG2
FKBP4	ENSG00000009950	MLXIPL	protein_coding	7	2	9	FKBP4:CH2282	chr7	73593704	73593743	73593704	73593743	-	1	NA	NA	NA	NA	16	HepG2
FKBP4	ENSG00000009950	MLXIPL	protein_coding	7	2	9	FKBP4:CH2283	chr7	73596521	73596578	73596521	73596578	-	2	NA	NA	NA	NA	16	HepG2
FKBP4	ENSG00000009950	MLXIPL	protein_coding	7	2	9	FKBP4:CH2284	chr7	73597213	73597252	73597213	73597252	-	1	NA	NA	NA	NA	16	HepG2
FKBP4	ENSG00000009950	MLXIPL	protein_coding	7	2	9	FKBP4:CH2285	chr7	73599946	73599985	73599946	73599985	-	1	NA	NA	NA	NA	16	HepG2
FKBP4	ENSG00000009950	MLXIPL	protein_coding	7	2	9	FKBP4:CH2286	chr7	73605990	73606040	73605990	73606040	-	2	NA	NA	NA	NA	16	HepG2
FKBP4	ENSG00000009950	MLXIPL	protein_coding	7	2	9	FKBP4:CH2287	chr7	73607023	73607062	73607023	73607062	-	1	NA	NA	NA	NA	16	HepG2
FKBP4	ENSG00000009950	MLXIPL	protein_coding	7	2	9	FKBP4:CH2289	chr7	73624439	73624439	73624439	73624439	-	1	NA	NA	NA	NA	16	HepG2
FKBP4	ENSG00000010322	NISCH	protein_coding	1	1	1	FKBP4:CH1941	chr3	52482404	52482443	52482404	52482443	+	1	NA	NA	NA	NA	18	HepG2
FKBP4	ENSG00000011304	PTBP1	protein_coding	4	2	5	FKBP4:CH1161	chr19	798810	798849	798810	798849	+	1	-0.552	-0.403	NA	NA	25	HepG2
FKBP4	ENSG00000011304	PTBP1	protein_coding	4	2	5	FKBP4:CH1162	chr19	802313	802352	802313	802352	+	1	-0.552	-0.403	NA	NA	25	HepG2
FKBP4	ENSG00000011304	PTBP1	protein_coding	4	2	5	FKBP4:CH1163	chr19	803372	803535	803372	803535	+	1	-0.552	-0.403	NA	NA	25	HepG2
FKBP4	ENSG00000011304	PTBP1	protein_coding	4	2	5	FKBP4:CH1164	chr19	808286	808325	808286	808325	+	1	-0.552	-0.403	NA	NA	25	HepG2
FKBP4	ENSG00000014164	ZC3H3	protein_coding	2	1	2	FKBP4:CH2360	chr8	143483575	143483614	143483575	143483614	-	1	NA	-0.836	NA	NA	19	HepG2
FKBP4	ENSG00000014164	ZC3H3	protein_coding	2	1	2	FKBP4:CH2361	chr8	143514571	143514610	143514571	143514610	-	1	NA	-0.836	NA	NA	19	HepG2
FKBP4	ENSG00000016391	CHDH	protein_coding	1	1	1	FKBP4:CH1945	chr3	53823897	53823936	53823897	53823936	-	1	0.507	NA	NA	NA	16	HepG2
FKBP4	ENSG00000023839	ABCC2	protein_coding	1	1	1	FKBP4:CH185	chr10	99817311	99817311	99817311	99817311	+	1	0.348	NA	NA	NA	11	HepG2
FKBP4	ENSG00000026036	RTEL1-TNFRSF6B	protein_coding	3	2	4	FKBP4:CH1716	chr20	63664426	63664465	63664426	63664465	+	1	NA	-1.547	NA	NA	15	HepG2
FKBP4	ENSG00000026036	RTEL1-TNFRSF6B	protein_coding	3	2	4	FKBP4:CH1718	chr20	63686684	63686732	63686684	63686732	+	2	NA	-1.547	NA	NA	15	HepG2
FKBP4	ENSG00000026036	RTEL1-TNFRSF6B	protein_coding	3	2	4	FKBP4:CH1719	chr20	63686979	63687018	63686979	63687018	+	1	NA	-1.547	NA	NA	15	HepG2
FKBP4	ENSG00000029993	HMGB3	protein_coding	1	1	1	FKBP4:CH2526	chrX	150983397	150983397	150983397	150983397	+	1	-0.696	-0.238	NA	NA	19	HepG2
FKBP4	ENSG00000035115	SH3YL1	protein_coding	1	2	2	FKBP4:CH1358	chr2	264294	264333	264294	264333	-	2	NA	0.809	NA	NA	15	HepG2
FKBP4	ENSG00000039068	CDH1	protein_coding	1	2	2	FKBP4:CH704	chr16	68742527	68742527	68742527	68742527	+	2	1.086	NA	NA	NA	9	HepG2
FKBP4	ENSG00000049759	NEDD4L	protein_coding	3	2	4	FKBP4:CH1137	chr18	58044346	58044385	58044346	58044385	+	2	0.226	NA	NA	NA	14	HepG2
FKBP4	ENSG00000049759	NEDD4L	protein_coding	3	2	4	FKBP4:CH1139	chr18	58044777	58044816	58044777	58044816	+	1	0.226	NA	NA	NA	14	HepG2
FKBP4	ENSG00000049759	NEDD4L	protein_coding	3	2	4	FKBP4:CH1140	chr18	58045303	58045342	58045303	58045342	+	1	0.226	NA	NA	NA	14	HepG2
FKBP4	ENSG00000050820	BCAR1	protein_coding	22	2	29	FKBP4:CH713	chr16	75236737	75236776	75236737	75236776	-	1	NA	NA	NA	NA	12	HepG2
FKBP4	ENSG00000050820	BCAR1	protein_coding	22	2	29	FKBP4:CH716	chr16	75238642	75238682	75238642	75238682	-	2	NA	NA	NA	NA	12	HepG2
FKBP4	ENSG00000050820	BCAR1	protein_coding	22	2	29	FKBP4:CH718	chr16	75241403	75241443	75241403	75241443	-	2	NA	NA	NA	NA	12	HepG2
FKBP4	ENSG00000050820	BCAR1	protein_coding	22	2	29	FKBP4:CH719	chr16	75242257	75242298	75242257	75242298	-	2	NA	NA	NA	NA	12	HepG2
FKBP4	ENSG00000050820	BCAR1	protein_coding	22	2	29	FKBP4:CH720	chr16	75244387	75244426	75244387	75244426	-	1	NA	NA	NA	NA	12	HepG2
FKBP4	ENSG00000050820	BCAR1	protein_coding	22	2	29	FKBP4:CH721	chr16	75245760	75245799	75245760	75245799	-	1	NA	NA	NA	NA	12	HepG2
FKBP4	ENSG00000050820	BCAR1	protein_coding	22	2	29	FKBP4:CH722	chr16	75246628	75246667	75246628	75246667	-	1	NA	NA	NA	NA	12	HepG2
FKBP4	ENSG00000050820	BCAR1	protein_coding	22	2	29	FKBP4:CH723	chr16	75247539	75247578	75247539	75247578	-	1	NA	NA	NA	NA	12	HepG2
FKBP4	ENSG00000050820	BCAR1	protein_coding	22	2	29	FKBP4:CH724	chr16	75248219	75248258	75248219	75248258	-	1	NA	NA	NA	NA	12	HepG2
FKBP4	ENSG00000050820	BCAR1	protein_coding	22	2	29	FKBP4:CH725	chr16	75248491	75248539	75248491	75248539	-	2	NA	NA	NA	NA	12	HepG2
FKBP4	ENSG00000050820	BCAR1	protein_coding	22	2	29	FKBP4:CH727	chr16	75249243	75249282	75249243	75249282	-	1	NA	NA	NA	NA	12	HepG2
FKBP4	ENSG00000050820	BCAR1	protein_coding	22	2	29	FKBP4:CH728	chr16	75249517	75249556	75249517	75249556	-	1	NA	NA	NA	NA	12	HepG2
FKBP4	ENSG00000050820	BCAR1	protein_coding	22	2	29	FKBP4:CH730	chr16	75250689	75250733	75250689	75250733	-	2	NA	NA	NA	NA	12	HepG2
FKBP4	ENSG00000050820	BCAR1	protein_coding	22	2	29	FKBP4:CH731	chr16	75251325	75251364	75251325	75251364	-	1	NA	NA	NA	NA	12	HepG2
FKBP4	ENSG00000050820	BCAR1	protein_coding	22	2	29	FKBP4:CH732	chr16	75251620	75251659	75251620	75251659	-	1	NA	NA	NA	NA	12	HepG2
FKBP4	ENSG00000050820	BCAR1	protein_coding	22	2	29	FKBP4:CH733	chr16	75252242	75252281	75252242	75252281	-	1	NA	NA	NA	NA	12	HepG2
FKBP4	ENSG00000050820	BCAR1	protein_coding	22	2	29	FKBP4:CH734	chr16	75252727	75252766	75252727	75252766	-	1	NA	NA	NA	NA	12	HepG2
FKBP4	ENSG00000050820	BCAR1	protein_coding	22	2	29	FKBP4:CH735	chr16	75253830	75253869	75253830	75253869	-	1	NA	NA	NA	NA	12	HepG2
FKBP4	ENSG00000050820	BCAR1	protein_coding	22	2	29	FKBP4:CH736	chr16	75261081	75261120	75261081	75261120	-	1	NA	NA	NA	NA	12	HepG2
FKBP4	ENSG00000050820	BCAR1	protein_coding	22	2	29	FKBP4:CH737	chr16	75261363	75261402	75261363	75261402	-	1	NA	NA	NA	NA	12	HepG2
FKBP4	ENSG00000050820	BCAR1	protein_coding	22	2	29	FKBP4:CH738	chr16	75262066	75262112	75262066	75262112	-	2	NA	NA	NA	NA	12	HepG2
FKBP4	ENSG00000050820	BCAR1	protein_coding	22	2	29	FKBP4:CH739	chr16	75263555	75263599	75263555	75263599	-	2	NA	NA	NA	NA	12	HepG2
FKBP4	ENSG00000051523	CYBA	protein_coding	4	2	5	FKBP4:CH821	chr16	88645155	88645194	88645155	88645194	-	1	NA	-1.187	NA	NA	17	HepG2
FKBP4	ENSG00000051523	CYBA	protein_coding	4	2	5	FKBP4:CH822	chr16	88646881	88646920	88646881	88646920	-	1	NA	-1.187	NA	NA	17	HepG2
FKBP4	ENSG00000051523	CYBA	protein_coding	4	2	5	FKBP4:CH823	chr16	88650094	88650146	88650094	88650146	-	2	NA	-1.187	NA	NA	17	HepG2
FKBP4	ENSG00000051523	CYBA	protein_coding	4	2	5	FKBP4:CH825	chr16	88650768	88650807	88650768	88650807	-	1	NA	-1.187	NA	NA	17	HepG2
FKBP4	ENSG00000053918	KCNQ1	protein_coding	1	1	1	FKBP4:CH256	chr11	2673878	2673917	2673878	2673917	+	1	NA	NA	NA	NA	16	HepG2
FKBP4	ENSG00000055917	PUM2	protein_coding	1	1	1	FKBP4:CH1363	chr2	20350674	20350713	20350674	20350713	-	1	NA	0.357	NA	NA	9	HepG2
