#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
ALYREF	ENSG00000000003	TSPAN6	protein_coding	3	3	5	ALYREF:CH123626	chrX	100631541	100631541	100631541	100631541	-	2	NA	NA	NA	NA	11	HEK293T
ALYREF	ENSG00000000003	TSPAN6	protein_coding	3	3	5	ALYREF:CH123627	chrX	100632931	100632931	100632931	100632931	-	2	NA	NA	NA	NA	11	HEK293T
ALYREF	ENSG00000000003	TSPAN6	protein_coding	3	3	5	ALYREF:CH123628	chrX	100635614	100635614	100635614	100635614	-	1	NA	NA	NA	NA	11	HEK293T
ALYREF	ENSG00000000419	DPM1	protein_coding	8	7	19	ALYREF:CH75293	chr20	50934922	50935086	50934922	50935086	-	6	NA	NA	NA	NA	23	HEK293T,HeLa
ALYREF	ENSG00000000419	DPM1	protein_coding	8	7	19	ALYREF:CH75294	chr20	50936178	50936238	50936178	50936238	-	2	NA	NA	NA	NA	23	HeLa
ALYREF	ENSG00000000419	DPM1	protein_coding	8	7	19	ALYREF:CH75295	chr20	50945914	50945914	50945914	50945914	-	1	NA	NA	NA	NA	23	HEK293T
ALYREF	ENSG00000000419	DPM1	protein_coding	8	7	19	ALYREF:CH75296	chr20	50951667	50951667	50951667	50951667	-	1	NA	NA	NA	NA	23	HEK293T
ALYREF	ENSG00000000419	DPM1	protein_coding	8	7	19	ALYREF:CH75297	chr20	50952688	50952688	50952688	50952688	-	1	NA	NA	NA	NA	23	HEK293T
ALYREF	ENSG00000000419	DPM1	protein_coding	8	7	19	ALYREF:CH75298	chr20	50953923	50953923	50953923	50953923	-	1	NA	NA	NA	NA	23	HEK293T
ALYREF	ENSG00000000419	DPM1	protein_coding	8	7	19	ALYREF:CH75299	chr20	50958080	50958080	50958080	50958080	-	1	NA	NA	NA	NA	23	HEK293T
ALYREF	ENSG00000000419	DPM1	protein_coding	8	7	19	ALYREF:CH75300	chr20	50958368	50958507	50958368	50958507	-	5	NA	NA	NA	NA	23	HEK293T,HeLa
ALYREF	ENSG00000000457	SCYL3	protein_coding	1	2	2	ALYREF:CH9429	chr1	169853128	169853197	169853128	169853197	-	2	NA	NA	NA	NA	23	HeLa
ALYREF	ENSG00000000460	C1orf112	protein_coding	18	8	33	ALYREF:CH9412	chr1	169795048	169795167	169795048	169795167	+	5	NA	NA	NA	NA	21	HEK293T,HeLa
ALYREF	ENSG00000000460	C1orf112	protein_coding	18	8	33	ALYREF:CH9413	chr1	169800914	169800914	169800914	169800914	+	1	NA	NA	NA	NA	21	HEK293T
ALYREF	ENSG00000000460	C1orf112	protein_coding	18	8	33	ALYREF:CH9414	chr1	169802618	169802618	169802618	169802618	+	1	NA	NA	NA	NA	21	HeLa
ALYREF	ENSG00000000460	C1orf112	protein_coding	18	8	33	ALYREF:CH9415	chr1	169803185	169803249	169803185	169803249	+	2	NA	NA	NA	NA	21	HeLa
ALYREF	ENSG00000000460	C1orf112	protein_coding	18	8	33	ALYREF:CH9416	chr1	169804104	169804170	169804104	169804170	+	4	NA	NA	NA	NA	21	HEK293T,HeLa
ALYREF	ENSG00000000460	C1orf112	protein_coding	18	8	33	ALYREF:CH9417	chr1	169807845	169807884	169807845	169807884	+	1	NA	NA	NA	NA	21	HeLa
ALYREF	ENSG00000000460	C1orf112	protein_coding	18	8	33	ALYREF:CH9418	chr1	169819122	169819122	169819122	169819122	+	1	NA	NA	NA	NA	21	HEK293T
ALYREF	ENSG00000000460	C1orf112	protein_coding	18	8	33	ALYREF:CH9419	chr1	169827060	169827106	169827060	169827106	+	1	NA	NA	NA	NA	21	HEK293T
ALYREF	ENSG00000000460	C1orf112	protein_coding	18	8	33	ALYREF:CH9420	chr1	169827748	169827787	169827748	169827787	+	1	NA	NA	NA	NA	21	HeLa
ALYREF	ENSG00000000460	C1orf112	protein_coding	18	8	33	ALYREF:CH9421	chr1	169830063	169830063	169830063	169830063	+	1	NA	NA	NA	NA	21	HEK293T
ALYREF	ENSG00000000460	C1orf112	protein_coding	18	8	33	ALYREF:CH9422	chr1	169830282	169830282	169830282	169830282	+	1	NA	NA	NA	NA	21	HEK293T
ALYREF	ENSG00000000460	C1orf112	protein_coding	18	8	33	ALYREF:CH9423	chr1	169835533	169835533	169835533	169835533	+	1	NA	NA	NA	NA	21	HEK293T
ALYREF	ENSG00000000460	C1orf112	protein_coding	18	8	33	ALYREF:CH9424	chr1	169837019	169837058	169837019	169837058	+	1	NA	NA	NA	NA	21	HeLa
ALYREF	ENSG00000000460	C1orf112	protein_coding	18	8	33	ALYREF:CH9425	chr1	169843712	169843712	169843712	169843712	+	1	NA	NA	NA	NA	21	HEK293T
ALYREF	ENSG00000000460	C1orf112	protein_coding	18	8	33	ALYREF:CH9426	chr1	169847703	169847703	169847703	169847703	+	1	NA	NA	NA	NA	21	HEK293T
ALYREF	ENSG00000000460	C1orf112	protein_coding	18	8	33	ALYREF:CH9427	chr1	169849544	169849544	169849544	169849544	+	1	NA	NA	NA	NA	21	HEK293T
ALYREF	ENSG00000000460	C1orf112	protein_coding	18	8	33	ALYREF:CH9428	chr1	169852890	169853041	169852890	169853041	+	3	NA	NA	NA	NA	21	HeLa
ALYREF	ENSG00000000460	C1orf112	protein_coding	18	8	33	ALYREF:CH9430	chr1	169853657	169853740	169853657	169853740	+	2	NA	NA	NA	NA	21	HEK293T
ALYREF	ENSG00000001036	FUCA2	protein_coding	4	7	10	ALYREF:CH104342	chr6	143495494	143495620	143495494	143495620	-	2	NA	NA	NA	NA	19	HeLa
