#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
MBNL1	ENSG00000000003	TSPAN6	protein_coding	1	1	1	MBNL1:CH32895	chrX	100629704	100629743	100629704	100629743	-	1	NA	NA	NA	NA	16	MDA-MB-231
MBNL1	ENSG00000000419	DPM1	protein_coding	1	1	1	MBNL1:CH19806	chr20	50958308	50958308	50958308	50958308	-	1	NA	0.446	NA	NA	21	MDA-MB-231
MBNL1	ENSG00000000457	SCYL3	protein_coding	1	1	1	MBNL1:CH2619	chr1	169869658	169869697	169869658	169869697	-	1	NA	NA	NA	NA	29	MDA-MB-231
MBNL1	ENSG00000000460	C1orf112	protein_coding	3	1	3	MBNL1:CH2616	chr1	169807090	169807129	169807090	169807129	+	1	NA	NA	NA	NA	24	MDA-MB-231
MBNL1	ENSG00000000460	C1orf112	protein_coding	3	1	3	MBNL1:CH2617	chr1	169808155	169808155	169808155	169808155	+	1	NA	NA	NA	NA	24	MDA-MB-231
MBNL1	ENSG00000000460	C1orf112	protein_coding	3	1	3	MBNL1:CH2618	chr1	169830698	169830737	169830698	169830737	+	1	NA	NA	NA	NA	24	MDA-MB-231
MBNL1	ENSG00000001036	FUCA2	protein_coding	2	1	2	MBNL1:CH27245	chr6	143503508	143503547	143503508	143503547	-	1	NA	0.242	NA	NA	15	MDA-MB-231
MBNL1	ENSG00000001036	FUCA2	protein_coding	2	1	2	MBNL1:CH27246	chr6	143511481	143511520	143511481	143511520	-	1	NA	0.242	NA	NA	15	MDA-MB-231
MBNL1	ENSG00000001084	GCLC	protein_coding	1	1	1	MBNL1:CH26954	chr6	53498163	53498202	53498163	53498202	-	1	NA	NA	NA	NA	23	MDA-MB-231
MBNL1	ENSG00000001167	NFYA	protein_coding	2	1	3	MBNL1:CH26607	chr6	41080927	41080966	41080927	41080966	+	1	NA	0.320	NA	NA	27	MDA-MB-231
MBNL1	ENSG00000001167	NFYA	protein_coding	2	1	3	MBNL1:CH26608	chr6	41095205	41095248	41095205	41095248	+	1	NA	0.320	NA	NA	27	MDA-MB-231
MBNL1	ENSG00000001461	NIPAL3	protein_coding	1	1	1	MBNL1:CH773	chr1	24438549	24438549	24438549	24438549	+	1	NA	-0.364	NA	NA	24	MDA-MB-231
