#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
CTCF	ENSG00000000003	TSPAN6	protein_coding	3	3	10	CTCF:CH79392	chrX	100629797	100629895	100629797	100629895	-	2	NA	NA	-0.348	NA	21	U2OS
CTCF	ENSG00000000003	TSPAN6	protein_coding	3	3	10	CTCF:CH79393	chrX	100633957	100633996	100633957	100633996	-	2	NA	NA	-0.348	NA	21	U2OS
CTCF	ENSG00000000003	TSPAN6	protein_coding	3	3	10	CTCF:CH79394	chrX	100635203	100635203	100635203	100635203	-	2	NA	NA	-0.348	NA	21	U2OS
CTCF	ENSG00000000419	DPM1	protein_coding	2	3	4	CTCF:CH46511	chr20	50955225	50955267	50955225	50955267	-	3	NA	NA	NA	NA	25	U2OS
CTCF	ENSG00000000419	DPM1	protein_coding	2	3	4	CTCF:CH46512	chr20	50958381	50958420	50958381	50958420	-	1	NA	NA	NA	NA	25	U2OS
CTCF	ENSG00000000457	SCYL3	protein_coding	2	2	3	CTCF:CH5472	chr1	169853503	169853503	169853503	169853503	-	2	NA	NA	NA	NA	32	U2OS
CTCF	ENSG00000000457	SCYL3	protein_coding	2	2	3	CTCF:CH5474	chr1	169865838	169865877	169865838	169865877	-	1	NA	NA	NA	NA	32	U2OS
CTCF	ENSG00000000460	C1orf112	protein_coding	2	3	5	CTCF:CH5470	chr1	169842478	169842518	169842478	169842518	+	3	NA	NA	NA	NA	31	U2OS
CTCF	ENSG00000000460	C1orf112	protein_coding	2	3	5	CTCF:CH5471	chr1	169849523	169849562	169849523	169849562	+	2	NA	NA	NA	NA	31	U2OS
CTCF	ENSG00000000971	CFH	protein_coding	2	3	6	CTCF:CH6104	chr1	196676003	196676049	196676003	196676049	+	3	NA	NA	NA	0.195	14	U2OS
CTCF	ENSG00000000971	CFH	protein_coding	2	3	6	CTCF:CH6105	chr1	196677463	196677518	196677463	196677518	+	2	NA	NA	NA	0.195	14	U2OS
CTCF	ENSG00000001036	FUCA2	protein_coding	1	2	2	CTCF:CH66165	chr6	143502040	143502040	143502040	143502040	-	2	NA	NA	NA	NA	10	U2OS
