#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
MTA1	ENSG00000000003	TSPAN6	protein_coding	2	1	2	MTA1:CH8426	chrX	100629920	100629959	100629920	100629959	-	1	NA	NA	NA	NA	12	HCT116
MTA1	ENSG00000000003	TSPAN6	protein_coding	2	1	2	MTA1:CH8427	chrX	100633448	100633487	100633448	100633487	-	1	NA	NA	NA	NA	12	HCT116
MTA1	ENSG00000001036	FUCA2	protein_coding	2	1	2	MTA1:CH7128	chr6	143495624	143495663	143495624	143495663	-	1	NA	NA	NA	NA	18	HCT116
MTA1	ENSG00000001036	FUCA2	protein_coding	2	1	2	MTA1:CH7129	chr6	143502432	143502471	143502432	143502471	-	1	NA	NA	NA	NA	18	HCT116
MTA1	ENSG00000001084	GCLC	protein_coding	1	1	1	MTA1:CH6965	chr6	53508604	53508643	53508604	53508643	-	1	NA	NA	NA	NA	13	HCT116
MTA1	ENSG00000001630	CYP51A1	protein_coding	3	1	3	MTA1:CH7395	chr7	92112402	92112441	92112402	92112441	-	1	NA	NA	NA	NA	14	HCT116
MTA1	ENSG00000001630	CYP51A1	protein_coding	3	1	3	MTA1:CH7396	chr7	92113722	92113761	92113722	92113761	-	1	NA	NA	NA	NA	14	HCT116
MTA1	ENSG00000001630	CYP51A1	protein_coding	3	1	3	MTA1:CH7397	chr7	92117107	92117146	92117107	92117146	-	1	NA	NA	NA	NA	14	HCT116
MTA1	ENSG00000002549	LAP3	protein_coding	1	1	1	MTA1:CH6101	chr4	17585014	17585053	17585014	17585053	+	1	NA	NA	NA	NA	22	HCT116
MTA1	ENSG00000002587	HS3ST1	protein_coding	1	1	1	MTA1:CH6098	chr4	11399078	11399117	11399078	11399117	-	1	NA	NA	NA	NA	11	HCT116
MTA1	ENSG00000002745	WNT16	protein_coding	1	1	1	MTA1:CH7488	chr7	121339437	121339476	121339437	121339476	+	1	NA	NA	NA	NA	13	HCT116
MTA1	ENSG00000003056	M6PR	protein_coding	3	1	3	MTA1:CH1809	chr12	8941163	8941202	8941163	8941202	-	1	NA	NA	NA	NA	18	HCT116
MTA1	ENSG00000003056	M6PR	protein_coding	3	1	3	MTA1:CH1810	chr12	8942404	8942443	8942404	8942443	-	1	NA	NA	NA	NA	18	HCT116
MTA1	ENSG00000003056	M6PR	protein_coding	3	1	3	MTA1:CH1811	chr12	8946322	8946361	8946322	8946361	-	1	NA	NA	NA	NA	18	HCT116
MTA1	ENSG00000003393	ALS2	protein_coding	2	1	2	MTA1:CH4916	chr2	201700837	201700876	201700837	201700876	-	1	NA	NA	NA	NA	23	HCT116
MTA1	ENSG00000003393	ALS2	protein_coding	2	1	2	MTA1:CH4917	chr2	201757551	201757590	201757551	201757590	-	1	NA	NA	NA	NA	23	HCT116
