#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
FUBP1	ENSG00000000003	TSPAN6	protein_coding	2	1	2	FUBP1:CH25897	chrX	100629169	100629208	100629169	100629208	-	1	-0.394	NA	NA	NA	17	HEK293T
FUBP1	ENSG00000000003	TSPAN6	protein_coding	2	1	2	FUBP1:CH25898	chrX	100629764	100629803	100629764	100629803	-	1	-0.394	NA	NA	NA	17	HEK293T
FUBP1	ENSG00000000419	DPM1	protein_coding	1	1	1	FUBP1:CH14111	chr20	50934867	50934906	50934867	50934906	-	1	-0.531	-0.887	NA	NA	27	HEK293T
FUBP1	ENSG00000000460	C1orf112	protein_coding	2	2	4	FUBP1:CH1805	chr1	169808345	169808384	169808345	169808384	+	1	-0.719	-0.815	NA	NA	32	HEK293T
FUBP1	ENSG00000000460	C1orf112	protein_coding	2	2	4	FUBP1:CH1806	chr1	169821240	169821508	169821240	169821508	+	2	-0.719	-0.815	NA	NA	32	HEK293T
FUBP1	ENSG00000001084	GCLC	protein_coding	1	1	1	FUBP1:CH20249	chr6	53498275	53498314	53498275	53498314	-	1	1.018	NA	NA	NA	28	HEK293T
FUBP1	ENSG00000001561	ENPP4	protein_coding	2	1	2	FUBP1:CH20214	chr6	46143770	46143809	46143770	46143809	+	1	NA	NA	NA	NA	30	HEK293T
FUBP1	ENSG00000001561	ENPP4	protein_coding	2	1	2	FUBP1:CH20215	chr6	46146501	46146540	46146501	46146540	+	1	NA	NA	NA	NA	30	HEK293T
FUBP1	ENSG00000001629	ANKIB1	protein_coding	7	1	7	FUBP1:CH22291	chr7	92254335	92254374	92254335	92254374	+	1	NA	0.197	NA	NA	32	HEK293T
FUBP1	ENSG00000001629	ANKIB1	protein_coding	7	1	7	FUBP1:CH22292	chr7	92292937	92292976	92292937	92292976	+	1	NA	0.197	NA	NA	32	HEK293T
