#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
G3BP2	ENSG00000000460	C1orf112	protein_coding	1	1	1	G3BP2:CH320	chr1	169832421	169832460	169832421	169832460	+	1	NA	NA	NA	NA	30	HEK293T
G3BP2	ENSG00000001630	CYP51A1	protein_coding	1	1	1	G3BP2:CH3022	chr7	92123211	92123250	92123211	92123250	-	1	-0.412	0.373	NA	NA	27	HEK293T
G3BP2	ENSG00000001631	KRIT1	protein_coding	2	2	3	G3BP2:CH3023	chr7	92202234	92202273	92202234	92202273	-	2	NA	0.476	NA	NA	31	HEK293T
G3BP2	ENSG00000001631	KRIT1	protein_coding	2	2	3	G3BP2:CH3024	chr7	92222004	92222043	92222004	92222043	-	1	NA	0.476	NA	NA	31	HEK293T
G3BP2	ENSG00000002834	LASP1	protein_coding	1	1	1	G3BP2:CH1499	chr17	38920035	38920074	38920035	38920074	+	1	NA	-0.397	NA	NA	23	HEK293T
G3BP2	ENSG00000004142	POLDIP2	protein_coding	1	2	2	G3BP2:CH1473	chr17	28348034	28348074	28348034	28348074	-	2	-0.329	-0.735	NA	NA	16	HEK293T
G3BP2	ENSG00000004399	PLXND1	protein_coding	1	1	1	G3BP2:CH2438	chr3	129555877	129555916	129555877	129555916	-	1	NA	-1.347	NA	NA	13	HEK293T
G3BP2	ENSG00000004455	AK2	protein_coding	2	2	3	G3BP2:CH91	chr1	33011361	33011400	33011361	33011400	-	1	-0.845	NA	NA	NA	15	HEK293T
G3BP2	ENSG00000004455	AK2	protein_coding	2	2	3	G3BP2:CH92	chr1	33013291	33013330	33013291	33013330	-	2	-0.845	NA	NA	NA	15	HEK293T
G3BP2	ENSG00000004487	KDM1A	protein_coding	1	2	2	G3BP2:CH47	chr1	23073351	23073390	23073351	23073390	+	2	0.186	0.182	NA	NA	23	HEK293T
G3BP2	ENSG00000005022	SLC25A5	protein_coding	1	2	2	G3BP2:CH3500	chrX	119469775	119469814	119469775	119469814	+	2	-0.424	-0.342	NA	NA	22	HEK293T
G3BP2	ENSG00000005194	CIAPIN1	protein_coding	1	1	1	G3BP2:CH1336	chr16	57428616	57428655	57428616	57428655	-	1	NA	-0.404	NA	NA	19	HEK293T
G3BP2	ENSG00000005339	CREBBP	protein_coding	1	1	1	G3BP2:CH1279	chr16	3770928	3770967	3770928	3770967	-	1	0.375	-0.270	NA	NA	29	HEK293T
G3BP2	ENSG00000005436	GCFC2	protein_coding	1	1	1	G3BP2:CH1970	chr2	75702302	75702341	75702302	75702341	-	1	NA	0.583	NA	NA	25	HEK293T
G3BP2	ENSG00000005810	MYCBP2	protein_coding	1	1	1	G3BP2:CH1040	chr13	77185132	77185171	77185132	77185171	-	1	NA	NA	NA	NA	31	HEK293T
G3BP2	ENSG00000005884	ITGA3	protein_coding	1	1	1	G3BP2:CH1547	chr17	50079220	50079259	50079220	50079259	+	1	NA	NA	NA	NA	15	HEK293T
G3BP2	ENSG00000005893	LAMP2	protein_coding	1	1	1	G3BP2:CH3503	chrX	120447922	120447961	120447922	120447961	-	1	-0.262	0.513	NA	NA	29	HEK293T
G3BP2	ENSG00000006125	AP2B1	protein_coding	1	1	1	G3BP2:CH1496	chr17	35724277	35724316	35724277	35724316	+	1	-0.179	0.182	NA	NA	31	HEK293T
G3BP2	ENSG00000006327	TNFRSF12A	protein_coding	1	1	1	G3BP2:CH1275	chr16	3021841	3021880	3021841	3021880	+	1	-0.596	-1.958	NA	NA	15	HEK293T
G3BP2	ENSG00000006611	USH1C	protein_coding	1	1	1	G3BP2:CH574	chr11	17493960	17493999	17493960	17493999	-	1	NA	NA	NA	NA	12	HEK293T
G3BP2	ENSG00000006652	IFRD1	protein_coding	1	1	1	G3BP2:CH3047	chr7	112476887	112476926	112476887	112476926	+	1	-0.404	0.729	NA	NA	21	HEK293T
