#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
DDX3X	ENSG00000000003	TSPAN6	protein_coding	3	10	22	DDX3X:CH78006	chrX	100629563	100629605	100629563	100629605	-	3	0.467	NA	NA	NA	17	HEK293
DDX3X	ENSG00000000003	TSPAN6	protein_coding	3	10	22	DDX3X:CH78007	chrX	100635628	100635720	100635628	100635720	-	8	0.467	NA	NA	NA	17	HEK293
DDX3X	ENSG00000000003	TSPAN6	protein_coding	3	10	22	DDX3X:CH78008	chrX	100636660	100636722	100636660	100636722	-	10	0.467	NA	NA	NA	17	HEK293
DDX3X	ENSG00000000419	DPM1	protein_coding	5	12	25	DDX3X:CH48464	chr20	50935158	50935204	50935158	50935204	-	6	-0.536	-0.460	NA	NA	24	HEK293
DDX3X	ENSG00000000419	DPM1	protein_coding	5	12	25	DDX3X:CH48465	chr20	50936160	50936203	50936160	50936203	-	3	-0.536	-0.460	NA	NA	24	HEK293
DDX3X	ENSG00000000419	DPM1	protein_coding	5	12	25	DDX3X:CH48466	chr20	50942022	50942061	50942022	50942061	-	1	-0.536	-0.460	NA	NA	24	HEK293
DDX3X	ENSG00000000419	DPM1	protein_coding	5	12	25	DDX3X:CH48467	chr20	50945835	50945874	50945835	50945874	-	1	-0.536	-0.460	NA	NA	24	HEK293
DDX3X	ENSG00000000419	DPM1	protein_coding	5	12	25	DDX3X:CH48468	chr20	50958452	50958533	50958452	50958533	-	12	-0.536	-0.460	NA	NA	24	HEK293,K562
DDX3X	ENSG00000000457	SCYL3	protein_coding	1	4	4	DDX3X:CH6416	chr1	169893834	169893874	169893834	169893874	-	4	1.494	NA	NA	NA	31	HEK293
DDX3X	ENSG00000000460	C1orf112	protein_coding	1	5	5	DDX3X:CH6415	chr1	169795049	169795139	169795049	169795139	+	5	-1.788	-0.638	NA	NA	29	HEK293
DDX3X	ENSG00000000971	CFH	protein_coding	1	1	1	DDX3X:CH6947	chr1	196652072	196652111	196652072	196652111	+	1	NA	NA	NA	NA	22	K562
DDX3X	ENSG00000001036	FUCA2	protein_coding	5	12	29	DDX3X:CH66190	chr6	143495771	143495810	143495771	143495810	-	1	0.272	NA	NA	NA	13	HEK293
DDX3X	ENSG00000001036	FUCA2	protein_coding	5	12	29	DDX3X:CH66191	chr6	143501987	143502042	143501987	143502042	-	5	0.272	NA	NA	NA	13	HEK293
DDX3X	ENSG00000001036	FUCA2	protein_coding	5	12	29	DDX3X:CH66192	chr6	143503947	143504132	143503947	143504132	-	4	0.272	NA	NA	NA	13	HEK293
DDX3X	ENSG00000001036	FUCA2	protein_coding	5	12	29	DDX3X:CH66193	chr6	143507373	143507420	143507373	143507420	-	5	0.272	NA	NA	NA	13	HEK293,K562
DDX3X	ENSG00000001036	FUCA2	protein_coding	5	12	29	DDX3X:CH66195	chr6	143511470	143511633	143511470	143511633	-	12	0.272	NA	NA	NA	13	HEK293,K562
DDX3X	ENSG00000001084	GCLC	protein_coding	6	5	9	DDX3X:CH64724	chr6	53514435	53514474	53514435	53514474	-	1	NA	NA	NA	NA	30	HEK293
DDX3X	ENSG00000001084	GCLC	protein_coding	6	5	9	DDX3X:CH64725	chr6	53520882	53520921	53520882	53520921	-	1	NA	NA	NA	NA	30	HEK293
DDX3X	ENSG00000001084	GCLC	protein_coding	6	5	9	DDX3X:CH64726	chr6	53522427	53522466	53522427	53522466	-	1	NA	NA	NA	NA	30	HEK293
DDX3X	ENSG00000001084	GCLC	protein_coding	6	5	9	DDX3X:CH64727	chr6	53544545	53544585	53544545	53544585	-	1	NA	NA	NA	NA	30	HEK293
DDX3X	ENSG00000001084	GCLC	protein_coding	6	5	9	DDX3X:CH64728	chr6	53544832	53545004	53544832	53545004	-	3	NA	NA	NA	NA	30	HEK293
DDX3X	ENSG00000001084	GCLC	protein_coding	6	5	9	DDX3X:CH64729	chr6	53578468	53578507	53578468	53578507	-	1	NA	NA	NA	NA	30	HEK293
DDX3X	ENSG00000001167	NFYA	protein_coding	10	12	28	DDX3X:CH64293	chr6	41072998	41073057	41072998	41073057	+	11	NA	NA	NA	NA	31	HEK293,K562
DDX3X	ENSG00000001167	NFYA	protein_coding	10	12	28	DDX3X:CH64294	chr6	41079036	41079100	41079036	41079100	+	6	NA	NA	NA	NA	31	HEK293,K562
DDX3X	ENSG00000001167	NFYA	protein_coding	10	12	28	DDX3X:CH64295	chr6	41084149	41084188	41084149	41084188	+	1	NA	NA	NA	NA	31	HEK293
DDX3X	ENSG00000001167	NFYA	protein_coding	10	12	28	DDX3X:CH64296	chr6	41089594	41089633	41089594	41089633	+	1	NA	NA	NA	NA	31	HEK293
DDX3X	ENSG00000001167	NFYA	protein_coding	10	12	28	DDX3X:CH64297	chr6	41090198	41090237	41090198	41090237	+	1	NA	NA	NA	NA	31	HEK293
DDX3X	ENSG00000001167	NFYA	protein_coding	10	12	28	DDX3X:CH64298	chr6	41097419	41097460	41097419	41097460	+	2	NA	NA	NA	NA	31	HEK293
DDX3X	ENSG00000001167	NFYA	protein_coding	10	12	28	DDX3X:CH64299	chr6	41098088	41098127	41098088	41098127	+	1	NA	NA	NA	NA	31	HEK293
DDX3X	ENSG00000001167	NFYA	protein_coding	10	12	28	DDX3X:CH64300	chr6	41098441	41098441	41098441	41098441	+	1	NA	NA	NA	NA	31	HEK293
DDX3X	ENSG00000001167	NFYA	protein_coding	10	12	28	DDX3X:CH64301	chr6	41098807	41098846	41098807	41098846	+	1	NA	NA	NA	NA	31	HEK293
DDX3X	ENSG00000001167	NFYA	protein_coding	10	12	28	DDX3X:CH64302	chr6	41099420	41099472	41099420	41099472	+	2	NA	NA	NA	NA	31	HEK293
DDX3X	ENSG00000001460	STPG1	protein_coding	1	2	2	DDX3X:CH1624	chr1	24413696	24413742	24413696	24413742	-	2	NA	NA	NA	NA	17	HEK293
DDX3X	ENSG00000001461	NIPAL3	protein_coding	14	10	38	DDX3X:CH1625	chr1	24415804	24415860	24415804	24415860	+	10	1.033	-0.220	NA	NA	29	HEK293
DDX3X	ENSG00000001461	NIPAL3	protein_coding	14	10	38	DDX3X:CH1626	chr1	24419333	24419547	24419333	24419547	+	7	1.033	-0.220	NA	NA	29	HEK293
DDX3X	ENSG00000001461	NIPAL3	protein_coding	14	10	38	DDX3X:CH1627	chr1	24440181	24440220	24440181	24440220	+	2	1.033	-0.220	NA	NA	29	HEK293
DDX3X	ENSG00000001461	NIPAL3	protein_coding	14	10	38	DDX3X:CH1628	chr1	24442124	24442163	24442124	24442163	+	2	1.033	-0.220	NA	NA	29	HEK293
DDX3X	ENSG00000001461	NIPAL3	protein_coding	14	10	38	DDX3X:CH1629	chr1	24449502	24449541	24449502	24449541	+	1	1.033	-0.220	NA	NA	29	HEK293
DDX3X	ENSG00000001461	NIPAL3	protein_coding	14	10	38	DDX3X:CH1630	chr1	24458929	24458929	24458929	24458929	+	1	1.033	-0.220	NA	NA	29	HEK293
DDX3X	ENSG00000001461	NIPAL3	protein_coding	14	10	38	DDX3X:CH1631	chr1	24469213	24469252	24469213	24469252	+	1	1.033	-0.220	NA	NA	29	HEK293
DDX3X	ENSG00000001461	NIPAL3	protein_coding	14	10	38	DDX3X:CH1632	chr1	24469878	24469917	24469878	24469917	+	2	1.033	-0.220	NA	NA	29	HEK293
DDX3X	ENSG00000001461	NIPAL3	protein_coding	14	10	38	DDX3X:CH1633	chr1	24470371	24470410	24470371	24470410	+	1	1.033	-0.220	NA	NA	29	HEK293
DDX3X	ENSG00000001461	NIPAL3	protein_coding	14	10	38	DDX3X:CH1634	chr1	24471228	24471275	24471228	24471275	+	2	1.033	-0.220	NA	NA	29	HEK293
DDX3X	ENSG00000001461	NIPAL3	protein_coding	14	10	38	DDX3X:CH1635	chr1	24471545	24471762	24471545	24471762	+	4	1.033	-0.220	NA	NA	29	HEK293
DDX3X	ENSG00000001461	NIPAL3	protein_coding	14	10	38	DDX3X:CH1636	chr1	24472021	24472060	24472021	24472060	+	1	1.033	-0.220	NA	NA	29	HEK293
DDX3X	ENSG00000001461	NIPAL3	protein_coding	14	10	38	DDX3X:CH1637	chr1	24472291	24472477	24472291	24472477	+	2	1.033	-0.220	NA	NA	29	HEK293
DDX3X	ENSG00000001461	NIPAL3	protein_coding	14	10	38	DDX3X:CH1638	chr1	24472795	24472834	24472795	24472834	+	1	1.033	-0.220	NA	NA	29	HEK293
DDX3X	ENSG00000001497	LAS1L	protein_coding	8	12	27	DDX3X:CH77512	chrX	65512757	65512796	65512757	65512796	-	1	-0.711	NA	NA	NA	15	HEK293
DDX3X	ENSG00000001497	LAS1L	protein_coding	8	12	27	DDX3X:CH77513	chrX	65518112	65518212	65518112	65518212	-	4	-0.711	NA	NA	NA	15	HEK293
DDX3X	ENSG00000001497	LAS1L	protein_coding	8	12	27	DDX3X:CH77514	chrX	65524119	65524159	65524119	65524159	-	2	-0.711	NA	NA	NA	15	HEK293
DDX3X	ENSG00000001497	LAS1L	protein_coding	8	12	27	DDX3X:CH77515	chrX	65524995	65525034	65524995	65525034	-	1	-0.711	NA	NA	NA	15	HEK293
DDX3X	ENSG00000001497	LAS1L	protein_coding	8	12	27	DDX3X:CH77516	chrX	65529767	65529807	65529767	65529807	-	2	-0.711	NA	NA	NA	15	HEK293
DDX3X	ENSG00000001497	LAS1L	protein_coding	8	12	27	DDX3X:CH77517	chrX	65531388	65531427	65531388	65531427	-	1	-0.711	NA	NA	NA	15	HEK293
DDX3X	ENSG00000001497	LAS1L	protein_coding	8	12	27	DDX3X:CH77518	chrX	65533643	65533682	65533643	65533682	-	1	-0.711	NA	NA	NA	15	HEK293
DDX3X	ENSG00000001497	LAS1L	protein_coding	8	12	27	DDX3X:CH77519	chrX	65534495	65534757	65534495	65534757	-	12	-0.711	NA	NA	NA	15	HEK293,K562
DDX3X	ENSG00000001561	ENPP4	protein_coding	2	9	11	DDX3X:CH64613	chr6	46130065	46130171	46130065	46130171	+	9	3.822	NA	NA	NA	29	HEK293
DDX3X	ENSG00000001561	ENPP4	protein_coding	2	9	11	DDX3X:CH64614	chr6	46139663	46139720	46139663	46139720	+	2	3.822	NA	NA	NA	29	HEK293
DDX3X	ENSG00000001617	SEMA3F	protein_coding	1	1	1	DDX3X:CH53723	chr3	50159623	50159662	50159623	50159662	+	1	0.391	NA	NA	NA	15	HEK293
DDX3X	ENSG00000001629	ANKIB1	protein_coding	1	5	6	DDX3X:CH68609	chr7	92246023	92246508	92246023	92246508	+	5	0.543	NA	NA	NA	31	HEK293,K562
DDX3X	ENSG00000001630	CYP51A1	protein_coding	4	13	30	DDX3X:CH68601	chr7	92113172	92113220	92113172	92113220	-	6	-0.253	NA	NA	NA	28	HEK293
DDX3X	ENSG00000001630	CYP51A1	protein_coding	4	13	30	DDX3X:CH68602	chr7	92128977	92129023	92128977	92129023	-	3	-0.253	NA	NA	NA	28	HEK293
DDX3X	ENSG00000001630	CYP51A1	protein_coding	4	13	30	DDX3X:CH68603	chr7	92131785	92131824	92131785	92131824	-	1	-0.253	NA	NA	NA	28	HEK293
DDX3X	ENSG00000001630	CYP51A1	protein_coding	4	13	30	DDX3X:CH68604	chr7	92134326	92134449	92134326	92134449	-	13	-0.253	NA	NA	NA	28	HEK293,K562
DDX3X	ENSG00000001631	KRIT1	protein_coding	3	10	15	DDX3X:CH68606	chr7	92200562	92200610	92200562	92200610	-	2	NA	NA	NA	NA	31	HEK293
