#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
PRPF8	ENSG00000000003	TSPAN6	protein_coding	3	2	5	PRPF8:CH99475	chrX	100630722	100630763	100630722	100630763	-	2	NA	NA	NA	NA	15	HepG2
PRPF8	ENSG00000000003	TSPAN6	protein_coding	3	2	5	PRPF8:CH99476	chrX	100633892	100633931	100633892	100633931	-	1	NA	NA	NA	NA	15	HepG2
PRPF8	ENSG00000000003	TSPAN6	protein_coding	3	2	5	PRPF8:CH99477	chrX	100636567	100636607	100636567	100636607	-	2	NA	NA	NA	NA	15	HepG2
PRPF8	ENSG00000000419	DPM1	protein_coding	8	4	24	PRPF8:CH64140	chr20	50936010	50936148	50936010	50936148	-	3	-1.042	NA	NA	NA	19	HepG2,K562
PRPF8	ENSG00000000419	DPM1	protein_coding	8	4	24	PRPF8:CH64141	chr20	50940823	50940883	50940823	50940883	-	4	-1.042	NA	NA	NA	19	HepG2,K562
PRPF8	ENSG00000000419	DPM1	protein_coding	8	4	24	PRPF8:CH64143	chr20	50941968	50942037	50941968	50942037	-	2	-1.042	NA	NA	NA	19	HepG2
PRPF8	ENSG00000000419	DPM1	protein_coding	8	4	24	PRPF8:CH64144	chr20	50945556	50945842	50945556	50945842	-	2	-1.042	NA	NA	NA	19	HepG2,K562
PRPF8	ENSG00000000419	DPM1	protein_coding	8	4	24	PRPF8:CH64146	chr20	50948562	50948628	50948562	50948628	-	3	-1.042	NA	NA	NA	19	HepG2,K562
PRPF8	ENSG00000000419	DPM1	protein_coding	8	4	24	PRPF8:CH64148	chr20	50955092	50955144	50955092	50955144	-	3	-1.042	NA	NA	NA	19	HepG2,K562
PRPF8	ENSG00000000419	DPM1	protein_coding	8	4	24	PRPF8:CH64149	chr20	50955427	50955466	50955427	50955466	-	1	-1.042	NA	NA	NA	19	HepG2
PRPF8	ENSG00000000419	DPM1	protein_coding	8	4	24	PRPF8:CH64150	chr20	50958317	50958369	50958317	50958369	-	3	-1.042	NA	NA	NA	19	HepG2,K562
PRPF8	ENSG00000000457	SCYL3	protein_coding	3	2	4	PRPF8:CH7796	chr1	169864427	169864466	169864427	169864466	-	1	NA	NA	NA	NA	25	HepG2
PRPF8	ENSG00000000457	SCYL3	protein_coding	3	2	4	PRPF8:CH7797	chr1	169868879	169868922	169868879	169868922	-	2	NA	NA	NA	NA	25	HepG2
PRPF8	ENSG00000000457	SCYL3	protein_coding	3	2	4	PRPF8:CH7798	chr1	169893749	169893788	169893749	169893788	-	1	NA	NA	NA	NA	25	HepG2
PRPF8	ENSG00000000460	C1orf112	protein_coding	12	4	23	PRPF8:CH7784	chr1	169795228	169795267	169795228	169795267	+	1	-1.475	NA	NA	NA	26	HepG2
PRPF8	ENSG00000000460	C1orf112	protein_coding	12	4	23	PRPF8:CH7785	chr1	169798986	169799025	169798986	169799025	+	1	-1.475	NA	NA	NA	26	K562
PRPF8	ENSG00000000460	C1orf112	protein_coding	12	4	23	PRPF8:CH7786	chr1	169803285	169803324	169803285	169803324	+	1	-1.475	NA	NA	NA	26	HepG2
PRPF8	ENSG00000000460	C1orf112	protein_coding	12	4	23	PRPF8:CH7787	chr1	169804236	169804285	169804236	169804285	+	2	-1.475	NA	NA	NA	26	HepG2,K562
PRPF8	ENSG00000000460	C1orf112	protein_coding	12	4	23	PRPF8:CH7788	chr1	169808075	169808114	169808075	169808114	+	1	-1.475	NA	NA	NA	26	K562
PRPF8	ENSG00000000460	C1orf112	protein_coding	12	4	23	PRPF8:CH7789	chr1	169829447	169829488	169829447	169829488	+	2	-1.475	NA	NA	NA	26	HepG2,K562
PRPF8	ENSG00000000460	C1orf112	protein_coding	12	4	23	PRPF8:CH7790	chr1	169830732	169830771	169830732	169830771	+	1	-1.475	NA	NA	NA	26	K562
PRPF8	ENSG00000000460	C1orf112	protein_coding	12	4	23	PRPF8:CH7791	chr1	169832508	169832666	169832508	169832666	+	3	-1.475	NA	NA	NA	26	HepG2,K562
PRPF8	ENSG00000000460	C1orf112	protein_coding	12	4	23	PRPF8:CH7792	chr1	169836944	169837137	169836944	169837137	+	2	-1.475	NA	NA	NA	26	HepG2,K562
PRPF8	ENSG00000000460	C1orf112	protein_coding	12	4	23	PRPF8:CH7793	chr1	169843763	169843806	169843763	169843806	+	2	-1.475	NA	NA	NA	26	HepG2,K562
PRPF8	ENSG00000000460	C1orf112	protein_coding	12	4	23	PRPF8:CH7794	chr1	169851785	169851979	169851785	169851979	+	4	-1.475	NA	NA	NA	26	HepG2,K562
PRPF8	ENSG00000000460	C1orf112	protein_coding	12	4	23	PRPF8:CH7795	chr1	169852823	169852862	169852823	169852862	+	1	-1.475	NA	NA	NA	26	HepG2
PRPF8	ENSG00000000971	CFH	protein_coding	4	2	8	PRPF8:CH8288	chr1	196673144	196673194	196673144	196673194	+	2	NA	-0.157	NA	-0.200	12	K562
PRPF8	ENSG00000000971	CFH	protein_coding	4	2	8	PRPF8:CH8290	chr1	196685218	196685271	196685218	196685271	+	2	NA	-0.157	NA	-0.200	12	K562
PRPF8	ENSG00000000971	CFH	protein_coding	4	2	8	PRPF8:CH8291	chr1	196690232	196690276	196690232	196690276	+	2	NA	-0.157	NA	-0.200	12	K562
PRPF8	ENSG00000000971	CFH	protein_coding	4	2	8	PRPF8:CH8292	chr1	196715755	196715800	196715755	196715800	+	2	NA	-0.157	NA	-0.200	12	K562
PRPF8	ENSG00000001036	FUCA2	protein_coding	5	4	14	PRPF8:CH84956	chr6	143497368	143497407	143497368	143497407	-	1	NA	NA	NA	NA	10	HepG2
PRPF8	ENSG00000001036	FUCA2	protein_coding	5	4	14	PRPF8:CH84957	chr6	143502316	143502355	143502316	143502355	-	1	NA	NA	NA	NA	10	HepG2
PRPF8	ENSG00000001036	FUCA2	protein_coding	5	4	14	PRPF8:CH84958	chr6	143503861	143503925	143503861	143503925	-	4	NA	NA	NA	NA	10	HepG2,K562
PRPF8	ENSG00000001036	FUCA2	protein_coding	5	4	14	PRPF8:CH84959	chr6	143507196	143507293	143507196	143507293	-	3	NA	NA	NA	NA	10	HepG2,K562
PRPF8	ENSG00000001036	FUCA2	protein_coding	5	4	14	PRPF8:CH84961	chr6	143511383	143511427	143511383	143511427	-	4	NA	NA	NA	NA	10	HepG2,K562
PRPF8	ENSG00000001084	GCLC	protein_coding	11	3	20	PRPF8:CH83598	chr6	53500246	53500355	53500246	53500355	-	2	NA	0.589	NA	NA	25	HepG2
PRPF8	ENSG00000001084	GCLC	protein_coding	11	3	20	PRPF8:CH83599	chr6	53505346	53505385	53505346	53505385	-	1	NA	0.589	NA	NA	25	HepG2
PRPF8	ENSG00000001084	GCLC	protein_coding	11	3	20	PRPF8:CH83600	chr6	53505759	53505809	53505759	53505809	-	2	NA	0.589	NA	NA	25	HepG2
PRPF8	ENSG00000001084	GCLC	protein_coding	11	3	20	PRPF8:CH83602	chr6	53506885	53506924	53506885	53506924	-	1	NA	0.589	NA	NA	25	HepG2
