#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
LUC7L2	ENSG00000003096	KLHL13	protein_coding	1	4	4	LUC7L2:CH877	chrX	117914355	117914355	117914355	117914355	-	4	NA	NA	NA	NA	16	HeLa,K562
LUC7L2	ENSG00000009335	UBE3C	protein_coding	1	1	1	LUC7L2:CH768	chr7	157139088	157139127	157139088	157139127	+	1	NA	NA	NA	NA	31	K562
LUC7L2	ENSG00000009954	BAZ1B	protein_coding	1	1	1	LUC7L2:CH751	chr7	73476912	73476951	73476912	73476951	-	1	NA	NA	NA	NA	30	K562
LUC7L2	ENSG00000010292	NCAPD2	protein_coding	1	2	2	LUC7L2:CH189	chr12	6510371	6510465	6510371	6510465	+	2	NA	NA	NA	NA	26	HeLa
LUC7L2	ENSG00000011052	NME1-NME2	protein_coding	1	2	2	LUC7L2:CH361	chr17	51166850	51166914	51166850	51166914	+	2	NA	NA	NA	NA	15	HeLa,K562
LUC7L2	ENSG00000012061	ERCC1	protein_coding	1	1	1	LUC7L2:CH441	chr19	45478697	45478697	45478697	45478697	-	1	NA	NA	NA	NA	23	HeLa
LUC7L2	ENSG00000026025	VIM	protein_coding	2	2	3	LUC7L2:CH102	chr10	17229335	17229484	17229335	17229484	+	2	NA	NA	NA	NA	14	HeLa
LUC7L2	ENSG00000026025	VIM	protein_coding	2	2	3	LUC7L2:CH103	chr10	17234727	17234766	17234727	17234766	+	1	NA	NA	NA	NA	14	HeLa
LUC7L2	ENSG00000028310	BRD9	protein_coding	3	2	5	LUC7L2:CH631	chr5	883978	884017	883978	884017	-	1	NA	NA	NA	NA	21	HeLa
LUC7L2	ENSG00000028310	BRD9	protein_coding	3	2	5	LUC7L2:CH632	chr5	891180	891225	891180	891225	-	2	NA	NA	NA	NA	21	HeLa
LUC7L2	ENSG00000028310	BRD9	protein_coding	3	2	5	LUC7L2:CH633	chr5	891676	891733	891676	891733	-	2	NA	NA	NA	NA	21	HeLa
LUC7L2	ENSG00000034510	TMSB10	protein_coding	2	2	4	LUC7L2:CH471	chr2	84906029	84906068	84906029	84906068	+	2	NA	NA	NA	NA	18	HeLa
LUC7L2	ENSG00000034510	TMSB10	protein_coding	2	2	4	LUC7L2:CH472	chr2	84906420	84906465	84906420	84906465	+	2	NA	NA	NA	NA	18	HeLa
LUC7L2	ENSG00000035928	RFC1	protein_coding	1	3	3	LUC7L2:CH616	chr4	39297721	39297721	39297721	39297721	-	3	NA	NA	NA	NA	23	HeLa,K562
LUC7L2	ENSG00000039068	CDH1	protein_coding	1	4	5	LUC7L2:CH309	chr16	68742467	68742471	68742467	68742471	+	4	NA	NA	NA	NA	10	HeLa,K562
LUC7L2	ENSG00000039560	RAI14	protein_coding	1	4	7	LUC7L2:CH641	chr5	34802269	34802300	34802269	34802300	+	4	NA	NA	NA	NA	15	HeLa,K562
LUC7L2	ENSG00000044574	HSPA5	protein_coding	2	3	4	LUC7L2:CH817	chr9	125236634	125236690	125236634	125236690	-	3	NA	NA	NA	NA	18	HeLa,K562
LUC7L2	ENSG00000044574	HSPA5	protein_coding	2	3	4	LUC7L2:CH818	chr9	125241095	125241134	125241095	125241134	-	1	NA	NA	NA	NA	18	HeLa
LUC7L2	ENSG00000049449	RCN1	protein_coding	1	1	1	LUC7L2:CH135	chr11	32091180	32091219	32091180	32091219	+	1	NA	NA	NA	NA	22	HeLa
LUC7L2	ENSG00000055118	KCNH2	protein_coding	4	2	5	LUC7L2:CH762	chr7	150947694	150947733	150947694	150947733	-	1	NA	NA	NA	NA	16	K562
