#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
EIF4G2	ENSG00000001461	NIPAL3	protein_coding	1	1	1	EIF4G2:CH241	chr1	24424211	24424250	24424211	24424250	+	1	NA	NA	NA	NA	27	K562
EIF4G2	ENSG00000001497	LAS1L	protein_coding	1	1	1	EIF4G2:CH8255	chrX	65518052	65518091	65518052	65518091	-	1	-0.489	-0.389	NA	NA	15	K562
EIF4G2	ENSG00000001629	ANKIB1	protein_coding	2	2	2	EIF4G2:CH7274	chr7	92290390	92290429	92290390	92290429	+	1	0.379	0.248	NA	NA	31	K562
EIF4G2	ENSG00000001629	ANKIB1	protein_coding	2	2	2	EIF4G2:CH7275	chr7	92372003	92372042	92372003	92372042	+	1	0.379	0.248	NA	NA	31	K562
EIF4G2	ENSG00000002330	BAD	protein_coding	1	1	1	EIF4G2:CH1310	chr11	64271103	64271142	64271103	64271142	-	1	NA	0.977	NA	NA	27	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7056	chr7	1838629	1838668	1838629	1838668	-	1	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7057	chr7	1844159	1844198	1844159	1844198	-	1	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7059	chr7	1846521	1846560	1846521	1846560	-	1	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7061	chr7	1848765	1848804	1848765	1848804	-	1	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7062	chr7	1849012	1849051	1849012	1849051	-	1	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7063	chr7	1849297	1849336	1849297	1849336	-	1	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7064	chr7	1850236	1850275	1850236	1850275	-	1	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7065	chr7	1851115	1851154	1851115	1851154	-	1	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7066	chr7	1853526	1853571	1853526	1853571	-	2	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7068	chr7	1854294	1854350	1854294	1854350	-	1	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7069	chr7	1854570	1854717	1854570	1854717	-	2	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7070	chr7	1855514	1855553	1855514	1855553	-	1	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7071	chr7	1868424	1868463	1868424	1868463	-	1	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7072	chr7	1891962	1892001	1891962	1892001	-	1	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7073	chr7	1929684	1929723	1929684	1929723	-	1	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7074	chr7	1936908	1936947	1936908	1936947	-	1	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7075	chr7	1937601	1937640	1937601	1937640	-	1	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7076	chr7	1938200	1938241	1938200	1938241	-	2	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7079	chr7	1938858	1938897	1938858	1938897	-	1	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7080	chr7	1939266	1939305	1939266	1939305	-	1	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7082	chr7	1940877	1940960	1940877	1940960	-	2	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7083	chr7	1954788	1954827	1954788	1954827	-	1	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7084	chr7	1983088	1983127	1983088	1983127	-	1	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7085	chr7	2036896	2036935	2036896	2036935	-	1	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7087	chr7	2041942	2041981	2041942	2041981	-	1	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7088	chr7	2042844	2042883	2042844	2042883	-	1	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7089	chr7	2046356	2046395	2046356	2046395	-	1	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7090	chr7	2047636	2047787	2047636	2047787	-	2	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7092	chr7	2051576	2051622	2051576	2051622	-	2	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7093	chr7	2115876	2115915	2115876	2115915	-	1	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7094	chr7	2119292	2119331	2119292	2119331	-	1	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7095	chr7	2142864	2142903	2142864	2142903	-	1	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002822	MAD1L1	protein_coding	33	2	40	EIF4G2:CH7096	chr7	2219347	2219386	2219347	2219386	-	1	NA	0.255	NA	NA	24	K562
EIF4G2	ENSG00000002834	LASP1	protein_coding	8	2	10	EIF4G2:CH3366	chr17	38870207	38870246	38870207	38870246	+	1	-0.389	-0.172	NA	NA	23	K562
EIF4G2	ENSG00000002834	LASP1	protein_coding	8	2	10	EIF4G2:CH3367	chr17	38875148	38875187	38875148	38875187	+	1	-0.389	-0.172	NA	NA	23	K562
EIF4G2	ENSG00000002834	LASP1	protein_coding	8	2	10	EIF4G2:CH3368	chr17	38878108	38878147	38878108	38878147	+	1	-0.389	-0.172	NA	NA	23	K562
EIF4G2	ENSG00000002834	LASP1	protein_coding	8	2	10	EIF4G2:CH3369	chr17	38914365	38914404	38914365	38914404	+	1	-0.389	-0.172	NA	NA	23	K562
EIF4G2	ENSG00000002834	LASP1	protein_coding	8	2	10	EIF4G2:CH3370	chr17	38919098	38919098	38919098	38919098	+	1	-0.389	-0.172	NA	NA	23	K562
EIF4G2	ENSG00000002834	LASP1	protein_coding	8	2	10	EIF4G2:CH3372	chr17	38919897	38919960	38919897	38919960	+	2	-0.389	-0.172	NA	NA	23	K562
EIF4G2	ENSG00000002834	LASP1	protein_coding	8	2	10	EIF4G2:CH3374	chr17	38921194	38921233	38921194	38921233	+	1	-0.389	-0.172	NA	NA	23	K562
EIF4G2	ENSG00000002834	LASP1	protein_coding	8	2	10	EIF4G2:CH3376	chr17	38921577	38921686	38921577	38921686	+	2	-0.389	-0.172	NA	NA	23	K562
EIF4G2	ENSG00000004455	AK2	protein_coding	3	1	3	EIF4G2:CH356	chr1	33008484	33008523	33008484	33008523	-	1	-0.469	-0.360	NA	NA	12	K562
EIF4G2	ENSG00000004455	AK2	protein_coding	3	1	3	EIF4G2:CH357	chr1	33020160	33020199	33020160	33020199	-	1	-0.469	-0.360	NA	NA	12	K562
EIF4G2	ENSG00000004455	AK2	protein_coding	3	1	3	EIF4G2:CH358	chr1	33034421	33034460	33034421	33034460	-	1	-0.469	-0.360	NA	NA	12	K562
EIF4G2	ENSG00000004478	FKBP4	protein_coding	1	1	1	EIF4G2:CH1506	chr12	2795043	2795082	2795043	2795082	+	1	-0.554	-0.346	NA	NA	12	K562
EIF4G2	ENSG00000004487	KDM1A	protein_coding	1	2	2	EIF4G2:CH233	chr1	23063235	23063280	23063235	23063280	+	2	-0.451	NA	NA	NA	24	K562
EIF4G2	ENSG00000004534	RBM6	protein_coding	1	2	2	EIF4G2:CH5962	chr3	50053029	50053079	50053029	50053079	+	2	NA	-0.180	NA	NA	20	K562
EIF4G2	ENSG00000004866	ST7	protein_coding	3	2	5	EIF4G2:CH7351	chr7	116953998	116954037	116953998	116954037	+	1	NA	NA	NA	NA	17	K562
EIF4G2	ENSG00000004866	ST7	protein_coding	3	2	5	EIF4G2:CH7352	chr7	116961588	116961627	116961588	116961627	+	2	NA	NA	NA	NA	17	K562
EIF4G2	ENSG00000004866	ST7	protein_coding	3	2	5	EIF4G2:CH7353	chr7	117208932	117208984	117208932	117208984	+	2	NA	NA	NA	NA	17	K562
EIF4G2	ENSG00000005007	UPF1	protein_coding	2	1	2	EIF4G2:CH4207	chr19	18840279	18840318	18840279	18840318	+	1	NA	NA	NA	NA	22	K562
EIF4G2	ENSG00000005007	UPF1	protein_coding	2	1	2	EIF4G2:CH4208	chr19	18843704	18843743	18843704	18843743	+	1	NA	NA	NA	NA	22	K562
EIF4G2	ENSG00000005075	POLR2J	protein_coding	1	1	1	EIF4G2:CH7328	chr7	102473494	102473533	102473494	102473533	-	1	NA	NA	NA	NA	32	K562
EIF4G2	ENSG00000005187	ACSM3	protein_coding	3	2	7	EIF4G2:CH2475	chr16	20675083	20675227	20675083	20675227	+	2	-0.457	-0.506	NA	NA	14	K562
EIF4G2	ENSG00000005187	ACSM3	protein_coding	3	2	7	EIF4G2:CH2476	chr16	20684922	20684964	20684922	20684964	+	2	-0.457	-0.506	NA	NA	14	K562
EIF4G2	ENSG00000005187	ACSM3	protein_coding	3	2	7	EIF4G2:CH2477	chr16	20691786	20691857	20691786	20691857	+	2	-0.457	-0.506	NA	NA	14	K562
EIF4G2	ENSG00000005206	SPPL2B	protein_coding	5	2	9	EIF4G2:CH3853	chr19	2330551	2330590	2330551	2330590	+	1	0.394	NA	NA	NA	28	K562
EIF4G2	ENSG00000005206	SPPL2B	protein_coding	5	2	9	EIF4G2:CH3854	chr19	2332145	2332184	2332145	2332184	+	1	0.394	NA	NA	NA	28	K562
EIF4G2	ENSG00000005206	SPPL2B	protein_coding	5	2	9	EIF4G2:CH3855	chr19	2333262	2333301	2333262	2333301	+	1	0.394	NA	NA	NA	28	K562
EIF4G2	ENSG00000005206	SPPL2B	protein_coding	5	2	9	EIF4G2:CH3857	chr19	2335184	2335225	2335184	2335225	+	2	0.394	NA	NA	NA	28	K562
EIF4G2	ENSG00000005206	SPPL2B	protein_coding	5	2	9	EIF4G2:CH3859	chr19	2336570	2336927	2336570	2336927	+	2	0.394	NA	NA	NA	28	K562
EIF4G2	ENSG00000005249	PRKAR2B	protein_coding	4	2	6	EIF4G2:CH7339	chr7	107065366	107065423	107065366	107065423	+	2	NA	0.296	NA	NA	20	K562
EIF4G2	ENSG00000005249	PRKAR2B	protein_coding	4	2	6	EIF4G2:CH7340	chr7	107079547	107079586	107079547	107079586	+	1	NA	0.296	NA	NA	20	K562
EIF4G2	ENSG00000005249	PRKAR2B	protein_coding	4	2	6	EIF4G2:CH7342	chr7	107092263	107092315	107092263	107092315	+	2	NA	0.296	NA	NA	20	K562
EIF4G2	ENSG00000005249	PRKAR2B	protein_coding	4	2	6	EIF4G2:CH7343	chr7	107114353	107114392	107114353	107114392	+	1	NA	0.296	NA	NA	20	K562
EIF4G2	ENSG00000005810	MYCBP2	protein_coding	2	2	3	EIF4G2:CH1907	chr13	77326181	77326227	77326181	77326227	-	2	NA	NA	NA	NA	29	K562
EIF4G2	ENSG00000005810	MYCBP2	protein_coding	2	2	3	EIF4G2:CH1909	chr13	77326898	77326937	77326898	77326937	-	1	NA	NA	NA	NA	29	K562
EIF4G2	ENSG00000005893	LAMP2	protein_coding	2	2	4	EIF4G2:CH8307	chrX	120436103	120436143	120436103	120436143	-	2	NA	NA	NA	NA	30	K562
EIF4G2	ENSG00000005893	LAMP2	protein_coding	2	2	4	EIF4G2:CH8309	chrX	120438662	120438702	120438662	120438702	-	2	NA	NA	NA	NA	30	K562
EIF4G2	ENSG00000006125	AP2B1	protein_coding	1	1	1	EIF4G2:CH3353	chr17	35718344	35718383	35718344	35718383	+	1	-0.214	-0.150	NA	NA	31	K562
EIF4G2	ENSG00000006453	BAIAP2L1	protein_coding	1	1	1	EIF4G2:CH7283	chr7	98317516	98317555	98317516	98317555	-	1	-0.351	-0.360	NA	NA	8	K562
EIF4G2	ENSG00000006530	AGK	protein_coding	1	2	2	EIF4G2:CH7426	chr7	141602200	141602244	141602200	141602244	+	2	-0.619	-0.230	NA	NA	24	K562
EIF4G2	ENSG00000006576	PHTF2	protein_coding	2	1	2	EIF4G2:CH7265	chr7	77803714	77803753	77803714	77803753	+	1	NA	NA	NA	NA	30	K562
EIF4G2	ENSG00000006576	PHTF2	protein_coding	2	1	2	EIF4G2:CH7266	chr7	77932641	77932680	77932641	77932680	+	1	NA	NA	NA	NA	30	K562
EIF4G2	ENSG00000006704	GTF2IRD1	protein_coding	6	2	8	EIF4G2:CH7234	chr7	74468705	74468748	74468705	74468748	+	2	0.189	NA	NA	NA	17	K562
EIF4G2	ENSG00000006704	GTF2IRD1	protein_coding	6	2	8	EIF4G2:CH7235	chr7	74476000	74476039	74476000	74476039	+	1	0.189	NA	NA	NA	17	K562
EIF4G2	ENSG00000006704	GTF2IRD1	protein_coding	6	2	8	EIF4G2:CH7236	chr7	74495656	74495695	74495656	74495695	+	1	0.189	NA	NA	NA	17	K562
EIF4G2	ENSG00000006704	GTF2IRD1	protein_coding	6	2	8	EIF4G2:CH7238	chr7	74496648	74496687	74496648	74496687	+	1	0.189	NA	NA	NA	17	K562
EIF4G2	ENSG00000006704	GTF2IRD1	protein_coding	6	2	8	EIF4G2:CH7240	chr7	74499459	74499498	74499459	74499498	+	1	0.189	NA	NA	NA	17	K562
EIF4G2	ENSG00000006704	GTF2IRD1	protein_coding	6	2	8	EIF4G2:CH7241	chr7	74528907	74529086	74528907	74529086	+	1	0.189	NA	NA	NA	17	K562
EIF4G2	ENSG00000006831	ADIPOR2	protein_coding	1	1	1	EIF4G2:CH1505	chr12	1698211	1698250	1698211	1698250	+	1	0.340	-0.147	NA	NA	26	K562
EIF4G2	ENSG00000007047	MARK4	protein_coding	1	2	2	EIF4G2:CH4382	chr19	45277880	45277926	45277880	45277926	+	2	0.457	NA	NA	NA	16	K562
EIF4G2	ENSG00000007080	CCDC124	protein_coding	1	1	1	EIF4G2:CH4174	chr19	17942673	17942712	17942673	17942712	+	1	NA	NA	NA	NA	29	K562
EIF4G2	ENSG00000007168	PAFAH1B1	protein_coding	1	2	3	EIF4G2:CH3263	chr17	2679411	2679696	2679411	2679696	+	2	0.208	0.298	NA	NA	29	K562
EIF4G2	ENSG00000007202	KIAA0100	protein_coding	1	1	1	EIF4G2:CH3331	chr17	28616372	28616411	28616372	28616411	-	1	-0.153	NA	NA	NA	30	K562
EIF4G2	ENSG00000007541	PIGQ	protein_coding	5	2	8	EIF4G2:CH2339	chr16	568336	568375	568336	568375	+	1	NA	0.720	NA	NA	26	K562
EIF4G2	ENSG00000007541	PIGQ	protein_coding	5	2	8	EIF4G2:CH2340	chr16	569744	569783	569744	569783	+	1	NA	0.720	NA	NA	26	K562
EIF4G2	ENSG00000007541	PIGQ	protein_coding	5	2	8	EIF4G2:CH2342	chr16	571134	571365	571134	571365	+	2	NA	0.720	NA	NA	26	K562
EIF4G2	ENSG00000007541	PIGQ	protein_coding	5	2	8	EIF4G2:CH2343	chr16	573388	573427	573388	573427	+	1	NA	0.720	NA	NA	26	K562
EIF4G2	ENSG00000007541	PIGQ	protein_coding	5	2	8	EIF4G2:CH2345	chr16	573808	573847	573808	573847	+	1	NA	0.720	NA	NA	26	K562
EIF4G2	ENSG00000007866	TEAD3	protein_coding	1	1	1	EIF4G2:CH6800	chr6	35493892	35493931	35493892	35493931	-	1	NA	NA	NA	NA	13	K562
EIF4G2	ENSG00000007944	MYLIP	protein_coding	1	1	1	EIF4G2:CH6747	chr6	16147942	16147981	16147942	16147981	+	1	NA	0.579	NA	NA	25	K562
EIF4G2	ENSG00000007968	E2F2	protein_coding	1	1	1	EIF4G2:CH236	chr1	23526793	23526832	23526793	23526832	-	1	0.297	NA	NA	NA	12	K562
EIF4G2	ENSG00000008083	JARID2	protein_coding	7	2	13	EIF4G2:CH6735	chr6	15248873	15248913	15248873	15248913	+	2	NA	0.255	NA	NA	28	K562
EIF4G2	ENSG00000008083	JARID2	protein_coding	7	2	13	EIF4G2:CH6738	chr6	15263098	15263142	15263098	15263142	+	2	NA	0.255	NA	NA	28	K562
EIF4G2	ENSG00000008083	JARID2	protein_coding	7	2	13	EIF4G2:CH6740	chr6	15264647	15264692	15264647	15264692	+	2	NA	0.255	NA	NA	28	K562
EIF4G2	ENSG00000008083	JARID2	protein_coding	7	2	13	EIF4G2:CH6742	chr6	15300740	15300783	15300740	15300783	+	2	NA	0.255	NA	NA	28	K562
EIF4G2	ENSG00000008083	JARID2	protein_coding	7	2	13	EIF4G2:CH6743	chr6	15327585	15327628	15327585	15327628	+	2	NA	0.255	NA	NA	28	K562
EIF4G2	ENSG00000008083	JARID2	protein_coding	7	2	13	EIF4G2:CH6745	chr6	15392072	15392113	15392072	15392113	+	2	NA	0.255	NA	NA	28	K562
EIF4G2	ENSG00000008083	JARID2	protein_coding	7	2	13	EIF4G2:CH6746	chr6	15433957	15433996	15433957	15433996	+	1	NA	0.255	NA	NA	28	K562
EIF4G2	ENSG00000008128	CDK11A	protein_coding	4	1	4	EIF4G2:CH92	chr1	1707497	1707536	1707497	1707536	-	1	NA	NA	NA	NA	21	K562
EIF4G2	ENSG00000008128	CDK11A	protein_coding	4	1	4	EIF4G2:CH93	chr1	1708193	1708232	1708193	1708232	-	1	NA	NA	NA	NA	21	K562
EIF4G2	ENSG00000008128	CDK11A	protein_coding	4	1	4	EIF4G2:CH94	chr1	1708810	1708849	1708810	1708849	-	1	NA	NA	NA	NA	21	K562
EIF4G2	ENSG00000008128	CDK11A	protein_coding	4	1	4	EIF4G2:CH95	chr1	1712281	1712320	1712281	1712320	-	1	NA	NA	NA	NA	21	K562
EIF4G2	ENSG00000008130	NADK	protein_coding	1	1	1	EIF4G2:CH96	chr1	1759437	1759476	1759437	1759476	-	1	0.286	NA	NA	NA	22	K562
EIF4G2	ENSG00000008256	CYTH3	protein_coding	1	1	1	EIF4G2:CH7140	chr7	6179590	6179629	6179590	6179629	-	1	NA	NA	NA	NA	24	K562
EIF4G2	ENSG00000008294	SPAG9	protein_coding	1	2	2	EIF4G2:CH3463	chr17	51106049	51106106	51106049	51106106	-	2	0.425	-0.166	NA	NA	30	K562
EIF4G2	ENSG00000008405	CRY1	protein_coding	1	1	1	EIF4G2:CH1696	chr12	107077107	107077146	107077107	107077146	-	1	NA	NA	NA	NA	29	K562
EIF4G2	ENSG00000008441	NFIX	protein_coding	4	2	4	EIF4G2:CH4123	chr19	12996170	12996209	12996170	12996209	+	1	NA	0.587	NA	NA	15	K562
EIF4G2	ENSG00000008441	NFIX	protein_coding	4	2	4	EIF4G2:CH4124	chr19	12996695	12996734	12996695	12996734	+	1	NA	0.587	NA	NA	15	K562
EIF4G2	ENSG00000008441	NFIX	protein_coding	4	2	4	EIF4G2:CH4125	chr19	13002567	13002606	13002567	13002606	+	1	NA	0.587	NA	NA	15	K562
EIF4G2	ENSG00000008441	NFIX	protein_coding	4	2	4	EIF4G2:CH4126	chr19	13024772	13024811	13024772	13024811	+	1	NA	0.587	NA	NA	15	K562
EIF4G2	ENSG00000008838	MED24	protein_coding	1	2	2	EIF4G2:CH3384	chr17	40019130	40019177	40019130	40019177	-	2	NA	NA	NA	NA	18	K562
EIF4G2	ENSG00000008988	RPS20	protein_coding	1	2	2	EIF4G2:CH7587	chr8	56073717	56073882	56073717	56073882	-	2	0.586	0.220	NA	NA	31	K562
EIF4G2	ENSG00000009307	CSDE1	protein_coding	1	1	1	EIF4G2:CH559	chr1	114736790	114736829	114736790	114736829	-	1	-0.623	NA	NA	NA	32	K562
EIF4G2	ENSG00000009954	BAZ1B	protein_coding	3	1	3	EIF4G2:CH7226	chr7	73442080	73442119	73442080	73442119	-	1	-0.650	NA	NA	NA	29	K562
EIF4G2	ENSG00000009954	BAZ1B	protein_coding	3	1	3	EIF4G2:CH7227	chr7	73447271	73447310	73447271	73447310	-	1	-0.650	NA	NA	NA	29	K562
EIF4G2	ENSG00000009954	BAZ1B	protein_coding	3	1	3	EIF4G2:CH7228	chr7	73522131	73522170	73522131	73522170	-	1	-0.650	NA	NA	NA	29	K562
EIF4G2	ENSG00000010017	RANBP9	protein_coding	1	1	1	EIF4G2:CH6731	chr6	13659215	13659254	13659215	13659254	-	1	NA	-0.193	NA	NA	30	K562
EIF4G2	ENSG00000010244	ZNF207	protein_coding	1	1	1	EIF4G2:CH3347	chr17	32360672	32360711	32360672	32360711	+	1	-0.203	0.109	NA	NA	31	K562
EIF4G2	ENSG00000010310	GIPR	protein_coding	1	1	1	EIF4G2:CH4387	chr19	45671108	45671147	45671108	45671147	+	1	NA	-0.349	NA	NA	16	K562
