#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
SOX2	ENSG00000000003	TSPAN6	protein_coding	8	2	24	SOX2:CH90322	chrX	100629043	100629047	100629043	100629047	-	1	NA	NA	NA	NA	16	HEK293T
SOX2	ENSG00000000003	TSPAN6	protein_coding	8	2	24	SOX2:CH90323	chrX	100629326	100629749	100629326	100629749	-	2	NA	NA	NA	NA	16	HEK293T
SOX2	ENSG00000000003	TSPAN6	protein_coding	8	2	24	SOX2:CH90324	chrX	100630741	100630856	100630741	100630856	-	2	NA	NA	NA	NA	16	HEK293T
SOX2	ENSG00000000003	TSPAN6	protein_coding	8	2	24	SOX2:CH90325	chrX	100631674	100631674	100631674	100631674	-	2	NA	NA	NA	NA	16	HEK293T
SOX2	ENSG00000000003	TSPAN6	protein_coding	8	2	24	SOX2:CH90326	chrX	100633438	100633438	100633438	100633438	-	1	NA	NA	NA	NA	16	HEK293T
SOX2	ENSG00000000003	TSPAN6	protein_coding	8	2	24	SOX2:CH90327	chrX	100635619	100635727	100635619	100635727	-	2	NA	NA	NA	NA	16	HEK293T
SOX2	ENSG00000000003	TSPAN6	protein_coding	8	2	24	SOX2:CH90328	chrX	100636396	100636435	100636396	100636435	-	1	NA	NA	NA	NA	16	HEK293T
SOX2	ENSG00000000003	TSPAN6	protein_coding	8	2	24	SOX2:CH90329	chrX	100636651	100636693	100636651	100636693	-	2	NA	NA	NA	NA	16	HEK293T
SOX2	ENSG00000000419	DPM1	protein_coding	6	2	9	SOX2:CH55691	chr20	50936940	50936979	50936940	50936979	-	1	NA	NA	NA	NA	12	HEK293T
SOX2	ENSG00000000419	DPM1	protein_coding	6	2	9	SOX2:CH55692	chr20	50942093	50942093	50942093	50942093	-	2	NA	NA	NA	NA	12	HEK293T
SOX2	ENSG00000000419	DPM1	protein_coding	6	2	9	SOX2:CH55693	chr20	50947136	50947136	50947136	50947136	-	1	NA	NA	NA	NA	12	HEK293T
SOX2	ENSG00000000419	DPM1	protein_coding	6	2	9	SOX2:CH55694	chr20	50954343	50954441	50954343	50954441	-	2	NA	NA	NA	NA	12	HEK293T
SOX2	ENSG00000000419	DPM1	protein_coding	6	2	9	SOX2:CH55695	chr20	50954823	50954823	50954823	50954823	-	1	NA	NA	NA	NA	12	HEK293T
SOX2	ENSG00000000419	DPM1	protein_coding	6	2	9	SOX2:CH55696	chr20	50958175	50958402	50958175	50958402	-	2	NA	NA	NA	NA	12	HEK293T
SOX2	ENSG00000000457	SCYL3	protein_coding	2	1	2	SOX2:CH7208	chr1	169853524	169853563	169853524	169853563	-	1	NA	NA	NA	NA	13	HEK293T
SOX2	ENSG00000000457	SCYL3	protein_coding	2	1	2	SOX2:CH7210	chr1	169859169	169859169	169859169	169859169	-	1	NA	NA	NA	NA	13	HEK293T
SOX2	ENSG00000000460	C1orf112	protein_coding	6	2	9	SOX2:CH7203	chr1	169748687	169748726	169748687	169748726	+	1	NA	NA	NA	NA	17	HEK293T
SOX2	ENSG00000000460	C1orf112	protein_coding	6	2	9	SOX2:CH7204	chr1	169795051	169795330	169795051	169795330	+	2	NA	NA	NA	NA	17	HEK293T
SOX2	ENSG00000000460	C1orf112	protein_coding	6	2	9	SOX2:CH7205	chr1	169795805	169795844	169795805	169795844	+	1	NA	NA	NA	NA	17	HEK293T
SOX2	ENSG00000000460	C1orf112	protein_coding	6	2	9	SOX2:CH7206	chr1	169829286	169829325	169829286	169829325	+	2	NA	NA	NA	NA	17	HEK293T
SOX2	ENSG00000000460	C1orf112	protein_coding	6	2	9	SOX2:CH7207	chr1	169832804	169832843	169832804	169832843	+	1	NA	NA	NA	NA	17	HEK293T
SOX2	ENSG00000000460	C1orf112	protein_coding	6	2	9	SOX2:CH7209	chr1	169853559	169853598	169853559	169853598	+	1	NA	NA	NA	NA	17	HEK293T
SOX2	ENSG00000000938	FGR	protein_coding	1	1	1	SOX2:CH1891	chr1	27634254	27634293	27634254	27634293	-	1	NA	NA	NA	NA	12	HEK293T
SOX2	ENSG00000001036	FUCA2	protein_coding	4	2	5	SOX2:CH75732	chr6	143496093	143496132	143496093	143496132	-	1	NA	NA	NA	NA	14	HEK293T
SOX2	ENSG00000001036	FUCA2	protein_coding	4	2	5	SOX2:CH75733	chr6	143500575	143500614	143500575	143500614	-	1	NA	NA	NA	NA	14	HEK293T
SOX2	ENSG00000001036	FUCA2	protein_coding	4	2	5	SOX2:CH75734	chr6	143502437	143502476	143502437	143502476	-	1	NA	NA	NA	NA	14	HEK293T
SOX2	ENSG00000001036	FUCA2	protein_coding	4	2	5	SOX2:CH75735	chr6	143511595	143511634	143511595	143511634	-	2	NA	NA	NA	NA	14	HEK293T
SOX2	ENSG00000001084	GCLC	protein_coding	6	2	13	SOX2:CH74398	chr6	53497879	53497918	53497879	53497918	-	1	NA	NA	NA	NA	15	HEK293T
SOX2	ENSG00000001084	GCLC	protein_coding	6	2	13	SOX2:CH74399	chr6	53498158	53498499	53498158	53498499	-	2	NA	NA	NA	NA	15	HEK293T
SOX2	ENSG00000001084	GCLC	protein_coding	6	2	13	SOX2:CH74400	chr6	53510307	53510346	53510307	53510346	-	1	NA	NA	NA	NA	15	HEK293T
SOX2	ENSG00000001084	GCLC	protein_coding	6	2	13	SOX2:CH74401	chr6	53520645	53520645	53520645	53520645	-	1	NA	NA	NA	NA	15	HEK293T
SOX2	ENSG00000001084	GCLC	protein_coding	6	2	13	SOX2:CH74402	chr6	53544850	53544889	53544850	53544889	-	2	NA	NA	NA	NA	15	HEK293T
SOX2	ENSG00000001084	GCLC	protein_coding	6	2	13	SOX2:CH74403	chr6	53576848	53576887	53576848	53576887	-	1	NA	NA	NA	NA	15	HEK293T
SOX2	ENSG00000001167	NFYA	protein_coding	3	2	14	SOX2:CH73925	chr6	41097958	41098169	41097958	41098169	+	2	NA	NA	NA	NA	14	HEK293T
SOX2	ENSG00000001167	NFYA	protein_coding	3	2	14	SOX2:CH73926	chr6	41098749	41098917	41098749	41098917	+	2	NA	NA	NA	NA	14	HEK293T
SOX2	ENSG00000001167	NFYA	protein_coding	3	2	14	SOX2:CH73927	chr6	41099151	41099190	41099151	41099190	+	2	NA	NA	NA	NA	14	HEK293T
SOX2	ENSG00000001460	STPG1	protein_coding	1	1	1	SOX2:CH1602	chr1	24379769	24379808	24379769	24379808	-	1	NA	NA	NA	NA	16	HEK293T
SOX2	ENSG00000001461	NIPAL3	protein_coding	9	2	20	SOX2:CH1604	chr1	24417712	24417751	24417712	24417751	+	1	NA	NA	NA	NA	13	HEK293T
SOX2	ENSG00000001461	NIPAL3	protein_coding	9	2	20	SOX2:CH1605	chr1	24433250	24433250	24433250	24433250	+	1	NA	NA	NA	NA	13	HEK293T
SOX2	ENSG00000001461	NIPAL3	protein_coding	9	2	20	SOX2:CH1606	chr1	24442188	24442188	24442188	24442188	+	1	NA	NA	NA	NA	13	HEK293T
SOX2	ENSG00000001461	NIPAL3	protein_coding	9	2	20	SOX2:CH1607	chr1	24458893	24458947	24458893	24458947	+	2	NA	NA	NA	NA	13	HEK293T
SOX2	ENSG00000001461	NIPAL3	protein_coding	9	2	20	SOX2:CH1608	chr1	24460489	24460505	24460489	24460505	+	2	NA	NA	NA	NA	13	HEK293T
SOX2	ENSG00000001461	NIPAL3	protein_coding	9	2	20	SOX2:CH1609	chr1	24464040	24464043	24464040	24464043	+	1	NA	NA	NA	NA	13	HEK293T
SOX2	ENSG00000001461	NIPAL3	protein_coding	9	2	20	SOX2:CH1610	chr1	24469453	24469604	24469453	24469604	+	2	NA	NA	NA	NA	13	HEK293T
SOX2	ENSG00000001461	NIPAL3	protein_coding	9	2	20	SOX2:CH1611	chr1	24471958	24471997	24471958	24471997	+	1	NA	NA	NA	NA	13	HEK293T
SOX2	ENSG00000001461	NIPAL3	protein_coding	9	2	20	SOX2:CH1612	chr1	24472449	24472449	24472449	24472449	+	2	NA	NA	NA	NA	13	HEK293T
SOX2	ENSG00000001497	LAS1L	protein_coding	14	2	27	SOX2:CH89805	chrX	65502951	65502990	65502951	65502990	-	1	NA	NA	NA	NA	8	HEK293T
SOX2	ENSG00000001497	LAS1L	protein_coding	14	2	27	SOX2:CH89806	chrX	65507218	65507257	65507218	65507257	-	1	NA	NA	NA	NA	8	HEK293T
SOX2	ENSG00000001497	LAS1L	protein_coding	14	2	27	SOX2:CH89807	chrX	65508102	65508141	65508102	65508141	-	1	NA	NA	NA	NA	8	HEK293T
SOX2	ENSG00000001497	LAS1L	protein_coding	14	2	27	SOX2:CH89808	chrX	65508652	65508652	65508652	65508652	-	1	NA	NA	NA	NA	8	HEK293T
SOX2	ENSG00000001497	LAS1L	protein_coding	14	2	27	SOX2:CH89809	chrX	65512613	65512912	65512613	65512912	-	2	NA	NA	NA	NA	8	HEK293T
SOX2	ENSG00000001497	LAS1L	protein_coding	14	2	27	SOX2:CH89810	chrX	65514812	65514851	65514812	65514851	-	1	NA	NA	NA	NA	8	HEK293T
SOX2	ENSG00000001497	LAS1L	protein_coding	14	2	27	SOX2:CH89811	chrX	65520503	65520551	65520503	65520551	-	2	NA	NA	NA	NA	8	HEK293T
SOX2	ENSG00000001497	LAS1L	protein_coding	14	2	27	SOX2:CH89812	chrX	65521366	65521409	65521366	65521409	-	2	NA	NA	NA	NA	8	HEK293T
SOX2	ENSG00000001497	LAS1L	protein_coding	14	2	27	SOX2:CH89813	chrX	65522147	65522147	65522147	65522147	-	1	NA	NA	NA	NA	8	HEK293T
SOX2	ENSG00000001497	LAS1L	protein_coding	14	2	27	SOX2:CH89814	chrX	65522380	65522421	65522380	65522421	-	2	NA	NA	NA	NA	8	HEK293T
SOX2	ENSG00000001497	LAS1L	protein_coding	14	2	27	SOX2:CH89815	chrX	65524221	65524221	65524221	65524221	-	1	NA	NA	NA	NA	8	HEK293T
SOX2	ENSG00000001497	LAS1L	protein_coding	14	2	27	SOX2:CH89816	chrX	65524440	65524463	65524440	65524463	-	1	NA	NA	NA	NA	8	HEK293T
SOX2	ENSG00000001497	LAS1L	protein_coding	14	2	27	SOX2:CH89817	chrX	65532796	65532835	65532796	65532835	-	1	NA	NA	NA	NA	8	HEK293T
SOX2	ENSG00000001497	LAS1L	protein_coding	14	2	27	SOX2:CH89818	chrX	65534555	65534555	65534555	65534555	-	1	NA	NA	NA	NA	8	HEK293T
SOX2	ENSG00000001561	ENPP4	protein_coding	3	2	4	SOX2:CH74280	chr6	46140233	46140272	46140233	46140272	+	1	NA	NA	NA	NA	15	HEK293T
SOX2	ENSG00000001561	ENPP4	protein_coding	3	2	4	SOX2:CH74281	chr6	46141058	46141097	46141058	46141097	+	1	NA	NA	NA	NA	15	HEK293T
SOX2	ENSG00000001561	ENPP4	protein_coding	3	2	4	SOX2:CH74282	chr6	46141896	46141935	46141896	46141935	+	2	NA	NA	NA	NA	15	HEK293T
SOX2	ENSG00000001617	SEMA3F	protein_coding	2	2	2	SOX2:CH62824	chr3	50159630	50159630	50159630	50159630	+	1	NA	NA	NA	NA	18	HEK293T
SOX2	ENSG00000001617	SEMA3F	protein_coding	2	2	2	SOX2:CH62825	chr3	50187745	50187784	50187745	50187784	+	1	NA	NA	NA	NA	18	HEK293T
SOX2	ENSG00000001629	ANKIB1	protein_coding	7	2	16	SOX2:CH78762	chr7	92246735	92246774	92246735	92246774	+	1	NA	NA	NA	NA	13	HEK293T
SOX2	ENSG00000001629	ANKIB1	protein_coding	7	2	16	SOX2:CH78763	chr7	92320504	92320523	92320504	92320523	+	1	NA	NA	NA	NA	13	HEK293T
SOX2	ENSG00000001629	ANKIB1	protein_coding	7	2	16	SOX2:CH78764	chr7	92327780	92327819	92327780	92327819	+	2	NA	NA	NA	NA	13	HEK293T
SOX2	ENSG00000001629	ANKIB1	protein_coding	7	2	16	SOX2:CH78765	chr7	92340152	92340192	92340152	92340192	+	2	NA	NA	NA	NA	13	HEK293T
SOX2	ENSG00000001629	ANKIB1	protein_coding	7	2	16	SOX2:CH78766	chr7	92343144	92343183	92343144	92343183	+	1	NA	NA	NA	NA	13	HEK293T
SOX2	ENSG00000001629	ANKIB1	protein_coding	7	2	16	SOX2:CH78767	chr7	92346693	92346698	92346693	92346698	+	2	NA	NA	NA	NA	13	HEK293T
SOX2	ENSG00000001629	ANKIB1	protein_coding	7	2	16	SOX2:CH78768	chr7	92398243	92398282	92398243	92398282	+	1	NA	NA	NA	NA	13	HEK293T
SOX2	ENSG00000001630	CYP51A1	protein_coding	6	2	19	SOX2:CH78749	chr7	92112184	92112987	92112184	92112987	-	2	NA	NA	NA	NA	12	HEK293T
SOX2	ENSG00000001630	CYP51A1	protein_coding	6	2	19	SOX2:CH78750	chr7	92113697	92113753	92113697	92113753	-	2	NA	NA	NA	NA	12	HEK293T
SOX2	ENSG00000001630	CYP51A1	protein_coding	6	2	19	SOX2:CH78751	chr7	92117130	92117130	92117130	92117130	-	1	NA	NA	NA	NA	12	HEK293T
