#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
HLTF	ENSG00000002016	RAD52	protein_coding	1	1	1	HLTF:CH742	chr12	912644	912683	912644	912683	-	1	NA	NA	NA	NA	26	HepG2
HLTF	ENSG00000003402	CFLAR	protein_coding	3	1	3	HLTF:CH2791	chr2	201163845	201163884	201163845	201163884	+	1	NA	NA	NA	NA	16	HepG2
HLTF	ENSG00000003402	CFLAR	protein_coding	3	1	3	HLTF:CH2792	chr2	201165282	201165321	201165282	201165321	+	1	NA	NA	NA	NA	16	HepG2
HLTF	ENSG00000003402	CFLAR	protein_coding	3	1	3	HLTF:CH2793	chr2	201167937	201167976	201167937	201167976	+	1	NA	NA	NA	NA	16	HepG2
HLTF	ENSG00000003436	TFPI	protein_coding	14	2	19	HLTF:CH2736	chr2	187467857	187467896	187467857	187467896	-	1	0.744	NA	NA	NA	15	HepG2
HLTF	ENSG00000003436	TFPI	protein_coding	14	2	19	HLTF:CH2737	chr2	187484149	187484188	187484149	187484188	-	1	0.744	NA	NA	NA	15	HepG2
HLTF	ENSG00000003436	TFPI	protein_coding	14	2	19	HLTF:CH2738	chr2	187484905	187484945	187484905	187484945	-	2	0.744	NA	NA	NA	15	HepG2
HLTF	ENSG00000003436	TFPI	protein_coding	14	2	19	HLTF:CH2739	chr2	187496906	187496954	187496906	187496954	-	2	0.744	NA	NA	NA	15	HepG2
HLTF	ENSG00000003436	TFPI	protein_coding	14	2	19	HLTF:CH2740	chr2	187503669	187503711	187503669	187503711	-	2	0.744	NA	NA	NA	15	HepG2
HLTF	ENSG00000003436	TFPI	protein_coding	14	2	19	HLTF:CH2741	chr2	187506966	187507005	187506966	187507005	-	1	0.744	NA	NA	NA	15	HepG2
HLTF	ENSG00000003436	TFPI	protein_coding	14	2	19	HLTF:CH2742	chr2	187509103	187509142	187509103	187509142	-	1	0.744	NA	NA	NA	15	HepG2
HLTF	ENSG00000003436	TFPI	protein_coding	14	2	19	HLTF:CH2743	chr2	187510156	187510195	187510156	187510195	-	1	0.744	NA	NA	NA	15	HepG2
HLTF	ENSG00000003436	TFPI	protein_coding	14	2	19	HLTF:CH2744	chr2	187511114	187511155	187511114	187511155	-	2	0.744	NA	NA	NA	15	HepG2
HLTF	ENSG00000003436	TFPI	protein_coding	14	2	19	HLTF:CH2748	chr2	187516705	187516744	187516705	187516744	-	1	0.744	NA	NA	NA	15	HepG2
HLTF	ENSG00000003436	TFPI	protein_coding	14	2	19	HLTF:CH2749	chr2	187517038	187517077	187517038	187517077	-	1	0.744	NA	NA	NA	15	HepG2
HLTF	ENSG00000003436	TFPI	protein_coding	14	2	19	HLTF:CH2751	chr2	187519882	187519930	187519882	187519930	-	2	0.744	NA	NA	NA	15	HepG2
HLTF	ENSG00000003436	TFPI	protein_coding	14	2	19	HLTF:CH2752	chr2	187520362	187520401	187520362	187520401	-	1	0.744	NA	NA	NA	15	HepG2
HLTF	ENSG00000003436	TFPI	protein_coding	14	2	19	HLTF:CH2753	chr2	187521824	187521863	187521824	187521863	-	1	0.744	NA	NA	NA	15	HepG2
HLTF	ENSG00000003756	RBM5	protein_coding	1	1	1	HLTF:CH3378	chr3	50118651	50118690	50118651	50118690	+	1	NA	0.333	NA	NA	19	HepG2
HLTF	ENSG00000003989	SLC7A2	protein_coding	3	2	6	HLTF:CH4600	chr8	17522137	17522191	17522137	17522191	+	2	-0.427	NA	NA	NA	21	HepG2
HLTF	ENSG00000003989	SLC7A2	protein_coding	3	2	6	HLTF:CH4601	chr8	17524686	17524852	17524686	17524852	+	2	-0.427	NA	NA	NA	21	HepG2
HLTF	ENSG00000003989	SLC7A2	protein_coding	3	2	6	HLTF:CH4602	chr8	17526428	17526467	17526428	17526467	+	1	-0.427	NA	NA	NA	21	HepG2
HLTF	ENSG00000004399	PLXND1	protein_coding	1	1	1	HLTF:CH3467	chr3	129555619	129555658	129555619	129555658	-	1	NA	NA	NA	NA	10	HepG2
HLTF	ENSG00000004534	RBM6	protein_coding	1	1	1	HLTF:CH3377	chr3	49967520	49967559	49967520	49967559	+	1	NA	NA	NA	NA	16	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1414	chr16	20675052	20675091	20675052	20675091	+	1	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1415	chr16	20676215	20676271	20676215	20676271	+	2	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1416	chr16	20677290	20677329	20677290	20677329	+	1	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1417	chr16	20678214	20678253	20678214	20678253	+	1	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1418	chr16	20678922	20678961	20678922	20678961	+	1	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1419	chr16	20679510	20679681	20679510	20679681	+	2	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1420	chr16	20681889	20681931	20681889	20681931	+	2	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1421	chr16	20684938	20684977	20684938	20684977	+	1	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1422	chr16	20685222	20685261	20685222	20685261	+	1	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1423	chr16	20687009	20687054	20687009	20687054	+	2	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1424	chr16	20687389	20687428	20687389	20687428	+	1	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1425	chr16	20688576	20688615	20688576	20688615	+	1	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1426	chr16	20689717	20689756	20689717	20689756	+	1	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1427	chr16	20690295	20690336	20690295	20690336	+	2	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1428	chr16	20697094	20697133	20697094	20697133	+	1	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1429	chr16	20700704	20700743	20700704	20700743	+	1	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1430	chr16	20703560	20703599	20703560	20703599	+	1	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1431	chr16	20705518	20705563	20705518	20705563	+	2	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1432	chr16	20706571	20706610	20706571	20706610	+	1	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1433	chr16	20706922	20706961	20706922	20706961	+	1	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1434	chr16	20708099	20708138	20708099	20708138	+	1	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1435	chr16	20708407	20708459	20708407	20708459	+	2	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1436	chr16	20714663	20714702	20714663	20714702	+	1	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1437	chr16	20715775	20715814	20715775	20715814	+	1	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1438	chr16	20716728	20716767	20716728	20716767	+	1	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1439	chr16	20718101	20718140	20718101	20718140	+	1	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1440	chr16	20718614	20718653	20718614	20718653	+	1	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1441	chr16	20724174	20724213	20724174	20724213	+	1	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1442	chr16	20725249	20725294	20725249	20725294	+	2	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005187	ACSM3	protein_coding	30	2	38	HLTF:CH1443	chr16	20725837	20725876	20725837	20725876	+	1	0.214	NA	NA	NA	21	HepG2
HLTF	ENSG00000005206	SPPL2B	protein_coding	1	1	1	HLTF:CH2033	chr19	2341213	2341252	2341213	2341252	+	1	NA	NA	NA	NA	19	HepG2
HLTF	ENSG00000005339	CREBBP	protein_coding	1	1	1	HLTF:CH1370	chr16	3850758	3850797	3850758	3850797	-	1	NA	NA	NA	NA	28	HepG2
HLTF	ENSG00000006459	KDM7A	protein_coding	1	1	1	HLTF:CH4497	chr7	140176875	140176914	140176875	140176914	-	1	NA	NA	NA	NA	26	HepG2
HLTF	ENSG00000006607	FARP2	protein_coding	1	1	1	HLTF:CH2903	chr2	241425778	241425817	241425778	241425817	+	1	-0.518	-0.471	NA	NA	28	HepG2
HLTF	ENSG00000007168	PAFAH1B1	protein_coding	1	1	1	HLTF:CH1653	chr17	2667038	2667077	2667038	2667077	+	1	NA	NA	NA	NA	28	HepG2
HLTF	ENSG00000008294	SPAG9	protein_coding	3	2	4	HLTF:CH1828	chr17	50989756	50989805	50989756	50989805	-	2	NA	NA	NA	NA	28	HepG2
HLTF	ENSG00000008294	SPAG9	protein_coding	3	2	4	HLTF:CH1829	chr17	51041554	51041593	51041554	51041593	-	1	NA	NA	NA	NA	28	HepG2
HLTF	ENSG00000008294	SPAG9	protein_coding	3	2	4	HLTF:CH1830	chr17	51120682	51120721	51120682	51120721	-	1	NA	NA	NA	NA	28	HepG2
HLTF	ENSG00000008710	PKD1	protein_coding	1	1	1	HLTF:CH1354	chr16	2112705	2112744	2112705	2112744	-	1	-1.072	NA	NA	NA	14	HepG2
HLTF	ENSG00000009307	CSDE1	protein_coding	3	2	4	HLTF:CH208	chr1	114732735	114732774	114732735	114732774	-	1	NA	NA	NA	NA	31	HepG2
HLTF	ENSG00000009307	CSDE1	protein_coding	3	2	4	HLTF:CH209	chr1	114736781	114736820	114736781	114736820	-	1	NA	NA	NA	NA	31	HepG2
HLTF	ENSG00000009307	CSDE1	protein_coding	3	2	4	HLTF:CH210	chr1	114739810	114739857	114739810	114739857	-	2	NA	NA	NA	NA	31	HepG2
HLTF	ENSG00000009335	UBE3C	protein_coding	2	1	2	HLTF:CH4516	chr7	157240111	157240150	157240111	157240150	+	1	0.485	NA	NA	NA	29	HepG2
HLTF	ENSG00000009335	UBE3C	protein_coding	2	1	2	HLTF:CH4517	chr7	157241070	157241109	157241070	157241109	+	1	0.485	NA	NA	NA	29	HepG2
HLTF	ENSG00000009413	REV3L	protein_coding	3	2	3	HLTF:CH4116	chr6	111367342	111367381	111367342	111367381	-	1	0.364	NA	NA	NA	31	HepG2
HLTF	ENSG00000009413	REV3L	protein_coding	3	2	3	HLTF:CH4117	chr6	111372927	111372966	111372927	111372966	-	1	0.364	NA	NA	NA	31	HepG2
HLTF	ENSG00000009413	REV3L	protein_coding	3	2	3	HLTF:CH4118	chr6	111373831	111373870	111373831	111373870	-	1	0.364	NA	NA	NA	31	HepG2
HLTF	ENSG00000009950	MLXIPL	protein_coding	7	2	10	HLTF:CH4415	chr7	73593320	73593359	73593320	73593359	-	1	-1.069	NA	NA	NA	17	HepG2
HLTF	ENSG00000009950	MLXIPL	protein_coding	7	2	10	HLTF:CH4416	chr7	73593937	73593937	73593937	73593937	-	1	-1.069	NA	NA	NA	17	HepG2
HLTF	ENSG00000009950	MLXIPL	protein_coding	7	2	10	HLTF:CH4417	chr7	73595127	73595166	73595127	73595166	-	1	-1.069	NA	NA	NA	17	HepG2
HLTF	ENSG00000009950	MLXIPL	protein_coding	7	2	10	HLTF:CH4418	chr7	73596493	73596558	73596493	73596558	-	2	-1.069	NA	NA	NA	17	HepG2
HLTF	ENSG00000009950	MLXIPL	protein_coding	7	2	10	HLTF:CH4419	chr7	73597330	73597376	73597330	73597376	-	2	-1.069	NA	NA	NA	17	HepG2
HLTF	ENSG00000009950	MLXIPL	protein_coding	7	2	10	HLTF:CH4420	chr7	73607035	73607298	73607035	73607298	-	2	-1.069	NA	NA	NA	17	HepG2
HLTF	ENSG00000009950	MLXIPL	protein_coding	7	2	10	HLTF:CH4421	chr7	73615247	73615286	73615247	73615286	-	1	-1.069	NA	NA	NA	17	HepG2
HLTF	ENSG00000009954	BAZ1B	protein_coding	2	2	3	HLTF:CH4413	chr7	73442068	73442107	73442068	73442107	-	1	NA	-0.224	NA	NA	31	HepG2
HLTF	ENSG00000009954	BAZ1B	protein_coding	2	2	3	HLTF:CH4414	chr7	73477618	73477661	73477618	73477661	-	2	NA	-0.224	NA	NA	31	HepG2
HLTF	ENSG00000010244	ZNF207	protein_coding	1	1	1	HLTF:CH1745	chr17	32360697	32360736	32360697	32360736	+	1	NA	NA	NA	NA	31	HepG2
HLTF	ENSG00000010322	NISCH	protein_coding	1	1	1	HLTF:CH3383	chr3	52480449	52480488	52480449	52480488	+	1	NA	NA	NA	NA	18	HepG2
HLTF	ENSG00000010803	SCMH1	protein_coding	2	1	2	HLTF:CH137	chr1	41144478	41144517	41144478	41144517	-	1	NA	NA	NA	NA	23	HepG2
HLTF	ENSG00000010803	SCMH1	protein_coding	2	1	2	HLTF:CH138	chr1	41149032	41149071	41149032	41149071	-	1	NA	NA	NA	NA	23	HepG2
HLTF	ENSG00000010818	HIVEP2	protein_coding	1	1	1	HLTF:CH4206	chr6	142774753	142774792	142774753	142774792	-	1	NA	NA	NA	NA	25	HepG2
HLTF	ENSG00000011243	AKAP8L	protein_coding	1	1	1	HLTF:CH2074	chr19	15399056	15399095	15399056	15399095	-	1	-0.300	NA	NA	NA	17	HepG2
HLTF	ENSG00000011258	MBTD1	protein_coding	2	1	2	HLTF:CH1831	chr17	51250426	51250465	51250426	51250465	-	1	NA	NA	NA	NA	31	HepG2
HLTF	ENSG00000011258	MBTD1	protein_coding	2	1	2	HLTF:CH1832	chr17	51252194	51252233	51252194	51252233	-	1	NA	NA	NA	NA	31	HepG2
HLTF	ENSG00000011566	MAP4K3	protein_coding	3	1	3	HLTF:CH2304	chr2	39313335	39313374	39313335	39313374	-	1	NA	NA	NA	NA	30	HepG2
HLTF	ENSG00000011566	MAP4K3	protein_coding	3	1	3	HLTF:CH2305	chr2	39313866	39313905	39313866	39313905	-	1	NA	NA	NA	NA	30	HepG2
HLTF	ENSG00000011566	MAP4K3	protein_coding	3	1	3	HLTF:CH2306	chr2	39331918	39331957	39331918	39331957	-	1	NA	NA	NA	NA	30	HepG2
HLTF	ENSG00000012048	BRCA1	protein_coding	4	2	4	HLTF:CH1787	chr17	43160856	43160895	43160856	43160895	-	1	-0.345	NA	NA	NA	31	HepG2
HLTF	ENSG00000012048	BRCA1	protein_coding	4	2	4	HLTF:CH1788	chr17	43161671	43161710	43161671	43161710	-	1	-0.345	NA	NA	NA	31	HepG2
HLTF	ENSG00000012048	BRCA1	protein_coding	4	2	4	HLTF:CH1789	chr17	43163823	43163862	43163823	43163862	-	1	-0.345	NA	NA	NA	31	HepG2
