#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
MARF1	ENSG00000002822	MAD1L1	protein_coding	1	1	1	MARF1:CH2745	chr7	1854553	1854553	1854553	1854553	-	1	NA	NA	NA	NA	22	HEK293
MARF1	ENSG00000002834	LASP1	protein_coding	1	1	1	MARF1:CH1401	chr17	38902093	38902093	38902093	38902093	+	1	NA	NA	NA	NA	23	HEK293
MARF1	ENSG00000003137	CYP26B1	protein_coding	1	1	1	MARF1:CH1919	chr2	72133121	72133121	72133121	72133121	-	1	NA	NA	NA	NA	16	HEK293
MARF1	ENSG00000003989	SLC7A2	protein_coding	1	1	1	MARF1:CH2905	chr8	17569029	17569068	17569029	17569068	+	1	NA	NA	NA	NA	20	HEK293
MARF1	ENSG00000004059	ARF5	protein_coding	1	1	1	MARF1:CH2846	chr7	127589539	127589539	127589539	127589539	+	1	NA	NA	NA	NA	27	HEK293
MARF1	ENSG00000004139	SARM1	protein_coding	1	1	1	MARF1:CH1366	chr17	28371883	28371883	28371883	28371883	+	1	NA	NA	NA	NA	30	HEK293
MARF1	ENSG00000004478	FKBP4	protein_coding	1	1	1	MARF1:CH670	chr12	2796455	2796455	2796455	2796455	+	1	NA	NA	NA	NA	16	HEK293
MARF1	ENSG00000005022	SLC25A5	protein_coding	1	1	1	MARF1:CH3284	chrX	119470410	119470410	119470410	119470410	+	1	NA	NA	NA	NA	23	HEK293
MARF1	ENSG00000005175	RPAP3	protein_coding	1	1	1	MARF1:CH707	chr12	47662836	47662836	47662836	47662836	-	1	NA	NA	NA	NA	22	HEK293
MARF1	ENSG00000005302	MSL3	protein_coding	1	1	1	MARF1:CH3161	chrX	11758291	11758291	11758291	11758291	+	1	NA	NA	NA	NA	24	HEK293
MARF1	ENSG00000005339	CREBBP	protein_coding	5	2	8	MARF1:CH1166	chr16	3726267	3726267	3726267	3726267	-	1	NA	NA	NA	NA	32	HEK293
MARF1	ENSG00000005339	CREBBP	protein_coding	5	2	8	MARF1:CH1167	chr16	3726524	3726563	3726524	3726563	-	1	NA	NA	NA	NA	32	HEK293
MARF1	ENSG00000005339	CREBBP	protein_coding	5	2	8	MARF1:CH1168	chr16	3726975	3726975	3726975	3726975	-	1	NA	NA	NA	NA	32	HEK293
MARF1	ENSG00000005339	CREBBP	protein_coding	5	2	8	MARF1:CH1169	chr16	3727406	3727465	3727406	3727465	-	2	NA	NA	NA	NA	32	HEK293
MARF1	ENSG00000005339	CREBBP	protein_coding	5	2	8	MARF1:CH1170	chr16	3727870	3727930	3727870	3727930	-	1	NA	NA	NA	NA	32	HEK293
MARF1	ENSG00000005889	ZFX	protein_coding	2	2	3	MARF1:CH3175	chrX	24212928	24212967	24212928	24212967	+	2	NA	NA	NA	NA	32	HEK293
MARF1	ENSG00000005889	ZFX	protein_coding	2	2	3	MARF1:CH3176	chrX	24213473	24213512	24213473	24213512	+	1	NA	NA	NA	NA	32	HEK293
MARF1	ENSG00000005893	LAMP2	protein_coding	1	1	1	MARF1:CH3287	chrX	120437360	120437399	120437360	120437399	-	1	NA	NA	NA	NA	24	HEK293
MARF1	ENSG00000005961	ITGA2B	protein_coding	1	1	1	MARF1:CH1431	chr17	44380670	44380670	44380670	44380670	-	1	NA	NA	NA	NA	11	HEK293
MARF1	ENSG00000006007	GDE1	protein_coding	1	1	1	MARF1:CH1178	chr16	19502419	19502419	19502419	19502419	-	1	NA	NA	NA	NA	25	HEK293
MARF1	ENSG00000006125	AP2B1	protein_coding	1	1	1	MARF1:CH1398	chr17	35724300	35724339	35724300	35724339	+	1	NA	NA	NA	NA	26	HEK293
MARF1	ENSG00000006432	MAP3K9	protein_coding	1	1	1	MARF1:CH980	chr14	70732766	70732766	70732766	70732766	-	1	NA	NA	NA	NA	26	HEK293
MARF1	ENSG00000006453	BAIAP2L1	protein_coding	1	1	1	MARF1:CH2816	chr7	98299571	98299571	98299571	98299571	-	1	NA	NA	NA	NA	12	HEK293
MARF1	ENSG00000006831	ADIPOR2	protein_coding	1	1	1	MARF1:CH668	chr12	1787126	1787126	1787126	1787126	+	1	NA	NA	NA	NA	24	HEK293
MARF1	ENSG00000007168	PAFAH1B1	protein_coding	1	1	1	MARF1:CH1290	chr17	2682782	2682782	2682782	2682782	+	1	NA	NA	NA	NA	30	HEK293
MARF1	ENSG00000007376	RPUSD1	protein_coding	1	1	1	MARF1:CH1129	chr16	785530	785530	785530	785530	-	1	NA	NA	NA	NA	21	HEK293
MARF1	ENSG00000007392	LUC7L	protein_coding	1	1	1	MARF1:CH1115	chr16	209167	209167	209167	209167	-	1	NA	NA	NA	NA	16	HEK293
MARF1	ENSG00000007545	CRAMP1	protein_coding	1	1	1	MARF1:CH1134	chr16	1674516	1674516	1674516	1674516	+	1	NA	NA	NA	NA	32	HEK293
MARF1	ENSG00000007968	E2F2	protein_coding	1	1	1	MARF1:CH82	chr1	23509326	23509365	23509326	23509365	-	1	NA	NA	NA	NA	15	HEK293
MARF1	ENSG00000008083	JARID2	protein_coding	1	1	1	MARF1:CH2630	chr6	15521430	15521430	15521430	15521430	+	1	NA	NA	NA	NA	26	HEK293
MARF1	ENSG00000008256	CYTH3	protein_coding	1	1	1	MARF1:CH2767	chr7	6163398	6163398	6163398	6163398	-	1	NA	NA	NA	NA	25	HEK293
MARF1	ENSG00000008282	SYPL1	protein_coding	1	1	1	MARF1:CH2836	chr7	106091013	106091013	106091013	106091013	-	1	NA	NA	NA	NA	25	HEK293
MARF1	ENSG00000008294	SPAG9	protein_coding	4	2	5	MARF1:CH1463	chr17	50963230	50963230	50963230	50963230	-	1	NA	NA	NA	NA	31	HEK293
MARF1	ENSG00000008294	SPAG9	protein_coding	4	2	5	MARF1:CH1464	chr17	50963674	50963713	50963674	50963713	-	1	NA	NA	NA	NA	31	HEK293
MARF1	ENSG00000008294	SPAG9	protein_coding	4	2	5	MARF1:CH1465	chr17	50964322	50964322	50964322	50964322	-	1	NA	NA	NA	NA	31	HEK293
MARF1	ENSG00000008294	SPAG9	protein_coding	4	2	5	MARF1:CH1466	chr17	50965093	50965186	50965093	50965186	-	2	NA	NA	NA	NA	31	HEK293
MARF1	ENSG00000008710	PKD1	protein_coding	1	1	1	MARF1:CH1148	chr16	2093677	2093677	2093677	2093677	-	1	NA	NA	NA	NA	29	HEK293
MARF1	ENSG00000008988	RPS20	protein_coding	1	2	2	MARF1:CH2950	chr8	56074441	56074485	56074441	56074485	-	2	NA	NA	NA	NA	24	HEK293
MARF1	ENSG00000009307	CSDE1	protein_coding	3	1	3	MARF1:CH198	chr1	114717832	114717832	114717832	114717832	-	1	NA	NA	NA	NA	30	HEK293
MARF1	ENSG00000009307	CSDE1	protein_coding	3	1	3	MARF1:CH199	chr1	114732693	114732693	114732693	114732693	-	1	NA	NA	NA	NA	30	HEK293
MARF1	ENSG00000009307	CSDE1	protein_coding	3	1	3	MARF1:CH200	chr1	114739877	114739877	114739877	114739877	-	1	NA	NA	NA	NA	30	HEK293
MARF1	ENSG00000010244	ZNF207	protein_coding	1	1	1	MARF1:CH1394	chr17	32371769	32371769	32371769	32371769	+	1	NA	NA	NA	NA	29	HEK293
MARF1	ENSG00000010292	NCAPD2	protein_coding	2	1	2	MARF1:CH674	chr12	6493830	6493830	6493830	6493830	+	1	NA	NA	NA	NA	22	HEK293
MARF1	ENSG00000010292	NCAPD2	protein_coding	2	1	2	MARF1:CH675	chr12	6510465	6510504	6510465	6510504	+	1	NA	NA	NA	NA	22	HEK293
MARF1	ENSG00000010404	IDS	protein_coding	1	1	1	MARF1:CH3304	chrX	149480003	149480003	149480003	149480003	-	1	NA	NA	NA	NA	30	HEK293
MARF1	ENSG00000010810	FYN	protein_coding	1	1	1	MARF1:CH2715	chr6	111775136	111775136	111775136	111775136	-	1	NA	NA	NA	NA	20	HEK293
MARF1	ENSG00000011052	NME1-NME2	protein_coding	1	1	1	MARF1:CH1467	chr17	51166450	51166450	51166450	51166450	+	1	NA	NA	NA	NA	23	HEK293
MARF1	ENSG00000011243	AKAP8L	protein_coding	2	1	2	MARF1:CH1705	chr19	15401875	15401875	15401875	15401875	-	1	NA	NA	NA	NA	16	HEK293
MARF1	ENSG00000011243	AKAP8L	protein_coding	2	1	2	MARF1:CH1706	chr19	15418545	15418545	15418545	15418545	-	1	NA	NA	NA	NA	16	HEK293
MARF1	ENSG00000011275	RNF216	protein_coding	1	1	1	MARF1:CH2766	chr7	5654045	5654045	5654045	5654045	-	1	NA	NA	NA	NA	27	HEK293
MARF1	ENSG00000011304	PTBP1	protein_coding	3	2	4	MARF1:CH1588	chr19	811027	811073	811027	811073	+	1	NA	NA	NA	NA	21	HEK293
MARF1	ENSG00000011304	PTBP1	protein_coding	3	2	4	MARF1:CH1589	chr19	811357	811396	811357	811396	+	1	NA	NA	NA	NA	21	HEK293
MARF1	ENSG00000011304	PTBP1	protein_coding	3	2	4	MARF1:CH1590	chr19	811648	811687	811648	811687	+	1	NA	NA	NA	NA	21	HEK293
MARF1	ENSG00000011485	PPP5C	protein_coding	1	1	1	MARF1:CH1813	chr19	46390623	46390623	46390623	46390623	+	1	NA	NA	NA	NA	15	HEK293
MARF1	ENSG00000012232	EXTL3	protein_coding	2	2	2	MARF1:CH2914	chr8	28716063	28716063	28716063	28716063	+	1	NA	NA	NA	NA	20	HEK293
MARF1	ENSG00000012232	EXTL3	protein_coding	2	2	2	MARF1:CH2915	chr8	28752539	28752578	28752539	28752578	+	1	NA	NA	NA	NA	20	HEK293
MARF1	ENSG00000012822	CALCOCO1	protein_coding	1	1	1	MARF1:CH747	chr12	53721578	53721578	53721578	53721578	-	1	NA	NA	NA	NA	32	HEK293
MARF1	ENSG00000015171	ZMYND11	protein_coding	1	1	1	MARF1:CH369	chr10	237633	237633	237633	237633	+	1	NA	NA	NA	NA	32	HEK293
MARF1	ENSG00000018236	CNTN1	protein_coding	1	1	1	MARF1:CH701	chr12	40824777	40824777	40824777	40824777	+	1	NA	NA	NA	NA	21	HEK293
MARF1	ENSG00000018408	WWTR1	protein_coding	1	1	1	MARF1:CH2355	chr3	149520003	149520003	149520003	149520003	-	1	NA	NA	NA	NA	26	HEK293
MARF1	ENSG00000019995	ZRANB1	protein_coding	1	1	1	MARF1:CH502	chr10	124966638	124966638	124966638	124966638	+	1	NA	NA	NA	NA	31	HEK293
