#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
HNRNPUL1	ENSG00000000419	DPM1	protein_coding	1	1	1	HNRNPUL1:CH5057	chr20	50950922	50950961	50950922	50950961	-	1	NA	NA	NA	NA	17	HepG2
HNRNPUL1	ENSG00000001084	GCLC	protein_coding	1	1	1	HNRNPUL1:CH6514	chr6	53531700	53531739	53531700	53531739	-	1	NA	NA	NA	NA	18	HepG2
HNRNPUL1	ENSG00000001630	CYP51A1	protein_coding	1	1	1	HNRNPUL1:CH6936	chr7	92133587	92133626	92133587	92133626	-	1	NA	NA	NA	NA	20	K562
HNRNPUL1	ENSG00000002822	MAD1L1	protein_coding	25	4	28	HNRNPUL1:CH6765	chr7	1844598	1844637	1844598	1844637	-	1	NA	NA	NA	NA	13	K562
HNRNPUL1	ENSG00000002822	MAD1L1	protein_coding	25	4	28	HNRNPUL1:CH6766	chr7	1847591	1847630	1847591	1847630	-	1	NA	NA	NA	NA	13	K562
HNRNPUL1	ENSG00000002822	MAD1L1	protein_coding	25	4	28	HNRNPUL1:CH6767	chr7	1848744	1848783	1848744	1848783	-	1	NA	NA	NA	NA	13	K562
HNRNPUL1	ENSG00000002822	MAD1L1	protein_coding	25	4	28	HNRNPUL1:CH6768	chr7	1850129	1850387	1850129	1850387	-	2	NA	NA	NA	NA	13	K562
HNRNPUL1	ENSG00000002822	MAD1L1	protein_coding	25	4	28	HNRNPUL1:CH6769	chr7	1852693	1852732	1852693	1852732	-	1	NA	NA	NA	NA	13	K562
HNRNPUL1	ENSG00000002822	MAD1L1	protein_coding	25	4	28	HNRNPUL1:CH6770	chr7	1874507	1874546	1874507	1874546	-	1	NA	NA	NA	NA	13	K562
HNRNPUL1	ENSG00000002822	MAD1L1	protein_coding	25	4	28	HNRNPUL1:CH6771	chr7	1884998	1885037	1884998	1885037	-	1	NA	NA	NA	NA	13	K562
HNRNPUL1	ENSG00000002822	MAD1L1	protein_coding	25	4	28	HNRNPUL1:CH6772	chr7	1885955	1885994	1885955	1885994	-	1	NA	NA	NA	NA	13	K562
HNRNPUL1	ENSG00000002822	MAD1L1	protein_coding	25	4	28	HNRNPUL1:CH6773	chr7	1892806	1892845	1892806	1892845	-	1	NA	NA	NA	NA	13	HepG2
HNRNPUL1	ENSG00000002822	MAD1L1	protein_coding	25	4	28	HNRNPUL1:CH6774	chr7	2051576	2051619	2051576	2051619	-	2	NA	NA	NA	NA	13	HepG2,K562
HNRNPUL1	ENSG00000002822	MAD1L1	protein_coding	25	4	28	HNRNPUL1:CH6775	chr7	2096214	2096253	2096214	2096253	-	1	NA	NA	NA	NA	13	K562
HNRNPUL1	ENSG00000002822	MAD1L1	protein_coding	25	4	28	HNRNPUL1:CH6776	chr7	2106257	2106296	2106257	2106296	-	1	NA	NA	NA	NA	13	HepG2
HNRNPUL1	ENSG00000002822	MAD1L1	protein_coding	25	4	28	HNRNPUL1:CH6777	chr7	2107543	2107582	2107543	2107582	-	1	NA	NA	NA	NA	13	HepG2
HNRNPUL1	ENSG00000002822	MAD1L1	protein_coding	25	4	28	HNRNPUL1:CH6778	chr7	2119193	2119232	2119193	2119232	-	1	NA	NA	NA	NA	13	K562
HNRNPUL1	ENSG00000002822	MAD1L1	protein_coding	25	4	28	HNRNPUL1:CH6779	chr7	2144316	2144355	2144316	2144355	-	1	NA	NA	NA	NA	13	K562
HNRNPUL1	ENSG00000002822	MAD1L1	protein_coding	25	4	28	HNRNPUL1:CH6780	chr7	2147705	2147744	2147705	2147744	-	1	NA	NA	NA	NA	13	HepG2
HNRNPUL1	ENSG00000002822	MAD1L1	protein_coding	25	4	28	HNRNPUL1:CH6781	chr7	2148303	2148342	2148303	2148342	-	1	NA	NA	NA	NA	13	HepG2
HNRNPUL1	ENSG00000002822	MAD1L1	protein_coding	25	4	28	HNRNPUL1:CH6782	chr7	2200660	2200699	2200660	2200699	-	1	NA	NA	NA	NA	13	HepG2
HNRNPUL1	ENSG00000002822	MAD1L1	protein_coding	25	4	28	HNRNPUL1:CH6783	chr7	2201261	2201300	2201261	2201300	-	1	NA	NA	NA	NA	13	HepG2
HNRNPUL1	ENSG00000002822	MAD1L1	protein_coding	25	4	28	HNRNPUL1:CH6784	chr7	2201718	2201768	2201718	2201768	-	2	NA	NA	NA	NA	13	HepG2,K562
HNRNPUL1	ENSG00000002822	MAD1L1	protein_coding	25	4	28	HNRNPUL1:CH6785	chr7	2202595	2202634	2202595	2202634	-	1	NA	NA	NA	NA	13	K562
HNRNPUL1	ENSG00000002822	MAD1L1	protein_coding	25	4	28	HNRNPUL1:CH6786	chr7	2202924	2202963	2202924	2202963	-	1	NA	NA	NA	NA	13	HepG2
HNRNPUL1	ENSG00000002822	MAD1L1	protein_coding	25	4	28	HNRNPUL1:CH6787	chr7	2204052	2204091	2204052	2204091	-	1	NA	NA	NA	NA	13	HepG2
HNRNPUL1	ENSG00000002822	MAD1L1	protein_coding	25	4	28	HNRNPUL1:CH6788	chr7	2208839	2208878	2208839	2208878	-	1	NA	NA	NA	NA	13	K562
HNRNPUL1	ENSG00000002822	MAD1L1	protein_coding	25	4	28	HNRNPUL1:CH6789	chr7	2224247	2224286	2224247	2224286	-	1	NA	NA	NA	NA	13	K562
HNRNPUL1	ENSG00000003402	CFLAR	protein_coding	1	1	1	HNRNPUL1:CH4554	chr2	201167015	201167054	201167015	201167054	+	1	NA	-0.464	NA	NA	22	HepG2
