#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
SLBP	ENSG00000002834	LASP1	protein_coding	3	2	3	SLBP:CH1862	chr17	38918986	38919025	38918986	38919025	+	1	NA	NA	NA	NA	16	HeLa-S3
SLBP	ENSG00000002834	LASP1	protein_coding	3	2	3	SLBP:CH1863	chr17	38920124	38920163	38920124	38920163	+	1	NA	NA	NA	NA	16	HeLa-S3
SLBP	ENSG00000002834	LASP1	protein_coding	3	2	3	SLBP:CH1864	chr17	38920907	38920946	38920907	38920946	+	1	NA	NA	NA	NA	16	HeLa-S3
SLBP	ENSG00000003056	M6PR	protein_coding	1	1	1	SLBP:CH1050	chr12	8941858	8941897	8941858	8941897	-	1	-0.346	NA	NA	NA	21	HeLa-S3
SLBP	ENSG00000003096	KLHL13	protein_coding	1	2	2	SLBP:CH4364	chrX	117914358	117914358	117914358	117914358	-	2	0.538	NA	NA	NA	16	K562
SLBP	ENSG00000003989	SLC7A2	protein_coding	1	1	1	SLBP:CH3968	chr8	17569601	17569640	17569601	17569640	+	1	0.512	NA	NA	NA	11	HeLa-S3
SLBP	ENSG00000004059	ARF5	protein_coding	1	1	1	SLBP:CH3915	chr7	127591639	127591678	127591639	127591678	+	1	NA	NA	NA	NA	15	HeLa-S3
SLBP	ENSG00000004399	PLXND1	protein_coding	1	1	1	SLBP:CH2904	chr3	129556300	129556339	129556300	129556339	-	1	0.317	NA	NA	NA	18	HeLa-S3
SLBP	ENSG00000004455	AK2	protein_coding	2	1	2	SLBP:CH125	chr1	33010257	33010296	33010257	33010296	-	1	NA	-0.324	NA	NA	24	HeLa-S3
SLBP	ENSG00000004455	AK2	protein_coding	2	1	2	SLBP:CH126	chr1	33010698	33010737	33010698	33010737	-	1	NA	-0.324	NA	NA	24	HeLa-S3
SLBP	ENSG00000004478	FKBP4	protein_coding	2	1	2	SLBP:CH1016	chr12	2800419	2800458	2800419	2800458	+	1	-0.539	-0.270	NA	NA	23	HeLa-S3
SLBP	ENSG00000004478	FKBP4	protein_coding	2	1	2	SLBP:CH1017	chr12	2803868	2803907	2803868	2803907	+	1	-0.539	-0.270	NA	NA	23	HeLa-S3
