#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
CDK11B	ENSG00000003096	KLHL13	protein_coding	1	1	1	CDK11B:CH2317	chrX	117914346	117914346	117914346	117914346	-	1	NA	NA	NA	NA	10	HEK293
CDK11B	ENSG00000004478	FKBP4	protein_coding	1	2	2	CDK11B:CH470	chr12	2803533	2803574	2803533	2803574	+	2	NA	NA	NA	NA	13	HEK293
CDK11B	ENSG00000005022	SLC25A5	protein_coding	1	1	1	CDK11B:CH2318	chrX	119469876	119469876	119469876	119469876	+	1	NA	NA	NA	NA	16	HEK293
CDK11B	ENSG00000007168	PAFAH1B1	protein_coding	1	1	1	CDK11B:CH879	chr17	2638199	2638238	2638199	2638238	+	1	NA	NA	NA	NA	15	HEK293
CDK11B	ENSG00000007376	RPUSD1	protein_coding	1	1	1	CDK11B:CH764	chr16	785516	785555	785516	785555	-	1	NA	NA	NA	NA	22	HEK293
CDK11B	ENSG00000007541	PIGQ	protein_coding	1	1	1	CDK11B:CH747	chr16	574111	574150	574111	574150	+	1	NA	NA	NA	NA	20	HEK293
CDK11B	ENSG00000007968	E2F2	protein_coding	1	1	1	CDK11B:CH86	chr1	23530760	23530799	23530760	23530799	-	1	NA	NA	NA	NA	27	HEK293
CDK11B	ENSG00000008128	CDK11A	protein_coding	9	2	11	CDK11B:CH34	chr1	1702940	1702979	1702940	1702979	-	1	NA	NA	NA	NA	32	HEK293
CDK11B	ENSG00000008128	CDK11A	protein_coding	9	2	11	CDK11B:CH35	chr1	1703182	1703221	1703182	1703221	-	1	NA	NA	NA	NA	32	HEK293
CDK11B	ENSG00000008128	CDK11A	protein_coding	9	2	11	CDK11B:CH36	chr1	1703495	1703534	1703495	1703534	-	2	NA	NA	NA	NA	32	HEK293
CDK11B	ENSG00000008128	CDK11A	protein_coding	9	2	11	CDK11B:CH37	chr1	1703870	1703909	1703870	1703909	-	1	NA	NA	NA	NA	32	HEK293
CDK11B	ENSG00000008128	CDK11A	protein_coding	9	2	11	CDK11B:CH38	chr1	1704235	1704274	1704235	1704274	-	1	NA	NA	NA	NA	32	HEK293
CDK11B	ENSG00000008128	CDK11A	protein_coding	9	2	11	CDK11B:CH39	chr1	1704973	1705012	1704973	1705012	-	1	NA	NA	NA	NA	32	HEK293
CDK11B	ENSG00000008128	CDK11A	protein_coding	9	2	11	CDK11B:CH40	chr1	1705651	1705690	1705651	1705690	-	1	NA	NA	NA	NA	32	HEK293
CDK11B	ENSG00000008128	CDK11A	protein_coding	9	2	11	CDK11B:CH41	chr1	1707526	1707570	1707526	1707570	-	2	NA	NA	NA	NA	32	HEK293
CDK11B	ENSG00000008128	CDK11A	protein_coding	9	2	11	CDK11B:CH42	chr1	1708192	1708231	1708192	1708231	-	1	NA	NA	NA	NA	32	HEK293
CDK11B	ENSG00000008130	NADK	protein_coding	1	1	1	CDK11B:CH43	chr1	1752681	1752720	1752681	1752720	-	1	NA	NA	NA	NA	31	HEK293
CDK11B	ENSG00000008300	CELSR3	protein_coding	1	1	1	CDK11B:CH1560	chr3	48660629	48660668	48660629	48660668	-	1	NA	NA	NA	NA	24	HEK293
CDK11B	ENSG00000008710	PKD1	protein_coding	2	2	2	CDK11B:CH769	chr16	2093022	2093061	2093022	2093061	-	1	NA	NA	NA	NA	22	HEK293
CDK11B	ENSG00000008710	PKD1	protein_coding	2	2	2	CDK11B:CH770	chr16	2111234	2111273	2111234	2111273	-	1	NA	NA	NA	NA	22	HEK293
CDK11B	ENSG00000008838	MED24	protein_coding	1	1	1	CDK11B:CH964	chr17	40027575	40027614	40027575	40027614	-	1	NA	NA	NA	NA	25	HEK293
CDK11B	ENSG00000008988	RPS20	protein_coding	1	1	1	CDK11B:CH2102	chr8	56074448	56074487	56074448	56074487	-	1	NA	NA	NA	NA	12	HEK293
CDK11B	ENSG00000009335	UBE3C	protein_coding	1	1	1	CDK11B:CH2074	chr7	157139275	157139314	157139275	157139314	+	1	NA	NA	NA	NA	17	HEK293
CDK11B	ENSG00000009413	REV3L	protein_coding	1	1	1	CDK11B:CH1962	chr6	111483123	111483162	111483123	111483162	-	1	NA	NA	NA	NA	18	HEK293
CDK11B	ENSG00000009954	BAZ1B	protein_coding	1	1	1	CDK11B:CH2012	chr7	73477458	73477497	73477458	73477497	-	1	NA	NA	NA	NA	23	HEK293
CDK11B	ENSG00000010244	ZNF207	protein_coding	1	1	1	CDK11B:CH950	chr17	32350265	32350304	32350265	32350304	+	1	NA	NA	NA	NA	22	HEK293
