#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
FMR1	ENSG00000001167	NFYA	protein_coding	7	3	14	FMR1:CH40213	chr6	41079063	41079102	41079063	41079102	+	1	NA	-0.297	NA	NA	26	HEK293
FMR1	ENSG00000001167	NFYA	protein_coding	7	3	14	FMR1:CH40214	chr6	41089561	41089600	41089561	41089600	+	1	NA	-0.297	NA	NA	26	HEK293
FMR1	ENSG00000001167	NFYA	protein_coding	7	3	14	FMR1:CH40215	chr6	41097628	41097674	41097628	41097674	+	2	NA	-0.297	NA	NA	26	HEK293
FMR1	ENSG00000001167	NFYA	protein_coding	7	3	14	FMR1:CH40216	chr6	41097928	41098173	41097928	41098173	+	2	NA	-0.297	NA	NA	26	HEK293,HEK293T
FMR1	ENSG00000001167	NFYA	protein_coding	7	3	14	FMR1:CH40217	chr6	41098740	41098917	41098740	41098917	+	3	NA	-0.297	NA	NA	26	HEK293,HEK293T
FMR1	ENSG00000001167	NFYA	protein_coding	7	3	14	FMR1:CH40218	chr6	41099273	41099368	41099273	41099368	+	1	NA	-0.297	NA	NA	26	HEK293
FMR1	ENSG00000001167	NFYA	protein_coding	7	3	14	FMR1:CH40219	chr6	41099846	41099885	41099846	41099885	+	1	NA	-0.297	NA	NA	26	HEK293
FMR1	ENSG00000001460	STPG1	protein_coding	1	2	2	FMR1:CH1065	chr1	24357259	24357298	24357259	24357298	-	2	NA	NA	NA	NA	21	HEK293
FMR1	ENSG00000001461	NIPAL3	protein_coding	7	3	11	FMR1:CH1066	chr1	24440182	24440221	24440182	24440221	+	1	NA	NA	NA	NA	22	HEK293
FMR1	ENSG00000001461	NIPAL3	protein_coding	7	3	11	FMR1:CH1067	chr1	24469161	24469224	24469161	24469224	+	2	NA	NA	NA	NA	22	HEK293,HEK293T
FMR1	ENSG00000001461	NIPAL3	protein_coding	7	3	11	FMR1:CH1068	chr1	24469561	24469652	24469561	24469652	+	3	NA	NA	NA	NA	22	HEK293,HEK293T
FMR1	ENSG00000001461	NIPAL3	protein_coding	7	3	11	FMR1:CH1069	chr1	24470221	24470260	24470221	24470260	+	1	NA	NA	NA	NA	22	HEK293
FMR1	ENSG00000001461	NIPAL3	protein_coding	7	3	11	FMR1:CH1070	chr1	24470579	24470738	24470579	24470738	+	1	NA	NA	NA	NA	22	HEK293
FMR1	ENSG00000001461	NIPAL3	protein_coding	7	3	11	FMR1:CH1071	chr1	24472094	24472133	24472094	24472133	+	1	NA	NA	NA	NA	22	HEK293
FMR1	ENSG00000001461	NIPAL3	protein_coding	7	3	11	FMR1:CH1072	chr1	24472848	24472887	24472848	24472887	+	1	NA	NA	NA	NA	22	HEK293
FMR1	ENSG00000001497	LAS1L	protein_coding	3	1	3	FMR1:CH49259	chrX	65514896	65514935	65514896	65514935	-	1	NA	-1.010	NA	NA	24	K562
FMR1	ENSG00000001497	LAS1L	protein_coding	3	1	3	FMR1:CH49260	chrX	65518405	65518444	65518405	65518444	-	1	NA	-1.010	NA	NA	24	K562
FMR1	ENSG00000001497	LAS1L	protein_coding	3	1	3	FMR1:CH49261	chrX	65523558	65523597	65523558	65523597	-	1	NA	-1.010	NA	NA	24	K562
FMR1	ENSG00000001626	CFTR	protein_coding	2	1	2	FMR1:CH43660	chr7	117310255	117310294	117310255	117310294	+	1	NA	NA	NA	NA	21	HEK293
FMR1	ENSG00000001626	CFTR	protein_coding	2	1	2	FMR1:CH43662	chr7	117320606	117320645	117320606	117320645	+	1	NA	NA	NA	NA	21	HEK293
FMR1	ENSG00000001629	ANKIB1	protein_coding	5	4	6	FMR1:CH43125	chr7	92254537	92254576	92254537	92254576	+	2	NA	0.791	NA	NA	29	K562
FMR1	ENSG00000001629	ANKIB1	protein_coding	5	4	6	FMR1:CH43126	chr7	92327788	92327827	92327788	92327827	+	1	NA	0.791	NA	NA	29	HEK293
FMR1	ENSG00000001629	ANKIB1	protein_coding	5	4	6	FMR1:CH43127	chr7	92345026	92345065	92345026	92345065	+	1	NA	0.791	NA	NA	29	HEK293
FMR1	ENSG00000001629	ANKIB1	protein_coding	5	4	6	FMR1:CH43128	chr7	92397832	92397832	92397832	92397832	+	1	NA	0.791	NA	NA	29	HEK293T
FMR1	ENSG00000001629	ANKIB1	protein_coding	5	4	6	FMR1:CH43129	chr7	92398342	92398381	92398342	92398381	+	1	NA	0.791	NA	NA	29	HEK293
FMR1	ENSG00000001630	CYP51A1	protein_coding	3	1	3	FMR1:CH43122	chr7	92123219	92123258	92123219	92123258	-	1	NA	-0.764	NA	NA	23	K562
FMR1	ENSG00000001630	CYP51A1	protein_coding	3	1	3	FMR1:CH43123	chr7	92128976	92129015	92128976	92129015	-	1	NA	-0.764	NA	NA	23	K562
FMR1	ENSG00000001630	CYP51A1	protein_coding	3	1	3	FMR1:CH43124	chr7	92134279	92134318	92134279	92134318	-	1	NA	-0.764	NA	NA	23	K562
FMR1	ENSG00000002330	BAD	protein_coding	1	1	1	FMR1:CH9017	chr11	64271662	64271701	64271662	64271701	-	1	NA	NA	NA	NA	27	HEK293
FMR1	ENSG00000002549	LAP3	protein_coding	1	1	1	FMR1:CH35444	chr4	17583545	17583584	17583545	17583584	+	1	NA	-0.724	NA	NA	23	K562
FMR1	ENSG00000002822	MAD1L1	protein_coding	4	3	6	FMR1:CH42073	chr7	1916818	1916857	1916818	1916857	-	1	NA	NA	NA	NA	20	HEK293
FMR1	ENSG00000002822	MAD1L1	protein_coding	4	3	6	FMR1:CH42077	chr7	2185080	2185225	2185080	2185225	-	1	NA	NA	NA	NA	20	K562
FMR1	ENSG00000002822	MAD1L1	protein_coding	4	3	6	FMR1:CH42078	chr7	2230467	2230514	2230467	2230514	-	2	NA	NA	NA	NA	20	K562
FMR1	ENSG00000002822	MAD1L1	protein_coding	4	3	6	FMR1:CH42080	chr7	2232878	2232917	2232878	2232917	-	1	NA	NA	NA	NA	20	K562
FMR1	ENSG00000002834	LASP1	protein_coding	2	2	3	FMR1:CH20490	chr17	38918874	38918914	38918874	38918914	+	2	0.204	0.546	NA	NA	19	K562
FMR1	ENSG00000002834	LASP1	protein_coding	2	2	3	FMR1:CH20491	chr17	38919913	38919952	38919913	38919952	+	1	0.204	0.546	NA	NA	19	K562
FMR1	ENSG00000002919	SNX11	protein_coding	2	2	2	FMR1:CH21015	chr17	48121433	48121433	48121433	48121433	+	1	NA	NA	NA	NA	10	HEK293
FMR1	ENSG00000002919	SNX11	protein_coding	2	2	2	FMR1:CH21016	chr17	48121780	48121819	48121780	48121819	+	1	NA	NA	NA	NA	10	HEK293
FMR1	ENSG00000003056	M6PR	protein_coding	3	1	3	FMR1:CH10608	chr12	8940515	8940554	8940515	8940554	-	1	NA	0.323	NA	NA	26	HEK293
FMR1	ENSG00000003056	M6PR	protein_coding	3	1	3	FMR1:CH10609	chr12	8940890	8940929	8940890	8940929	-	1	NA	0.323	NA	NA	26	HEK293
FMR1	ENSG00000003056	M6PR	protein_coding	3	1	3	FMR1:CH10610	chr12	8945406	8945445	8945406	8945445	-	1	NA	0.323	NA	NA	26	HEK293
FMR1	ENSG00000003096	KLHL13	protein_coding	5	2	6	FMR1:CH49712	chrX	117898789	117898828	117898789	117898828	-	1	NA	NA	NA	NA	25	HEK293
FMR1	ENSG00000003096	KLHL13	protein_coding	5	2	6	FMR1:CH49713	chrX	117899158	117899197	117899158	117899197	-	2	NA	NA	NA	NA	25	HEK293
FMR1	ENSG00000003096	KLHL13	protein_coding	5	2	6	FMR1:CH49714	chrX	117909461	117909500	117909461	117909500	-	1	NA	NA	NA	NA	25	HEK293
FMR1	ENSG00000003096	KLHL13	protein_coding	5	2	6	FMR1:CH49715	chrX	117909837	117909876	117909837	117909876	-	1	NA	NA	NA	NA	25	HEK293
FMR1	ENSG00000003096	KLHL13	protein_coding	5	2	6	FMR1:CH49716	chrX	117919579	117919618	117919579	117919618	-	1	NA	NA	NA	NA	25	HEK293
FMR1	ENSG00000003400	CASP10	protein_coding	2	2	2	FMR1:CH28554	chr2	201187801	201187801	201187801	201187801	+	1	NA	NA	NA	NA	20	HEK293T
FMR1	ENSG00000003400	CASP10	protein_coding	2	2	2	FMR1:CH28555	chr2	201200755	201200794	201200755	201200794	+	1	NA	NA	NA	NA	20	K562
FMR1	ENSG00000003402	CFLAR	protein_coding	4	3	6	FMR1:CH28549	chr2	201119222	201119261	201119222	201119261	+	1	NA	0.281	NA	NA	26	K562
FMR1	ENSG00000003402	CFLAR	protein_coding	4	3	6	FMR1:CH28550	chr2	201138860	201138899	201138860	201138899	+	1	NA	0.281	NA	NA	26	K562
FMR1	ENSG00000003402	CFLAR	protein_coding	4	3	6	FMR1:CH28551	chr2	201139946	201140178	201139946	201140178	+	2	NA	0.281	NA	NA	26	K562
FMR1	ENSG00000003402	CFLAR	protein_coding	4	3	6	FMR1:CH28553	chr2	201151621	201151660	201151621	201151660	+	1	NA	0.281	NA	NA	26	HEK293
FMR1	ENSG00000003756	RBM5	protein_coding	4	3	4	FMR1:CH33522	chr3	50088974	50089013	50088974	50089013	+	1	-0.189	NA	NA	NA	24	K562
FMR1	ENSG00000003756	RBM5	protein_coding	4	3	4	FMR1:CH33523	chr3	50110718	50110757	50110718	50110757	+	1	-0.189	NA	NA	NA	24	HEK293
