#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
EIF3G	ENSG00000001084	GCLC	protein_coding	1	1	1	EIF3G:CH5984	chr6	53505522	53505561	53505522	53505561	-	1	NA	NA	NA	NA	25	HEK293T
EIF3G	ENSG00000001626	CFTR	protein_coding	1	1	1	EIF3G:CH6435	chr7	117679457	117679496	117679457	117679496	+	1	NA	NA	NA	NA	12	HEK293T
EIF3G	ENSG00000001630	CYP51A1	protein_coding	1	1	1	EIF3G:CH6383	chr7	92134294	92134294	92134294	92134294	-	1	0.222	-0.559	NA	NA	22	HEK293T
EIF3G	ENSG00000002726	AOC1	protein_coding	1	1	1	EIF3G:CH6501	chr7	150857560	150857599	150857560	150857599	+	1	NA	NA	NA	NA	8	HEK293T
EIF3G	ENSG00000002822	MAD1L1	protein_coding	1	1	1	EIF3G:CH6207	chr7	2094511	2094550	2094511	2094550	-	1	NA	1.191	NA	NA	31	HEK293T
EIF3G	ENSG00000003056	M6PR	protein_coding	1	2	2	EIF3G:CH1547	chr12	8949558	8949597	8949558	8949597	-	2	-0.174	NA	NA	NA	22	HEK293T
EIF3G	ENSG00000003137	CYP26B1	protein_coding	1	1	1	EIF3G:CH3812	chr2	72143469	72143508	72143469	72143508	-	1	NA	NA	NA	NA	13	HEK293T
EIF3G	ENSG00000003147	ICA1	protein_coding	1	1	1	EIF3G:CH6246	chr7	8261907	8261946	8261907	8261946	-	1	NA	NA	NA	NA	14	HEK293T
EIF3G	ENSG00000004059	ARF5	protein_coding	1	1	1	EIF3G:CH6439	chr7	127591611	127591650	127591611	127591650	+	1	-0.326	NA	NA	NA	30	K562
EIF3G	ENSG00000004139	SARM1	protein_coding	1	1	1	EIF3G:CH2862	chr17	28371896	28371935	28371896	28371935	+	1	NA	NA	NA	NA	14	HEK293T
EIF3G	ENSG00000004455	AK2	protein_coding	1	1	2	EIF3G:CH185	chr1	33036815	33036868	33036815	33036868	-	1	-0.407	0.275	NA	NA	15	K562
EIF3G	ENSG00000004478	FKBP4	protein_coding	1	1	1	EIF3G:CH1512	chr12	2794984	2795023	2794984	2795023	+	1	-0.321	0.168	NA	NA	21	HEK293T
