#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
NIPBL	ENSG00000002822	MAD1L1	protein_coding	2	2	2	NIPBL:CH785	chr7	1849005	1849044	1849005	1849044	-	1	NA	NA	NA	NA	20	K562
NIPBL	ENSG00000002822	MAD1L1	protein_coding	2	2	2	NIPBL:CH786	chr7	1983478	1983478	1983478	1983478	-	1	NA	NA	NA	NA	20	K562
NIPBL	ENSG00000007038	PRSS21	protein_coding	1	1	1	NIPBL:CH283	chr16	2817744	2817783	2817744	2817783	+	1	NA	NA	NA	NA	8	K562
NIPBL	ENSG00000008130	NADK	protein_coding	1	1	1	NIPBL:CH10	chr1	1756214	1756253	1756214	1756253	-	1	NA	NA	NA	0.161	24	K562
NIPBL	ENSG00000008988	RPS20	protein_coding	1	1	1	NIPBL:CH859	chr8	56074092	56074131	56074092	56074131	-	1	NA	NA	NA	NA	26	K562
NIPBL	ENSG00000009954	BAZ1B	protein_coding	2	2	4	NIPBL:CH805	chr7	73442075	73442136	73442075	73442136	-	1	NA	NA	NA	-0.263	31	K562
NIPBL	ENSG00000009954	BAZ1B	protein_coding	2	2	4	NIPBL:CH806	chr7	73477636	73477701	73477636	73477701	-	2	NA	NA	NA	-0.263	31	K562
NIPBL	ENSG00000010292	NCAPD2	protein_coding	1	2	2	NIPBL:CH196	chr12	6510503	6510508	6510503	6510508	+	2	NA	NA	NA	0.080	30	K562
NIPBL	ENSG00000011304	PTBP1	protein_coding	1	1	1	NIPBL:CH387	chr19	806572	806611	806572	806611	+	1	NA	NA	NA	NA	29	K562
NIPBL	ENSG00000012061	ERCC1	protein_coding	1	1	1	NIPBL:CH451	chr19	45478649	45478649	45478649	45478649	-	1	NA	NA	NA	0.236	27	K562
NIPBL	ENSG00000015479	MATR3	protein_coding	2	1	2	NIPBL:CH708	chr5	139322702	139322741	139322702	139322741	+	1	NA	NA	NA	-0.166	32	K562
NIPBL	ENSG00000015479	MATR3	protein_coding	2	1	2	NIPBL:CH709	chr5	139325581	139325620	139325581	139325620	+	1	NA	NA	NA	-0.166	32	K562
NIPBL	ENSG00000017797	RALBP1	protein_coding	1	1	1	NIPBL:CH376	chr18	9517078	9517078	9517078	9517078	+	1	NA	NA	NA	-0.141	31	K562
NIPBL	ENSG00000028310	BRD9	protein_coding	1	1	1	NIPBL:CH682	chr5	882478	882478	882478	882478	-	1	NA	NA	NA	NA	29	K562
NIPBL	ENSG00000029363	BCLAF1	protein_coding	1	1	1	NIPBL:CH773	chr6	136275829	136275868	136275829	136275868	-	1	NA	NA	NA	-0.189	32	K562
NIPBL	ENSG00000035928	RFC1	protein_coding	1	1	1	NIPBL:CH663	chr4	39297645	39297645	39297645	39297645	-	1	NA	NA	NA	-0.258	32	K562
NIPBL	ENSG00000044574	HSPA5	protein_coding	2	2	4	NIPBL:CH895	chr9	125236604	125236750	125236604	125236750	-	2	NA	NA	NA	NA	18	K562
NIPBL	ENSG00000044574	HSPA5	protein_coding	2	2	4	NIPBL:CH896	chr9	125241127	125241166	125241127	125241166	-	1	NA	NA	NA	NA	18	K562
NIPBL	ENSG00000046604	DSG2	protein_coding	1	1	1	NIPBL:CH378	chr18	31538833	31538833	31538833	31538833	+	1	NA	NA	NA	-0.114	23	K562
NIPBL	ENSG00000047410	TPR	protein_coding	3	2	4	NIPBL:CH82	chr1	186345608	186345647	186345608	186345647	-	1	NA	NA	NA	-0.131	32	K562
NIPBL	ENSG00000047410	TPR	protein_coding	3	2	4	NIPBL:CH83	chr1	186353766	186353805	186353766	186353805	-	1	NA	NA	NA	-0.131	32	K562
NIPBL	ENSG00000047410	TPR	protein_coding	3	2	4	NIPBL:CH84	chr1	186360306	186360345	186360306	186360345	-	2	NA	NA	NA	-0.131	32	K562
NIPBL	ENSG00000054277	OPN3	protein_coding	2	2	2	NIPBL:CH92	chr1	241631079	241631118	241631079	241631118	-	1	NA	NA	NA	-0.729	24	K562
NIPBL	ENSG00000054277	OPN3	protein_coding	2	2	2	NIPBL:CH93	chr1	241634939	241634978	241634939	241634978	-	1	NA	NA	NA	-0.729	24	K562
