#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
NONO	ENSG00000001629	ANKIB1	protein_coding	2	1	2	NONO:CH22247	chr7	92246921	92246960	92246921	92246960	+	1	NA	NA	NA	NA	26	K562
NONO	ENSG00000001629	ANKIB1	protein_coding	2	1	2	NONO:CH22248	chr7	92257936	92257975	92257936	92257975	+	1	NA	NA	NA	NA	26	K562
NONO	ENSG00000002822	MAD1L1	protein_coding	169	2	203	NONO:CH21484	chr7	1817092	1817131	1817092	1817131	-	1	0.660	0.456	NA	NA	9	K562
NONO	ENSG00000002822	MAD1L1	protein_coding	169	2	203	NONO:CH21485	chr7	1817629	1817668	1817629	1817668	-	1	0.660	0.456	NA	NA	9	K562
NONO	ENSG00000002822	MAD1L1	protein_coding	169	2	203	NONO:CH21486	chr7	1818157	1818196	1818157	1818196	-	1	0.660	0.456	NA	NA	9	K562
NONO	ENSG00000002822	MAD1L1	protein_coding	169	2	203	NONO:CH21487	chr7	1822077	1822116	1822077	1822116	-	1	0.660	0.456	NA	NA	9	K562
NONO	ENSG00000002822	MAD1L1	protein_coding	169	2	203	NONO:CH21488	chr7	1825136	1825175	1825136	1825175	-	1	0.660	0.456	NA	NA	9	K562
NONO	ENSG00000002822	MAD1L1	protein_coding	169	2	203	NONO:CH21489	chr7	1826324	1826363	1826324	1826363	-	1	0.660	0.456	NA	NA	9	K562
NONO	ENSG00000002822	MAD1L1	protein_coding	169	2	203	NONO:CH21490	chr7	1828236	1828275	1828236	1828275	-	1	0.660	0.456	NA	NA	9	K562
NONO	ENSG00000002822	MAD1L1	protein_coding	169	2	203	NONO:CH21491	chr7	1838568	1838607	1838568	1838607	-	1	0.660	0.456	NA	NA	9	K562
NONO	ENSG00000002822	MAD1L1	protein_coding	169	2	203	NONO:CH21492	chr7	1839847	1840053	1839847	1840053	-	2	0.660	0.456	NA	NA	9	K562
NONO	ENSG00000002822	MAD1L1	protein_coding	169	2	203	NONO:CH21493	chr7	1844148	1844198	1844148	1844198	-	2	0.660	0.456	NA	NA	9	K562
NONO	ENSG00000002822	MAD1L1	protein_coding	169	2	203	NONO:CH21494	chr7	1844578	1844617	1844578	1844617	-	1	0.660	0.456	NA	NA	9	K562
