#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
SF3B4	ENSG00000000419	DPM1	protein_coding	3	1	3	SF3B4:CH18745	chr20	50942151	50942151	50942151	50942151	-	1	-0.445	-0.406	NA	NA	22	HepG2
SF3B4	ENSG00000000419	DPM1	protein_coding	3	1	3	SF3B4:CH18746	chr20	50945805	50945805	50945805	50945805	-	1	-0.445	-0.406	NA	NA	22	HepG2
SF3B4	ENSG00000000419	DPM1	protein_coding	3	1	3	SF3B4:CH18747	chr20	50955280	50955319	50955280	50955319	-	1	-0.445	-0.406	NA	NA	22	HepG2
SF3B4	ENSG00000001084	GCLC	protein_coding	5	2	7	SF3B4:CH23766	chr6	53500213	53500213	53500213	53500213	-	1	0.662	NA	NA	NA	19	HepG2
SF3B4	ENSG00000001084	GCLC	protein_coding	5	2	7	SF3B4:CH23767	chr6	53505532	53505574	53505532	53505574	-	2	0.662	NA	NA	NA	19	HepG2
SF3B4	ENSG00000001084	GCLC	protein_coding	5	2	7	SF3B4:CH23768	chr6	53508753	53508753	53508753	53508753	-	1	0.662	NA	NA	NA	19	HepG2
SF3B4	ENSG00000001084	GCLC	protein_coding	5	2	7	SF3B4:CH23769	chr6	53509277	53509317	53509277	53509317	-	2	0.662	NA	NA	NA	19	HepG2
SF3B4	ENSG00000001084	GCLC	protein_coding	5	2	7	SF3B4:CH23770	chr6	53514511	53514550	53514511	53514550	-	1	0.662	NA	NA	NA	19	HepG2
SF3B4	ENSG00000001497	LAS1L	protein_coding	1	1	1	SF3B4:CH27440	chrX	65514996	65515035	65514996	65515035	-	1	-0.594	NA	NA	NA	24	HepG2
SF3B4	ENSG00000001617	SEMA3F	protein_coding	6	2	8	SF3B4:CH21357	chr3	50175020	50175059	50175020	50175059	+	1	NA	NA	NA	NA	14	HepG2
SF3B4	ENSG00000001617	SEMA3F	protein_coding	6	2	8	SF3B4:CH21359	chr3	50176711	50176753	50176711	50176753	+	2	NA	NA	NA	NA	14	HepG2
SF3B4	ENSG00000001617	SEMA3F	protein_coding	6	2	8	SF3B4:CH21360	chr3	50182201	50182240	50182201	50182240	+	1	NA	NA	NA	NA	14	HepG2
SF3B4	ENSG00000001617	SEMA3F	protein_coding	6	2	8	SF3B4:CH21361	chr3	50182844	50182883	50182844	50182883	+	1	NA	NA	NA	NA	14	HepG2
SF3B4	ENSG00000001617	SEMA3F	protein_coding	6	2	8	SF3B4:CH21362	chr3	50183366	50183405	50183366	50183405	+	1	NA	NA	NA	NA	14	HepG2
SF3B4	ENSG00000001617	SEMA3F	protein_coding	6	2	8	SF3B4:CH21363	chr3	50184549	50184588	50184549	50184588	+	1	NA	NA	NA	NA	14	HepG2
SF3B4	ENSG00000001631	KRIT1	protein_coding	2	2	2	SF3B4:CH24778	chr7	92235653	92235692	92235653	92235692	-	1	NA	NA	NA	NA	15	HepG2
SF3B4	ENSG00000001631	KRIT1	protein_coding	2	2	2	SF3B4:CH24779	chr7	92245701	92245740	92245701	92245740	-	1	NA	NA	NA	NA	15	HepG2
SF3B4	ENSG00000002016	RAD52	protein_coding	3	2	5	SF3B4:CH4669	chr12	916487	916527	916487	916527	-	2	NA	NA	NA	NA	19	HepG2
SF3B4	ENSG00000002016	RAD52	protein_coding	3	2	5	SF3B4:CH4670	chr12	927278	927317	927278	927317	-	2	NA	NA	NA	NA	19	HepG2
SF3B4	ENSG00000002016	RAD52	protein_coding	3	2	5	SF3B4:CH4671	chr12	929911	929950	929911	929950	-	1	NA	NA	NA	NA	19	HepG2
SF3B4	ENSG00000002549	LAP3	protein_coding	3	2	5	SF3B4:CH22378	chr4	17583423	17583463	17583423	17583463	+	2	NA	-0.344	NA	NA	18	HepG2
SF3B4	ENSG00000002549	LAP3	protein_coding	3	2	5	SF3B4:CH22379	chr4	17584952	17584991	17584952	17584991	+	1	NA	-0.344	NA	NA	18	HepG2
SF3B4	ENSG00000002549	LAP3	protein_coding	3	2	5	SF3B4:CH22381	chr4	17604538	17604577	17604538	17604577	+	2	NA	-0.344	NA	NA	18	HepG2
