#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
KHSRP	ENSG00000000419	DPM1	protein_coding	7	5	16	KHSRP:CH16755	chr20	50935013	50935176	50935013	50935176	-	1	-0.604	-0.260	NA	NA	21	HEK293
KHSRP	ENSG00000000419	DPM1	protein_coding	7	5	16	KHSRP:CH16756	chr20	50940622	50940661	50940622	50940661	-	1	-0.604	-0.260	NA	NA	21	HEK293
KHSRP	ENSG00000000419	DPM1	protein_coding	7	5	16	KHSRP:CH16757	chr20	50941929	50941968	50941929	50941968	-	1	-0.604	-0.260	NA	NA	21	HEK293
KHSRP	ENSG00000000419	DPM1	protein_coding	7	5	16	KHSRP:CH16758	chr20	50946127	50946236	50946127	50946236	-	1	-0.604	-0.260	NA	NA	21	HEK293
KHSRP	ENSG00000000419	DPM1	protein_coding	7	5	16	KHSRP:CH16759	chr20	50950914	50951054	50950914	50951054	-	4	-0.604	-0.260	NA	NA	21	HEK293,HepG2
KHSRP	ENSG00000000419	DPM1	protein_coding	7	5	16	KHSRP:CH16760	chr20	50954561	50954775	50954561	50954775	-	4	-0.604	-0.260	NA	NA	21	HEK293,HepG2
KHSRP	ENSG00000000419	DPM1	protein_coding	7	5	16	KHSRP:CH16761	chr20	50955030	50955113	50955030	50955113	-	1	-0.604	-0.260	NA	NA	21	HEK293
KHSRP	ENSG00000000460	C1orf112	protein_coding	4	1	4	KHSRP:CH1985	chr1	169799182	169799221	169799182	169799221	+	1	-0.822	-0.330	NA	NA	28	HEK293
KHSRP	ENSG00000000460	C1orf112	protein_coding	4	1	4	KHSRP:CH1986	chr1	169803970	169803970	169803970	169803970	+	1	-0.822	-0.330	NA	NA	28	HEK293
KHSRP	ENSG00000000460	C1orf112	protein_coding	4	1	4	KHSRP:CH1987	chr1	169821465	169821504	169821465	169821504	+	1	-0.822	-0.330	NA	NA	28	HEK293
KHSRP	ENSG00000000460	C1orf112	protein_coding	4	1	4	KHSRP:CH1988	chr1	169836777	169836816	169836777	169836816	+	1	-0.822	-0.330	NA	NA	28	HEK293
KHSRP	ENSG00000001036	FUCA2	protein_coding	1	1	1	KHSRP:CH24823	chr6	143502291	143502330	143502291	143502330	-	1	NA	NA	NA	NA	15	HEK293
KHSRP	ENSG00000001084	GCLC	protein_coding	2	2	2	KHSRP:CH23603	chr6	53498551	53498590	53498551	53498590	-	1	-0.431	NA	NA	NA	17	HEK293
KHSRP	ENSG00000001084	GCLC	protein_coding	2	2	2	KHSRP:CH23604	chr6	53508488	53508488	53508488	53508488	-	1	-0.431	NA	NA	NA	17	HEK293
KHSRP	ENSG00000001167	NFYA	protein_coding	2	1	2	KHSRP:CH23451	chr6	41082292	41082292	41082292	41082292	+	1	NA	NA	NA	NA	26	HEK293
KHSRP	ENSG00000001167	NFYA	protein_coding	2	1	2	KHSRP:CH23452	chr6	41099375	41099414	41099375	41099414	+	1	NA	NA	NA	NA	26	HEK293
KHSRP	ENSG00000001561	ENPP4	protein_coding	1	1	2	KHSRP:CH23517	chr6	46146541	46146593	46146541	46146593	+	1	NA	NA	NA	NA	20	HEK293
KHSRP	ENSG00000001629	ANKIB1	protein_coding	3	1	3	KHSRP:CH25692	chr7	92321428	92321467	92321428	92321467	+	1	0.450	NA	NA	NA	25	HEK293
KHSRP	ENSG00000001629	ANKIB1	protein_coding	3	1	3	KHSRP:CH25693	chr7	92334759	92334798	92334759	92334798	+	1	0.450	NA	NA	NA	25	HEK293
KHSRP	ENSG00000001629	ANKIB1	protein_coding	3	1	3	KHSRP:CH25694	chr7	92364361	92364361	92364361	92364361	+	1	0.450	NA	NA	NA	25	HEK293
KHSRP	ENSG00000001630	CYP51A1	protein_coding	1	1	1	KHSRP:CH25682	chr7	92113515	92113554	92113515	92113554	-	1	-0.599	NA	NA	NA	24	HEK293
KHSRP	ENSG00000001631	KRIT1	protein_coding	8	1	8	KHSRP:CH25684	chr7	92199267	92199306	92199267	92199306	-	1	0.240	NA	NA	NA	25	HEK293
KHSRP	ENSG00000001631	KRIT1	protein_coding	8	1	8	KHSRP:CH25685	chr7	92210773	92210773	92210773	92210773	-	1	0.240	NA	NA	NA	25	HEK293
KHSRP	ENSG00000001631	KRIT1	protein_coding	8	1	8	KHSRP:CH25686	chr7	92211644	92211683	92211644	92211683	-	1	0.240	NA	NA	NA	25	HEK293
KHSRP	ENSG00000001631	KRIT1	protein_coding	8	1	8	KHSRP:CH25687	chr7	92214162	92214162	92214162	92214162	-	1	0.240	NA	NA	NA	25	HEK293
KHSRP	ENSG00000001631	KRIT1	protein_coding	8	1	8	KHSRP:CH25688	chr7	92222324	92222363	92222324	92222363	-	1	0.240	NA	NA	NA	25	HEK293
KHSRP	ENSG00000001631	KRIT1	protein_coding	8	1	8	KHSRP:CH25689	chr7	92234179	92234218	92234179	92234218	-	1	0.240	NA	NA	NA	25	HEK293
KHSRP	ENSG00000001631	KRIT1	protein_coding	8	1	8	KHSRP:CH25690	chr7	92234689	92234728	92234689	92234728	-	1	0.240	NA	NA	NA	25	HEK293
KHSRP	ENSG00000001631	KRIT1	protein_coding	8	1	8	KHSRP:CH25691	chr7	92237795	92237795	92237795	92237795	-	1	0.240	NA	NA	NA	25	HEK293
KHSRP	ENSG00000002822	MAD1L1	protein_coding	4	2	5	KHSRP:CH25187	chr7	1869461	1869500	1869461	1869500	-	1	NA	NA	NA	NA	18	HepG2
KHSRP	ENSG00000002822	MAD1L1	protein_coding	4	2	5	KHSRP:CH25188	chr7	1996211	1996250	1996211	1996250	-	1	NA	NA	NA	NA	18	HepG2
KHSRP	ENSG00000002822	MAD1L1	protein_coding	4	2	5	KHSRP:CH25189	chr7	2025737	2025737	2025737	2025737	-	1	NA	NA	NA	NA	18	HEK293
KHSRP	ENSG00000002822	MAD1L1	protein_coding	4	2	5	KHSRP:CH25190	chr7	2122456	2122504	2122456	2122504	-	1	NA	NA	NA	NA	18	HEK293
KHSRP	ENSG00000003096	KLHL13	protein_coding	1	1	1	KHSRP:CH29594	chrX	118016622	118016661	118016622	118016661	-	1	NA	NA	NA	NA	19	HEK293
KHSRP	ENSG00000003393	ALS2	protein_coding	2	2	3	KHSRP:CH15859	chr2	201725928	201725928	201725928	201725928	-	1	-0.212	NA	NA	NA	22	HEK293
KHSRP	ENSG00000003393	ALS2	protein_coding	2	2	3	KHSRP:CH15860	chr2	201757223	201757235	201757223	201757235	-	1	-0.212	NA	NA	NA	22	HEK293
KHSRP	ENSG00000003402	CFLAR	protein_coding	2	3	4	KHSRP:CH15855	chr2	201141507	201141557	201141507	201141557	+	3	0.401	NA	NA	NA	15	HEK293,HepG2
KHSRP	ENSG00000003402	CFLAR	protein_coding	2	3	4	KHSRP:CH15856	chr2	201167123	201167162	201167123	201167162	+	1	0.401	NA	NA	NA	15	HepG2
KHSRP	ENSG00000003436	TFPI	protein_coding	8	2	11	KHSRP:CH15680	chr2	187464383	187464422	187464383	187464422	-	1	-0.220	NA	NA	NA	16	HepG2
KHSRP	ENSG00000003436	TFPI	protein_coding	8	2	11	KHSRP:CH15681	chr2	187466757	187466803	187466757	187466803	-	2	-0.220	NA	NA	NA	16	HepG2
KHSRP	ENSG00000003436	TFPI	protein_coding	8	2	11	KHSRP:CH15682	chr2	187478530	187478569	187478530	187478569	-	1	-0.220	NA	NA	NA	16	HepG2
KHSRP	ENSG00000003436	TFPI	protein_coding	8	2	11	KHSRP:CH15683	chr2	187481221	187481260	187481221	187481260	-	1	-0.220	NA	NA	NA	16	HepG2
KHSRP	ENSG00000003436	TFPI	protein_coding	8	2	11	KHSRP:CH15684	chr2	187488216	187488255	187488216	187488255	-	1	-0.220	NA	NA	NA	16	HepG2
KHSRP	ENSG00000003436	TFPI	protein_coding	8	2	11	KHSRP:CH15700	chr2	187540985	187541026	187540985	187541026	-	2	-0.220	NA	NA	NA	16	HepG2
KHSRP	ENSG00000003436	TFPI	protein_coding	8	2	11	KHSRP:CH15702	chr2	187545533	187545584	187545533	187545584	-	2	-0.220	NA	NA	NA	16	HepG2
KHSRP	ENSG00000003436	TFPI	protein_coding	8	2	11	KHSRP:CH15705	chr2	187553599	187553638	187553599	187553638	-	1	-0.220	NA	NA	NA	16	HepG2
KHSRP	ENSG00000003509	NDUFAF7	protein_coding	1	1	1	KHSRP:CH14101	chr2	37253149	37253149	37253149	37253149	+	1	NA	NA	NA	NA	19	HEK293
KHSRP	ENSG00000003756	RBM5	protein_coding	5	4	8	KHSRP:CH18237	chr3	50104141	50104203	50104141	50104203	+	2	0.440	-0.357	NA	NA	22	HEK293,HepG2
KHSRP	ENSG00000003756	RBM5	protein_coding	5	4	8	KHSRP:CH18238	chr3	50105064	50105103	50105064	50105103	+	1	0.440	-0.357	NA	NA	22	HepG2
KHSRP	ENSG00000003756	RBM5	protein_coding	5	4	8	KHSRP:CH18239	chr3	50109834	50109887	50109834	50109887	+	2	0.440	-0.357	NA	NA	22	HEK293
KHSRP	ENSG00000003756	RBM5	protein_coding	5	4	8	KHSRP:CH18240	chr3	50110263	50110302	50110263	50110302	+	1	0.440	-0.357	NA	NA	22	HepG2
KHSRP	ENSG00000003756	RBM5	protein_coding	5	4	8	KHSRP:CH18241	chr3	50110510	50110549	50110510	50110549	+	1	0.440	-0.357	NA	NA	22	HEK293
KHSRP	ENSG00000003987	MTMR7	protein_coding	5	2	6	KHSRP:CH26854	chr8	17339658	17339697	17339658	17339697	-	1	NA	NA	NA	NA	16	HEK293
