#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
FAM120A	ENSG00000000003	TSPAN6	protein_coding	1	2	3	FAM120A:CH53945	chrX	100629307	100629657	100629307	100629657	-	2	NA	NA	NA	NA	13	HepG2
FAM120A	ENSG00000000419	DPM1	protein_coding	1	1	1	FAM120A:CH34524	chr20	50957789	50957828	50957789	50957828	-	1	-0.323	NA	NA	NA	22	HepG2
FAM120A	ENSG00000001036	FUCA2	protein_coding	1	1	1	FAM120A:CH45292	chr6	143504189	143504228	143504189	143504228	-	1	NA	NA	NA	NA	10	K562
FAM120A	ENSG00000001084	GCLC	protein_coding	2	4	7	FAM120A:CH44877	chr6	53497810	53498189	53497810	53498189	-	4	NA	NA	NA	NA	25	HepG2,K562
FAM120A	ENSG00000001084	GCLC	protein_coding	2	4	7	FAM120A:CH44879	chr6	53519325	53519366	53519325	53519366	-	2	NA	NA	NA	NA	25	HepG2
FAM120A	ENSG00000001167	NFYA	protein_coding	1	1	1	FAM120A:CH44548	chr6	41098369	41098408	41098369	41098408	+	1	NA	NA	NA	NA	24	HepG2
FAM120A	ENSG00000001461	NIPAL3	protein_coding	4	3	6	FAM120A:CH1759	chr1	24470023	24470070	24470023	24470070	+	3	NA	NA	NA	NA	29	HepG2,K562
FAM120A	ENSG00000001461	NIPAL3	protein_coding	4	3	6	FAM120A:CH1760	chr1	24471172	24471211	24471172	24471211	+	1	NA	NA	NA	NA	29	K562
FAM120A	ENSG00000001461	NIPAL3	protein_coding	4	3	6	FAM120A:CH1761	chr1	24472031	24472070	24472031	24472070	+	1	NA	NA	NA	NA	29	K562
FAM120A	ENSG00000001461	NIPAL3	protein_coding	4	3	6	FAM120A:CH1762	chr1	24472759	24472798	24472759	24472798	+	1	NA	NA	NA	NA	29	K562
FAM120A	ENSG00000001497	LAS1L	protein_coding	3	3	5	FAM120A:CH53780	chrX	65514703	65514742	65514703	65514742	-	1	NA	NA	NA	NA	15	HepG2
FAM120A	ENSG00000001497	LAS1L	protein_coding	3	3	5	FAM120A:CH53781	chrX	65515382	65515421	65515382	65515421	-	1	NA	NA	NA	NA	15	HepG2
FAM120A	ENSG00000001497	LAS1L	protein_coding	3	3	5	FAM120A:CH53782	chrX	65524842	65524894	65524842	65524894	-	3	NA	NA	NA	NA	15	HepG2,K562
FAM120A	ENSG00000001617	SEMA3F	protein_coding	2	1	2	FAM120A:CH39254	chr3	50162849	50162888	50162849	50162888	+	1	NA	NA	NA	NA	18	HepG2
FAM120A	ENSG00000001617	SEMA3F	protein_coding	2	1	2	FAM120A:CH39255	chr3	50175030	50175069	50175030	50175069	+	1	NA	NA	NA	NA	18	HepG2
FAM120A	ENSG00000001629	ANKIB1	protein_coding	3	2	3	FAM120A:CH47604	chr7	92246110	92246149	92246110	92246149	+	1	NA	NA	NA	NA	31	K562
FAM120A	ENSG00000001629	ANKIB1	protein_coding	3	2	3	FAM120A:CH47605	chr7	92290874	92290913	92290874	92290913	+	1	NA	NA	NA	NA	31	HepG2
FAM120A	ENSG00000001629	ANKIB1	protein_coding	3	2	3	FAM120A:CH47606	chr7	92400590	92400629	92400590	92400629	+	1	NA	NA	NA	NA	31	K562
FAM120A	ENSG00000001630	CYP51A1	protein_coding	2	4	7	FAM120A:CH47599	chr7	92112340	92112560	92112340	92112560	-	4	NA	NA	NA	NA	30	HepG2,K562
FAM120A	ENSG00000001630	CYP51A1	protein_coding	2	4	7	FAM120A:CH47601	chr7	92113174	92113291	92113174	92113291	-	2	NA	NA	NA	NA	30	HepG2,K562
FAM120A	ENSG00000001631	KRIT1	protein_coding	1	2	2	FAM120A:CH47603	chr7	92245707	92245756	92245707	92245756	-	2	-0.395	NA	NA	NA	30	HepG2,K562
FAM120A	ENSG00000002330	BAD	protein_coding	1	1	1	FAM120A:CH8376	chr11	64269871	64269910	64269871	64269910	-	1	0.982	NA	NA	NA	24	K562
FAM120A	ENSG00000002586	CD99	protein_coding	8	3	12	FAM120A:CH53349	chrX	2691286	2691325	2691286	2691325	+	1	NA	NA	NA	NA	23	HepG2
FAM120A	ENSG00000002586	CD99	protein_coding	8	3	12	FAM120A:CH53350	chrX	2726289	2726328	2726289	2726328	+	1	NA	NA	NA	NA	23	HepG2
FAM120A	ENSG00000002586	CD99	protein_coding	8	3	12	FAM120A:CH53351	chrX	2738207	2738246	2738207	2738246	+	1	NA	NA	NA	NA	23	HepG2
FAM120A	ENSG00000002586	CD99	protein_coding	8	3	12	FAM120A:CH53352	chrX	2741026	2741147	2741026	2741147	+	3	NA	NA	NA	NA	23	HepG2,K562
FAM120A	ENSG00000002586	CD99	protein_coding	8	3	12	FAM120A:CH54466	chrY	2691286	2691325	2691286	2691325	+	1	NA	NA	NA	NA	23	HepG2
FAM120A	ENSG00000002586	CD99	protein_coding	8	3	12	FAM120A:CH54467	chrY	2726289	2726328	2726289	2726328	+	1	NA	NA	NA	NA	23	HepG2
FAM120A	ENSG00000002586	CD99	protein_coding	8	3	12	FAM120A:CH54468	chrY	2738207	2738246	2738207	2738246	+	1	NA	NA	NA	NA	23	HepG2
FAM120A	ENSG00000002586	CD99	protein_coding	8	3	12	FAM120A:CH54469	chrY	2741026	2741147	2741026	2741147	+	3	NA	NA	NA	NA	23	HepG2,K562
FAM120A	ENSG00000002822	MAD1L1	protein_coding	277	4	388	FAM120A:CH46190	chr7	1817724	1817767	1817724	1817767	-	2	NA	NA	NA	NA	20	HepG2,K562
FAM120A	ENSG00000002822	MAD1L1	protein_coding	277	4	388	FAM120A:CH46191	chr7	1826646	1826685	1826646	1826685	-	1	NA	NA	NA	NA	20	HepG2
FAM120A	ENSG00000002822	MAD1L1	protein_coding	277	4	388	FAM120A:CH46192	chr7	1827456	1827495	1827456	1827495	-	1	NA	NA	NA	NA	20	HepG2
FAM120A	ENSG00000002822	MAD1L1	protein_coding	277	4	388	FAM120A:CH46193	chr7	1827866	1827905	1827866	1827905	-	1	NA	NA	NA	NA	20	HepG2
FAM120A	ENSG00000002822	MAD1L1	protein_coding	277	4	388	FAM120A:CH46194	chr7	1839854	1839893	1839854	1839893	-	1	NA	NA	NA	NA	20	HepG2
FAM120A	ENSG00000002822	MAD1L1	protein_coding	277	4	388	FAM120A:CH46195	chr7	1841936	1841975	1841936	1841975	-	1	NA	NA	NA	NA	20	HepG2
