#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
METTL3	ENSG00000000003	TSPAN6	protein_coding	1	1	2	METTL3:CH7227	chrX	100629928	100629937	100629928	100629937	-	1	NA	NA	NA	NA	15	HEK293T
METTL3	ENSG00000000971	CFH	protein_coding	1	1	1	METTL3:CH662	chr1	196679722	196679761	196679722	196679761	+	1	NA	NA	NA	NA	18	HeLa
METTL3	ENSG00000001036	FUCA2	protein_coding	1	1	1	METTL3:CH5756	chr6	143503935	143503974	143503935	143503974	-	1	NA	NA	NA	NA	11	HeLa
METTL3	ENSG00000001084	GCLC	protein_coding	1	1	1	METTL3:CH5616	chr6	53520075	53520114	53520075	53520114	-	1	NA	NA	NA	NA	24	HeLa
METTL3	ENSG00000001167	NFYA	protein_coding	1	1	1	METTL3:CH5586	chr6	41099039	41099078	41099039	41099078	+	1	NA	NA	NA	NA	27	HeLa
METTL3	ENSG00000001629	ANKIB1	protein_coding	1	1	1	METTL3:CH6135	chr7	92399573	92399612	92399573	92399612	+	1	NA	NA	NA	NA	26	HeLa
METTL3	ENSG00000003436	TFPI	protein_coding	2	1	2	METTL3:CH3834	chr2	187465349	187465388	187465349	187465388	-	1	NA	NA	NA	NA	13	HeLa
METTL3	ENSG00000003436	TFPI	protein_coding	2	1	2	METTL3:CH3835	chr2	187553485	187553524	187553485	187553524	-	1	NA	NA	NA	NA	13	HeLa
METTL3	ENSG00000003756	RBM5	protein_coding	3	2	3	METTL3:CH4458	chr3	50104823	50104862	50104823	50104862	+	1	NA	NA	NA	NA	32	HeLa
METTL3	ENSG00000003756	RBM5	protein_coding	3	2	3	METTL3:CH4459	chr3	50108586	50108625	50108586	50108625	+	1	NA	NA	NA	NA	32	HEK293T
METTL3	ENSG00000003756	RBM5	protein_coding	3	2	3	METTL3:CH4460	chr3	50118583	50118583	50118583	50118583	+	1	NA	NA	NA	NA	32	HEK293T
METTL3	ENSG00000003989	SLC7A2	protein_coding	2	1	2	METTL3:CH6391	chr8	17566300	17566339	17566300	17566339	+	1	NA	NA	NA	NA	12	HeLa
METTL3	ENSG00000003989	SLC7A2	protein_coding	2	1	2	METTL3:CH6392	chr8	17567078	17567117	17567078	17567117	+	1	NA	NA	NA	NA	12	HeLa
METTL3	ENSG00000004455	AK2	protein_coding	1	1	1	METTL3:CH166	chr1	33011630	33011669	33011630	33011669	-	1	NA	NA	NA	NA	17	HeLa
METTL3	ENSG00000004864	SLC25A13	protein_coding	1	1	1	METTL3:CH6150	chr7	96141859	96141898	96141859	96141898	-	1	NA	NA	NA	NA	21	HeLa
METTL3	ENSG00000004975	DVL2	protein_coding	1	1	1	METTL3:CH2911	chr17	7233498	7233537	7233498	7233537	-	1	NA	NA	NA	NA	27	HEK293T
METTL3	ENSG00000005022	SLC25A5	protein_coding	1	1	1	METTL3:CH7247	chrX	119469979	119470018	119469979	119470018	+	1	NA	NA	NA	NA	19	HeLa
METTL3	ENSG00000005100	DHX33	protein_coding	1	1	1	METTL3:CH2906	chr17	5441054	5441093	5441054	5441093	-	1	NA	NA	NA	NA	30	HeLa
METTL3	ENSG00000005187	ACSM3	protein_coding	1	1	1	METTL3:CH2716	chr16	20784531	20784570	20784531	20784570	+	1	NA	NA	NA	NA	18	HeLa
METTL3	ENSG00000005206	SPPL2B	protein_coding	1	1	1	METTL3:CH3314	chr19	2333309	2333348	2333309	2333348	+	1	NA	NA	NA	NA	26	HEK293T
METTL3	ENSG00000005700	IBTK	protein_coding	1	1	1	METTL3:CH5673	chr6	82231777	82231816	82231777	82231816	-	1	NA	NA	NA	NA	21	HeLa
METTL3	ENSG00000005889	ZFX	protein_coding	2	2	2	METTL3:CH7100	chrX	24210917	24210956	24210917	24210956	+	1	NA	NA	NA	NA	30	HeLa
METTL3	ENSG00000005889	ZFX	protein_coding	2	2	2	METTL3:CH7101	chrX	24212905	24212944	24212905	24212944	+	1	NA	NA	NA	NA	30	HeLa
METTL3	ENSG00000005893	LAMP2	protein_coding	1	1	1	METTL3:CH7251	chrX	120456702	120456741	120456702	120456741	-	1	NA	NA	NA	NA	19	HeLa
METTL3	ENSG00000006071	ABCC8	protein_coding	1	1	1	METTL3:CH1262	chr11	17432489	17432528	17432489	17432528	-	1	NA	NA	NA	NA	13	HEK293T
METTL3	ENSG00000006125	AP2B1	protein_coding	1	1	1	METTL3:CH3014	chr17	35726124	35726163	35726124	35726163	+	1	NA	NA	NA	NA	15	HeLa
METTL3	ENSG00000006652	IFRD1	protein_coding	2	2	2	METTL3:CH6239	chr7	112476078	112476117	112476078	112476117	+	1	NA	NA	NA	NA	22	HeLa
METTL3	ENSG00000006652	IFRD1	protein_coding	2	2	2	METTL3:CH6240	chr7	112476348	112476387	112476348	112476387	+	1	NA	NA	NA	NA	22	HeLa
METTL3	ENSG00000006704	GTF2IRD1	protein_coding	2	1	2	METTL3:CH6037	chr7	74472072	74472111	74472072	74472111	+	1	NA	NA	NA	NA	19	HeLa
METTL3	ENSG00000006704	GTF2IRD1	protein_coding	2	1	2	METTL3:CH6038	chr7	74483125	74483125	74483125	74483125	+	1	NA	NA	NA	NA	19	HeLa
METTL3	ENSG00000006744	ELAC2	protein_coding	1	1	1	METTL3:CH2947	chr17	13001134	13001134	13001134	13001134	-	1	NA	NA	NA	NA	24	HeLa
METTL3	ENSG00000007047	MARK4	protein_coding	1	1	1	METTL3:CH3460	chr19	45145419	45145419	45145419	45145419	+	1	NA	NA	NA	NA	12	HEK293T
METTL3	ENSG00000007202	KIAA0100	protein_coding	1	1	1	METTL3:CH2990	chr17	28633092	28633131	28633092	28633131	-	1	NA	NA	NA	NA	18	HeLa
METTL3	ENSG00000007923	DNAJC11	protein_coding	3	3	3	METTL3:CH38	chr1	6645897	6645936	6645897	6645936	-	1	NA	NA	NA	NA	29	HeLa
METTL3	ENSG00000007923	DNAJC11	protein_coding	3	3	3	METTL3:CH39	chr1	6649118	6649118	6649118	6649118	-	1	NA	NA	NA	NA	29	HEK293T
METTL3	ENSG00000007923	DNAJC11	protein_coding	3	3	3	METTL3:CH40	chr1	6653150	6653189	6653150	6653189	-	1	NA	NA	NA	NA	29	HeLa
METTL3	ENSG00000007944	MYLIP	protein_coding	2	2	2	METTL3:CH5463	chr6	16138626	16138665	16138626	16138665	+	1	NA	NA	NA	NA	23	HeLa
METTL3	ENSG00000007944	MYLIP	protein_coding	2	2	2	METTL3:CH5464	chr6	16138956	16138995	16138956	16138995	+	1	NA	NA	NA	NA	23	HeLa
METTL3	ENSG00000008083	JARID2	protein_coding	2	1	2	METTL3:CH5460	chr6	15289025	15289064	15289025	15289064	+	1	NA	NA	NA	NA	23	HeLa
METTL3	ENSG00000008083	JARID2	protein_coding	2	1	2	METTL3:CH5462	chr6	15392261	15392300	15392261	15392300	+	1	NA	NA	NA	NA	23	HeLa
METTL3	ENSG00000008282	SYPL1	protein_coding	1	1	1	METTL3:CH6191	chr7	106090972	106091011	106090972	106091011	-	1	NA	NA	NA	NA	21	HeLa
METTL3	ENSG00000008283	CYB561	protein_coding	1	1	1	METTL3:CH3139	chr17	63432706	63432745	63432706	63432745	-	1	NA	NA	NA	NA	10	HeLa
METTL3	ENSG00000008294	SPAG9	protein_coding	1	1	1	METTL3:CH3093	chr17	51093518	51093557	51093518	51093557	-	1	NA	NA	NA	NA	22	HeLa
METTL3	ENSG00000008405	CRY1	protein_coding	1	1	1	METTL3:CH2023	chr12	107090548	107090587	107090548	107090587	-	1	NA	NA	NA	NA	28	HEK293T
METTL3	ENSG00000008441	NFIX	protein_coding	1	1	1	METTL3:CH3385	chr19	13047463	13047463	13047463	13047463	+	1	NA	NA	NA	NA	16	HeLa
METTL3	ENSG00000008517	IL32	protein_coding	1	3	4	METTL3:CH2681	chr16	3069519	3069558	3069519	3069558	+	3	NA	NA	NA	NA	22	HeLa
METTL3	ENSG00000008838	MED24	protein_coding	1	1	1	METTL3:CH3033	chr17	40027589	40027628	40027589	40027628	-	1	NA	NA	NA	NA	25	HEK293T
METTL3	ENSG00000008952	SEC62	protein_coding	1	1	1	METTL3:CH4609	chr3	169993864	169993864	169993864	169993864	+	1	NA	NA	NA	NA	18	HEK293T
METTL3	ENSG00000008988	RPS20	protein_coding	2	3	4	METTL3:CH6468	chr8	56068862	56068924	56068862	56068924	-	1	NA	NA	NA	NA	19	HEK293T
METTL3	ENSG00000008988	RPS20	protein_coding	2	3	4	METTL3:CH6469	chr8	56073839	56073878	56073839	56073878	-	2	NA	NA	NA	NA	19	HeLa
METTL3	ENSG00000009307	CSDE1	protein_coding	4	2	5	METTL3:CH451	chr1	114717792	114717831	114717792	114717831	-	1	NA	NA	NA	NA	18	HeLa
METTL3	ENSG00000009307	CSDE1	protein_coding	4	2	5	METTL3:CH452	chr1	114723901	114723974	114723901	114723974	-	2	NA	NA	NA	NA	18	HeLa
METTL3	ENSG00000009307	CSDE1	protein_coding	4	2	5	METTL3:CH453	chr1	114736320	114736359	114736320	114736359	-	1	NA	NA	NA	NA	18	HeLa
METTL3	ENSG00000009307	CSDE1	protein_coding	4	2	5	METTL3:CH454	chr1	114755172	114755211	114755172	114755211	-	1	NA	NA	NA	NA	18	HeLa
METTL3	ENSG00000009335	UBE3C	protein_coding	1	1	1	METTL3:CH6347	chr7	157236453	157236492	157236453	157236492	+	1	NA	NA	NA	NA	23	HeLa
METTL3	ENSG00000009413	REV3L	protein_coding	1	1	1	METTL3:CH5708	chr6	111431113	111431152	111431113	111431152	-	1	NA	NA	NA	NA	30	HeLa
METTL3	ENSG00000009830	POMT2	protein_coding	1	1	1	METTL3:CH2394	chr14	77284082	77284121	77284082	77284121	-	1	NA	NA	NA	NA	30	HeLa
METTL3	ENSG00000009954	BAZ1B	protein_coding	5	3	6	METTL3:CH6028	chr7	73440615	73440658	73440615	73440658	-	1	NA	NA	NA	NA	28	HEK293T
METTL3	ENSG00000009954	BAZ1B	protein_coding	5	3	6	METTL3:CH6029	chr7	73441086	73441125	73441086	73441125	-	1	NA	NA	NA	NA	28	HeLa
METTL3	ENSG00000009954	BAZ1B	protein_coding	5	3	6	METTL3:CH6030	chr7	73477164	73477203	73477164	73477203	-	1	NA	NA	NA	NA	28	HeLa
METTL3	ENSG00000009954	BAZ1B	protein_coding	5	3	6	METTL3:CH6031	chr7	73508664	73508664	73508664	73508664	-	1	NA	NA	NA	NA	28	HEK293T
METTL3	ENSG00000009954	BAZ1B	protein_coding	5	3	6	METTL3:CH6032	chr7	73518637	73518676	73518637	73518676	-	1	NA	NA	NA	NA	28	HeLa
METTL3	ENSG00000010244	ZNF207	protein_coding	2	1	2	METTL3:CH3008	chr17	32365370	32365409	32365370	32365409	+	1	NA	NA	NA	NA	31	HeLa
METTL3	ENSG00000010244	ZNF207	protein_coding	2	1	2	METTL3:CH3009	chr17	32370348	32370387	32370348	32370387	+	1	NA	NA	NA	NA	31	HeLa
METTL3	ENSG00000010256	UQCRC1	protein_coding	2	2	2	METTL3:CH4447	chr3	48601364	48601403	48601364	48601403	-	1	NA	NA	NA	NA	14	HeLa
METTL3	ENSG00000010256	UQCRC1	protein_coding	2	2	2	METTL3:CH4448	chr3	48604890	48604929	48604890	48604929	-	1	NA	NA	NA	NA	14	HeLa
METTL3	ENSG00000010292	NCAPD2	protein_coding	2	6	10	METTL3:CH1630	chr12	6510236	6510553	6510236	6510553	+	5	NA	NA	NA	NA	26	HEK293T,HeLa
METTL3	ENSG00000010292	NCAPD2	protein_coding	2	6	10	METTL3:CH1631	chr12	6531828	6531867	6531828	6531867	+	1	NA	NA	NA	NA	26	HeLa
METTL3	ENSG00000010704	HFE	protein_coding	1	1	1	METTL3:CH5481	chr6	26095822	26095861	26095822	26095861	+	1	NA	NA	NA	NA	12	HeLa
METTL3	ENSG00000010803	SCMH1	protein_coding	3	2	3	METTL3:CH214	chr1	41045525	41045564	41045525	41045564	-	1	NA	NA	NA	NA	27	HeLa
METTL3	ENSG00000010803	SCMH1	protein_coding	3	2	3	METTL3:CH215	chr1	41098159	41098198	41098159	41098198	-	1	NA	NA	NA	NA	27	HeLa
METTL3	ENSG00000010803	SCMH1	protein_coding	3	2	3	METTL3:CH216	chr1	41157729	41157768	41157729	41157768	-	1	NA	NA	NA	NA	27	HeLa
METTL3	ENSG00000011007	ELOA	protein_coding	1	1	1	METTL3:CH110	chr1	23760262	23760262	23760262	23760262	+	1	NA	NA	NA	NA	27	HEK293T
METTL3	ENSG00000011052	NME1-NME2	protein_coding	3	2	3	METTL3:CH3094	chr17	51166862	51166862	51166862	51166862	+	1	NA	NA	NA	NA	10	HEK293T
METTL3	ENSG00000011052	NME1-NME2	protein_coding	3	2	3	METTL3:CH3095	chr17	51168245	51168284	51168245	51168284	+	1	NA	NA	NA	NA	10	HeLa
METTL3	ENSG00000011052	NME1-NME2	protein_coding	3	2	3	METTL3:CH3096	chr17	51169733	51169772	51169733	51169772	+	1	NA	NA	NA	NA	10	HeLa
METTL3	ENSG00000011275	RNF216	protein_coding	2	2	2	METTL3:CH5933	chr7	5667609	5667648	5667609	5667648	-	1	NA	NA	NA	NA	27	HeLa
METTL3	ENSG00000011275	RNF216	protein_coding	2	2	2	METTL3:CH5934	chr7	5667988	5668027	5667988	5668027	-	1	NA	NA	NA	NA	27	HeLa
METTL3	ENSG00000011304	PTBP1	protein_coding	4	2	5	METTL3:CH3296	chr19	807132	807171	807132	807171	+	1	NA	NA	NA	NA	25	HeLa
METTL3	ENSG00000011304	PTBP1	protein_coding	4	2	5	METTL3:CH3297	chr19	808725	808725	808725	808725	+	1	NA	NA	NA	NA	25	HEK293T
METTL3	ENSG00000011304	PTBP1	protein_coding	4	2	5	METTL3:CH3298	chr19	811025	811025	811025	811025	+	1	NA	NA	NA	NA	25	HEK293T
METTL3	ENSG00000011304	PTBP1	protein_coding	4	2	5	METTL3:CH3299	chr19	811886	811895	811886	811895	+	1	NA	NA	NA	NA	25	HEK293T
METTL3	ENSG00000011405	PIK3C2A	protein_coding	1	1	1	METTL3:CH1261	chr11	17088799	17088838	17088799	17088838	-	1	NA	NA	NA	NA	30	HeLa
METTL3	ENSG00000011426	ANLN	protein_coding	2	1	2	METTL3:CH5973	chr7	36406471	36406510	36406471	36406510	+	1	NA	NA	NA	NA	23	HeLa
METTL3	ENSG00000011426	ANLN	protein_coding	2	1	2	METTL3:CH5974	chr7	36407734	36407773	36407734	36407773	+	1	NA	NA	NA	NA	23	HeLa
METTL3	ENSG00000011451	WIZ	protein_coding	1	1	1	METTL3:CH3403	chr19	15425525	15425564	15425525	15425564	-	1	NA	NA	NA	NA	25	HEK293T
