#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
CENPC	ENSG00000001497	LAS1L	protein_coding	3	2	3	CENPC:CH12103	chrX	65529196	65529235	65529196	65529235	-	1	NA	NA	NA	NA	19	HeLa
CENPC	ENSG00000001497	LAS1L	protein_coding	3	2	3	CENPC:CH12104	chrX	65529750	65529789	65529750	65529789	-	1	NA	NA	NA	NA	19	HeLa
CENPC	ENSG00000001497	LAS1L	protein_coding	3	2	3	CENPC:CH12105	chrX	65534663	65534702	65534663	65534702	-	1	NA	NA	NA	NA	19	HeLa
CENPC	ENSG00000001629	ANKIB1	protein_coding	1	2	2	CENPC:CH10534	chr7	92380839	92380890	92380839	92380890	+	2	NA	NA	NA	NA	29	HeLa
CENPC	ENSG00000001630	CYP51A1	protein_coding	1	1	1	CENPC:CH10533	chr7	92134197	92134236	92134197	92134236	-	1	NA	NA	NA	NA	25	HeLa
CENPC	ENSG00000002822	MAD1L1	protein_coding	27	2	32	CENPC:CH10283	chr7	1884149	1884188	1884149	1884188	-	1	NA	NA	NA	NA	26	HeLa
CENPC	ENSG00000002822	MAD1L1	protein_coding	27	2	32	CENPC:CH10284	chr7	1905660	1905699	1905660	1905699	-	1	NA	NA	NA	NA	26	HeLa
CENPC	ENSG00000002822	MAD1L1	protein_coding	27	2	32	CENPC:CH10285	chr7	1931226	1931265	1931226	1931265	-	1	NA	NA	NA	NA	26	HeLa
CENPC	ENSG00000002822	MAD1L1	protein_coding	27	2	32	CENPC:CH10286	chr7	1934115	1934154	1934115	1934154	-	1	NA	NA	NA	NA	26	HeLa
CENPC	ENSG00000002822	MAD1L1	protein_coding	27	2	32	CENPC:CH10287	chr7	1996222	1996261	1996222	1996261	-	1	NA	NA	NA	NA	26	HeLa
