#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
ILF3	ENSG00000000419	DPM1	protein_coding	7	2	14	ILF3:CH29284	chr20	50939400	50939439	50939400	50939439	-	2	NA	NA	NA	NA	25	HeLa
ILF3	ENSG00000000419	DPM1	protein_coding	7	2	14	ILF3:CH29285	chr20	50941458	50941497	50941458	50941497	-	2	NA	NA	NA	NA	25	HeLa
ILF3	ENSG00000000419	DPM1	protein_coding	7	2	14	ILF3:CH29286	chr20	50943578	50943617	50943578	50943617	-	2	NA	NA	NA	NA	25	HeLa
ILF3	ENSG00000000419	DPM1	protein_coding	7	2	14	ILF3:CH29287	chr20	50947268	50947307	50947268	50947307	-	2	NA	NA	NA	NA	25	HeLa
ILF3	ENSG00000000419	DPM1	protein_coding	7	2	14	ILF3:CH29288	chr20	50948915	50948954	50948915	50948954	-	2	NA	NA	NA	NA	25	HeLa
ILF3	ENSG00000000419	DPM1	protein_coding	7	2	14	ILF3:CH29289	chr20	50950620	50950659	50950620	50950659	-	2	NA	NA	NA	NA	25	HeLa
ILF3	ENSG00000000419	DPM1	protein_coding	7	2	14	ILF3:CH29290	chr20	50955631	50955670	50955631	50955670	-	2	NA	NA	NA	NA	25	HeLa
ILF3	ENSG00000000460	C1orf112	protein_coding	1	2	2	ILF3:CH4187	chr1	169798338	169798377	169798338	169798377	+	2	-0.511	NA	NA	NA	32	HeLa
ILF3	ENSG00000000971	CFH	protein_coding	2	1	2	ILF3:CH4416	chr1	196679513	196679552	196679513	196679552	+	1	NA	-0.235	NA	NA	19	K562
ILF3	ENSG00000000971	CFH	protein_coding	2	1	2	ILF3:CH4417	chr1	196694079	196694118	196694079	196694118	+	1	NA	-0.235	NA	NA	19	K562
ILF3	ENSG00000001617	SEMA3F	protein_coding	4	2	8	ILF3:CH32916	chr3	50177776	50177815	50177776	50177815	+	2	NA	NA	NA	NA	14	HeLa
ILF3	ENSG00000001617	SEMA3F	protein_coding	4	2	8	ILF3:CH32917	chr3	50178469	50178508	50178469	50178508	+	2	NA	NA	NA	NA	14	HeLa
ILF3	ENSG00000001617	SEMA3F	protein_coding	4	2	8	ILF3:CH32918	chr3	50179018	50179057	50179018	50179057	+	2	NA	NA	NA	NA	14	HeLa
ILF3	ENSG00000001617	SEMA3F	protein_coding	4	2	8	ILF3:CH32919	chr3	50181834	50181873	50181834	50181873	+	2	NA	NA	NA	NA	14	HeLa
ILF3	ENSG00000001629	ANKIB1	protein_coding	6	3	13	ILF3:CH41120	chr7	92274812	92274851	92274812	92274851	+	2	NA	NA	NA	NA	26	HeLa
ILF3	ENSG00000001629	ANKIB1	protein_coding	6	3	13	ILF3:CH41121	chr7	92329173	92329212	92329173	92329212	+	2	NA	NA	NA	NA	26	HeLa
ILF3	ENSG00000001629	ANKIB1	protein_coding	6	3	13	ILF3:CH41122	chr7	92347515	92347554	92347515	92347554	+	2	NA	NA	NA	NA	26	HeLa
ILF3	ENSG00000001629	ANKIB1	protein_coding	6	3	13	ILF3:CH41123	chr7	92349764	92349943	92349764	92349943	+	3	NA	NA	NA	NA	26	HeLa,K562
ILF3	ENSG00000001629	ANKIB1	protein_coding	6	3	13	ILF3:CH41124	chr7	92366572	92366611	92366572	92366611	+	2	NA	NA	NA	NA	26	HeLa
ILF3	ENSG00000001629	ANKIB1	protein_coding	6	3	13	ILF3:CH41125	chr7	92395878	92395917	92395878	92395917	+	2	NA	NA	NA	NA	26	HeLa
ILF3	ENSG00000001631	KRIT1	protein_coding	2	3	5	ILF3:CH41118	chr7	92221187	92221226	92221187	92221226	-	2	0.469	NA	NA	NA	29	HeLa
ILF3	ENSG00000001631	KRIT1	protein_coding	2	3	5	ILF3:CH41119	chr7	92227947	92228090	92227947	92228090	-	3	0.469	NA	NA	NA	29	HeLa,K562
ILF3	ENSG00000002016	RAD52	protein_coding	22	2	44	ILF3:CH9449	chr12	915067	915106	915067	915106	-	2	NA	NA	NA	NA	31	HeLa
ILF3	ENSG00000002016	RAD52	protein_coding	22	2	44	ILF3:CH9450	chr12	915501	915540	915501	915540	-	2	NA	NA	NA	NA	31	HeLa
ILF3	ENSG00000002016	RAD52	protein_coding	22	2	44	ILF3:CH9451	chr12	915797	915836	915797	915836	-	2	NA	NA	NA	NA	31	HeLa
ILF3	ENSG00000002016	RAD52	protein_coding	22	2	44	ILF3:CH9452	chr12	917616	917655	917616	917655	-	2	NA	NA	NA	NA	31	HeLa
ILF3	ENSG00000002016	RAD52	protein_coding	22	2	44	ILF3:CH9453	chr12	918474	918513	918474	918513	-	2	NA	NA	NA	NA	31	HeLa
ILF3	ENSG00000002016	RAD52	protein_coding	22	2	44	ILF3:CH9454	chr12	919214	919253	919214	919253	-	2	NA	NA	NA	NA	31	HeLa
ILF3	ENSG00000002016	RAD52	protein_coding	22	2	44	ILF3:CH9455	chr12	919494	919533	919494	919533	-	2	NA	NA	NA	NA	31	HeLa
ILF3	ENSG00000002016	RAD52	protein_coding	22	2	44	ILF3:CH9456	chr12	922928	922967	922928	922967	-	2	NA	NA	NA	NA	31	HeLa
ILF3	ENSG00000002016	RAD52	protein_coding	22	2	44	ILF3:CH9457	chr12	924580	924619	924580	924619	-	2	NA	NA	NA	NA	31	HeLa
ILF3	ENSG00000002016	RAD52	protein_coding	22	2	44	ILF3:CH9458	chr12	928418	928457	928418	928457	-	2	NA	NA	NA	NA	31	HeLa
ILF3	ENSG00000002016	RAD52	protein_coding	22	2	44	ILF3:CH9459	chr12	928953	928992	928953	928992	-	2	NA	NA	NA	NA	31	HeLa
ILF3	ENSG00000002016	RAD52	protein_coding	22	2	44	ILF3:CH9460	chr12	936203	936242	936203	936242	-	2	NA	NA	NA	NA	31	HeLa
ILF3	ENSG00000002016	RAD52	protein_coding	22	2	44	ILF3:CH9461	chr12	938424	938463	938424	938463	-	2	NA	NA	NA	NA	31	HeLa
ILF3	ENSG00000002016	RAD52	protein_coding	22	2	44	ILF3:CH9462	chr12	939218	939257	939218	939257	-	2	NA	NA	NA	NA	31	HeLa
ILF3	ENSG00000002016	RAD52	protein_coding	22	2	44	ILF3:CH9463	chr12	942495	942534	942495	942534	-	2	NA	NA	NA	NA	31	HeLa
ILF3	ENSG00000002016	RAD52	protein_coding	22	2	44	ILF3:CH9464	chr12	943566	943605	943566	943605	-	2	NA	NA	NA	NA	31	HeLa
ILF3	ENSG00000002016	RAD52	protein_coding	22	2	44	ILF3:CH9465	chr12	945254	945293	945254	945293	-	2	NA	NA	NA	NA	31	HeLa
ILF3	ENSG00000002016	RAD52	protein_coding	22	2	44	ILF3:CH9466	chr12	945765	945804	945765	945804	-	2	NA	NA	NA	NA	31	HeLa
ILF3	ENSG00000002016	RAD52	protein_coding	22	2	44	ILF3:CH9467	chr12	948919	948958	948919	948958	-	2	NA	NA	NA	NA	31	HeLa
ILF3	ENSG00000002016	RAD52	protein_coding	22	2	44	ILF3:CH9468	chr12	980668	980707	980668	980707	-	2	NA	NA	NA	NA	31	HeLa
ILF3	ENSG00000002016	RAD52	protein_coding	22	2	44	ILF3:CH9469	chr12	981655	981694	981655	981694	-	2	NA	NA	NA	NA	31	HeLa
ILF3	ENSG00000002016	RAD52	protein_coding	22	2	44	ILF3:CH9470	chr12	987044	987083	987044	987083	-	2	NA	NA	NA	NA	31	HeLa
ILF3	ENSG00000002586	CD99	protein_coding	2	2	4	ILF3:CH46007	chrX	2695490	2695529	2695490	2695529	+	2	0.304	NA	NA	NA	23	HeLa
ILF3	ENSG00000002586	CD99	protein_coding	2	2	4	ILF3:CH47061	chrY	2695490	2695529	2695490	2695529	+	2	0.304	NA	NA	NA	23	HeLa
ILF3	ENSG00000002822	MAD1L1	protein_coding	3	2	6	ILF3:CH39577	chr7	2191946	2191985	2191946	2191985	-	2	NA	NA	NA	NA	19	HeLa
ILF3	ENSG00000002822	MAD1L1	protein_coding	3	2	6	ILF3:CH39578	chr7	2192198	2192237	2192198	2192237	-	2	NA	NA	NA	NA	19	HeLa
ILF3	ENSG00000002822	MAD1L1	protein_coding	3	2	6	ILF3:CH39579	chr7	2227199	2227238	2227199	2227238	-	2	NA	NA	NA	NA	19	HeLa
ILF3	ENSG00000002834	LASP1	protein_coding	6	3	11	ILF3:CH19312	chr17	38880967	38881006	38880967	38881006	+	2	0.205	NA	NA	NA	25	HeLa
ILF3	ENSG00000002834	LASP1	protein_coding	6	3	11	ILF3:CH19313	chr17	38881280	38881319	38881280	38881319	+	2	0.205	NA	NA	NA	25	HeLa
ILF3	ENSG00000002834	LASP1	protein_coding	6	3	11	ILF3:CH19314	chr17	38900111	38900150	38900111	38900150	+	2	0.205	NA	NA	NA	25	HeLa
ILF3	ENSG00000002834	LASP1	protein_coding	6	3	11	ILF3:CH19315	chr17	38900811	38900850	38900811	38900850	+	1	0.205	NA	NA	NA	25	K562
ILF3	ENSG00000002834	LASP1	protein_coding	6	3	11	ILF3:CH19316	chr17	38909962	38910001	38909962	38910001	+	2	0.205	NA	NA	NA	25	HeLa
ILF3	ENSG00000002834	LASP1	protein_coding	6	3	11	ILF3:CH19317	chr17	38917558	38917597	38917558	38917597	+	2	0.205	NA	NA	NA	25	HeLa
ILF3	ENSG00000002919	SNX11	protein_coding	1	2	2	ILF3:CH19972	chr17	48117949	48117988	48117949	48117988	+	2	NA	NA	NA	NA	16	HeLa
ILF3	ENSG00000003096	KLHL13	protein_coding	12	2	24	ILF3:CH46712	chrX	117994823	117994862	117994823	117994862	-	2	NA	NA	NA	NA	16	HeLa
ILF3	ENSG00000003096	KLHL13	protein_coding	12	2	24	ILF3:CH46713	chrX	118031707	118031746	118031707	118031746	-	2	NA	NA	NA	NA	16	HeLa
ILF3	ENSG00000003096	KLHL13	protein_coding	12	2	24	ILF3:CH46714	chrX	118047582	118047621	118047582	118047621	-	2	NA	NA	NA	NA	16	HeLa
ILF3	ENSG00000003096	KLHL13	protein_coding	12	2	24	ILF3:CH46715	chrX	118067727	118067766	118067727	118067766	-	2	NA	NA	NA	NA	16	HeLa
ILF3	ENSG00000003096	KLHL13	protein_coding	12	2	24	ILF3:CH46716	chrX	118069228	118069267	118069228	118069267	-	2	NA	NA	NA	NA	16	HeLa
ILF3	ENSG00000003096	KLHL13	protein_coding	12	2	24	ILF3:CH46717	chrX	118069666	118069705	118069666	118069705	-	2	NA	NA	NA	NA	16	HeLa
ILF3	ENSG00000003096	KLHL13	protein_coding	12	2	24	ILF3:CH46718	chrX	118082008	118082047	118082008	118082047	-	2	NA	NA	NA	NA	16	HeLa
ILF3	ENSG00000003096	KLHL13	protein_coding	12	2	24	ILF3:CH46719	chrX	118083159	118083198	118083159	118083198	-	2	NA	NA	NA	NA	16	HeLa
ILF3	ENSG00000003096	KLHL13	protein_coding	12	2	24	ILF3:CH46720	chrX	118084765	118084804	118084765	118084804	-	2	NA	NA	NA	NA	16	HeLa
ILF3	ENSG00000003096	KLHL13	protein_coding	12	2	24	ILF3:CH46721	chrX	118086157	118086196	118086157	118086196	-	2	NA	NA	NA	NA	16	HeLa
ILF3	ENSG00000003096	KLHL13	protein_coding	12	2	24	ILF3:CH46722	chrX	118109027	118109066	118109027	118109066	-	2	NA	NA	NA	NA	16	HeLa
ILF3	ENSG00000003096	KLHL13	protein_coding	12	2	24	ILF3:CH46723	chrX	118109938	118109977	118109938	118109977	-	2	NA	NA	NA	NA	16	HeLa
ILF3	ENSG00000003402	CFLAR	protein_coding	2	1	2	ILF3:CH27867	chr2	201139159	201139198	201139159	201139198	+	1	NA	-0.280	NA	NA	16	K562
ILF3	ENSG00000003402	CFLAR	protein_coding	2	1	2	ILF3:CH27868	chr2	201164176	201164215	201164176	201164215	+	1	NA	-0.280	NA	NA	16	K562
ILF3	ENSG00000003436	TFPI	protein_coding	2	4	5	ILF3:CH27780	chr2	187514186	187514227	187514186	187514227	-	2	0.240	NA	NA	NA	17	K562
ILF3	ENSG00000003436	TFPI	protein_coding	2	4	5	ILF3:CH27781	chr2	187540085	187540172	187540085	187540172	-	3	0.240	NA	NA	NA	17	HeLa,K562
