RBP,geneID,geneName,geneType,clusterNum,clipExpNum,clipIDnum,HepG2(shRNA),K562(shRNA),HepG2(CRIPSR),K562(CRIPSR),pancancerNum
ACIN1,ENSG00000136997,MYC,protein_coding,7,6,21,,,,,15
ALYREF,ENSG00000136997,MYC,protein_coding,5,10,35,,,,,20
AQR,ENSG00000136997,MYC,protein_coding,6,4,17,-0.432,-1.473,,,19
AUH,ENSG00000136997,MYC,protein_coding,1,1,1,-0.765,-0.225,,,13
BCLAF1,ENSG00000136997,MYC,protein_coding,3,2,4,-0.592,,,,17
CAPRIN1,ENSG00000136997,MYC,protein_coding,1,1,1,,,,,27
CDK11B,ENSG00000136997,MYC,protein_coding,3,2,3,,,,,17
CENPC,ENSG00000136997,MYC,protein_coding,7,2,12,,,,,17
CHTOP,ENSG00000136997,MYC,protein_coding,1,2,2,,,,,15
CNBP,ENSG00000136997,MYC,protein_coding,1,1,1,,,,,25
CPSF1,ENSG00000136997,MYC,protein_coding,3,3,5,,,,,22
CPSF6,ENSG00000136997,MYC,protein_coding,2,3,4,,-0.407,,,21
CPSF7,ENSG00000136997,MYC,protein_coding,2,1,5,0.345,,,,19
CSTF2,ENSG00000136997,MYC,protein_coding,9,4,21,,0.415,,,22
CSTF2T,ENSG00000136997,MYC,protein_coding,8,6,24,-0.523,,,,17
CTCF,ENSG00000136997,MYC,protein_coding,2,3,6,,,,-0.154,17
DAP3,ENSG00000136997,MYC,protein_coding,3,2,6,,,,,21
DDX21,ENSG00000136997,MYC,protein_coding,3,2,3,-1.677,,,-0.147,31
DDX3X,ENSG00000136997,MYC,protein_coding,5,11,35,-0.744,-0.39,,,22
DDX54,ENSG00000136997,MYC,protein_coding,4,4,19,,,,,27
DDX6,ENSG00000136997,MYC,protein_coding,1,1,1,0.274,,,,19
DGCR8,ENSG00000136997,MYC,protein_coding,4,3,4,,,,,19
DHX36,ENSG00000136997,MYC,protein_coding,2,3,5,,,,,23
EIF3A,ENSG00000136997,MYC,protein_coding,4,1,7,,-0.79,,,29
EIF3D,ENSG00000136997,MYC,protein_coding,2,2,2,0.383,-0.538,,,27
EIF3G,ENSG00000136997,MYC,protein_coding,1,1,1,-0.472,-0.556,,,11
EIF3H,ENSG00000136997,MYC,protein_coding,1,1,1,,,-0.289,,28
