#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
CAPRIN1	ENSG00000000003	TSPAN6	protein_coding	1	1	1	CAPRIN1:CH16064	chrX	100636589	100636628	100636589	100636628	-	1	NA	NA	NA	NA	20	HEK293
CAPRIN1	ENSG00000001167	NFYA	protein_coding	2	1	2	CAPRIN1:CH13151	chr6	41097807	41097807	41097807	41097807	+	1	NA	NA	NA	NA	31	HEK293
CAPRIN1	ENSG00000001167	NFYA	protein_coding	2	1	2	CAPRIN1:CH13152	chr6	41099310	41099349	41099310	41099349	+	1	NA	NA	NA	NA	31	HEK293
CAPRIN1	ENSG00000001461	NIPAL3	protein_coding	1	1	1	CAPRIN1:CH259	chr1	24464017	24464056	24464017	24464056	+	1	NA	NA	NA	NA	25	HEK293
CAPRIN1	ENSG00000001497	LAS1L	protein_coding	3	1	3	CAPRIN1:CH15927	chrX	65518393	65518393	65518393	65518393	-	1	NA	NA	NA	NA	17	HEK293
CAPRIN1	ENSG00000001497	LAS1L	protein_coding	3	1	3	CAPRIN1:CH15928	chrX	65521121	65521160	65521121	65521160	-	1	NA	NA	NA	NA	17	HEK293
CAPRIN1	ENSG00000001497	LAS1L	protein_coding	3	1	3	CAPRIN1:CH15929	chrX	65524175	65524175	65524175	65524175	-	1	NA	NA	NA	NA	17	HEK293
CAPRIN1	ENSG00000001561	ENPP4	protein_coding	1	1	1	CAPRIN1:CH13219	chr6	46140333	46140372	46140333	46140372	+	1	NA	NA	NA	NA	25	HEK293
CAPRIN1	ENSG00000001630	CYP51A1	protein_coding	3	1	4	CAPRIN1:CH14132	chr7	92112169	92112413	92112169	92112413	-	1	NA	NA	NA	NA	29	HEK293
CAPRIN1	ENSG00000001630	CYP51A1	protein_coding	3	1	4	CAPRIN1:CH14133	chr7	92113200	92113239	92113200	92113239	-	1	NA	NA	NA	NA	29	HEK293
CAPRIN1	ENSG00000001630	CYP51A1	protein_coding	3	1	4	CAPRIN1:CH14134	chr7	92113626	92113626	92113626	92113626	-	1	NA	NA	NA	NA	29	HEK293
CAPRIN1	ENSG00000002586	CD99	protein_coding	2	1	2	CAPRIN1:CH15660	chrX	2741176	2741215	2741176	2741215	+	1	NA	NA	NA	NA	19	HEK293
CAPRIN1	ENSG00000002586	CD99	protein_coding	2	1	2	CAPRIN1:CH16335	chrY	2741176	2741215	2741176	2741215	+	1	NA	NA	NA	NA	19	HEK293
CAPRIN1	ENSG00000002919	SNX11	protein_coding	2	1	2	CAPRIN1:CH6990	chr17	48121540	48121579	48121540	48121579	+	1	NA	NA	NA	NA	12	HEK293
CAPRIN1	ENSG00000002919	SNX11	protein_coding	2	1	2	CAPRIN1:CH6991	chr17	48122697	48122697	48122697	48122697	+	1	NA	NA	NA	NA	12	HEK293
CAPRIN1	ENSG00000003056	M6PR	protein_coding	4	1	4	CAPRIN1:CH3594	chr12	8941448	8941487	8941448	8941487	-	1	NA	NA	NA	NA	31	HEK293
CAPRIN1	ENSG00000003056	M6PR	protein_coding	4	1	4	CAPRIN1:CH3595	chr12	8942417	8942456	8942417	8942456	-	1	NA	NA	NA	NA	31	HEK293
CAPRIN1	ENSG00000003056	M6PR	protein_coding	4	1	4	CAPRIN1:CH3596	chr12	8945419	8945458	8945419	8945458	-	1	NA	NA	NA	NA	31	HEK293
CAPRIN1	ENSG00000003056	M6PR	protein_coding	4	1	4	CAPRIN1:CH3597	chr12	8949491	8949530	8949491	8949530	-	1	NA	NA	NA	NA	31	HEK293
CAPRIN1	ENSG00000003987	MTMR7	protein_coding	2	1	2	CAPRIN1:CH14596	chr8	17298281	17298320	17298281	17298320	-	1	NA	NA	NA	NA	12	HEK293
CAPRIN1	ENSG00000003987	MTMR7	protein_coding	2	1	2	CAPRIN1:CH14597	chr8	17371195	17371195	17371195	17371195	-	1	NA	NA	NA	NA	12	HEK293
CAPRIN1	ENSG00000003989	SLC7A2	protein_coding	3	1	3	CAPRIN1:CH14598	chr8	17567706	17567745	17567706	17567745	+	1	NA	NA	NA	NA	14	HEK293
CAPRIN1	ENSG00000003989	SLC7A2	protein_coding	3	1	3	CAPRIN1:CH14599	chr8	17569553	17569592	17569553	17569592	+	1	NA	NA	NA	NA	14	HEK293
CAPRIN1	ENSG00000003989	SLC7A2	protein_coding	3	1	3	CAPRIN1:CH14600	chr8	17570117	17570117	17570117	17570117	+	1	NA	NA	NA	NA	14	HEK293
CAPRIN1	ENSG00000004059	ARF5	protein_coding	1	1	3	CAPRIN1:CH14369	chr7	127591370	127591609	127591370	127591609	+	1	NA	NA	NA	NA	29	HEK293
CAPRIN1	ENSG00000004142	POLDIP2	protein_coding	2	1	2	CAPRIN1:CH6685	chr17	28347535	28347574	28347535	28347574	-	1	NA	NA	NA	NA	13	HEK293
CAPRIN1	ENSG00000004142	POLDIP2	protein_coding	2	1	2	CAPRIN1:CH6686	chr17	28347935	28348037	28347935	28348037	-	1	NA	NA	NA	NA	13	HEK293
CAPRIN1	ENSG00000004455	AK2	protein_coding	5	2	8	CAPRIN1:CH403	chr1	33010266	33010568	33010266	33010568	-	1	NA	NA	NA	NA	19	HEK293
CAPRIN1	ENSG00000004455	AK2	protein_coding	5	2	8	CAPRIN1:CH404	chr1	33012213	33012213	33012213	33012213	-	1	NA	NA	NA	NA	19	HEK293
CAPRIN1	ENSG00000004455	AK2	protein_coding	5	2	8	CAPRIN1:CH405	chr1	33012565	33012605	33012565	33012605	-	2	NA	NA	NA	NA	19	HEK293
CAPRIN1	ENSG00000004455	AK2	protein_coding	5	2	8	CAPRIN1:CH406	chr1	33012851	33012945	33012851	33012945	-	1	NA	NA	NA	NA	19	HEK293
CAPRIN1	ENSG00000004455	AK2	protein_coding	5	2	8	CAPRIN1:CH407	chr1	33013250	33013289	33013250	33013289	-	1	NA	NA	NA	NA	19	HEK293
CAPRIN1	ENSG00000004478	FKBP4	protein_coding	6	1	8	CAPRIN1:CH3502	chr12	2795192	2795231	2795192	2795231	+	1	NA	NA	NA	NA	14	HEK293
CAPRIN1	ENSG00000004478	FKBP4	protein_coding	6	1	8	CAPRIN1:CH3503	chr12	2797179	2797261	2797179	2797261	+	1	NA	NA	NA	NA	14	HEK293
CAPRIN1	ENSG00000004478	FKBP4	protein_coding	6	1	8	CAPRIN1:CH3504	chr12	2797812	2797851	2797812	2797851	+	1	NA	NA	NA	NA	14	HEK293
CAPRIN1	ENSG00000004478	FKBP4	protein_coding	6	1	8	CAPRIN1:CH3505	chr12	2801210	2801231	2801210	2801231	+	1	NA	NA	NA	NA	14	HEK293
CAPRIN1	ENSG00000004478	FKBP4	protein_coding	6	1	8	CAPRIN1:CH3506	chr12	2803147	2803186	2803147	2803186	+	1	NA	NA	NA	NA	14	HEK293
CAPRIN1	ENSG00000004478	FKBP4	protein_coding	6	1	8	CAPRIN1:CH3507	chr12	2803403	2803573	2803403	2803573	+	1	NA	NA	NA	NA	14	HEK293
CAPRIN1	ENSG00000004487	KDM1A	protein_coding	2	1	3	CAPRIN1:CH205	chr1	23079083	23079083	23079083	23079083	+	1	NA	NA	NA	NA	27	HEK293
CAPRIN1	ENSG00000004487	KDM1A	protein_coding	2	1	3	CAPRIN1:CH206	chr1	23079620	23079663	23079620	23079663	+	1	NA	NA	NA	NA	27	HEK293
CAPRIN1	ENSG00000004700	RECQL	protein_coding	1	1	1	CAPRIN1:CH3657	chr12	21471406	21471445	21471406	21471445	-	1	NA	NA	NA	NA	32	HEK293
CAPRIN1	ENSG00000004779	NDUFAB1	protein_coding	3	1	4	CAPRIN1:CH6014	chr16	23581087	23581168	23581087	23581168	-	1	NA	NA	NA	NA	19	HEK293
