#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
EWSR1	ENSG00000000003	TSPAN6	protein_coding	1	1	2	EWSR1:CH63352	chrX	100627338	100627355	100627338	100627355	-	1	NA	NA	NA	NA	17	HEK293
EWSR1	ENSG00000000419	DPM1	protein_coding	8	4	10	EWSR1:CH36235	chr20	50934890	50934929	50934890	50934929	-	1	0.216	-0.287	NA	NA	26	HeLa
EWSR1	ENSG00000000419	DPM1	protein_coding	8	4	10	EWSR1:CH36236	chr20	50935171	50935210	50935171	50935210	-	1	0.216	-0.287	NA	NA	26	HeLa
EWSR1	ENSG00000000419	DPM1	protein_coding	8	4	10	EWSR1:CH36237	chr20	50936198	50936237	50936198	50936237	-	1	0.216	-0.287	NA	NA	26	HeLa
EWSR1	ENSG00000000419	DPM1	protein_coding	8	4	10	EWSR1:CH36238	chr20	50951213	50951252	50951213	50951252	-	1	0.216	-0.287	NA	NA	26	HeLa
EWSR1	ENSG00000000419	DPM1	protein_coding	8	4	10	EWSR1:CH36239	chr20	50954430	50954538	50954430	50954538	-	2	0.216	-0.287	NA	NA	26	HeLa
EWSR1	ENSG00000000419	DPM1	protein_coding	8	4	10	EWSR1:CH36240	chr20	50955216	50955382	50955216	50955382	-	2	0.216	-0.287	NA	NA	26	HEK293,HeLa
EWSR1	ENSG00000000419	DPM1	protein_coding	8	4	10	EWSR1:CH36241	chr20	50957677	50957716	50957677	50957716	-	1	0.216	-0.287	NA	NA	26	HeLa
EWSR1	ENSG00000000419	DPM1	protein_coding	8	4	10	EWSR1:CH36242	chr20	50958387	50958426	50958387	50958426	-	1	0.216	-0.287	NA	NA	26	HeLa
EWSR1	ENSG00000000460	C1orf112	protein_coding	4	3	5	EWSR1:CH4463	chr1	169797925	169797964	169797925	169797964	+	2	NA	NA	NA	NA	27	HEK293,HeLa
EWSR1	ENSG00000000460	C1orf112	protein_coding	4	3	5	EWSR1:CH4464	chr1	169798995	169799034	169798995	169799034	+	1	NA	NA	NA	NA	27	HeLa
