#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
PABPC4	ENSG00000001036	FUCA2	protein_coding	2	1	2	PABPC4:CH4891	chr6	143495690	143495729	143495690	143495729	-	1	-0.229	NA	NA	NA	12	K562
PABPC4	ENSG00000001036	FUCA2	protein_coding	2	1	2	PABPC4:CH4892	chr6	143501985	143502024	143501985	143502024	-	1	-0.229	NA	NA	NA	12	K562
PABPC4	ENSG00000001497	LAS1L	protein_coding	1	1	2	PABPC4:CH5741	chrX	65512694	65512754	65512694	65512754	-	1	-0.452	NA	NA	NA	18	K562
PABPC4	ENSG00000001630	CYP51A1	protein_coding	2	1	2	PABPC4:CH5061	chr7	92112284	92112323	92112284	92112323	-	1	NA	NA	NA	NA	14	K562
PABPC4	ENSG00000001630	CYP51A1	protein_coding	2	1	2	PABPC4:CH5062	chr7	92113583	92113622	92113583	92113622	-	1	NA	NA	NA	NA	14	K562
PABPC4	ENSG00000002834	LASP1	protein_coding	2	1	3	PABPC4:CH2335	chr17	38919910	38919963	38919910	38919963	+	1	0.311	NA	NA	NA	17	K562
PABPC4	ENSG00000002834	LASP1	protein_coding	2	1	3	PABPC4:CH2336	chr17	38921619	38921658	38921619	38921658	+	1	0.311	NA	NA	NA	17	K562
PABPC4	ENSG00000002919	SNX11	protein_coding	1	1	1	PABPC4:CH2416	chr17	48122607	48122646	48122607	48122646	+	1	NA	NA	NA	NA	21	K562
PABPC4	ENSG00000004059	ARF5	protein_coding	2	2	4	PABPC4:CH5149	chr7	127588457	127588496	127588457	127588496	+	1	NA	NA	NA	NA	11	K562
PABPC4	ENSG00000004059	ARF5	protein_coding	2	2	4	PABPC4:CH5150	chr7	127591403	127591659	127591403	127591659	+	2	NA	NA	NA	NA	11	K562
PABPC4	ENSG00000004142	POLDIP2	protein_coding	1	1	1	PABPC4:CH2288	chr17	28347920	28347959	28347920	28347959	-	1	-0.591	NA	NA	NA	13	K562
PABPC4	ENSG00000004455	AK2	protein_coding	3	1	3	PABPC4:CH226	chr1	33008955	33008994	33008955	33008994	-	1	-0.648	NA	NA	NA	18	K562
PABPC4	ENSG00000004455	AK2	protein_coding	3	1	3	PABPC4:CH227	chr1	33010547	33010586	33010547	33010586	-	1	-0.648	NA	NA	NA	18	K562
PABPC4	ENSG00000004455	AK2	protein_coding	3	1	3	PABPC4:CH228	chr1	33013218	33013257	33013218	33013257	-	1	-0.648	NA	NA	NA	18	K562
PABPC4	ENSG00000004478	FKBP4	protein_coding	1	1	1	PABPC4:CH1241	chr12	2803830	2803869	2803830	2803869	+	1	-0.733	NA	NA	NA	18	K562
PABPC4	ENSG00000004487	KDM1A	protein_coding	1	1	1	PABPC4:CH128	chr1	23083450	23083489	23083450	23083489	+	1	-0.660	NA	NA	NA	23	K562
PABPC4	ENSG00000004779	NDUFAB1	protein_coding	1	1	2	PABPC4:CH2010	chr16	23581104	23581160	23581104	23581160	-	1	-0.606	NA	NA	NA	18	K562
PABPC4	ENSG00000004864	SLC25A13	protein_coding	1	1	1	PABPC4:CH5068	chr7	96120259	96120298	96120259	96120298	-	1	NA	NA	NA	NA	16	K562
PABPC4	ENSG00000004897	CDC27	protein_coding	1	1	1	PABPC4:CH2402	chr17	47120616	47120655	47120616	47120655	-	1	NA	NA	NA	NA	14	K562
PABPC4	ENSG00000004975	DVL2	protein_coding	1	1	2	PABPC4:CH2228	chr17	7225527	7225575	7225527	7225575	-	1	NA	NA	NA	NA	18	K562
PABPC4	ENSG00000005007	UPF1	protein_coding	1	1	2	PABPC4:CH2980	chr19	18866588	18866643	18866588	18866643	+	1	NA	NA	NA	NA	23	K562
PABPC4	ENSG00000005022	SLC25A5	protein_coding	1	2	2	PABPC4:CH5793	chrX	119471119	119471167	119471119	119471167	+	2	-0.932	NA	NA	NA	17	K562
PABPC4	ENSG00000005075	POLR2J	protein_coding	1	1	1	PABPC4:CH5116	chr7	102473600	102473639	102473600	102473639	-	1	-0.641	NA	NA	NA	15	K562
PABPC4	ENSG00000005100	DHX33	protein_coding	1	1	1	PABPC4:CH2224	chr17	5442220	5442259	5442220	5442259	-	1	0.180	NA	NA	NA	23	K562
PABPC4	ENSG00000005187	ACSM3	protein_coding	1	2	2	PABPC4:CH2002	chr16	20797006	20797057	20797006	20797057	+	2	-0.432	NA	NA	NA	14	K562
PABPC4	ENSG00000005194	CIAPIN1	protein_coding	1	1	1	PABPC4:CH2088	chr16	57428347	57428386	57428347	57428386	-	1	-0.511	NA	NA	NA	19	K562
PABPC4	ENSG00000005249	PRKAR2B	protein_coding	3	2	4	PABPC4:CH5132	chr7	107146365	107146365	107146365	107146365	+	1	NA	NA	NA	NA	19	K562
PABPC4	ENSG00000005249	PRKAR2B	protein_coding	3	2	4	PABPC4:CH5133	chr7	107159779	107159818	107159779	107159818	+	1	NA	NA	NA	NA	19	K562
PABPC4	ENSG00000005249	PRKAR2B	protein_coding	3	2	4	PABPC4:CH5134	chr7	107160064	107160105	107160064	107160105	+	2	NA	NA	NA	NA	19	K562
PABPC4	ENSG00000005483	KMT2E	protein_coding	2	1	2	PABPC4:CH5125	chr7	105113691	105113730	105113691	105113730	+	1	NA	NA	NA	NA	19	K562
PABPC4	ENSG00000005483	KMT2E	protein_coding	2	1	2	PABPC4:CH5126	chr7	105113941	105113980	105113941	105113980	+	1	NA	NA	NA	NA	19	K562
PABPC4	ENSG00000005801	ZNF195	protein_coding	1	1	1	PABPC4:CH895	chr11	3359043	3359082	3359043	3359082	-	1	NA	NA	NA	NA	18	K562
PABPC4	ENSG00000005893	LAMP2	protein_coding	1	1	1	PABPC4:CH5804	chrX	120436763	120436802	120436763	120436802	-	1	NA	0.325	NA	NA	11	K562
PABPC4	ENSG00000006007	GDE1	protein_coding	1	1	1	PABPC4:CH1998	chr16	19502324	19502363	19502324	19502363	-	1	-0.460	NA	NA	NA	16	K562
