#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
RBFOX2	ENSG00000000003	TSPAN6	protein_coding	1	6	6	RBFOX2:CH99709	chrX	100629510	100629790	100629510	100629790	-	6	NA	NA	NA	NA	15	HEK293T
RBFOX2	ENSG00000000460	C1orf112	protein_coding	1	7	9	RBFOX2:CH6863	chr1	169808203	169808296	169808203	169808296	+	7	NA	-0.496	NA	NA	23	H9,HEK293T
RBFOX2	ENSG00000001036	FUCA2	protein_coding	4	9	12	RBFOX2:CH81755	chr6	143498394	143498439	143498394	143498439	-	3	NA	NA	NA	NA	17	H9,HEK293T
RBFOX2	ENSG00000001036	FUCA2	protein_coding	4	9	12	RBFOX2:CH81756	chr6	143502423	143502488	143502423	143502488	-	6	NA	NA	NA	NA	17	HEK293T
RBFOX2	ENSG00000001036	FUCA2	protein_coding	4	9	12	RBFOX2:CH81757	chr6	143503329	143503329	143503329	143503329	-	1	NA	NA	NA	NA	17	HEK293T
RBFOX2	ENSG00000001036	FUCA2	protein_coding	4	9	12	RBFOX2:CH81758	chr6	143511581	143511624	143511581	143511624	-	2	NA	NA	NA	NA	17	HEK293T
RBFOX2	ENSG00000001084	GCLC	protein_coding	8	12	24	RBFOX2:CH80030	chr6	53511158	53511197	53511158	53511197	-	1	NA	NA	NA	NA	22	HepG2
RBFOX2	ENSG00000001084	GCLC	protein_coding	8	12	24	RBFOX2:CH80031	chr6	53514076	53514146	53514076	53514146	-	3	NA	NA	NA	NA	22	HEK293T,HepG2
RBFOX2	ENSG00000001084	GCLC	protein_coding	8	12	24	RBFOX2:CH80032	chr6	53514707	53515038	53514707	53515038	-	6	NA	NA	NA	NA	22	H9,HEK293T,HepG2
RBFOX2	ENSG00000001084	GCLC	protein_coding	8	12	24	RBFOX2:CH80035	chr6	53515517	53515584	53515517	53515584	-	7	NA	NA	NA	NA	22	H9,HEK293T,HepG2
RBFOX2	ENSG00000001084	GCLC	protein_coding	8	12	24	RBFOX2:CH80036	chr6	53527174	53527213	53527174	53527213	-	1	NA	NA	NA	NA	22	HepG2
RBFOX2	ENSG00000001084	GCLC	protein_coding	8	12	24	RBFOX2:CH80037	chr6	53533360	53533399	53533360	53533399	-	1	NA	NA	NA	NA	22	HepG2
RBFOX2	ENSG00000001084	GCLC	protein_coding	8	12	24	RBFOX2:CH80038	chr6	53533602	53533641	53533602	53533641	-	2	NA	NA	NA	NA	22	H9,HEK293T
RBFOX2	ENSG00000001084	GCLC	protein_coding	8	12	24	RBFOX2:CH80039	chr6	53544191	53544230	53544191	53544230	-	1	NA	NA	NA	NA	22	HepG2
RBFOX2	ENSG00000001167	NFYA	protein_coding	8	10	28	RBFOX2:CH79554	chr6	41072993	41073032	41072993	41073032	+	1	NA	NA	NA	NA	30	HEK293T
RBFOX2	ENSG00000001167	NFYA	protein_coding	8	10	28	RBFOX2:CH79555	chr6	41080919	41081032	41080919	41081032	+	8	NA	NA	NA	NA	30	H9,HEK293T
RBFOX2	ENSG00000001167	NFYA	protein_coding	8	10	28	RBFOX2:CH79556	chr6	41082371	41082413	41082371	41082413	+	4	NA	NA	NA	NA	30	HEK293T
RBFOX2	ENSG00000001167	NFYA	protein_coding	8	10	28	RBFOX2:CH79557	chr6	41083757	41083796	41083757	41083796	+	1	NA	NA	NA	NA	30	HEK293T
RBFOX2	ENSG00000001167	NFYA	protein_coding	8	10	28	RBFOX2:CH79558	chr6	41086059	41086130	41086059	41086130	+	6	NA	NA	NA	NA	30	HEK293T
RBFOX2	ENSG00000001167	NFYA	protein_coding	8	10	28	RBFOX2:CH79559	chr6	41095402	41095402	41095402	41095402	+	1	NA	NA	NA	NA	30	H9
RBFOX2	ENSG00000001167	NFYA	protein_coding	8	10	28	RBFOX2:CH79560	chr6	41096282	41096321	41096282	41096321	+	1	NA	NA	NA	NA	30	H9
RBFOX2	ENSG00000001167	NFYA	protein_coding	8	10	28	RBFOX2:CH79561	chr6	41099656	41099695	41099656	41099695	+	1	NA	NA	NA	NA	30	HEK293T
