#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
POLR2A	ENSG00000000419	DPM1	protein_coding	1	1	1	POLR2A:CH2265	chr20	50955232	50955271	50955232	50955271	-	1	NA	NA	NA	NA	22	HeLa
POLR2A	ENSG00000001497	LAS1L	protein_coding	2	1	2	POLR2A:CH3474	chrX	65518160	65518199	65518160	65518199	-	1	NA	NA	NA	NA	12	HeLa
POLR2A	ENSG00000001497	LAS1L	protein_coding	2	1	2	POLR2A:CH3475	chrX	65529705	65529744	65529705	65529744	-	1	NA	NA	NA	NA	12	HeLa
POLR2A	ENSG00000002834	LASP1	protein_coding	2	1	2	POLR2A:CH1618	chr17	38878125	38878164	38878125	38878164	+	1	NA	NA	NA	NA	30	HeLa
POLR2A	ENSG00000002834	LASP1	protein_coding	2	1	2	POLR2A:CH1619	chr17	38921258	38921297	38921258	38921297	+	1	NA	NA	NA	NA	30	HeLa
POLR2A	ENSG00000003436	TFPI	protein_coding	1	1	1	POLR2A:CH2130	chr2	187496958	187496997	187496958	187496997	-	1	NA	NA	NA	0.560	13	HeLa
POLR2A	ENSG00000004455	AK2	protein_coding	1	1	1	POLR2A:CH111	chr1	33013252	33013291	33013252	33013291	-	1	NA	NA	NA	NA	18	HeLa
POLR2A	ENSG00000004478	FKBP4	protein_coding	1	1	1	POLR2A:CH897	chr12	2800045	2800084	2800045	2800084	+	1	NA	NA	NA	NA	12	HeLa
POLR2A	ENSG00000004487	KDM1A	protein_coding	4	1	4	POLR2A:CH55	chr1	23030514	23030553	23030514	23030553	+	1	NA	NA	NA	-0.344	23	HeLa
POLR2A	ENSG00000004487	KDM1A	protein_coding	4	1	4	POLR2A:CH56	chr1	23068621	23068660	23068621	23068660	+	1	NA	NA	NA	-0.344	23	HeLa
POLR2A	ENSG00000004487	KDM1A	protein_coding	4	1	4	POLR2A:CH57	chr1	23071238	23071277	23071238	23071277	+	1	NA	NA	NA	-0.344	23	HeLa
POLR2A	ENSG00000004487	KDM1A	protein_coding	4	1	4	POLR2A:CH58	chr1	23072131	23072170	23072131	23072170	+	1	NA	NA	NA	-0.344	23	HeLa
POLR2A	ENSG00000004534	RBM6	protein_coding	1	1	1	POLR2A:CH2416	chr3	50061959	50061998	50061959	50061998	+	1	NA	NA	NA	NA	21	HeLa
POLR2A	ENSG00000005339	CREBBP	protein_coding	1	1	1	POLR2A:CH1453	chr16	3736078	3736117	3736078	3736117	-	1	NA	NA	NA	-0.133	32	HeLa
POLR2A	ENSG00000005483	KMT2E	protein_coding	1	1	1	POLR2A:CH3108	chr7	105090116	105090155	105090116	105090155	+	1	NA	NA	NA	-0.193	29	HeLa
POLR2A	ENSG00000006125	AP2B1	protein_coding	1	1	1	POLR2A:CH1612	chr17	35598242	35598281	35598242	35598281	+	1	NA	NA	NA	NA	28	HeLa
POLR2A	ENSG00000006453	BAIAP2L1	protein_coding	1	1	1	POLR2A:CH3092	chr7	98317283	98317322	98317283	98317322	-	1	NA	NA	NA	NA	7	HeLa
POLR2A	ENSG00000007080	CCDC124	protein_coding	1	1	1	POLR2A:CH1928	chr19	17936486	17936525	17936486	17936525	+	1	NA	NA	NA	NA	23	HeLa
POLR2A	ENSG00000008128	CDK11A	protein_coding	2	1	2	POLR2A:CH22	chr1	1709092	1709131	1709092	1709131	-	1	NA	NA	NA	0.602	12	HeLa
POLR2A	ENSG00000008128	CDK11A	protein_coding	2	1	2	POLR2A:CH23	chr1	1721614	1721653	1721614	1721653	-	1	NA	NA	NA	0.602	12	HeLa
POLR2A	ENSG00000008294	SPAG9	protein_coding	3	1	3	POLR2A:CH1697	chr17	50996626	50996665	50996626	50996665	-	1	NA	NA	NA	NA	29	HeLa
POLR2A	ENSG00000008294	SPAG9	protein_coding	3	1	3	POLR2A:CH1698	chr17	51021194	51021233	51021194	51021233	-	1	NA	NA	NA	NA	29	HeLa
POLR2A	ENSG00000008294	SPAG9	protein_coding	3	1	3	POLR2A:CH1699	chr17	51079641	51079680	51079641	51079680	-	1	NA	NA	NA	NA	29	HeLa
POLR2A	ENSG00000008394	MGST1	protein_coding	1	1	1	POLR2A:CH939	chr12	16354314	16354353	16354314	16354353	+	1	NA	NA	NA	-0.781	13	HeLa
POLR2A	ENSG00000008952	SEC62	protein_coding	1	1	1	POLR2A:CH2504	chr3	169982770	169982809	169982770	169982809	+	1	NA	NA	NA	NA	22	HeLa
POLR2A	ENSG00000008988	RPS20	protein_coding	2	1	2	POLR2A:CH3198	chr8	56073708	56073747	56073708	56073747	-	1	NA	NA	NA	-0.554	29	HeLa
POLR2A	ENSG00000008988	RPS20	protein_coding	2	1	2	POLR2A:CH3199	chr8	56074090	56074129	56074090	56074129	-	1	NA	NA	NA	-0.554	29	HeLa
POLR2A	ENSG00000009307	CSDE1	protein_coding	5	1	5	POLR2A:CH222	chr1	114732644	114732683	114732644	114732683	-	1	NA	NA	NA	-0.386	24	HeLa
POLR2A	ENSG00000009307	CSDE1	protein_coding	5	1	5	POLR2A:CH223	chr1	114734026	114734065	114734026	114734065	-	1	NA	NA	NA	-0.386	24	HeLa
POLR2A	ENSG00000009307	CSDE1	protein_coding	5	1	5	POLR2A:CH224	chr1	114737968	114738007	114737968	114738007	-	1	NA	NA	NA	-0.386	24	HeLa
POLR2A	ENSG00000009307	CSDE1	protein_coding	5	1	5	POLR2A:CH225	chr1	114739781	114739820	114739781	114739820	-	1	NA	NA	NA	-0.386	24	HeLa
POLR2A	ENSG00000009307	CSDE1	protein_coding	5	1	5	POLR2A:CH226	chr1	114750126	114750165	114750126	114750165	-	1	NA	NA	NA	-0.386	24	HeLa
POLR2A	ENSG00000009335	UBE3C	protein_coding	1	1	1	POLR2A:CH3166	chr7	157207758	157207797	157207758	157207797	+	1	NA	NA	NA	-0.200	27	HeLa
POLR2A	ENSG00000009954	BAZ1B	protein_coding	7	1	7	POLR2A:CH3075	chr7	73447318	73447357	73447318	73447357	-	1	NA	NA	NA	-0.590	27	HeLa
POLR2A	ENSG00000009954	BAZ1B	protein_coding	7	1	7	POLR2A:CH3076	chr7	73459592	73459631	73459592	73459631	-	1	NA	NA	NA	-0.590	27	HeLa
POLR2A	ENSG00000009954	BAZ1B	protein_coding	7	1	7	POLR2A:CH3077	chr7	73462940	73462979	73462940	73462979	-	1	NA	NA	NA	-0.590	27	HeLa
POLR2A	ENSG00000009954	BAZ1B	protein_coding	7	1	7	POLR2A:CH3078	chr7	73477115	73477154	73477115	73477154	-	1	NA	NA	NA	-0.590	27	HeLa
POLR2A	ENSG00000009954	BAZ1B	protein_coding	7	1	7	POLR2A:CH3079	chr7	73477895	73477934	73477895	73477934	-	1	NA	NA	NA	-0.590	27	HeLa
POLR2A	ENSG00000009954	BAZ1B	protein_coding	7	1	7	POLR2A:CH3080	chr7	73498630	73498669	73498630	73498669	-	1	NA	NA	NA	-0.590	27	HeLa
POLR2A	ENSG00000009954	BAZ1B	protein_coding	7	1	7	POLR2A:CH3081	chr7	73508357	73508396	73508357	73508396	-	1	NA	NA	NA	-0.590	27	HeLa
POLR2A	ENSG00000010244	ZNF207	protein_coding	3	1	3	POLR2A:CH1607	chr17	32350250	32350289	32350250	32350289	+	1	NA	NA	NA	NA	25	HeLa
POLR2A	ENSG00000010244	ZNF207	protein_coding	3	1	3	POLR2A:CH1608	chr17	32351846	32351885	32351846	32351885	+	1	NA	NA	NA	NA	25	HeLa
POLR2A	ENSG00000010244	ZNF207	protein_coding	3	1	3	POLR2A:CH1609	chr17	32358571	32358610	32358571	32358610	+	1	NA	NA	NA	NA	25	HeLa
POLR2A	ENSG00000010256	UQCRC1	protein_coding	1	1	1	POLR2A:CH2411	chr3	48604341	48604380	48604341	48604380	-	1	NA	NA	NA	NA	19	HeLa
POLR2A	ENSG00000011007	ELOA	protein_coding	2	1	2	POLR2A:CH68	chr1	23751334	23751373	23751334	23751373	+	1	NA	NA	NA	NA	30	HeLa
POLR2A	ENSG00000011007	ELOA	protein_coding	2	1	2	POLR2A:CH69	chr1	23751668	23751707	23751668	23751707	+	1	NA	NA	NA	NA	30	HeLa
POLR2A	ENSG00000011052	NME1-NME2	protein_coding	2	1	2	POLR2A:CH1700	chr17	51161734	51161773	51161734	51161773	+	1	NA	NA	NA	NA	13	HeLa
POLR2A	ENSG00000011052	NME1-NME2	protein_coding	2	1	2	POLR2A:CH1701	chr17	51166871	51166910	51166871	51166910	+	1	NA	NA	NA	NA	13	HeLa
POLR2A	ENSG00000011243	AKAP8L	protein_coding	1	1	1	POLR2A:CH1925	chr19	15401164	15401203	15401164	15401203	-	1	NA	NA	NA	0.327	18	HeLa
POLR2A	ENSG00000011275	RNF216	protein_coding	1	1	1	POLR2A:CH3036	chr7	5741059	5741098	5741059	5741098	-	1	NA	NA	NA	NA	26	HeLa
POLR2A	ENSG00000011304	PTBP1	protein_coding	1	1	1	POLR2A:CH1806	chr19	805071	805110	805071	805110	+	1	NA	NA	NA	-0.533	29	HeLa
POLR2A	ENSG00000011405	PIK3C2A	protein_coding	1	1	1	POLR2A:CH682	chr11	17169666	17169705	17169666	17169705	-	1	NA	NA	NA	NA	28	HeLa
POLR2A	ENSG00000011426	ANLN	protein_coding	5	1	5	POLR2A:CH3063	chr7	36410555	36410594	36410555	36410594	+	1	NA	NA	NA	0.397	19	HeLa
POLR2A	ENSG00000011426	ANLN	protein_coding	5	1	5	POLR2A:CH3064	chr7	36419333	36419372	36419333	36419372	+	1	NA	NA	NA	0.397	19	HeLa
POLR2A	ENSG00000011426	ANLN	protein_coding	5	1	5	POLR2A:CH3065	chr7	36420614	36420653	36420614	36420653	+	1	NA	NA	NA	0.397	19	HeLa
POLR2A	ENSG00000011426	ANLN	protein_coding	5	1	5	POLR2A:CH3066	chr7	36422663	36422702	36422663	36422702	+	1	NA	NA	NA	0.397	19	HeLa
POLR2A	ENSG00000011426	ANLN	protein_coding	5	1	5	POLR2A:CH3067	chr7	36449695	36449734	36449695	36449734	+	1	NA	NA	NA	0.397	19	HeLa
POLR2A	ENSG00000011454	RABGAP1	protein_coding	1	1	1	POLR2A:CH3355	chr9	123089775	123089814	123089775	123089814	+	1	NA	NA	NA	NA	28	HeLa
POLR2A	ENSG00000013374	NUB1	protein_coding	1	1	1	POLR2A:CH3157	chr7	151349104	151349143	151349104	151349143	+	1	NA	NA	NA	NA	14	HeLa
POLR2A	ENSG00000013441	CLK1	protein_coding	1	1	1	POLR2A:CH2143	chr2	200861761	200861800	200861761	200861800	-	1	NA	NA	NA	1.021	20	HeLa
POLR2A	ENSG00000013588	GPRC5A	protein_coding	1	1	1	POLR2A:CH935	chr12	12909100	12909139	12909100	12909139	+	1	NA	NA	NA	NA	16	HeLa
POLR2A	ENSG00000013810	TACC3	protein_coding	5	1	5	POLR2A:CH2543	chr4	1723469	1723508	1723469	1723508	+	1	NA	NA	NA	0.328	19	HeLa
POLR2A	ENSG00000013810	TACC3	protein_coding	5	1	5	POLR2A:CH2544	chr4	1727959	1727998	1727959	1727998	+	1	NA	NA	NA	0.328	19	HeLa
POLR2A	ENSG00000013810	TACC3	protein_coding	5	1	5	POLR2A:CH2545	chr4	1739965	1740004	1739965	1740004	+	1	NA	NA	NA	0.328	19	HeLa
POLR2A	ENSG00000013810	TACC3	protein_coding	5	1	5	POLR2A:CH2546	chr4	1740858	1740897	1740858	1740897	+	1	NA	NA	NA	0.328	19	HeLa
POLR2A	ENSG00000013810	TACC3	protein_coding	5	1	5	POLR2A:CH2547	chr4	1744539	1744578	1744539	1744578	+	1	NA	NA	NA	0.328	19	HeLa
POLR2A	ENSG00000015479	MATR3	protein_coding	5	1	5	POLR2A:CH2785	chr5	139308051	139308090	139308051	139308090	+	1	NA	NA	NA	NA	28	HeLa
POLR2A	ENSG00000015479	MATR3	protein_coding	5	1	5	POLR2A:CH2786	chr5	139321945	139321984	139321945	139321984	+	1	NA	NA	NA	NA	28	HeLa
POLR2A	ENSG00000015479	MATR3	protein_coding	5	1	5	POLR2A:CH2787	chr5	139322680	139322719	139322680	139322719	+	1	NA	NA	NA	NA	28	HeLa
POLR2A	ENSG00000015479	MATR3	protein_coding	5	1	5	POLR2A:CH2788	chr5	139325479	139325518	139325479	139325518	+	1	NA	NA	NA	NA	28	HeLa
POLR2A	ENSG00000015479	MATR3	protein_coding	5	1	5	POLR2A:CH2789	chr5	139329345	139329384	139329345	139329384	+	1	NA	NA	NA	NA	28	HeLa
POLR2A	ENSG00000017797	RALBP1	protein_coding	2	1	2	POLR2A:CH1783	chr18	9513202	9513241	9513202	9513241	+	1	NA	NA	NA	NA	30	HeLa
POLR2A	ENSG00000017797	RALBP1	protein_coding	2	1	2	POLR2A:CH1784	chr18	9516972	9517011	9516972	9517011	+	1	NA	NA	NA	NA	30	HeLa
POLR2A	ENSG00000020426	MNAT1	protein_coding	1	1	1	POLR2A:CH1232	chr14	60811991	60812030	60811991	60812030	+	1	NA	NA	NA	NA	19	HeLa
POLR2A	ENSG00000021355	SERPINB1	protein_coding	1	1	1	POLR2A:CH2882	chr6	2836141	2836180	2836141	2836180	-	1	NA	NA	NA	-0.468	12	HeLa
POLR2A	ENSG00000021826	CPS1	protein_coding	20	1	20	POLR2A:CH2150	chr2	210556717	210556756	210556717	210556756	+	1	NA	NA	NA	-0.526	16	HeLa
POLR2A	ENSG00000021826	CPS1	protein_coding	20	1	20	POLR2A:CH2151	chr2	210576426	210576465	210576426	210576465	+	1	NA	NA	NA	-0.526	16	HeLa
POLR2A	ENSG00000021826	CPS1	protein_coding	20	1	20	POLR2A:CH2152	chr2	210577437	210577476	210577437	210577476	+	1	NA	NA	NA	-0.526	16	HeLa
POLR2A	ENSG00000021826	CPS1	protein_coding	20	1	20	POLR2A:CH2153	chr2	210582653	210582692	210582653	210582692	+	1	NA	NA	NA	-0.526	16	HeLa
POLR2A	ENSG00000021826	CPS1	protein_coding	20	1	20	POLR2A:CH2154	chr2	210592890	210592929	210592890	210592929	+	1	NA	NA	NA	-0.526	16	HeLa
POLR2A	ENSG00000021826	CPS1	protein_coding	20	1	20	POLR2A:CH2155	chr2	210599407	210599446	210599407	210599446	+	1	NA	NA	NA	-0.526	16	HeLa
POLR2A	ENSG00000021826	CPS1	protein_coding	20	1	20	POLR2A:CH2156	chr2	210605123	210605162	210605123	210605162	+	1	NA	NA	NA	-0.526	16	HeLa
POLR2A	ENSG00000021826	CPS1	protein_coding	20	1	20	POLR2A:CH2157	chr2	210608411	210608450	210608411	210608450	+	1	NA	NA	NA	-0.526	16	HeLa
POLR2A	ENSG00000021826	CPS1	protein_coding	20	1	20	POLR2A:CH2158	chr2	210612223	210612262	210612223	210612262	+	1	NA	NA	NA	-0.526	16	HeLa
POLR2A	ENSG00000021826	CPS1	protein_coding	20	1	20	POLR2A:CH2159	chr2	210616465	210616504	210616465	210616504	+	1	NA	NA	NA	-0.526	16	HeLa
POLR2A	ENSG00000021826	CPS1	protein_coding	20	1	20	POLR2A:CH2160	chr2	210637701	210637740	210637701	210637740	+	1	NA	NA	NA	-0.526	16	HeLa
POLR2A	ENSG00000021826	CPS1	protein_coding	20	1	20	POLR2A:CH2161	chr2	210642550	210642589	210642550	210642589	+	1	NA	NA	NA	-0.526	16	HeLa
POLR2A	ENSG00000021826	CPS1	protein_coding	20	1	20	POLR2A:CH2162	chr2	210647927	210647966	210647927	210647966	+	1	NA	NA	NA	-0.526	16	HeLa
POLR2A	ENSG00000021826	CPS1	protein_coding	20	1	20	POLR2A:CH2163	chr2	210650390	210650429	210650390	210650429	+	1	NA	NA	NA	-0.526	16	HeLa
POLR2A	ENSG00000021826	CPS1	protein_coding	20	1	20	POLR2A:CH2164	chr2	210654037	210654076	210654037	210654076	+	1	NA	NA	NA	-0.526	16	HeLa
POLR2A	ENSG00000021826	CPS1	protein_coding	20	1	20	POLR2A:CH2165	chr2	210656545	210656584	210656545	210656584	+	1	NA	NA	NA	-0.526	16	HeLa
POLR2A	ENSG00000021826	CPS1	protein_coding	20	1	20	POLR2A:CH2166	chr2	210660515	210660554	210660515	210660554	+	1	NA	NA	NA	-0.526	16	HeLa
POLR2A	ENSG00000021826	CPS1	protein_coding	20	1	20	POLR2A:CH2167	chr2	210677069	210677108	210677069	210677108	+	1	NA	NA	NA	-0.526	16	HeLa
POLR2A	ENSG00000021826	CPS1	protein_coding	20	1	20	POLR2A:CH2168	chr2	210677962	210678001	210677962	210678001	+	1	NA	NA	NA	-0.526	16	HeLa
POLR2A	ENSG00000021826	CPS1	protein_coding	20	1	20	POLR2A:CH2169	chr2	210678772	210678811	210678772	210678811	+	1	NA	NA	NA	-0.526	16	HeLa
POLR2A	ENSG00000023287	RB1CC1	protein_coding	2	1	2	POLR2A:CH3195	chr8	52645741	52645780	52645741	52645780	-	1	NA	NA	NA	NA	27	HeLa
POLR2A	ENSG00000023287	RB1CC1	protein_coding	2	1	2	POLR2A:CH3196	chr8	52656279	52656318	52656279	52656318	-	1	NA	NA	NA	NA	27	HeLa
POLR2A	ENSG00000023608	SNAPC1	protein_coding	1	1	1	POLR2A:CH1237	chr14	61782294	61782333	61782294	61782333	+	1	NA	NA	NA	NA	17	HeLa
POLR2A	ENSG00000023734	STRAP	protein_coding	1	1	1	POLR2A:CH938	chr12	15882620	15882659	15882620	15882659	+	1	NA	NA	NA	NA	24	HeLa
POLR2A	ENSG00000023839	ABCC2	protein_coding	4	1	4	POLR2A:CH574	chr10	99795682	99795721	99795682	99795721	+	1	NA	NA	NA	NA	11	HeLa
POLR2A	ENSG00000023839	ABCC2	protein_coding	4	1	4	POLR2A:CH575	chr10	99797110	99797149	99797110	99797149	+	1	NA	NA	NA	NA	11	HeLa
POLR2A	ENSG00000023839	ABCC2	protein_coding	4	1	4	POLR2A:CH576	chr10	99819114	99819153	99819114	99819153	+	1	NA	NA	NA	NA	11	HeLa
