#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
EIF4A3	ENSG00000000003	TSPAN6	protein_coding	3	1	3	EIF4A3:CH61876	chrX	100629921	100629960	100629921	100629960	-	1	NA	NA	NA	NA	13	HeLa
EIF4A3	ENSG00000000003	TSPAN6	protein_coding	3	1	3	EIF4A3:CH61877	chrX	100633942	100633981	100633942	100633981	-	1	NA	NA	NA	NA	13	HeLa
EIF4A3	ENSG00000000003	TSPAN6	protein_coding	3	1	3	EIF4A3:CH61878	chrX	100635187	100635226	100635187	100635226	-	1	NA	NA	NA	NA	13	HeLa
EIF4A3	ENSG00000000419	DPM1	protein_coding	7	2	8	EIF4A3:CH38121	chr20	50936152	50936195	50936152	50936195	-	2	-0.357	NA	NA	NA	28	HeLa
EIF4A3	ENSG00000000419	DPM1	protein_coding	7	2	8	EIF4A3:CH38122	chr20	50940872	50940911	50940872	50940911	-	1	-0.357	NA	NA	NA	28	HeLa
EIF4A3	ENSG00000000419	DPM1	protein_coding	7	2	8	EIF4A3:CH38123	chr20	50942033	50942072	50942033	50942072	-	1	-0.357	NA	NA	NA	28	HeLa
EIF4A3	ENSG00000000419	DPM1	protein_coding	7	2	8	EIF4A3:CH38124	chr20	50945844	50945883	50945844	50945883	-	1	-0.357	NA	NA	NA	28	HeLa
EIF4A3	ENSG00000000419	DPM1	protein_coding	7	2	8	EIF4A3:CH38125	chr20	50955196	50955235	50955196	50955235	-	1	-0.357	NA	NA	NA	28	HeLa
EIF4A3	ENSG00000000419	DPM1	protein_coding	7	2	8	EIF4A3:CH38126	chr20	50957155	50957194	50957155	50957194	-	1	-0.357	NA	NA	NA	28	HeLa
EIF4A3	ENSG00000000419	DPM1	protein_coding	7	2	8	EIF4A3:CH38127	chr20	50958361	50958400	50958361	50958400	-	1	-0.357	NA	NA	NA	28	HeLa
EIF4A3	ENSG00000000457	SCYL3	protein_coding	3	1	3	EIF4A3:CH4559	chr1	169866895	169866934	169866895	169866934	-	1	1.423	0.987	NA	NA	18	HeLa
EIF4A3	ENSG00000000457	SCYL3	protein_coding	3	1	3	EIF4A3:CH4560	chr1	169876016	169876055	169876016	169876055	-	1	1.423	0.987	NA	NA	18	HeLa
EIF4A3	ENSG00000000457	SCYL3	protein_coding	3	1	3	EIF4A3:CH4561	chr1	169878739	169878778	169878739	169878778	-	1	1.423	0.987	NA	NA	18	HeLa
EIF4A3	ENSG00000000460	C1orf112	protein_coding	6	1	6	EIF4A3:CH4552	chr1	169795558	169795597	169795558	169795597	+	1	-0.727	-0.699	-0.262	NA	26	HeLa
EIF4A3	ENSG00000000460	C1orf112	protein_coding	6	1	6	EIF4A3:CH4553	chr1	169830682	169830721	169830682	169830721	+	1	-0.727	-0.699	-0.262	NA	26	HeLa
EIF4A3	ENSG00000000460	C1orf112	protein_coding	6	1	6	EIF4A3:CH4554	chr1	169837059	169837098	169837059	169837098	+	1	-0.727	-0.699	-0.262	NA	26	HeLa
EIF4A3	ENSG00000000460	C1orf112	protein_coding	6	1	6	EIF4A3:CH4555	chr1	169849547	169849586	169849547	169849586	+	1	-0.727	-0.699	-0.262	NA	26	HeLa
EIF4A3	ENSG00000000460	C1orf112	protein_coding	6	1	6	EIF4A3:CH4556	chr1	169851887	169851926	169851887	169851926	+	1	-0.727	-0.699	-0.262	NA	26	HeLa
EIF4A3	ENSG00000000460	C1orf112	protein_coding	6	1	6	EIF4A3:CH4557	chr1	169853559	169853598	169853559	169853598	+	1	-0.727	-0.699	-0.262	NA	26	HeLa
EIF4A3	ENSG00000001036	FUCA2	protein_coding	3	2	3	EIF4A3:CH51398	chr6	143495761	143495800	143495761	143495800	-	1	-0.207	-0.551	NA	NA	19	HeLa
EIF4A3	ENSG00000001036	FUCA2	protein_coding	3	2	3	EIF4A3:CH51399	chr6	143497394	143497433	143497394	143497433	-	1	-0.207	-0.551	NA	NA	19	HeLa
EIF4A3	ENSG00000001036	FUCA2	protein_coding	3	2	3	EIF4A3:CH51400	chr6	143501939	143501978	143501939	143501978	-	1	-0.207	-0.551	NA	NA	19	HeLa
EIF4A3	ENSG00000001084	GCLC	protein_coding	4	1	4	EIF4A3:CH50569	chr6	53500059	53500098	53500059	53500098	-	1	0.163	0.417	0.195	0.251	19	HeLa
EIF4A3	ENSG00000001084	GCLC	protein_coding	4	1	4	EIF4A3:CH50570	chr6	53506919	53506958	53506919	53506958	-	1	0.163	0.417	0.195	0.251	19	HeLa
EIF4A3	ENSG00000001084	GCLC	protein_coding	4	1	4	EIF4A3:CH50571	chr6	53507473	53507512	53507473	53507512	-	1	0.163	0.417	0.195	0.251	19	HeLa
EIF4A3	ENSG00000001084	GCLC	protein_coding	4	1	4	EIF4A3:CH50572	chr6	53508593	53508632	53508593	53508632	-	1	0.163	0.417	0.195	0.251	19	HeLa
