#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
DHX36	ENSG00000000003	TSPAN6	protein_coding	5	3	25	DHX36:CH41368	chrX	100628074	100628074	100628074	100628074	-	1	NA	NA	NA	NA	15	HEK293
DHX36	ENSG00000000003	TSPAN6	protein_coding	5	3	25	DHX36:CH41369	chrX	100629075	100629793	100629075	100629793	-	3	NA	NA	NA	NA	15	HEK293
DHX36	ENSG00000000003	TSPAN6	protein_coding	5	3	25	DHX36:CH41370	chrX	100634005	100634005	100634005	100634005	-	1	NA	NA	NA	NA	15	HEK293
DHX36	ENSG00000000003	TSPAN6	protein_coding	5	3	25	DHX36:CH41371	chrX	100635592	100635686	100635592	100635686	-	3	NA	NA	NA	NA	15	HEK293
DHX36	ENSG00000000003	TSPAN6	protein_coding	5	3	25	DHX36:CH41372	chrX	100636648	100636731	100636648	100636731	-	3	NA	NA	NA	NA	15	HEK293
DHX36	ENSG00000000419	DPM1	protein_coding	2	2	2	DHX36:CH25895	chr20	50935103	50935103	50935103	50935103	-	1	NA	NA	NA	NA	30	HEK293
DHX36	ENSG00000000419	DPM1	protein_coding	2	2	2	DHX36:CH25896	chr20	50942093	50942093	50942093	50942093	-	1	NA	NA	NA	NA	30	HEK293
DHX36	ENSG00000000460	C1orf112	protein_coding	2	2	2	DHX36:CH3392	chr1	169795043	169795043	169795043	169795043	+	1	NA	NA	NA	NA	31	HEK293
DHX36	ENSG00000000460	C1orf112	protein_coding	2	2	2	DHX36:CH3393	chr1	169804095	169804095	169804095	169804095	+	1	NA	NA	NA	NA	31	HEK293
DHX36	ENSG00000001036	FUCA2	protein_coding	3	2	4	DHX36:CH35586	chr6	143495679	143495790	143495679	143495790	-	1	NA	NA	NA	NA	15	HEK293
DHX36	ENSG00000001036	FUCA2	protein_coding	3	2	4	DHX36:CH35587	chr6	143502053	143502053	143502053	143502053	-	1	NA	NA	NA	NA	15	HEK293
DHX36	ENSG00000001036	FUCA2	protein_coding	3	2	4	DHX36:CH35588	chr6	143507314	143507314	143507314	143507314	-	1	NA	NA	NA	NA	15	HEK293
DHX36	ENSG00000001084	GCLC	protein_coding	4	3	11	DHX36:CH34797	chr6	53497937	53497993	53497937	53497993	-	1	NA	NA	NA	NA	31	HEK293
DHX36	ENSG00000001084	GCLC	protein_coding	4	3	11	DHX36:CH34798	chr6	53498373	53498486	53498373	53498486	-	2	NA	NA	NA	NA	31	HEK293
DHX36	ENSG00000001084	GCLC	protein_coding	4	3	11	DHX36:CH34799	chr6	53500325	53500325	53500325	53500325	-	1	NA	NA	NA	NA	31	HEK293
DHX36	ENSG00000001084	GCLC	protein_coding	4	3	11	DHX36:CH34800	chr6	53544503	53544632	53544503	53544632	-	2	NA	NA	NA	NA	31	HEK293
DHX36	ENSG00000001167	NFYA	protein_coding	3	2	6	DHX36:CH34554	chr6	41092889	41092889	41092889	41092889	+	1	NA	NA	NA	NA	31	HEK293
DHX36	ENSG00000001167	NFYA	protein_coding	3	2	6	DHX36:CH34555	chr6	41098358	41098427	41098358	41098427	+	2	NA	NA	NA	NA	31	HEK293
DHX36	ENSG00000001167	NFYA	protein_coding	3	2	6	DHX36:CH34556	chr6	41099406	41099406	41099406	41099406	+	1	NA	NA	NA	NA	31	HEK293
DHX36	ENSG00000001460	STPG1	protein_coding	1	1	3	DHX36:CH736	chr1	24357795	24357930	24357795	24357930	-	1	NA	NA	NA	NA	15	HEK293
DHX36	ENSG00000001461	NIPAL3	protein_coding	5	2	5	DHX36:CH737	chr1	24461213	24461213	24461213	24461213	+	1	NA	NA	NA	NA	26	HEK293
DHX36	ENSG00000001461	NIPAL3	protein_coding	5	2	5	DHX36:CH738	chr1	24469358	24469358	24469358	24469358	+	1	NA	NA	NA	NA	26	HEK293
DHX36	ENSG00000001461	NIPAL3	protein_coding	5	2	5	DHX36:CH739	chr1	24469602	24469602	24469602	24469602	+	1	NA	NA	NA	NA	26	HEK293
DHX36	ENSG00000001461	NIPAL3	protein_coding	5	2	5	DHX36:CH740	chr1	24470910	24470910	24470910	24470910	+	1	NA	NA	NA	NA	26	HEK293
DHX36	ENSG00000001461	NIPAL3	protein_coding	5	2	5	DHX36:CH741	chr1	24472702	24472702	24472702	24472702	+	1	NA	NA	NA	NA	26	HEK293
DHX36	ENSG00000001497	LAS1L	protein_coding	8	3	16	DHX36:CH41095	chrX	65512629	65512662	65512629	65512662	-	2	NA	NA	NA	NA	12	HEK293
DHX36	ENSG00000001497	LAS1L	protein_coding	8	3	16	DHX36:CH41096	chrX	65512897	65512897	65512897	65512897	-	1	NA	NA	NA	NA	12	HEK293
DHX36	ENSG00000001497	LAS1L	protein_coding	8	3	16	DHX36:CH41097	chrX	65518296	65518296	65518296	65518296	-	1	NA	NA	NA	NA	12	HEK293
DHX36	ENSG00000001497	LAS1L	protein_coding	8	3	16	DHX36:CH41098	chrX	65520980	65520980	65520980	65520980	-	1	NA	NA	NA	NA	12	HEK293
DHX36	ENSG00000001497	LAS1L	protein_coding	8	3	16	DHX36:CH41099	chrX	65524161	65524161	65524161	65524161	-	1	NA	NA	NA	NA	12	HEK293
DHX36	ENSG00000001497	LAS1L	protein_coding	8	3	16	DHX36:CH41100	chrX	65528355	65528355	65528355	65528355	-	1	NA	NA	NA	NA	12	HEK293
DHX36	ENSG00000001497	LAS1L	protein_coding	8	3	16	DHX36:CH41101	chrX	65529710	65529811	65529710	65529811	-	2	NA	NA	NA	NA	12	HEK293
DHX36	ENSG00000001497	LAS1L	protein_coding	8	3	16	DHX36:CH41102	chrX	65534592	65534718	65534592	65534718	-	3	NA	NA	NA	NA	12	HEK293
