#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
MOV10	ENSG00000000003	TSPAN6	protein_coding	3	2	3	MOV10:CH58154	chrX	100628919	100628958	100628919	100628958	-	1	NA	NA	NA	NA	11	HEK293
MOV10	ENSG00000000003	TSPAN6	protein_coding	3	2	3	MOV10:CH58155	chrX	100629398	100629437	100629398	100629437	-	1	NA	NA	NA	NA	11	HEK293
MOV10	ENSG00000000003	TSPAN6	protein_coding	3	2	3	MOV10:CH58156	chrX	100629684	100629723	100629684	100629723	-	1	NA	NA	NA	NA	11	HEK293
MOV10	ENSG00000000419	DPM1	protein_coding	5	3	14	MOV10:CH33630	chr20	50934870	50935148	50934870	50935148	-	3	NA	NA	NA	NA	13	HEK293
MOV10	ENSG00000000419	DPM1	protein_coding	5	3	14	MOV10:CH33631	chr20	50936208	50936259	50936208	50936259	-	2	NA	NA	NA	NA	13	HEK293
MOV10	ENSG00000000419	DPM1	protein_coding	5	3	14	MOV10:CH33632	chr20	50940889	50940928	50940889	50940928	-	1	NA	NA	NA	NA	13	HEK293
MOV10	ENSG00000000419	DPM1	protein_coding	5	3	14	MOV10:CH33633	chr20	50942037	50942096	50942037	50942096	-	3	NA	NA	NA	NA	13	HEK293
MOV10	ENSG00000000419	DPM1	protein_coding	5	3	14	MOV10:CH33634	chr20	50945848	50945890	50945848	50945890	-	2	NA	NA	NA	NA	13	HEK293
MOV10	ENSG00000000457	SCYL3	protein_coding	1	1	1	MOV10:CH4406	chr1	169850061	169850100	169850061	169850100	-	1	NA	NA	NA	NA	18	HEK293
MOV10	ENSG00000000460	C1orf112	protein_coding	1	1	1	MOV10:CH4405	chr1	169706708	169706747	169706708	169706747	+	1	NA	NA	NA	NA	19	HEK293
MOV10	ENSG00000001036	FUCA2	protein_coding	2	3	4	MOV10:CH48101	chr6	143494821	143494927	143494821	143494927	-	2	NA	NA	NA	NA	13	HEK293
MOV10	ENSG00000001036	FUCA2	protein_coding	2	3	4	MOV10:CH48102	chr6	143495222	143495353	143495222	143495353	-	2	NA	NA	NA	NA	13	HEK293
MOV10	ENSG00000001084	GCLC	protein_coding	2	3	8	MOV10:CH46304	chr6	53497515	53497586	53497515	53497586	-	3	NA	NA	NA	NA	15	HEK293
MOV10	ENSG00000001084	GCLC	protein_coding	2	3	8	MOV10:CH46305	chr6	53498173	53498497	53498173	53498497	-	3	NA	NA	NA	NA	15	HEK293
MOV10	ENSG00000001167	NFYA	protein_coding	3	3	13	MOV10:CH45963	chr6	41097981	41098321	41097981	41098321	+	1	NA	NA	NA	NA	17	HEK293
MOV10	ENSG00000001167	NFYA	protein_coding	3	3	13	MOV10:CH45964	chr6	41098882	41099462	41098882	41099462	+	3	NA	NA	NA	NA	17	HEK293
MOV10	ENSG00000001167	NFYA	protein_coding	3	3	13	MOV10:CH45965	chr6	41099851	41099890	41099851	41099890	+	1	NA	NA	NA	NA	17	HEK293
MOV10	ENSG00000001460	STPG1	protein_coding	1	1	1	MOV10:CH770	chr1	24357486	24357486	24357486	24357486	-	1	NA	NA	NA	NA	11	HEK293
MOV10	ENSG00000001461	NIPAL3	protein_coding	9	3	32	MOV10:CH772	chr1	24435037	24435076	24435037	24435076	+	1	NA	NA	NA	NA	14	HEK293
MOV10	ENSG00000001461	NIPAL3	protein_coding	9	3	32	MOV10:CH773	chr1	24464021	24464061	24464021	24464061	+	2	NA	NA	NA	NA	14	HEK293
MOV10	ENSG00000001461	NIPAL3	protein_coding	9	3	32	MOV10:CH774	chr1	24469273	24469490	24469273	24469490	+	3	NA	NA	NA	NA	14	HEK293
MOV10	ENSG00000001461	NIPAL3	protein_coding	9	3	32	MOV10:CH775	chr1	24469768	24470136	24469768	24470136	+	2	NA	NA	NA	NA	14	HEK293
MOV10	ENSG00000001461	NIPAL3	protein_coding	9	3	32	MOV10:CH776	chr1	24470574	24471016	24470574	24471016	+	3	NA	NA	NA	NA	14	HEK293
MOV10	ENSG00000001461	NIPAL3	protein_coding	9	3	32	MOV10:CH777	chr1	24471352	24471391	24471352	24471391	+	2	NA	NA	NA	NA	14	HEK293
MOV10	ENSG00000001461	NIPAL3	protein_coding	9	3	32	MOV10:CH778	chr1	24471636	24472209	24471636	24472209	+	3	NA	NA	NA	NA	14	HEK293
MOV10	ENSG00000001461	NIPAL3	protein_coding	9	3	32	MOV10:CH779	chr1	24472543	24472582	24472543	24472582	+	2	NA	NA	NA	NA	14	HEK293
MOV10	ENSG00000001461	NIPAL3	protein_coding	9	3	32	MOV10:CH780	chr1	24472828	24472828	24472828	24472828	+	2	NA	NA	NA	NA	14	HEK293
MOV10	ENSG00000001497	LAS1L	protein_coding	8	3	10	MOV10:CH57607	chrX	65502575	65502629	65502575	65502629	-	2	NA	NA	NA	NA	25	HEK293
MOV10	ENSG00000001497	LAS1L	protein_coding	8	3	10	MOV10:CH57608	chrX	65503266	65503305	65503266	65503305	-	1	NA	NA	NA	NA	25	HEK293
MOV10	ENSG00000001497	LAS1L	protein_coding	8	3	10	MOV10:CH57609	chrX	65504212	65504358	65504212	65504358	-	1	NA	NA	NA	NA	25	HEK293
MOV10	ENSG00000001497	LAS1L	protein_coding	8	3	10	MOV10:CH57611	chrX	65506253	65506253	65506253	65506253	-	1	NA	NA	NA	NA	25	HEK293
MOV10	ENSG00000001497	LAS1L	protein_coding	8	3	10	MOV10:CH57612	chrX	65507225	65507264	65507225	65507264	-	1	NA	NA	NA	NA	25	HEK293
MOV10	ENSG00000001497	LAS1L	protein_coding	8	3	10	MOV10:CH57613	chrX	65511742	65511781	65511742	65511781	-	1	NA	NA	NA	NA	25	HEK293
