#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
SP1	ENSG00000000419	DPM1	protein_coding	1	2	2	SP1:CH16278	chr20	50951730	50951778	50951730	50951778	-	2	NA	NA	NA	NA	18	HEK293
SP1	ENSG00000000460	C1orf112	protein_coding	1	1	1	SP1:CH2611	chr1	169802634	169802673	169802634	169802673	+	1	NA	NA	NA	NA	30	HEK293
SP1	ENSG00000001036	FUCA2	protein_coding	1	1	1	SP1:CH22071	chr6	143503731	143503770	143503731	143503770	-	1	NA	NA	NA	NA	11	HEK293
SP1	ENSG00000001084	GCLC	protein_coding	1	1	1	SP1:CH21583	chr6	53511474	53511513	53511474	53511513	-	1	NA	NA	NA	NA	27	HEK293
SP1	ENSG00000001461	NIPAL3	protein_coding	1	1	1	SP1:CH809	chr1	24421020	24421059	24421020	24421059	+	1	NA	NA	NA	NA	29	HEK293
SP1	ENSG00000001497	LAS1L	protein_coding	4	4	5	SP1:CH25636	chrX	65522140	65522299	65522140	65522299	-	2	NA	NA	NA	NA	15	HEK293
SP1	ENSG00000001497	LAS1L	protein_coding	4	4	5	SP1:CH25637	chrX	65524283	65524322	65524283	65524322	-	1	NA	NA	NA	NA	15	HEK293
SP1	ENSG00000001497	LAS1L	protein_coding	4	4	5	SP1:CH25638	chrX	65529035	65529074	65529035	65529074	-	1	NA	NA	NA	NA	15	HEK293
SP1	ENSG00000001497	LAS1L	protein_coding	4	4	5	SP1:CH25639	chrX	65534587	65534626	65534587	65534626	-	1	NA	NA	NA	NA	15	HEK293
SP1	ENSG00000001630	CYP51A1	protein_coding	1	1	1	SP1:CH22700	chr7	92113314	92113353	92113314	92113353	-	1	NA	NA	NA	NA	25	HEK293
SP1	ENSG00000001631	KRIT1	protein_coding	1	1	1	SP1:CH22701	chr7	92202230	92202269	92202230	92202269	-	1	NA	NA	NA	NA	31	HEK293
SP1	ENSG00000002016	RAD52	protein_coding	2	1	2	SP1:CH5212	chr12	912677	912716	912677	912716	-	1	NA	NA	NA	NA	32	HEK293
SP1	ENSG00000002016	RAD52	protein_coding	2	1	2	SP1:CH5213	chr12	926283	926322	926283	926322	-	1	NA	NA	NA	NA	32	HEK293
SP1	ENSG00000003056	M6PR	protein_coding	1	1	1	SP1:CH5442	chr12	8941585	8941624	8941585	8941624	-	1	NA	NA	NA	NA	32	HEK293
SP1	ENSG00000003096	KLHL13	protein_coding	1	4	4	SP1:CH26077	chrX	117914288	117914345	117914288	117914345	-	4	NA	NA	NA	NA	16	HEK293
SP1	ENSG00000003756	RBM5	protein_coding	22	5	38	SP1:CH18321	chr3	50092062	50092101	50092062	50092101	+	1	NA	NA	NA	NA	29	HEK293
SP1	ENSG00000003756	RBM5	protein_coding	22	5	38	SP1:CH18322	chr3	50094185	50094224	50094185	50094224	+	1	NA	NA	NA	NA	29	HEK293
SP1	ENSG00000003756	RBM5	protein_coding	22	5	38	SP1:CH18323	chr3	50094528	50094528	50094528	50094528	+	1	NA	NA	NA	NA	29	HEK293
SP1	ENSG00000003756	RBM5	protein_coding	22	5	38	SP1:CH18324	chr3	50094866	50094905	50094866	50094905	+	1	NA	NA	NA	NA	29	HEK293
SP1	ENSG00000003756	RBM5	protein_coding	22	5	38	SP1:CH18325	chr3	50096191	50096230	50096191	50096230	+	1	NA	NA	NA	NA	29	HEK293
SP1	ENSG00000003756	RBM5	protein_coding	22	5	38	SP1:CH18326	chr3	50096437	50096652	50096437	50096652	+	3	NA	NA	NA	NA	29	HEK293
SP1	ENSG00000003756	RBM5	protein_coding	22	5	38	SP1:CH18327	chr3	50098287	50098340	50098287	50098340	+	2	NA	NA	NA	NA	29	HEK293
SP1	ENSG00000003756	RBM5	protein_coding	22	5	38	SP1:CH18328	chr3	50098975	50099014	50098975	50099014	+	1	NA	NA	NA	NA	29	HEK293
SP1	ENSG00000003756	RBM5	protein_coding	22	5	38	SP1:CH18329	chr3	50100142	50100404	50100142	50100404	+	2	NA	NA	NA	NA	29	HEK293
SP1	ENSG00000003756	RBM5	protein_coding	22	5	38	SP1:CH18330	chr3	50100990	50101029	50100990	50101029	+	1	NA	NA	NA	NA	29	HEK293
SP1	ENSG00000003756	RBM5	protein_coding	22	5	38	SP1:CH18331	chr3	50101731	50101998	50101731	50101998	+	4	NA	NA	NA	NA	29	HEK293
SP1	ENSG00000003756	RBM5	protein_coding	22	5	38	SP1:CH18332	chr3	50102654	50102696	50102654	50102696	+	2	NA	NA	NA	NA	29	HEK293
SP1	ENSG00000003756	RBM5	protein_coding	22	5	38	SP1:CH18333	chr3	50103010	50103049	50103010	50103049	+	1	NA	NA	NA	NA	29	HEK293
SP1	ENSG00000003756	RBM5	protein_coding	22	5	38	SP1:CH18334	chr3	50104525	50104575	50104525	50104575	+	2	NA	NA	NA	NA	29	HEK293
SP1	ENSG00000003756	RBM5	protein_coding	22	5	38	SP1:CH18335	chr3	50105611	50105650	50105611	50105650	+	1	NA	NA	NA	NA	29	HEK293
SP1	ENSG00000003756	RBM5	protein_coding	22	5	38	SP1:CH18336	chr3	50108249	50108288	50108249	50108288	+	1	NA	NA	NA	NA	29	HEK293
SP1	ENSG00000003756	RBM5	protein_coding	22	5	38	SP1:CH18337	chr3	50111460	50111499	50111460	50111499	+	1	NA	NA	NA	NA	29	HEK293
SP1	ENSG00000003756	RBM5	protein_coding	22	5	38	SP1:CH18338	chr3	50111916	50112156	50111916	50112156	+	3	NA	NA	NA	NA	29	HEK293
SP1	ENSG00000003756	RBM5	protein_coding	22	5	38	SP1:CH18339	chr3	50113497	50113536	50113497	50113536	+	1	NA	NA	NA	NA	29	HEK293
SP1	ENSG00000003756	RBM5	protein_coding	22	5	38	SP1:CH18340	chr3	50115526	50115578	50115526	50115578	+	2	NA	NA	NA	NA	29	HEK293
SP1	ENSG00000003756	RBM5	protein_coding	22	5	38	SP1:CH18341	chr3	50117240	50117279	50117240	50117279	+	1	NA	NA	NA	NA	29	HEK293
SP1	ENSG00000003756	RBM5	protein_coding	22	5	38	SP1:CH18342	chr3	50118431	50118470	50118431	50118470	+	1	NA	NA	NA	NA	29	HEK293
SP1	ENSG00000004059	ARF5	protein_coding	1	1	2	SP1:CH23213	chr7	127591391	127591667	127591391	127591667	+	1	NA	NA	NA	NA	27	HEK293
SP1	ENSG00000004139	SARM1	protein_coding	6	2	6	SP1:CH10436	chr17	28371946	28371985	28371946	28371985	+	1	NA	NA	NA	NA	27	HEK293
SP1	ENSG00000004139	SARM1	protein_coding	6	2	6	SP1:CH10437	chr17	28373185	28373224	28373185	28373224	+	1	NA	NA	NA	NA	27	HEK293
SP1	ENSG00000004139	SARM1	protein_coding	6	2	6	SP1:CH10438	chr17	28387255	28387294	28387255	28387294	+	1	NA	NA	NA	NA	27	HEK293
SP1	ENSG00000004139	SARM1	protein_coding	6	2	6	SP1:CH10439	chr17	28388768	28388807	28388768	28388807	+	1	NA	NA	NA	NA	27	HEK293
SP1	ENSG00000004139	SARM1	protein_coding	6	2	6	SP1:CH10440	chr17	28396877	28396916	28396877	28396916	+	1	NA	NA	NA	NA	27	HEK293
SP1	ENSG00000004139	SARM1	protein_coding	6	2	6	SP1:CH10441	chr17	28397956	28397995	28397956	28397995	+	1	NA	NA	NA	NA	27	HEK293
SP1	ENSG00000004142	POLDIP2	protein_coding	2	1	2	SP1:CH10434	chr17	28347383	28347422	28347383	28347422	-	1	NA	NA	NA	NA	17	HEK293
