#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
RBM15B	ENSG00000000003	TSPAN6	protein_coding	3	2	3	RBM15B:CH101732	chrX	100635712	100635712	100635712	100635712	-	1	NA	NA	NA	NA	13	HEK293T
RBM15B	ENSG00000000003	TSPAN6	protein_coding	3	2	3	RBM15B:CH101733	chrX	100636223	100636223	100636223	100636223	-	1	NA	NA	NA	NA	13	HEK293T
RBM15B	ENSG00000000003	TSPAN6	protein_coding	3	2	3	RBM15B:CH101734	chrX	100636518	100636557	100636518	100636557	-	1	NA	NA	NA	NA	13	HEK293T
RBM15B	ENSG00000000419	DPM1	protein_coding	7	2	11	RBM15B:CH61361	chr20	50935155	50935155	50935155	50935155	-	1	NA	NA	NA	NA	19	HEK293T
RBM15B	ENSG00000000419	DPM1	protein_coding	7	2	11	RBM15B:CH61362	chr20	50936920	50936920	50936920	50936920	-	1	NA	NA	NA	NA	19	HEK293T
RBM15B	ENSG00000000419	DPM1	protein_coding	7	2	11	RBM15B:CH61363	chr20	50955021	50955021	50955021	50955021	-	1	NA	NA	NA	NA	19	HEK293T
RBM15B	ENSG00000000419	DPM1	protein_coding	7	2	11	RBM15B:CH61364	chr20	50956133	50956133	50956133	50956133	-	1	NA	NA	NA	NA	19	HEK293T
RBM15B	ENSG00000000419	DPM1	protein_coding	7	2	11	RBM15B:CH61365	chr20	50957259	50957320	50957259	50957320	-	1	NA	NA	NA	NA	19	HEK293T
RBM15B	ENSG00000000419	DPM1	protein_coding	7	2	11	RBM15B:CH61366	chr20	50957684	50957684	50957684	50957684	-	1	NA	NA	NA	NA	19	HEK293T
RBM15B	ENSG00000000419	DPM1	protein_coding	7	2	11	RBM15B:CH61367	chr20	50958071	50958441	50958071	50958441	-	2	NA	NA	NA	NA	19	HEK293T
RBM15B	ENSG00000000457	SCYL3	protein_coding	4	1	4	RBM15B:CH7783	chr1	169854076	169854115	169854076	169854115	-	1	NA	NA	NA	NA	24	HEK293T
RBM15B	ENSG00000000457	SCYL3	protein_coding	4	1	4	RBM15B:CH7784	chr1	169854373	169854373	169854373	169854373	-	1	NA	NA	NA	NA	24	HEK293T
RBM15B	ENSG00000000457	SCYL3	protein_coding	4	1	4	RBM15B:CH7788	chr1	169877750	169877750	169877750	169877750	-	1	NA	NA	NA	NA	24	HEK293T
RBM15B	ENSG00000000457	SCYL3	protein_coding	4	1	4	RBM15B:CH7789	chr1	169888723	169888723	169888723	169888723	-	1	NA	NA	NA	NA	24	HEK293T
RBM15B	ENSG00000000460	C1orf112	protein_coding	7	2	9	RBM15B:CH7776	chr1	169795103	169795103	169795103	169795103	+	1	NA	NA	NA	NA	23	HEK293T
RBM15B	ENSG00000000460	C1orf112	protein_coding	7	2	9	RBM15B:CH7777	chr1	169803265	169803265	169803265	169803265	+	1	NA	NA	NA	NA	23	HEK293T
RBM15B	ENSG00000000460	C1orf112	protein_coding	7	2	9	RBM15B:CH7778	chr1	169804206	169804245	169804206	169804245	+	1	NA	NA	NA	NA	23	HEK293T
RBM15B	ENSG00000000460	C1orf112	protein_coding	7	2	9	RBM15B:CH7779	chr1	169812142	169812142	169812142	169812142	+	1	NA	NA	NA	NA	23	HEK293T
RBM15B	ENSG00000000460	C1orf112	protein_coding	7	2	9	RBM15B:CH7780	chr1	169829415	169829415	169829415	169829415	+	1	NA	NA	NA	NA	23	HEK293T
RBM15B	ENSG00000000460	C1orf112	protein_coding	7	2	9	RBM15B:CH7781	chr1	169832457	169832482	169832457	169832482	+	2	NA	NA	NA	NA	23	HEK293T
RBM15B	ENSG00000000460	C1orf112	protein_coding	7	2	9	RBM15B:CH7782	chr1	169852946	169852985	169852946	169852985	+	1	NA	NA	NA	NA	23	HEK293T
