#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
KHDRBS1	ENSG00000000419	DPM1	protein_coding	2	1	2	KHDRBS1:CH9877	chr20	50937448	50937487	50937448	50937487	-	1	NA	NA	NA	NA	27	K562
KHDRBS1	ENSG00000000419	DPM1	protein_coding	2	1	2	KHDRBS1:CH9878	chr20	50952647	50952686	50952647	50952686	-	1	NA	NA	NA	NA	27	K562
KHDRBS1	ENSG00000000460	C1orf112	protein_coding	2	2	3	KHDRBS1:CH1313	chr1	169817770	169817825	169817770	169817825	+	2	NA	NA	NA	NA	30	K562
KHDRBS1	ENSG00000000460	C1orf112	protein_coding	2	2	3	KHDRBS1:CH1314	chr1	169818425	169818464	169818425	169818464	+	1	NA	NA	NA	NA	30	K562
KHDRBS1	ENSG00000000971	CFH	protein_coding	4	2	6	KHDRBS1:CH1625	chr1	196655851	196655890	196655851	196655890	+	1	NA	NA	NA	NA	19	K562
KHDRBS1	ENSG00000000971	CFH	protein_coding	4	2	6	KHDRBS1:CH1626	chr1	196685479	196685518	196685479	196685518	+	2	NA	NA	NA	NA	19	K562
KHDRBS1	ENSG00000000971	CFH	protein_coding	4	2	6	KHDRBS1:CH1627	chr1	196687754	196687806	196687754	196687806	+	2	NA	NA	NA	NA	19	K562
KHDRBS1	ENSG00000000971	CFH	protein_coding	4	2	6	KHDRBS1:CH1628	chr1	196728437	196728476	196728437	196728476	+	1	NA	NA	NA	NA	19	K562
KHDRBS1	ENSG00000001629	ANKIB1	protein_coding	9	2	12	KHDRBS1:CH17024	chr7	92256540	92256579	92256540	92256579	+	1	-0.332	NA	NA	NA	25	K562
KHDRBS1	ENSG00000001629	ANKIB1	protein_coding	9	2	12	KHDRBS1:CH17025	chr7	92257836	92257880	92257836	92257880	+	2	-0.332	NA	NA	NA	25	K562
KHDRBS1	ENSG00000001629	ANKIB1	protein_coding	9	2	12	KHDRBS1:CH17026	chr7	92258158	92258197	92258158	92258197	+	1	-0.332	NA	NA	NA	25	K562
KHDRBS1	ENSG00000001629	ANKIB1	protein_coding	9	2	12	KHDRBS1:CH17027	chr7	92289071	92289110	92289071	92289110	+	1	-0.332	NA	NA	NA	25	K562
KHDRBS1	ENSG00000001629	ANKIB1	protein_coding	9	2	12	KHDRBS1:CH17028	chr7	92328674	92328718	92328674	92328718	+	2	-0.332	NA	NA	NA	25	K562
KHDRBS1	ENSG00000001629	ANKIB1	protein_coding	9	2	12	KHDRBS1:CH17029	chr7	92348910	92348949	92348910	92348949	+	1	-0.332	NA	NA	NA	25	K562
KHDRBS1	ENSG00000001629	ANKIB1	protein_coding	9	2	12	KHDRBS1:CH17030	chr7	92350160	92350237	92350160	92350237	+	2	-0.332	NA	NA	NA	25	K562
KHDRBS1	ENSG00000001629	ANKIB1	protein_coding	9	2	12	KHDRBS1:CH17031	chr7	92374168	92374207	92374168	92374207	+	1	-0.332	NA	NA	NA	25	K562
KHDRBS1	ENSG00000001629	ANKIB1	protein_coding	9	2	12	KHDRBS1:CH17032	chr7	92374601	92374640	92374601	92374640	+	1	-0.332	NA	NA	NA	25	K562
KHDRBS1	ENSG00000001630	CYP51A1	protein_coding	6	1	6	KHDRBS1:CH17005	chr7	92112379	92112418	92112379	92112418	-	1	0.474	NA	NA	NA	16	K562
KHDRBS1	ENSG00000001630	CYP51A1	protein_coding	6	1	6	KHDRBS1:CH17007	chr7	92113173	92113212	92113173	92113212	-	1	0.474	NA	NA	NA	16	K562
KHDRBS1	ENSG00000001630	CYP51A1	protein_coding	6	1	6	KHDRBS1:CH17008	chr7	92117088	92117127	92117088	92117127	-	1	0.474	NA	NA	NA	16	K562
KHDRBS1	ENSG00000001630	CYP51A1	protein_coding	6	1	6	KHDRBS1:CH17009	chr7	92126351	92126390	92126351	92126390	-	1	0.474	NA	NA	NA	16	K562
KHDRBS1	ENSG00000001630	CYP51A1	protein_coding	6	1	6	KHDRBS1:CH17010	chr7	92131659	92131698	92131659	92131698	-	1	0.474	NA	NA	NA	16	K562
KHDRBS1	ENSG00000001630	CYP51A1	protein_coding	6	1	6	KHDRBS1:CH17011	chr7	92132545	92132584	92132545	92132584	-	1	0.474	NA	NA	NA	16	K562
KHDRBS1	ENSG00000001631	KRIT1	protein_coding	11	2	16	KHDRBS1:CH17013	chr7	92200074	92200135	92200074	92200135	-	2	NA	NA	NA	NA	27	K562
KHDRBS1	ENSG00000001631	KRIT1	protein_coding	11	2	16	KHDRBS1:CH17014	chr7	92216513	92216552	92216513	92216552	-	1	NA	NA	NA	NA	27	K562
KHDRBS1	ENSG00000001631	KRIT1	protein_coding	11	2	16	KHDRBS1:CH17015	chr7	92218948	92218987	92218948	92218987	-	1	NA	NA	NA	NA	27	K562
KHDRBS1	ENSG00000001631	KRIT1	protein_coding	11	2	16	KHDRBS1:CH17016	chr7	92219847	92219888	92219847	92219888	-	2	NA	NA	NA	NA	27	K562
KHDRBS1	ENSG00000001631	KRIT1	protein_coding	11	2	16	KHDRBS1:CH17017	chr7	92226834	92226873	92226834	92226873	-	1	NA	NA	NA	NA	27	K562
KHDRBS1	ENSG00000001631	KRIT1	protein_coding	11	2	16	KHDRBS1:CH17018	chr7	92234874	92234913	92234874	92234913	-	1	NA	NA	NA	NA	27	K562
KHDRBS1	ENSG00000001631	KRIT1	protein_coding	11	2	16	KHDRBS1:CH17019	chr7	92235732	92235771	92235732	92235771	-	1	NA	NA	NA	NA	27	K562
KHDRBS1	ENSG00000001631	KRIT1	protein_coding	11	2	16	KHDRBS1:CH17020	chr7	92238097	92238159	92238097	92238159	-	2	NA	NA	NA	NA	27	K562
KHDRBS1	ENSG00000001631	KRIT1	protein_coding	11	2	16	KHDRBS1:CH17021	chr7	92238971	92239010	92238971	92239010	-	1	NA	NA	NA	NA	27	K562
KHDRBS1	ENSG00000001631	KRIT1	protein_coding	11	2	16	KHDRBS1:CH17022	chr7	92239552	92239606	92239552	92239606	-	2	NA	NA	NA	NA	27	K562
KHDRBS1	ENSG00000001631	KRIT1	protein_coding	11	2	16	KHDRBS1:CH17023	chr7	92240437	92240477	92240437	92240477	-	2	NA	NA	NA	NA	27	K562
KHDRBS1	ENSG00000003402	CFLAR	protein_coding	5	2	6	KHDRBS1:CH9602	chr2	201134729	201134768	201134729	201134768	+	1	NA	NA	NA	NA	20	K562
KHDRBS1	ENSG00000003402	CFLAR	protein_coding	5	2	6	KHDRBS1:CH9603	chr2	201140838	201140877	201140838	201140877	+	1	NA	NA	NA	NA	20	K562
KHDRBS1	ENSG00000003402	CFLAR	protein_coding	5	2	6	KHDRBS1:CH9604	chr2	201142359	201142398	201142359	201142398	+	1	NA	NA	NA	NA	20	K562
KHDRBS1	ENSG00000003402	CFLAR	protein_coding	5	2	6	KHDRBS1:CH9605	chr2	201164406	201164445	201164406	201164445	+	1	NA	NA	NA	NA	20	K562
KHDRBS1	ENSG00000003402	CFLAR	protein_coding	5	2	6	KHDRBS1:CH9606	chr2	201167008	201167054	201167008	201167054	+	2	NA	NA	NA	NA	20	K562
KHDRBS1	ENSG00000003436	TFPI	protein_coding	21	2	30	KHDRBS1:CH9481	chr2	187471813	187471869	187471813	187471869	-	2	-0.236	-0.414	NA	NA	23	K562
KHDRBS1	ENSG00000003436	TFPI	protein_coding	21	2	30	KHDRBS1:CH9482	chr2	187485174	187485213	187485174	187485213	-	1	-0.236	-0.414	NA	NA	23	K562
KHDRBS1	ENSG00000003436	TFPI	protein_coding	21	2	30	KHDRBS1:CH9483	chr2	187517204	187517243	187517204	187517243	-	1	-0.236	-0.414	NA	NA	23	K562
KHDRBS1	ENSG00000003436	TFPI	protein_coding	21	2	30	KHDRBS1:CH9484	chr2	187517828	187517867	187517828	187517867	-	1	-0.236	-0.414	NA	NA	23	K562
KHDRBS1	ENSG00000003436	TFPI	protein_coding	21	2	30	KHDRBS1:CH9485	chr2	187521434	187521473	187521434	187521473	-	2	-0.236	-0.414	NA	NA	23	K562
KHDRBS1	ENSG00000003436	TFPI	protein_coding	21	2	30	KHDRBS1:CH9486	chr2	187523713	187523752	187523713	187523752	-	1	-0.236	-0.414	NA	NA	23	K562
KHDRBS1	ENSG00000003436	TFPI	protein_coding	21	2	30	KHDRBS1:CH9487	chr2	187524351	187524390	187524351	187524390	-	1	-0.236	-0.414	NA	NA	23	K562
KHDRBS1	ENSG00000003436	TFPI	protein_coding	21	2	30	KHDRBS1:CH9488	chr2	187525387	187525429	187525387	187525429	-	2	-0.236	-0.414	NA	NA	23	K562
KHDRBS1	ENSG00000003436	TFPI	protein_coding	21	2	30	KHDRBS1:CH9489	chr2	187526578	187526617	187526578	187526617	-	1	-0.236	-0.414	NA	NA	23	K562
KHDRBS1	ENSG00000003436	TFPI	protein_coding	21	2	30	KHDRBS1:CH9490	chr2	187527080	187527120	187527080	187527120	-	2	-0.236	-0.414	NA	NA	23	K562
KHDRBS1	ENSG00000003436	TFPI	protein_coding	21	2	30	KHDRBS1:CH9491	chr2	187530609	187530779	187530609	187530779	-	2	-0.236	-0.414	NA	NA	23	K562
KHDRBS1	ENSG00000003436	TFPI	protein_coding	21	2	30	KHDRBS1:CH9492	chr2	187531744	187531987	187531744	187531987	-	2	-0.236	-0.414	NA	NA	23	K562
KHDRBS1	ENSG00000003436	TFPI	protein_coding	21	2	30	KHDRBS1:CH9493	chr2	187539256	187539295	187539256	187539295	-	1	-0.236	-0.414	NA	NA	23	K562
KHDRBS1	ENSG00000003436	TFPI	protein_coding	21	2	30	KHDRBS1:CH9494	chr2	187542975	187543014	187542975	187543014	-	2	-0.236	-0.414	NA	NA	23	K562
KHDRBS1	ENSG00000003436	TFPI	protein_coding	21	2	30	KHDRBS1:CH9495	chr2	187546924	187546963	187546924	187546963	-	1	-0.236	-0.414	NA	NA	23	K562
KHDRBS1	ENSG00000003436	TFPI	protein_coding	21	2	30	KHDRBS1:CH9496	chr2	187548322	187548385	187548322	187548385	-	2	-0.236	-0.414	NA	NA	23	K562
KHDRBS1	ENSG00000003436	TFPI	protein_coding	21	2	30	KHDRBS1:CH9497	chr2	187549731	187549770	187549731	187549770	-	1	-0.236	-0.414	NA	NA	23	K562
KHDRBS1	ENSG00000003436	TFPI	protein_coding	21	2	30	KHDRBS1:CH9498	chr2	187551950	187551989	187551950	187551989	-	1	-0.236	-0.414	NA	NA	23	K562
KHDRBS1	ENSG00000003436	TFPI	protein_coding	21	2	30	KHDRBS1:CH9499	chr2	187552807	187552893	187552807	187552893	-	1	-0.236	-0.414	NA	NA	23	K562
KHDRBS1	ENSG00000003436	TFPI	protein_coding	21	2	30	KHDRBS1:CH9500	chr2	187553366	187553405	187553366	187553405	-	1	-0.236	-0.414	NA	NA	23	K562
KHDRBS1	ENSG00000003436	TFPI	protein_coding	21	2	30	KHDRBS1:CH9501	chr2	187553702	187553741	187553702	187553741	-	1	-0.236	-0.414	NA	NA	23	K562
KHDRBS1	ENSG00000004455	AK2	protein_coding	2	1	2	KHDRBS1:CH332	chr1	33017167	33017206	33017167	33017206	-	1	NA	-0.391	NA	NA	27	K562
KHDRBS1	ENSG00000004455	AK2	protein_coding	2	1	2	KHDRBS1:CH333	chr1	33017525	33017564	33017525	33017564	-	1	NA	-0.391	NA	NA	27	K562
KHDRBS1	ENSG00000004487	KDM1A	protein_coding	1	1	1	KHDRBS1:CH137	chr1	23071234	23071273	23071234	23071273	+	1	-0.161	NA	NA	NA	31	K562
KHDRBS1	ENSG00000004534	RBM6	protein_coding	3	2	4	KHDRBS1:CH11291	chr3	49965746	49965785	49965746	49965785	+	1	-0.158	NA	NA	NA	18	K562
KHDRBS1	ENSG00000004534	RBM6	protein_coding	3	2	4	KHDRBS1:CH11292	chr3	50014350	50014389	50014350	50014389	+	1	-0.158	NA	NA	NA	18	K562
KHDRBS1	ENSG00000004534	RBM6	protein_coding	3	2	4	KHDRBS1:CH11293	chr3	50031815	50031857	50031815	50031857	+	2	-0.158	NA	NA	NA	18	K562
KHDRBS1	ENSG00000004766	VPS50	protein_coding	1	1	1	KHDRBS1:CH17052	chr7	93326478	93326517	93326478	93326517	+	1	-0.555	NA	NA	NA	23	K562
KHDRBS1	ENSG00000004779	NDUFAB1	protein_coding	1	2	2	KHDRBS1:CH6295	chr16	23593799	23593839	23593799	23593839	-	2	NA	-0.620	NA	NA	19	K562
KHDRBS1	ENSG00000004864	SLC25A13	protein_coding	4	2	6	KHDRBS1:CH17094	chr7	96189952	96189999	96189952	96189999	-	2	NA	NA	NA	NA	27	K562
KHDRBS1	ENSG00000004864	SLC25A13	protein_coding	4	2	6	KHDRBS1:CH17095	chr7	96190507	96190594	96190507	96190594	-	2	NA	NA	NA	NA	27	K562
KHDRBS1	ENSG00000004864	SLC25A13	protein_coding	4	2	6	KHDRBS1:CH17096	chr7	96208463	96208502	96208463	96208502	-	1	NA	NA	NA	NA	27	K562
KHDRBS1	ENSG00000004864	SLC25A13	protein_coding	4	2	6	KHDRBS1:CH17097	chr7	96271729	96271768	96271729	96271768	-	1	NA	NA	NA	NA	27	K562
KHDRBS1	ENSG00000004866	ST7	protein_coding	9	2	11	KHDRBS1:CH17476	chr7	116957594	116957633	116957594	116957633	+	1	NA	NA	NA	NA	15	K562
KHDRBS1	ENSG00000004866	ST7	protein_coding	9	2	11	KHDRBS1:CH17477	chr7	116965751	116965790	116965751	116965790	+	1	NA	NA	NA	NA	15	K562
KHDRBS1	ENSG00000004866	ST7	protein_coding	9	2	11	KHDRBS1:CH17478	chr7	117013066	117013105	117013066	117013105	+	1	NA	NA	NA	NA	15	K562
KHDRBS1	ENSG00000004866	ST7	protein_coding	9	2	11	KHDRBS1:CH17479	chr7	117014744	117014783	117014744	117014783	+	1	NA	NA	NA	NA	15	K562
KHDRBS1	ENSG00000004866	ST7	protein_coding	9	2	11	KHDRBS1:CH17480	chr7	117027108	117027147	117027108	117027147	+	1	NA	NA	NA	NA	15	K562
KHDRBS1	ENSG00000004866	ST7	protein_coding	9	2	11	KHDRBS1:CH17481	chr7	117027575	117027614	117027575	117027614	+	1	NA	NA	NA	NA	15	K562
KHDRBS1	ENSG00000004866	ST7	protein_coding	9	2	11	KHDRBS1:CH17482	chr7	117028002	117028041	117028002	117028041	+	1	NA	NA	NA	NA	15	K562
KHDRBS1	ENSG00000004866	ST7	protein_coding	9	2	11	KHDRBS1:CH17483	chr7	117060609	117060704	117060609	117060704	+	2	NA	NA	NA	NA	15	K562
KHDRBS1	ENSG00000004866	ST7	protein_coding	9	2	11	KHDRBS1:CH17484	chr7	117061169	117061215	117061169	117061215	+	2	NA	NA	NA	NA	15	K562
KHDRBS1	ENSG00000004897	CDC27	protein_coding	16	2	18	KHDRBS1:CH7017	chr17	47119998	47120037	47119998	47120037	-	1	NA	0.168	NA	NA	29	K562
KHDRBS1	ENSG00000004897	CDC27	protein_coding	16	2	18	KHDRBS1:CH7018	chr17	47120588	47120627	47120588	47120627	-	1	NA	0.168	NA	NA	29	K562
KHDRBS1	ENSG00000004897	CDC27	protein_coding	16	2	18	KHDRBS1:CH7019	chr17	47132694	47132742	47132694	47132742	-	2	NA	0.168	NA	NA	29	K562
KHDRBS1	ENSG00000004897	CDC27	protein_coding	16	2	18	KHDRBS1:CH7020	chr17	47156061	47156100	47156061	47156100	-	1	NA	0.168	NA	NA	29	K562
KHDRBS1	ENSG00000004897	CDC27	protein_coding	16	2	18	KHDRBS1:CH7021	chr17	47158513	47158552	47158513	47158552	-	1	NA	0.168	NA	NA	29	K562
KHDRBS1	ENSG00000004897	CDC27	protein_coding	16	2	18	KHDRBS1:CH7022	chr17	47162223	47162262	47162223	47162262	-	1	NA	0.168	NA	NA	29	K562
KHDRBS1	ENSG00000004897	CDC27	protein_coding	16	2	18	KHDRBS1:CH7023	chr17	47162677	47162716	47162677	47162716	-	1	NA	0.168	NA	NA	29	K562
KHDRBS1	ENSG00000004897	CDC27	protein_coding	16	2	18	KHDRBS1:CH7024	chr17	47164349	47164388	47164349	47164388	-	1	NA	0.168	NA	NA	29	K562
KHDRBS1	ENSG00000004897	CDC27	protein_coding	16	2	18	KHDRBS1:CH7025	chr17	47165698	47165737	47165698	47165737	-	1	NA	0.168	NA	NA	29	K562
KHDRBS1	ENSG00000004897	CDC27	protein_coding	16	2	18	KHDRBS1:CH7026	chr17	47166218	47166257	47166218	47166257	-	1	NA	0.168	NA	NA	29	K562
KHDRBS1	ENSG00000004897	CDC27	protein_coding	16	2	18	KHDRBS1:CH7027	chr17	47167208	47167247	47167208	47167247	-	1	NA	0.168	NA	NA	29	K562
KHDRBS1	ENSG00000004897	CDC27	protein_coding	16	2	18	KHDRBS1:CH7028	chr17	47167468	47167507	47167468	47167507	-	1	NA	0.168	NA	NA	29	K562
KHDRBS1	ENSG00000004897	CDC27	protein_coding	16	2	18	KHDRBS1:CH7029	chr17	47173460	47173499	47173460	47173499	-	1	NA	0.168	NA	NA	29	K562
KHDRBS1	ENSG00000004897	CDC27	protein_coding	16	2	18	KHDRBS1:CH7030	chr17	47176121	47176160	47176121	47176160	-	1	NA	0.168	NA	NA	29	K562
KHDRBS1	ENSG00000004897	CDC27	protein_coding	16	2	18	KHDRBS1:CH7031	chr17	47176856	47176895	47176856	47176895	-	1	NA	0.168	NA	NA	29	K562
KHDRBS1	ENSG00000004897	CDC27	protein_coding	16	2	18	KHDRBS1:CH7032	chr17	47180731	47180788	47180731	47180788	-	2	NA	0.168	NA	NA	29	K562
KHDRBS1	ENSG00000005175	RPAP3	protein_coding	1	1	1	KHDRBS1:CH3881	chr12	47702718	47702757	47702718	47702757	-	1	NA	NA	NA	NA	30	K562
KHDRBS1	ENSG00000005187	ACSM3	protein_coding	23	2	24	KHDRBS1:CH6262	chr16	20684143	20684182	20684143	20684182	+	1	NA	0.400	NA	NA	18	K562
KHDRBS1	ENSG00000005187	ACSM3	protein_coding	23	2	24	KHDRBS1:CH6263	chr16	20684742	20684785	20684742	20684785	+	2	NA	0.400	NA	NA	18	K562
KHDRBS1	ENSG00000005187	ACSM3	protein_coding	23	2	24	KHDRBS1:CH6264	chr16	20688279	20688318	20688279	20688318	+	1	NA	0.400	NA	NA	18	K562
KHDRBS1	ENSG00000005187	ACSM3	protein_coding	23	2	24	KHDRBS1:CH6265	chr16	20689228	20689267	20689228	20689267	+	1	NA	0.400	NA	NA	18	K562
